Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;10,80;10,80;10,80;10,80;250;5.400
2019-08-13;10,50;10,50;10,10;10,50;4.373;91.134
2019-08-12;10,80;10,80;10,80;10,80;430;9.288
2019-08-05;10,50;10,50;10,50;10,50;316;6.636
2019-08-02;10,40;10,40;10,40;10,40;743;15.454
2019-08-01;10,70;10,70;10,70;10,70;70;1.498
2019-07-31;10,90;11,00;10,90;11,00;2.500;54.820
2019-07-30;10,90;10,90;10,90;10,90;900;19.620
2019-07-29;11,00;11,40;11,00;11,40;3.000;64.520
2019-07-26;11,00;11,00;11,00;11,00;1.880;41.360
2019-07-25;11,00;11,10;11,00;11,10;3.400;74.980
2019-07-24;11,00;11,30;11,00;11,20;3.131;69.958
2019-07-23;10,90;11,80;10,90;11,20;15.471;173.388
2019-07-18;10,60;10,90;10,60;10,90;200;2.150
2019-07-17;10,70;10,70;10,70;10,70;555;5.939
2019-07-12;10,80;10,80;10,80;10,80;500;5.400
2019-07-09;10,80;10,80;10,80;10,80;665;7.182
2019-07-08;10,80;11,00;10,80;11,00;345;3.786
2019-07-03;10,80;10,80;10,80;10,80;150;1.620
2019-07-02;10,90;10,90;10,80;10,80;40;433
2019-07-01;10,90;10,90;10,90;10,90;96;1.046
2019-06-28;11,20;11,20;11,20;11,20;90;1.008
2019-06-24;11,10;11,10;10,90;10,90;1.056;11.570
2019-06-17;10,80;11,10;10,80;11,10;228;2.489
2019-06-14;11,30;11,30;11,10;11,10;180;2.018
2019-06-12;10,70;11,00;10,70;11,00;460;5.030
2019-06-11;11,00;11,00;10,70;11,00;3.200;34.480
2019-06-07;10,50;11,40;10,50;11,40;6.453;70.248
2019-06-06;10,30;10,30;10,30;10,30;297;3.059
2019-06-05;10,30;10,30;10,30;10,30;50;515
2019-06-04;10,10;10,10;10,10;10,10;430;4.343
2019-06-03;10,40;10,40;10,20;10,20;690;7.076
2019-05-31;10,40;10,40;10,00;10,30;3.514;36.054
2019-05-30;10,90;10,90;10,90;10,90;200;2.180
2019-05-28;11,00;11,30;11,00;11,30;350;3.880
2019-05-23;11,20;11,20;11,00;11,00;350;3.860
2019-05-20;11,00;11,00;11,00;11,00;333;3.663
2019-05-17;11,20;11,30;11,20;11,30;301;3.375
2019-05-16;11,20;11,20;11,20;11,20;4;45
2019-05-08;11,30;11,30;11,30;11,30;35;396
2019-05-06;11,00;11,00;11,00;11,00;300;3.300
2019-05-03;11,10;11,10;11,10;11,10;2.323;25.785
2019-05-02;11,30;11,30;11,10;11,10;895;10.036
2019-04-30;11,40;11,40;11,40;11,40;100;1.140
2019-04-29;11,40;11,40;11,40;11,40;360;4.104
2019-04-26;11,10;11,10;11,10;11,10;40;444
2019-04-24;11,10;11,40;11,10;11,40;400;4.530
2019-04-23;11,20;11,40;11,20;11,40;775;8.760
2019-04-18;11,10;11,30;11,00;11,30;2.382;26.808
2019-04-16;11,10;11,10;10,90;10,90;495;5.397
2019-04-12;11,00;11,00;11,00;11,00;300;3.300
2019-04-11;11,20;11,20;11,10;11,20;930;10.380
2019-04-10;11,10;11,10;11,00;11,00;1.520;16.770
2019-04-08;11,40;11,40;11,40;11,40;5;57
2019-04-05;11,20;11,30;11,20;11,30;340;3.827
2019-04-04;11,30;11,40;11,30;11,40;2.300;26.130
2019-04-03;11,20;11,40;11,20;11,40;1.010;11.512
2019-04-02;11,20;11,40;11,00;11,00;2.285;25.689
2019-04-01;10,80;11,40;10,80;11,40;2.037;22.629
2019-03-26;11,00;11,00;11,00;11,00;50;550
2019-03-25;11,00;11,00;11,00;11,00;50;550
2019-03-20;11,00;11,00;11,00;11,00;1.000;11.000
2019-03-19;11,20;11,30;11,20;11,30;1.520;17.026
2019-03-18;11,20;11,50;11,20;11,50;1.910;21.515
2019-03-15;12,00;12,10;11,50;11,90;6.514;76.978
2019-03-14;12,00;12,00;12,00;12,00;884;10.608
2019-03-13;11,60;12,20;11,40;12,20;3.466;40.987
2019-03-12;11,90;11,90;11,90;11,90;200;2.380
2019-03-11;11,80;12,00;11,70;12,00;2.550;30.242
2019-03-08;11,50;11,50;11,50;11,50;850;9.775
2019-03-01;11,20;11,20;11,10;11,10;260;2.911
2019-02-28;11,50;11,50;11,50;11,50;820;9.430
2019-02-27;11,40;11,40;11,40;11,40;550;6.270
2019-02-26;11,50;11,50;11,50;11,50;4.734;54.442
2019-02-25;11,10;11,50;11,10;11,40;7.199;82.294
2019-02-22;11,30;11,50;11,10;11,10;1.521;17.161
2019-02-21;11,00;11,50;11,00;11,50;2.843;31.776
2019-02-20;11,30;11,30;11,30;11,30;10;113
