Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-05-30;14                                     ,10;14 ,15;14 ,10;14 ,15;1.988;28.067
2017-05-29;14                                     ,50;14 ,50;14 ,10;14 ,15;5.800;81.898
2017-05-26;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-05-25;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-05-24;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-05-23;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-05-22;14                                     ,30;14 ,30;14 ,30;14 ,30;500;7.150
2017-05-19;14                                     ,30;14 ,30;14 ,30;14 ,30;200;2.860
2017-05-18;14                                     ,30;14 ,30;14 ,30;14 ,30;0;0
2017-05-17;14                                     ,45;14 ,45;14 ,45;14 ,45;0;0
2017-05-16;14                                     ,30;14 ,50;14 ,30;14 ,50;1.248;18.096
2017-05-15;14                                     ,30;14 ,49;14 ,30;14 ,49;150;2.174
2017-05-12;14                                     ,30;14 ,50;14 ,30;14 ,50;1.000;14.350
2017-05-11;14                                     ,45;14 ,50;14 ,40;14 ,50;2.710;39.180
2017-05-10;14                                     ,55;14 ,55;14 ,40;14 ,40;332;4.787
2017-05-09;14                                     ,29;14 ,50;14 ,29;14 ,50;2.250;32.388
2017-05-08;14                                     ,25;14 ,28;14 ,25;14 ,28;50;714
2017-05-05;14                                     ,25;14 ,25;14 ,25;14 ,25;0;0
2017-05-04;14                                     ,10;14 ,22;14 ,10;14 ,22;4.000;56.830
2017-05-03;14                                     ,10;14 ,20;14 ,10;14 ,11;5;71
2017-05-02;14                                     ,10;14 ,20;14 ,10;14 ,20;7.500;106.500
2017-04-28;14                                     ,11;14 ,25;14 ,11;14 ,20;2.285;32.483
2017-04-27;14                                     ,29;14 ,29;14 ,29;14 ,29;;
2017-04-26;14                                     ,28;14 ,28;14 ,28;14 ,28;66;942
2017-04-25;14                                     ,29;14 ,29;14 ,29;14 ,29;;
2017-04-24;14                                     ,25;14 ,29;14 ,25;14 ,28;138;1.967
2017-04-21;14                                     ,30;14 ,30;14 ,29;14 ,29;151;2.159
2017-04-20;14                                     ,12;14 ,30;14 ,11;14 ,30;1.813;25.589
2017-04-19;14                                     ,15;14 ,15;14 ,12;14 ,12;750;10.598
2017-04-18;14                                     ,28;14 ,28;14 ,20;14 ,20;537;7.628
2017-04-13;14                                     ,12;14 ,30;14 ,12;14 ,29;652;9.296
2017-04-12;14                                     ,30;14 ,30;14 ,20;14 ,20;500;7.100
2017-04-11;14                                     ,45;14 ,45;14 ,21;14 ,26;4.032;57.689
2017-04-10;14                                     ,49;14 ,49;14 ,00;14 ,19;8.044;112.865
2017-04-07;14                                     ,10;14 ,50;14 ,10;14 ,49;119;1.696
2017-04-06;14                                     ,50;14 ,50;14 ,10;14 ,45;180;2.538
2017-04-05;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-04-04;14                                     ,45;14 ,49;14 ,45;14 ,49;600;8.694
2017-04-03;14                                     ,10;14 ,45;14 ,10;14 ,45;50;723
2017-03-31;14                                     ,35;14 ,35;14 ,35;14 ,35;350;5.023
2017-03-30;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-03-29;14                                     ,50;14 ,50;14 ,20;14 ,45;300;4.293
2017-03-28;14                                     ,40;14 ,40;14 ,40;14 ,40;;
2017-03-27;14                                     ,40;14 ,40;14 ,40;14 ,40;62;893
2017-03-24;14                                     ,50;14 ,50;14 ,50;14 ,50;;
2017-03-23;14                                     ,50;14 ,50;14 ,50;14 ,50;;
2017-03-22;14                                     ,40;14 ,50;14 ,20;14 ,40;900;12.800
2017-03-21;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-03-20;14                                     ,10;14 ,40;14 ,10;14 ,40;200;2.880
2017-03-17;14                                     ,10;14 ,40;14 ,10;14 ,40;200;2.880
2017-03-16;14                                     ,60;14 ,60;14 ,50;14 ,50;680;9.865
2017-03-15;14                                     ,70;14 ,70;14 ,70;14 ,70;0;0
2017-03-14;14                                     ,01;14 ,65;14 ,01;14 ,65;7.944;115.193
2017-03-13;14                                     ,00;14 ,45;14 ,00;14 ,45;1.038;14.758
2017-03-10;14                                     ,20;14 ,20;14 ,00;14 ,00;170;2.380
2017-03-09;14                                     ,00;14 ,00;14 ,00;14 ,00;200;2.800
2017-03-08;14                                     ,40;14 ,40;14 ,00;14 ,00;200;2.800
2017-03-07;14                                     ,40;14 ,40;14 ,40;14 ,40;0;0
2017-03-06;14                                     ,50;14 ,50;14 ,49;14 ,49;350;5.072
2017-03-03;14                                     ,30;14 ,30;14 ,30;14 ,30;0;0
2017-03-02;14                                     ,31;14 ,35;14 ,31;14 ,31;1.700;24.347
2017-03-01;14                                     ,50;14 ,90;14 ,35;14 ,35;11.445;166.072
2017-02-28;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-02-27;14                                     ,31;14 ,70;14 ,31;14 ,70;0;0
2017-02-24;14                                     ,31;14 ,55;14 ,31;14 ,50;330;4.787
2017-02-23;14                                     ,50;14 ,75;14 ,50;14 ,75;501;7.390
2017-02-22;14                                     ,10;14 ,50;14 ,10;14 ,50;0;0
2017-02-21;14                                     ,50;14 ,50;14 ,50;14 ,50;0;0
2017-02-20;14                                     ,24;14 ,51;14 ,24;14 ,51;1.870;27.124
2017-02-17;14                                     ,10;14 ,70;14 ,10;14 ,64;700;10.254
2017-02-16;14                                     ,40;14 ,60;14 ,40;14 ,60;350;5.110
2017-02-15;14                                     ,05;14 ,75;14 ,05;14 ,40;1.575;22.634
2017-02-14;14                                     ,01;14 ,44;14 ,01;14 ,32;5.461;77.750
2017-02-13;14                                     ,01;14 ,15;14 ,01;14 ,05;1.089;15.394
2017-02-10;14                                     ,00;14 ,25;14 ,00;14 ,00;3.180;44.808
2017-02-09;14                                     ,00;14 ,00;14 ,00;14 ,00;0;0
2017-02-08;13                                     ,90;13 ,90;13 ,90;13 ,90;0;0
2017-02-07;14                                     ,00;14 ,29;13 ,95;14 ,29;855;12.116
2017-02-06;14                                     ,01;14 ,01;14 ,00;14 ,00;1.080;15.130
2017-02-03;14                                     ,01;14 ,01;14 ,01;14 ,01;0;0
2017-02-02;13                                     ,70;14 ,29;13 ,70;14 ,01;1.135;16.031
2017-02-01;14                                     ,00;14 ,30;14 ,00;14 ,30;1.850;26.305
2017-01-31;13                                     ,90;13 ,90;13 ,90;13 ,90;0;0
2017-01-30;14                                     ,00;14 ,00;14 ,00;14 ,00;248;3.472
2017-01-27;14                                     ,10;14 ,10;14 ,05;14 ,05;800;11.265
2017-01-26;14                                     ,00;14 ,20;14 ,00;14 ,20;450;6.340
2017-01-25;13                                     ,70;13 ,90;13 ,70;13 ,90;2.038;28.114
2017-01-24;13                                     ,655;13,67;13 ,655;13,67;686;9.370
2017-01-23;13                                     ,70;13 ,70;13 ,70;13 ,70;90;1.233
2017-01-20;13                                     ,85;13 ,85;13 ,85;13 ,85;500;6.925
2017-01-19;13                                     ,70;13 ,85;13 ,70;13 ,85;75;1.039
2017-01-18;13                                     ,65;13 ,85;13 ,65;13 ,85;685;9.487
2017-01-17;13                                     ,60;13 ,85;13 ,60;13 ,65;4.131;56.572
2017-01-16;13                                     ,80;13 ,90;13 ,57;13 ,57;4.294;59.319
2017-01-13;13                                     ,60;13 ,90;13 ,60;13 ,89;2.644;36.437
2017-01-12;13                                     ,50;13 ,75;13 ,47;13 ,75;3.976;53.898
2017-01-11;13                                     ,47;13 ,51;13 ,47;13 ,51;560;7.562
2017-01-10;13                                     ,50;13 ,60;13 ,50;13 ,50;122;1.649
2017-01-09;13                                     ,45;13 ,65;13 ,45;13 ,65;230;3.140
2017-01-06;13                                     ,45;13 ,45;13 ,45;13 ,45;0;0
2017-01-05;13                                     ,45;13 ,50;13 ,45;13 ,50;1.050;14.175
2017-01-04;13                                     ,40;13 ,65;13 ,40;13 ,65;1.553;20.954
2017-01-03;13                                     ,10;13 ,15;13 ,10;13 ,15;100;1.315
2017-01-02;13                                     ,00;13 ,30;12 ,80;13 ,30;451;5.888
2016-12-30;13                                     ,00;13 ,00;13 ,00;13 ,00;0;0
2016-12-29;13                                     ,10;13 ,45;13 ,10;13 ,45;250;3.358
2016-12-28;13                                     ,35;13 ,44;13 ,35;13 ,44;958;12.818
2016-12-27;13                                     ,10;15 ,00;13 ,10;13 ,36;1.810;24.179
2016-12-23;13                                     ,15;13 ,15;13 ,15;13 ,15;;
2016-12-22;13                                     ,15;13 ,15;13 ,15;13 ,15;0;0
2016-12-21;13                                     ,25;13 ,25;13 ,25;13 ,25;0;0
2016-12-20;13                                     ,25;13 ,25;13 ,25;13 ,25;0;0
2016-12-19;13                                     ,005;13,005;13,005;13,005;0;0
2016-12-16;12                                     ,93;12 ,93;12 ,93;12 ,93;0;0
2016-12-15;12                                     ,92;12 ,92;12 ,92;12 ,92;0;0
2016-12-14;12                                     ,85;12 ,85;12 ,85;12 ,85;0;0
2016-12-13;12                                     ,66;12 ,66;12 ,66;12 ,66;0;0
2016-12-12;12                                     ,41;12 ,41;12 ,41;12 ,41;0;0
2016-12-09;11                                     ,65;11 ,65;11 ,65;11 ,65;0;0
2016-12-08;12                                     ,995;12,995;12,995;12,995;0;0
2016-12-07;13                                     ,16;13 ,16;13 ,16;13 ,16;0;0
2016-12-06;13                                     ,20;13 ,20;13 ,20;13 ,20;0;0
2016-12-05;13                                     ,26;13 ,26;13 ,26;13 ,26;0;0
2016-12-02;13                                     ,42;13 ,42;13 ,42;13 ,42;0;0
2016-12-01;13                                     ,42;13 ,42;13 ,42;13 ,42;0;0
2016-11-30;13                                     ,37;13 ,37;13 ,37;13 ,37;0;0
2016-11-29;13                                     ,36;13 ,36;13 ,36;13 ,36;0;0
2016-11-28;13                                     ,37;13 ,37;13 ,37;13 ,37;0;0
2016-11-25;13                                     ,37;13 ,37;13 ,37;13 ,37;0;0
2016-11-24;13                                     ,35;13 ,35;13 ,35;13 ,35;0;0
2016-11-23;13                                     ,32;13 ,32;13 ,32;13 ,32;0;0
2016-11-22;13                                     ,385;13,385;13,385;13,385;0;0
2016-11-21;13                                     ,38;13 ,38;13 ,38;13 ,38;0;0
2016-11-18;13                                     ,36;13 ,36;13 ,36;13 ,36;0;0
2016-11-17;13                                     ,32;13 ,32;13 ,32;13 ,32;0;0
2016-11-16;13                                     ,355;13,355;13,355;13,355;0;0
2016-11-15;13                                     ,30;13 ,30;13 ,30;13 ,30;0;0
2016-11-14;13                                     ,22;13 ,22;13 ,22;13 ,22;0;0
2016-11-11;13                                     ,21;13 ,21;13 ,21;13 ,21;0;0
2016-11-10;13                                     ,10;13 ,10;13 ,10;13 ,10;0;0
2016-11-09;13                                     ,11;13 ,11;13 ,11;13 ,11;0;0
2016-11-08;13                                     ,11;13 ,11;13 ,11;13 ,11;0;0
2016-11-07;13                                     ,20;13 ,20;13 ,20;13 ,20;0;0
2016-11-04;13                                     ,20;13 ,20;13 ,20;13 ,20;0;0
2016-11-03;13                                     ,20;13 ,20;13 ,20;13 ,20;0;0
2016-11-02;13                                     ,20;13 ,20;13 ,20;13 ,20;0;0
2016-11-01;13                                     ,215;13,215;13,215;13,215;0;0
2016-10-31;13                                     ,22;13 ,22;13 ,22;13 ,22;0;0
2016-10-28;13                                     ,22;13 ,22;13 ,22;13 ,22;0;0
2016-10-27;13                                     ,25;13 ,25;13 ,25;13 ,25;0;0
2016-10-26;13                                     ,22;13 ,22;13 ,22;13 ,22;0;0
2016-10-25;13                                     ,21;13 ,21;13 ,21;13 ,21;0;0
2016-10-24;13                                     ,215;13,215;13,215;13,215;0;0
2016-10-21;13                                     ,25;13 ,25;13 ,25;13 ,25;0;0
2016-10-20;13                                     ,21;13 ,21;13 ,205;13,205;447;5.903
2016-10-19;13                                     ,21;13 ,21;13 ,21;13 ,21;;





