Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;24                                     ,04;24              ,28;23    ,96;24   ,28;63.712;1.537.783
2019-05-02;24                                     ,28;24              ,28;23    ,82;24   ,06;106.886;2.565.890
2019-04-30;24                                     ,24;24              ,40;24    ,04;24   ,04;46.791;1.132.008
2019-04-29;24                                     ,50;24              ,54;24    ,14;24   ,28;67.078;1.632.158
2019-04-26;24                                     ,28;24              ,54;24    ,22;24   ,40;64.463;1.571.464
2019-04-25;24                                     ,56;24              ,62;23    ,92;24   ,26;134.732;3.276.571
2019-04-24;24                                     ,60;25              ,16;24    ,36;24   ,38;252.171;6.227.428
2019-04-23;23                                     ,92;24              ,88;23    ,68;24   ,66;314.346;7.639.556
2019-04-18;23                                     ,80;23              ,94;23    ,66;23   ,78;88.273;2.101.142
2019-04-17;23                                     ,74;23              ,92;23    ,52;23   ,84;116.945;2.772.303
2019-04-16;23                                     ,70;23              ,84;23    ,52;23   ,66;104.421;2.471.895
2019-04-15;23                                     ,58;23              ,92;23    ,50;23   ,78;81.852;1.944.319
2019-04-12;23                                     ,38;23              ,62;23    ,28;23   ,50;91.323;2.148.261
2019-04-11;23                                     ,10;23              ,52;23    ,04;23   ,38;84.937;1.986.134
2019-04-10;23                                     ,04;23              ,34;22    ,98;23   ,22;62.244;1.443.026
2019-04-09;23                                     ,52;23              ,78;23    ,14;23   ,14;138.869;3.247.005
2019-04-08;23                                     ,42;23              ,78;23    ,22;23   ,58;179.234;4.220.788
2019-04-05;23                                     ,96;23              ,98;23    ,06;23   ,36;285.702;6.758.452
2019-04-04;24                                     ,00;24              ,18;23    ,74;23   ,86;115.687;2.772.789
2019-04-03;23                                     ,36;24              ,00;23    ,30;24   ,00;171.405;4.047.877
2019-04-02;22                                     ,78;23              ,24;22    ,64;23   ,14;197.712;4.543.535
2019-04-01;22                                     ,38;22              ,78;22    ,24;22   ,60;222.397;5.017.911
2019-03-29;22                                     ,48;22              ,62;21    ,62;22   ,30;269.248;5.938.104
2019-03-28;21                                     ,70;23              ,00;21    ,46;22   ,38;400.297;9.046.456
2019-03-27;21                                     ,76;21              ,88;21    ,40;21   ,62;119.830;2.585.199
2019-03-26;21                                     ,42;21              ,66;21    ,34;21   ,58;83.693;1.802.612
2019-03-25;22                                     ,22;22              ,24;21    ,36;21   ,40;130.391;2.814.434
2019-03-22;22                                     ,72;22              ,92;22    ,26;22   ,46;101.695;2.288.041
2019-03-21;22                                     ,32;22              ,60;22    ,02;22   ,54;132.339;2.959.842
2019-03-20;22                                     ,50;22              ,90;22    ,14;22   ,18;216.087;4.840.010
2019-03-19;22                                     ,04;22              ,48;22    ,00;22   ,48;52.515;1.174.827
2019-03-18;22                                     ,32;22              ,40;21    ,94;22   ,12;88.878;1.971.310
2019-03-15;22                                     ,12;22              ,26;22    ,06;22   ,26;146.293;3.246.732
2019-03-14;21                                     ,88;22              ,26;21    ,86;22   ,16;95.528;2.115.726
2019-03-13;22                                     ,00;22              ,00;21    ,54;21   ,94;123.438;2.685.679
2019-03-12;22                                     ,02;22              ,32;21    ,80;22   ,12;143.097;3.166.102
2019-03-11;20                                     ,98;21              ,82;20    ,98;21   ,82;136.096;2.921.664
2019-03-08;21                                     ,00;21              ,16;20    ,66;20   ,94;173.041;3.624.350
2019-03-07;22                                     ,04;22              ,04;21    ,22;21   ,40;149.883;3.220.744
2019-03-06;21                                     ,92;22              ,30;21    ,92;22   ,02;55.474;1.227.348
2019-03-05;22                                     ,06;22              ,06;21    ,68;21   ,96;48.209;1.053.486
2019-03-04;21                                     ,94;22              ,20;21    ,90;22   ,06;90.283;1.990.779
2019-03-01;21                                     ,18;21              ,88;21    ,02;21   ,78;124.177;2.686.349
2019-02-28;21                                     ,36;21              ,40;21    ,02;21   ,18;176.702;3.745.536
2019-02-27;21                                     ,86;21              ,86;21    ,44;21   ,54;84.250;1.818.666
2019-02-26;21                                     ,76;22              ,12;21    ,76;21   ,78;107.622;2.355.348
2019-02-25;21                                     ,92;22              ,04;21    ,62;21   ,90;121.152;2.646.797
2019-02-22;21                                     ,66;21              ,96;21    ,58;21   ,72;82.182;1.787.085
2019-02-21;21                                     ,50;21              ,84;21    ,46;21   ,68;140.189;3.040.506
2019-02-20;21                                     ,68;21              ,72;21    ,30;21   ,56;102.595;2.207.089
2019-02-19;21                                     ,52;22              ,18;21    ,42;21   ,74;327.334;7.141.790
2019-02-18;20                                     ,98;21              ,58;20    ,92;21   ,52;227.114;4.826.785
2019-02-15;20                                     ,56;21              ,00;20    ,26;21   ,00;138.920;2.890.248
2019-02-14;20                                     ,42;20              ,72;20    ,22;20   ,62;145.559;2.989.338
2019-02-13;20                                     ,48;20              ,76;20    ,28;20   ,40;110.666;2.264.249
2019-02-12;20                                     ,14;20              ,38;20    ,00;20   ,38;140.303;2.841.433
2019-02-11;19                                     ,98;20              ,30;19    ,68;19   ,78;235.237;4.686.712
2019-02-08;20                                     ,52;20              ,52;19    ,32;19   ,85;449.237;8.967.521
2019-02-07;20                                     ,58;20              ,90;20    ,32;20   ,78;326.412;6.707.475
2019-02-06;20                                     ,02;20              ,72;19    ,97;20   ,64;196.039;4.013.668
2019-02-05;19                                     ,90;20              ,04;19    ,75;19   ,97;74.989;1.495.013
2019-02-04;19                                     ,88;20              ,02;19    ,47;19   ,81;95.074;1.874.744
2019-02-01;19                                     ,89;20              ,28;19    ,64;19   ,79;233.738;4.663.092
2019-01-31;19                                     ,89;20              ,08;19    ,56;19   ,91;180.298;3.569.186
