Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,65;0,65;0,65;0,65;1.218;792
2019-07-18;0,65;0,65;0,65;0,65;0;
2019-07-17;0,65;0,65;0,65;0,65;0;
2019-07-16;0,65;0,65;0,65;0,65;0;
2019-07-15;0,65;0,65;0,65;0,65;0;
2019-07-12;0,65;0,65;0,65;0,65;0;
2019-07-11;0,65;0,65;0,65;0,65;0;
2019-07-10;0,65;0,75;0,65;0,75;10.200;7.650
2019-07-09;0,65;0,75;0,65;0,75;10.583;7.879
2019-07-08;0,65;0,75;0,65;0,75;6.594;4.726
2019-07-05;0,65;0,65;0,65;0,65;500;325
2019-07-04;0,62;0,75;0,55;0,75;26.715;18.637
2019-07-03;0,64;0,64;0,64;0,64;0;
2019-07-02;0,65;0,65;0,65;0,65;0;
2019-07-01;0,53;0,75;0,53;0,75;39.557;29.645
2019-06-28;0,53;0,53;0,53;0,53;0;
2019-06-27;0,52;0,52;0,52;0,52;0;
2019-06-26;0,52;0,72;0,52;0,72;5.715;4.013
2019-06-25;0,52;0,53;0,52;0,53;728;386
2019-06-24;0,50;0,50;0,50;0,50;0;
2019-06-21;0,60;0,60;0,60;0,60;0;
2019-06-20;0,60;0,60;0,60;0,60;0;
2019-06-19;0,60;0,60;0,60;0,60;17;10
2019-06-18;0,60;0,69;0,60;0,69;2.004;12
2019-06-17;0,62;0,62;0,62;0,62;1.987;426
2019-06-14;0,62;0,70;0,62;0,70;6.621;4.249
2019-06-13;0,72;0,72;0,72;0,72;1.000;720
2019-06-12;0,60;0,72;0,60;0,72;21.203;14.705
2019-06-11;0,57;0,76;0,40;0,40;11.230;6.958
2019-06-07;0,57;0,75;0,57;0,60;7.143;5.175
2019-06-06;0,56;0,68;0,56;0,68;17.199;10.150
2019-06-05;0,56;0,735;0,56;0,735;4.000;2.923
2019-06-04;0,55;0,74;0,55;0,74;3.000;2.200
2019-06-03;0,56;0,56;0,56;0,56;766;429
2019-05-31;0,56;0,56;0,56;0,56;0;
2019-05-30;0,56;0,56;0,56;0,56;0;
2019-05-29;0,56;0,56;0,56;0,56;0;
2019-05-28;0,56;0,56;0,56;0,56;375;210
2019-05-27;0,56;0,56;0,56;0,56;0;
2019-05-24;0,56;0,75;0,56;0,75;500;375
2019-05-23;0,56;0,77;0,56;0,77;4.806;3.636
2019-05-22;0,54;0,545;0,54;0,545;0;
2019-05-21;0,52;0,52;0,52;0,52;0;
2019-05-20;0,70;0,70;0,70;0,70;1.569;1.098
2019-05-17;0,70;0,70;0,70;0,70;960;672
2019-05-16;0,70;0,70;0,70;0,70;1.467;1.027
2019-05-15;0,70;0,70;0,70;0,70;0;
2019-05-14;0,52;0,70;0,52;0,70;2.343;1.640
2019-05-13;0,52;0,70;0,52;0,70;1.454;1.018
2019-05-10;0,60;0,70;0,60;0,70;6.566;4.596
2019-05-09;0,60;0,60;0,60;0,60;1.434;860
2019-05-08;0,52;0,65;0,52;0,65;10.899;7.057
2019-05-07;0,52;0,52;0,52;0,52;0;
2019-05-06;0,52;0,52;0,52;0,52;0;
2019-05-03;0,52;0,52;0,52;0,52;0;
2019-05-02;0,51;0,51;0,51;0,51;0;
2019-04-30;0,57;0,57;0,57;0,57;0;
2019-04-29;0,57;0,58;0,51;0,58;6.327;3.629
2019-04-26;0,57;0,57;0,53;0,53;3.578;1.896
2019-04-25;0,57;0,57;0,57;0,57;0;
2019-04-24;0,57;0,57;0,57;0,57;3.363;1.917
2019-04-23;0,57;0,57;0,57;0,57;458;261
2019-04-18;0,57;0,65;0,57;0,65;7.000;4.550
2019-04-17;0,51;0,645;0,51;0,645;5.000;3.225
2019-04-16;0,51;0,51;0,51;0,51;0;
2019-04-15;0,51;0,51;0,51;0,51;638;325
2019-04-12;0,51;0,51;0,51;0,51;0;
2019-04-11;0,51;0,51;0,51;0,51;0;
2019-04-10;0,51;0,51;0,51;0,51;0;
2019-04-08;0,52;0,52;0,52;0,52;0;
2019-04-05;0,52;0,65;0,52;0,65;1.500;975
2019-04-04;0,50;0,52;0,50;0,52;0;
2019-04-03;0,50;0,50;0,50;0,50;0;
2019-04-02;0,50;0,50;0,50;0,50;0;
2019-04-01;0,57;0,57;0,57;0,57;828;472
2019-03-29;0,57;0,57;0,57;0,57;7.554;4.306
2019-03-28;0,57;0,57;0,57;0,57;1.203;686
2019-03-27;0,57;0,57;0,57;0,57;0;
2019-03-26;0,57;0,57;0,57;0,57;0;
2019-03-25;0,57;0,57;0,57;0,57;0;
2019-03-22;0,57;0,57;0,57;0,57;0;
2019-03-21;0,57;0,57;0,57;0,57;0;
2019-03-20;0,57;0,57;0,57;0,57;0;
2019-03-19;0,57;0,57;0,57;0,57;0;
2019-03-18;0,57;0,57;0,57;0,57;0;
