Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-12-23;6,328;6,328;6,328;6,328;0;0
2015-12-22;6,328;6,328;6,328;6,328;0;0
2015-12-21;6,309;6,309;6,309;6,309;0;0
2015-12-18;6,309;6,309;6,309;6,309;0;0
2015-12-17;6,309;6,309;6,309;6,309;0;0
2015-12-16;6,309;6,309;6,309;6,309;0;0
2015-12-15;6,30;6,30;6,30;6,30;0;0
2015-12-14;6,323;6,323;6,323;6,323;0;0
2015-12-11;6,323;6,323;6,323;6,323;0;0
2015-12-10;6,323;6,323;6,323;6,323;0;0
2015-12-09;6,323;6,323;6,323;6,323;0;0
2015-12-08;6,323;6,323;6,323;6,323;0;0
2015-12-07;6,323;6,323;6,323;6,323;0;0
2015-12-04;6,323;6,323;6,323;6,323;0;0
2015-12-03;6,323;6,323;6,323;6,323;0;0
2015-12-02;6,323;6,323;6,323;6,323;0;0
2015-12-01;6,309;6,309;6,309;6,309;0;0
2015-11-30;6,297;6,297;6,297;6,297;0;0
2015-11-27;6,097;6,097;6,097;6,097;0;0
2015-11-26;6,097;6,097;6,097;6,097;0;
2015-11-25;6,097;6,097;6,097;6,097;0;0
2015-11-24;6,097;6,097;6,097;6,097;0;0
2015-11-23;6,064;6,064;6,064;6,064;0;0
2015-11-20;6,058;6,058;6,058;6,058;0;0
2015-11-19;6,049;6,049;6,049;6,049;0;0
2015-11-18;6,00;6,00;6,00;6,00;0;0
2015-11-17;6,00;6,00;6,00;6,00;0;0
2015-11-16;6,00;6,00;6,00;6,00;0;0
2015-11-13;6,00;6,00;6,00;6,00;0;0
2015-11-12;6,00;6,00;6,00;6,00;0;0
2015-11-11;6,00;6,00;6,00;6,00;0;0
2015-11-10;5,992;5,992;5,992;5,992;0;0
2015-11-09;5,958;5,958;5,958;5,958;0;0
2015-11-06;5,958;5,958;5,958;5,958;0;0
2015-11-05;5,958;5,958;5,958;5,958;0;0
2015-11-04;5,958;5,958;5,958;5,958;0;0
2015-11-03;5,958;5,958;5,958;5,958;0;0
2015-11-02;5,958;5,958;5,958;5,958;0;0
2015-10-30;5,949;5,949;5,949;5,949;0;0
2015-10-29;5,949;5,949;5,949;5,949;0;0
2015-10-28;5,949;5,949;5,949;5,949;0;0
2015-10-27;5,85;5,949;5,85;5,949;50;297
2015-10-26;5,85;5,85;5,85;5,85;500;2.925
2015-10-23;5,867;5,867;5,867;5,867;0;0
2015-10-22;5,836;5,836;5,836;5,836;0;0
2015-10-21;5,836;5,836;5,836;5,836;0;0
2015-10-20;5,822;5,822;5,822;5,822;0;0
2015-10-19;4,296;4,296;4,296;4,296;0;0
2015-10-16;4,296;4,296;4,296;4,296;0;0
2015-10-15;4,296;4,296;4,296;4,296;0;0
2015-10-14;4,296;4,296;4,296;4,296;0;0
2015-10-13;4,30;4,30;4,30;4,30;0;0
2015-10-12;4,30;4,30;4,30;4,30;0;0
2015-10-09;4,30;4,30;4,30;4,30;0;0
2015-10-08;4,30;4,30;4,30;4,30;0;0
2015-10-07;4,292;4,292;4,292;4,292;0;0
2015-10-06;4,204;4,204;4,204;4,204;0;0
2015-10-05;3,572;3,572;3,572;3,572;0;0
2015-10-02;3,572;3,572;3,572;3,572;0;0
2015-10-01;3,572;3,572;3,572;3,572;0;0
2015-09-30;3,572;3,572;3,572;3,572;0;0
2015-09-29;3,572;3,572;3,572;3,572;0;0
2015-09-28;3,572;3,572;3,572;3,572;0;0
2015-09-25;3,572;3,572;3,572;3,572;0;0
2015-09-24;3,56;3,56;3,56;3,56;0;0
2015-09-23;3,566;3,566;3,566;3,566;0;0
2015-09-22;3,566;3,566;3,566;3,566;0;0
2015-09-21;3,566;3,566;3,566;3,566;0;0
2015-09-18;3,566;3,566;3,566;3,566;0;0
2015-09-17;3,566;3,566;3,566;3,566;0;0
2015-09-16;3,566;3,566;3,566;3,566;0;0
2015-09-15;3,566;3,566;3,566;3,566;0;0
2015-09-14;3,566;3,566;3,566;3,566;0;0
2015-09-11;3,566;3,566;3,566;3,566;0;0
2015-09-10;3,566;3,566;3,566;3,566;0;0
2015-09-09;3,566;3,566;3,566;3,566;0;0
2015-09-08;3,566;3,566;3,566;3,566;0;0
2015-09-07;3,566;3,566;3,566;3,566;0;0
2015-09-04;3,566;3,566;3,566;3,566;0;0
2015-09-03;3,566;3,566;3,566;3,566;0;0
2015-09-02;3,566;3,566;3,566;3,566;0;0
2015-09-01;3,566;3,566;3,566;3,566;0;0
2015-08-31;3,566;3,566;3,566;3,566;0;0
2015-08-28;3,448;3,448;3,448;3,448;0;0
2015-08-27;3,448;3,448;3,448;3,448;0;0
2015-08-26;3,448;3,448;3,448;3,448;0;0
2015-08-25;3,521;3,521;3,521;3,521;0;0
2015-08-24;3,482;3,482;3,482;3,482;0;0
2015-08-21;3,482;3,482;3,482;3,482;0;0
2015-08-20;3,585;3,585;3,585;3,585;0;0
2015-08-19;3,585;3,585;3,585;3,585;0;0
2015-08-18;3,585;3,585;3,585;3,585;0;0
2015-08-17;3,585;3,585;3,585;3,585;0;0
2015-08-14;3,585;3,585;3,585;3,585;0;0
2015-08-13;3,585;3,585;3,585;3,585;0;0
2015-08-12;3,585;3,585;3,585;3,585;0;0
2015-08-11;3,585;3,585;3,585;3,585;0;0
2015-08-10;3,585;3,585;3,585;3,585;0;0
2015-08-07;3,585;3,585;3,585;3,585;0;0
2015-08-06;3,585;3,585;3,585;3,585;0;0
2015-08-05;3,585;3,585;3,585;3,585;0;0
2015-08-04;3,584;3,584;3,584;3,584;0;0
2015-08-03;3,57;3,57;3,57;3,57;0;0
2015-07-31;3,57;3,57;3,57;3,57;0;0
2015-07-30;3,561;3,561;3,561;3,561;0;0
2015-07-29;3,561;3,561;3,561;3,561;0;0
2015-07-28;3,557;3,557;3,557;3,557;0;0
2015-07-27;3,55;3,55;3,55;3,55;0;0
2015-07-24;3,55;3,55;3,55;3,55;0;0
2015-07-23;3,55;3,55;3,55;3,55;0;0
2015-07-22;3,463;3,463;3,463;3,463;0;0
2015-07-21;3,467;3,467;3,467;3,467;0;0
2015-07-20;3,476;3,476;3,476;3,476;0;0
2015-07-17;3,467;3,467;3,467;3,467;0;0
2015-07-16;3,477;3,477;3,477;3,477;0;0
2015-07-15;3,467;3,467;3,467;3,467;0;0
2015-07-14;3,471;3,471;3,471;3,471;0;0
2015-07-13;3,462;3,462;3,462;3,462;0;0
2015-07-10;3,503;3,503;3,503;3,503;0;0
2015-07-09;3,468;3,468;3,468;3,468;0;0
2015-07-08;3,44;3,44;3,44;3,44;0;0
2015-07-07;3,421;3,421;3,421;3,421;0;0
2015-07-06;3,438;3,438;3,438;3,438;0;0
2015-07-03;3,553;3,553;3,553;3,553;0;0
2015-07-02;3,553;3,553;3,553;3,553;0;0
2015-07-01;3,553;3,553;3,553;3,553;0;0
2015-06-30;3,553;3,553;3,553;3,553;0;0
2015-06-29;3,553;3,553;3,553;3,553;0;0
2015-06-26;3,595;3,595;3,595;3,595;0;0
2015-06-25;3,595;3,595;3,595;3,595;0;0
2015-06-24;3,595;3,595;3,595;3,595;0;0
2015-06-23;3,595;3,595;3,595;3,595;0;0
2015-06-22;3,595;3,595;3,595;3,595;0;0
2015-06-19;3,595;3,595;3,595;3,595;0;0
2015-06-18;3,595;3,595;3,595;3,595;0;0
2015-06-17;3,595;3,595;3,595;3,595;0;0
2015-06-16;3,594;3,594;3,594;3,594;0;0
2015-06-15;3,594;3,594;3,594;3,594;0;0
2015-06-12;3,574;3,574;3,574;3,574;0;0
2015-06-11;3,574;3,574;3,574;3,574;0;0
2015-06-10;3,574;3,574;3,574;3,574;0;0
2015-06-09;3,574;3,574;3,574;3,574;0;0
2015-06-08;3,574;3,574;3,574;3,574;0;0
2015-06-05;3,574;3,574;3,574;3,574;0;0
2015-06-04;3,574;3,574;3,574;3,574;0;0
2015-06-03;3,575;3,575;3,575;3,575;0;0
2015-06-02;3,575;3,575;3,575;3,575;0;0
2015-06-01;3,575;3,575;3,575;3,575;0;0
2015-05-29;3,575;3,575;3,575;3,575;0;0
2015-05-28;3,575;3,575;3,575;3,575;0;0
2015-05-27;3,575;3,575;3,575;3,575;0;0
2015-05-26;3,53;3,53;3,53;3,53;0;0
2015-05-22;3,53;3,53;3,53;3,53;0;0
2015-05-21;3,53;3,53;3,53;3,53;0;0
2015-05-20;3,53;3,53;3,53;3,53;0;0
2015-05-19;3,50;3,50;3,50;3,50;0;0
2015-05-18;3,50;3,50;3,50;3,50;0;0
2015-05-15;3,609;3,609;3,50;3,50;39;137
2015-05-14;3,609;3,609;3,609;3,609;0;0
2015-05-13;3,609;3,609;3,609;3,609;0;0
2015-05-12;3,609;3,609;3,609;3,609;0;0
2015-05-11;3,609;3,609;3,609;3,609;0;0
2015-05-08;3,609;3,609;3,609;3,609;0;0
2015-05-07;3,609;3,609;3,609;3,609;0;0
2015-05-06;3,596;3,596;3,596;3,596;0;0
2015-05-05;3,596;3,596;3,596;3,596;0;0
2015-05-04;3,596;3,596;3,596;3,596;0;0
2015-04-30;3,596;3,596;3,596;3,596;0;0
2015-04-29;3,596;3,596;3,596;3,596;0;0
2015-04-28;3,596;3,596;3,596;3,596;0;0
2015-04-27;3,596;3,596;3,596;3,596;0;0
2015-04-24;3,596;3,596;3,596;3,596;0;0
2015-04-23;3,596;3,596;3,596;3,596;0;0
2015-04-22;3,596;3,596;3,596;3,596;0;0
2015-04-21;3,488;3,488;3,488;3,488;0;0
2015-04-20;3,523;3,523;3,44;3,44;70;241
2015-04-17;3,523;3,523;3,523;3,523;0;0
2015-04-16;3,523;3,523;3,523;3,523;0;0
2015-04-15;3,523;3,523;3,523;3,523;0;0
2015-04-14;3,523;3,523;3,523;3,523;0;0
2015-04-13;3,523;3,523;3,523;3,523;0;0
2015-04-10;3,523;3,523;3,523;3,523;0;0
2015-04-09;3,523;3,523;3,523;3,523;0;0
2015-04-08;3,523;3,523;3,523;3,523;0;0
2015-04-07;3,523;3,523;3,523;3,523;0;0
2015-04-02;3,523;3,523;3,523;3,523;0;0
2015-04-01;3,523;3,523;3,523;3,523;0;0
2015-03-31;3,523;3,523;3,523;3,523;0;0
2015-03-30;3,523;3,523;3,523;3,523;0;0
2015-03-27;3,52;3,52;3,52;3,52;0;0
2015-03-26;3,52;3,52;3,52;3,52;0;0
2015-03-25;3,52;3,52;3,52;3,52;0;0
2015-03-24;3,52;3,52;3,52;3,52;0;0
2015-03-23;3,495;3,495;3,495;3,495;0;0
2015-03-20;3,495;3,495;3,495;3,495;0;0
2015-03-19;3,66319;3,66319;3,66319;3,66319;0;0
2015-03-18;3,66319;3,66319;3,66319;3,66319;0;0
2015-03-17;3,66319;3,66319;3,66319;3,66319;0;0
2015-03-16;3,66319;3,66319;3,66319;3,66319;0;0
2015-03-13;3,65444;3,65444;3,65444;3,65444;0;0
2015-03-12;3,65444;3,65444;3,65444;3,65444;0;0
2015-03-11;3,65444;3,65444;3,65444;3,65444;0;0
2015-03-10;3,65444;3,65444;3,65444;3,65444;0;0
2015-03-09;3,65444;3,65444;3,65444;3,65444;0;0
2015-03-06;3,68166;3,68166;3,68166;3,68166;0;0
2015-03-05;3,68166;3,68166;3,68166;3,68166;0;0
2015-03-04;3,69041;3,69041;3,69041;3,69041;0;0
2015-03-03;3,71957;3,71957;3,71957;3,71957;0;0
2015-03-02;3,71957;3,71957;3,71957;3,71957;0;0
2015-02-27;3,73805;3,73805;3,73805;3,73805;0;0
2015-02-26;3,73805;3,73805;3,73805;3,73805;0;0
2015-02-25;3,73805;3,73805;3,73805;3,73805;0;0
2015-02-24;3,73707;3,73707;3,73707;3,73707;0;0
2015-02-23;3,73707;3,73707;3,73707;3,73707;0;
2015-02-20;3,60097;3,60097;3,60097;3,60097;0;0
2015-02-19;3,60097;3,60097;3,60097;3,60097;0;
2015-02-18;3,60097;3,60097;3,60097;3,60097;0;0
2015-02-17;3,60097;3,60097;3,60097;3,60097;0;0
2015-02-16;3,60097;3,60097;3,60097;3,60097;0;0
2015-02-13;3,60097;3,60097;3,60097;3,60097;0;0
2015-02-12;3,50569;3,50569;3,50569;3,50569;0;0
2015-02-11;3,50569;3,50569;3,50569;3,50569;0;0
2015-02-10;3,50569;3,50569;3,50569;3,50569;0;0
2015-02-09;3,495;3,495;3,495;3,495;0;0
2015-02-06;3,42306;3,42306;3,42306;3,42306;0;0
2015-02-05;3,42306;3,42306;3,42306;3,42306;0;0
2015-02-04;3,42306;3,42306;3,42306;3,42306;0;0
2015-02-03;3,42306;3,42306;3,42306;3,42306;0;0
2015-02-02;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-30;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-29;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-28;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-27;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-26;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-23;3,42306;3,42306;3,42306;3,42306;0;0
2015-01-22;3,3307;3,3307;3,3307;3,3307;0;0
2015-01-21;3,3307;3,3307;3,3307;3,3307;0;0
2015-01-20;3,3307;3,3307;3,3307;3,3307;0;0
2015-01-19;3,3307;3,3307;3,3307;3,3307;0;0
2015-01-16;3,3307;3,3307;3,3307;3,3307;0;0
2015-01-15;3,3307;3,3307;3,3307;3,3307;0;0
