Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;23                                     ,10;23 ,14;22 ,825;22,825;116.397;2.671.895
2019-05-02;22                                     ,80;23 ,06;22 ,56;23 ,02;166.535;3.813.947
2019-04-30;22                                     ,80;22 ,98;22 ,80;22 ,85;108.852;2.491.152
2019-04-29;22                                     ,88;23 ,045;22,835;22,88;124.131;2.848.116
2019-04-26;23                                     ,26;23 ,35;22 ,775;22,925;140.133;3.225.061
2019-04-25;23                                     ,055;23,45;23 ,01;23 ,28;166.834;3.874.959
2019-04-24;22                                     ,90;23 ,18;22 ,90;23 ,095;117.495;2.715.117
2019-04-23;22                                     ,95;23 ,095;22,90;23 ,03;148.037;3.403.528
2019-04-18;22                                     ,88;23 ,145;22,88;23 ,005;152.369;3.510.928
2019-04-17;22                                     ,96;23 ,135;22,70;23 ,105;174.734;4.013.779
2019-04-16;22                                     ,88;23 ,09;22 ,88;23 ,005;133.572;3.073.549
2019-04-15;22                                     ,72;23 ,055;22,705;22,935;137.808;3.163.109
2019-04-12;22                                     ,89;22 ,975;22,70;22 ,92;168.369;3.852.285
2019-04-11;22                                     ,00;22 ,995;22,00;22 ,815;276.216;6.254.908
2019-04-10;21                                     ,86;21 ,895;21,62;21 ,86;101.780;2.217.097
2019-04-09;21                                     ,66;21 ,865;21,66;21 ,71;142.722;3.105.858
2019-04-08;21                                     ,955;22,035;21,66;21 ,66;130.634;2.849.369
2019-04-05;21                                     ,80;22 ,12;21 ,80;21 ,97;114.979;2.528.525
2019-04-04;21                                     ,84;21 ,995;21,80;21 ,84;138.173;3.022.979
2019-04-03;22                                     ,30;22 ,345;21,91;21 ,97;129.437;2.860.095
2019-04-02;22                                     ,25;22 ,49;22 ,19;22 ,30;105.928;2.364.369
2019-04-01;22                                     ,06;22 ,40;22 ,06;22 ,32;90.176;2.010.971
2019-03-29;22                                     ,16;22 ,30;21 ,96;22 ,14;104.123;2.303.920
2019-03-28;22                                     ,10;22 ,24;21 ,94;22 ,00;102.080;2.256.192
2019-03-27;22                                     ,12;22 ,30;22 ,08;22 ,12;82.834;1.835.402
2019-03-26;22                                     ,02;22 ,34;22 ,02;22 ,22;52.516;1.166.813
2019-03-25;22                                     ,10;22 ,16;22 ,00;22 ,06;62.427;1.377.294
2019-03-22;22                                     ,30;22 ,60;22 ,16;22 ,18;80.960;1.770.563
2019-03-21;22                                     ,40;22 ,46;22 ,30;22 ,40;55.099;1.216.913
2019-03-20;22                                     ,26;22 ,54;22 ,16;22 ,50;129.548;2.900.008
2019-03-19;22                                     ,14;22 ,30;22 ,14;22 ,20;125.364;2.788.687
2019-03-18;21                                     ,90;22 ,24;21 ,90;22 ,16;97.598;2.162.379
2019-03-15;22                                     ,02;22 ,22;21 ,74;22 ,00;699.577;15.375.018
2019-03-14;21                                     ,96;22 ,16;21 ,96;22 ,14;108.302;2.393.252
2019-03-13;22                                     ,00;22 ,18;21 ,92;22 ,04;88.362;1.947.437
2019-03-12;22                                     ,00;22 ,14;21 ,96;22 ,04;120.068;2.645.131
2019-03-11;22                                     ,18;22 ,18;21 ,90;21 ,96;144.514;3.162.433
2019-03-08;21                                     ,90;22 ,26;21 ,90;22 ,24;127.559;2.829.614
2019-03-07;21                                     ,94;22 ,18;21 ,94;22 ,16;75.774;1.675.024
2019-03-06;22                                     ,00;22 ,12;21 ,50;22 ,06;96.802;2.131.838
2019-03-05;21                                     ,90;22 ,12;21 ,90;22 ,12;112.759;2.481.355
2019-03-04;21                                     ,90;22 ,06;21 ,90;21 ,94;92.700;2.036.768
2019-03-01;21                                     ,90;22 ,00;21 ,80;21 ,80;168.135;3.676.368
2019-02-28;22                                     ,20;22 ,24;21 ,82;21 ,82;254.072;5.592.621
2019-02-27;22                                     ,32;22 ,42;22 ,22;22 ,32;100.593;2.219.956
2019-02-26;22                                     ,30;22 ,50;22 ,30;22 ,40;61.003;1.367.114
2019-02-25;22                                     ,60;22 ,62;22 ,44;22 ,48;95.569;2.151.495
2019-02-22;22                                     ,48;22 ,74;22 ,48;22 ,70;80.497;1.824.504
2019-02-21;22                                     ,80;23 ,08;22 ,56;22 ,56;207.798;4.742.375
2019-02-20;22                                     ,32;22 ,76;22 ,32;22 ,64;116.196;2.628.861
2019-02-19;22                                     ,30;22 ,52;22 ,30;22 ,44;62.190;1.394.065
2019-02-18;22                                     ,36;22 ,56;22 ,36;22 ,44;87.119;1.955.490
2019-02-15;22                                     ,32;22 ,66;22 ,32;22 ,56;108.613;2.450.205
2019-02-14;22                                     ,50;22 ,74;22 ,44;22 ,44;112.773;2.515.500
2019-02-13;22                                     ,62;22 ,86;22 ,62;22 ,68;106.493;2.419.285
2019-02-12;22                                     ,60;22 ,82;22 ,60;22 ,80;146.504;3.329.157
2019-02-11;22                                     ,70;22 ,82;22 ,52;22 ,70;272.218;6.179.761
2019-02-08;22                                     ,80;23 ,02;22 ,74;22 ,78;172.590;3.943.087
2019-02-07;23                                     ,00;23 ,16;22 ,92;23 ,00;150.449;6.174.011
2019-02-06;23                                     ,00;23 ,18;22 ,80;23 ,18;176.995;4.080.735
2019-02-05;22                                     ,86;23 ,08;22 ,76;22 ,88;156.982;3.600.797
2019-02-04;22                                     ,90;23 ,18;22 ,90;23 ,18;108.248;11.264.247
2019-02-01;23                                     ,00;23 ,08;22 ,96;23 ,00;95.634;12.884.363
2019-01-31;23                                     ,00;23 ,16;22 ,86;23 ,10;222.859;25.678.562
2019-01-30;22                                     ,70;23 ,14;22 ,64;23 ,08;192.781;13.031.381
2019-01-29;22                                     ,68;22 ,88;22 ,68;22 ,76;154.241;12.901.928
2019-01-28;22                                     ,50;22 ,72;22 ,50;22 ,64;144.022;10.808.074
2019-01-25;22                                     ,68;22 ,80;22 ,58;22 ,66;147.711;7.455.780
2019-01-24;22                                     ,68;22 ,90;22 ,56;22 ,66;154.037;11.515.097
2019-01-23;22                                     ,40;22 ,70;22 ,40;22 ,68;132.392;10.467.641
2019-01-22;22                                     ,46;22 ,64;22 ,44;22 ,58;133.405;10.129.140
2019-01-21;22                                     ,30;22 ,68;22 ,30;22 ,44;131.110;18.774.268
2019-01-18;22                                     ,32;22 ,66;22 ,32;22 ,52;240.531;27.046.460
2019-01-17;22                                     ,20;22 ,42;22 ,20;22 ,30;239.247;40.349.265
2019-01-16;22                                     ,34;22 ,40;22 ,22;22 ,30;94.137;7.758.578
2019-01-15;22                                     ,30;22 ,40;22 ,18;22 ,20;146.619;19.465.145
2019-01-14;22                                     ,14;22 ,38;22 ,14;22 ,32;127.149;18.980.720
2019-01-11;22                                     ,16;22 ,44;22 ,16;22 ,38;131.434;9.058.107
2019-01-10;22                                     ,48;22 ,66;22 ,24;22 ,24;167.004;13.263.649
2019-01-09;22                                     ,10;22 ,76;22 ,10;22 ,40;399.361;76.488.553
2019-01-08;21                                     ,20;22 ,24;21 ,20;22 ,08;481.773;49.165.725
2019-01-07;21                                     ,14;21 ,30;21 ,12;21 ,30;266.494;50.008.307
2019-01-04;20                                     ,92;21 ,28;20 ,92;21 ,08;234.514;50.255.387
2019-01-03;20                                     ,90;21 ,18;20 ,90;21 ,16;110.629;16.799.798
2019-01-02;20                                     ,68;21 ,22;20 ,68;21 ,12;192.647;49.308.546





