Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2007-04-16;0                                      ,15;0    ,15;0 ,15;0 ,15;0;0
2007-04-13;0                                      ,19;0    ,19;0 ,15;0 ,15;1.100;165
2007-04-12;0                                      ,19;0    ,19;0 ,19;0 ,19;0;0
2007-04-11;0                                      ,175;0   ,188;0,175;0,19;11.230;2.134
2007-04-10;0                                      ,161;0   ,161;0,161;0,161;0;0
2007-04-05;0                                      ,161;0   ,161;0,161;0,161;1.000;161
2007-04-04;0                                      ,161;0   ,161;0,161;0,161;0;0
2007-04-03;0                                      ,33;0    ,33;0 ,105;0,161;67.209;10.821
2007-04-02;0                                      ,33;0    ,33;0 ,33;0 ,33;0;0
2007-03-30;0                                      ,33;0    ,33;0 ,33;0 ,33;0;0
2007-03-29;0                                      ,33;0    ,33;0 ,33;0 ,33;1.900;627
2007-03-28;0                                      ,29;0    ,29;0 ,29;0 ,29;0;0
2007-03-27;0                                      ,29;0    ,29;0 ,29;0 ,29;0;0
2007-03-26;0                                      ,31;0    ,31;0 ,30;0 ,30;1.350;405
2007-03-23;0                                      ,25;0    ,31;0 ,25;0 ,31;3.200;992
2007-03-22;0                                      ,25;0    ,25;0 ,25;0 ,25;0;0
2007-03-21;0                                      ,23;0    ,24;0 ,23;0 ,24;11.005;2.641
2007-03-20;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-19;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-16;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-15;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-14;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-13;0                                      ,23;0    ,23;0 ,23;0 ,23;0;0
2007-03-12;0                                      ,35;0    ,35;0 ,23;0 ,23;16.822;3.869
2007-03-09;0                                      ,38;0    ,38;0 ,38;0 ,38;0;0
2007-03-08;0                                      ,40;0    ,40;0 ,40;0 ,40;0;0
2007-03-07;0                                      ,45;0    ,45;0 ,45;0 ,45;0;0
2007-03-06;0                                      ,52;0    ,52;0 ,52;0 ,52;3.250;1.690
2007-03-05;0                                      ,99;0    ,99;0 ,60;0 ,60;28.789;17.273
2007-03-02;0                                      ,72;1    ,00;0 ,72;0 ,95;6.653;6.320
2007-03-01;0                                      ,52;0    ,64;0 ,52;0 ,64;15.015;9.610
2007-02-28;0                                      ,36;0    ,48;0 ,36;0 ,48;300;144
2007-02-27;0                                      ,40;0    ,40;0 ,40;0 ,40;600;240
