Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;70                                     ,25;70  ,55;69  ,85;70  ,40;82.628;5.817.011
2019-05-02;70                                     ,80;70  ,80;69  ,80;69  ,80;59.572;4.158.126
2019-04-30;70                                     ,85;71  ,40;70  ,15;70  ,30;101.122;7.108.877
2019-04-29;70                                     ,50;71  ,05;70  ,50;70  ,75;47.513;3.361.545
2019-04-26;69                                     ,85;71  ,35;69  ,70;70  ,30;112.373;7.899.822
2019-04-25;69                                     ,55;69  ,75;68  ,90;68  ,95;42.750;2.947.613
2019-04-24;69                                     ,55;70  ,50;69  ,15;69  ,30;75.637;5.241.644
2019-04-23;68                                     ,05;69  ,50;68  ,05;69  ,50;71.326;4.957.157
2019-04-18;68                                     ,35;69  ,15;67  ,85;68  ,10;88.827;6.049.119
2019-04-17;70                                     ,10;70  ,30;68  ,05;68  ,70;135.836;9.331.933
2019-04-16;70                                     ,25;70  ,75;70  ,25;70  ,35;49.073;3.452.286
2019-04-15;70                                     ,95;71  ,10;70  ,35;70  ,35;52.725;3.709.204
2019-04-12;70                                     ,75;71  ,15;70  ,30;70  ,95;77.021;5.464.640
2019-04-11;72                                     ,45;72  ,75;71  ,05;71  ,15;113.096;8.046.780
2019-04-10;71                                     ,90;72  ,80;71  ,20;72  ,65;98.973;7.190.388
2019-04-09;72                                     ,15;72  ,75;72  ,00;72  ,10;149.262;10.761.790
2019-04-08;72                                     ,10;72  ,40;71  ,80;72  ,40;78.169;5.659.436
2019-04-05;72                                     ,00;72  ,40;71  ,75;72  ,20;56.733;4.096.123
2019-04-04;70                                     ,45;71  ,85;70  ,45;71  ,85;90.327;6.489.995
2019-04-03;70                                     ,05;70  ,65;69  ,40;70  ,65;78.124;5.519.461
2019-04-02;69                                     ,85;70  ,30;69  ,40;70  ,05;76.114;5.331.786
2019-04-01;69                                     ,70;70  ,35;69  ,70;70  ,15;78.428;5.501.724
2019-03-29;68                                     ,20;69  ,65;67  ,95;69  ,40;96.167;6.673.990
2019-03-28;67                                     ,65;68  ,55;67  ,45;67  ,75;53.162;3.601.726
2019-03-27;69                                     ,15;69  ,30;67  ,60;67  ,65;109.496;7.407.404
2019-03-26;68                                     ,00;68  ,75;67  ,95;68  ,55;49.596;3.399.806
2019-03-25;67                                     ,35;68  ,10;66  ,70;67  ,75;86.685;5.872.909
2019-03-22;69                                     ,6114;69,996;67 ,7365;67,8808;121.990;8.280.745
2019-03-21;69                                     ,948;69 ,948;66 ,9674;69,4672;117.431;8.157.603
2019-03-20;69                                     ,996;70 ,2364;69,3711;69,996;54.718;3.830.008
2019-03-19;70                                     ,3806;70,8133;70,0922;70,3806;54.180;3.813.208
2019-03-18;70                                     ,4287;70,621;69 ,7076;70,0922;77.861;5.457.440
2019-03-15;70                                     ,2845;70,3806;69,5153;70,2364;117.693;8.266.338
2019-03-14;69                                     ,8037;70,5248;69,7076;70,0441;116.218;8.140.405
2019-03-13;68                                     ,7461;69,7557;68,5538;69,7557;117.888;8.223.325
2019-03-12;68                                     ,8903;69,1307;68,2654;68,7942;114.469;7.874.793
2019-03-11;66                                     ,2943;68,4096;66,1501;68,2173;88.842;6.060.549
2019-03-08;65                                     ,6693;66,1982;65,2848;66,1501;118.517;7.839.898
2019-03-07;66                                     ,6789;66,6789;65,5251;65,9578;85.605;5.646.329
2019-03-06;67                                     ,2077;67,6404;66,3424;66,9193;85.420;5.716.248
2019-03-05;67                                     ,9769;68,1692;66,9193;67,3039;78.963;5.314.540
2019-03-04;68                                     ,4577;69,0345;68,025;68 ,1211;111.756;7.612.974
2019-03-01;67                                     ,4962;68,2654;67,4962;68,2654;94.612;6.458.728
