Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1                                      ,053;1 ,075;1 ,0402;1,0402;32.650;35.039
2019-05-02;1                                      ,07;1  ,08;1  ,07;1  ,08;26.850;28.773
2019-04-30;1                                      ,05;1  ,08;1  ,05;1  ,08;3.195;3.358
2019-04-29;1                                      ,0632;1,0632;1,0632;1,0632;2.500;2.658
2019-04-26;1                                      ,042;1 ,08;1  ,042;1 ,07;12.100;12.876
2019-04-25;1                                      ,05;1  ,06;1  ,05;1  ,051;76.800;80.898
2019-04-24;1                                      ,05;1  ,068;1 ,05;1  ,068;13.150;13.960
2019-04-23;1                                      ,07;1  ,071;1 ,05;1  ,05;46.500;49.654
2019-04-18;1                                      ,06;1  ,078;1 ,06;1  ,078;49.700;53.062
2019-04-17;1                                      ,054;1 ,0706;1,054;1 ,0698;20.600;21.792
2019-04-16;1                                      ,0548;1,0604;1,0368;1,0368;33.400;35.105
2019-04-15;1                                      ,054;1 ,06;1  ,049;1 ,06;13.230;13.928
2019-04-12;1                                      ,03;1  ,03;1  ,03;1  ,03;6.200;6.386
2019-04-11;1                                      ,03;1  ,03;1  ,0202;1,03;11.050;11.353
2019-04-10;1                                      ,0302;1,04;1  ,03;1  ,03;28.200;29.296
2019-04-09;1                                      ,0386;1,0398;1,0196;1,0196;5.500;5.686
2019-04-08;1                                      ,03;1  ,03;1  ,01;1  ,03;24.800;25.373
2019-04-05;1                                      ,00;1  ,02;1  ,00;1  ,01;31.000;31.415
2019-04-04;1                                      ,03;1  ,03;0  ,991;1 ,02;17.178;17.446
2019-04-03;1                                      ,01;1  ,02;1  ,01;1  ,02;6.650;6.737
2019-04-02;1                                      ,02;1  ,02;1  ,00;1  ,00;1.200;1.204
2019-04-01;1                                      ,03;1  ,05;1  ,01;1  ,02;21.599;22.181
2019-03-29;1                                      ,02;1  ,02;1  ,02;1  ,02;11.338;11.565
2019-03-28;1                                      ,03;1  ,04;1  ,02;1  ,02;23.300;23.998
2019-03-27;1                                      ,03;1  ,03;1  ,03;1  ,03;3.000;3.090
2019-03-26;1                                      ,01;1  ,03;0  ,99;0  ,99;13.206;13.450
2019-03-25;1                                      ,00;1  ,02;1  ,00;1  ,02;1.285;1.291
2019-03-22;1                                      ,03;1  ,03;1  ,02;1  ,02;2.600;2.677
2019-03-21;1                                      ,03;1  ,04;1  ,03;1  ,04;12.375;12.820
2019-03-20;1                                      ,01;1  ,03;1  ,01;1  ,03;4.053;4.155
2019-03-18;1                                      ,02;1  ,02;1  ,02;1  ,02;200;204
2019-03-15;1                                      ,00;1  ,01;0  ,99;1  ,01;30.487;30.554
2019-03-14;1                                      ,00;1  ,01;0  ,986;0 ,986;9.933;9.908
2019-03-13;0                                      ,984;0 ,988;0 ,981;0 ,988;13.120;12.884
2019-03-12;1                                      ,01;1  ,01;1  ,00;1  ,00;1.250;1.253
2019-03-11;1                                      ,00;1  ,00;1  ,00;1  ,00;490;490
2019-03-08;0                                      ,985;1 ,01;0  ,983;1 ,01;19.918;19.821
2019-03-07;1                                      ,01;1  ,01;1  ,00;1  ,00;12.000;12.095
2019-03-06;1                                      ,03;1  ,03;1  ,01;1  ,01;34.100;34.941
2019-03-05;1                                      ,03;1  ,06;1  ,03;1  ,04;36.156;37.670
2019-03-04;1                                      ,03;1  ,05;1  ,03;1  ,03;19.500;20.295
