Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;37,00;37,20;35,30;36,00;9.964;360.127
2019-05-02;36,60;37,90;36,60;37,00;10.207;379.038
2019-04-30;35,00;36,30;35,00;35,90;5.060;180.668
2019-04-29;35,00;36,00;34,20;34,20;10.998;386.894
2019-04-26;34,00;34,70;34,00;34,40;3.304;113.429
2019-04-25;34,60;34,60;33,20;34,00;9.498;322.217
2019-04-24;34,30;34,70;33,90;34,70;4.929;169.709
2019-04-23;34,50;34,60;33,70;34,30;6.348;217.527
2019-04-18;32,90;34,20;32,30;34,20;5.590;187.731
2019-04-17;33,70;33,80;32,40;33,20;3.855;128.415
2019-04-16;32,60;33,90;32,60;33,50;6.469;215.585
2019-04-15;32,20;32,90;32,20;32,20;2.325;75.434
2019-04-12;32,00;33,20;31,60;32,30;11.800;383.411
2019-04-11;31,00;31,90;31,00;31,90;4.222;132.721
2019-04-10;30,80;31,30;30,60;31,10;4.085;126.836
2019-04-09;31,00;31,30;30,80;30,80;6.371;198.244
2019-04-08;31,20;31,20;30,50;31,00;2.708;83.637
2019-04-05;30,90;31,20;30,30;31,20;4.375;134.975
2019-04-04;30,90;31,00;29,90;30,90;3.782;115.573
2019-04-03;30,20;30,90;30,20;30,90;4.077;125.263
2019-04-02;30,30;30,80;29,60;30,20;5.869;177.807
2019-04-01;29,60;30,40;29,60;30,00;3.624;109.531
2019-03-29;29,50;29,70;29,20;29,20;2.683;79.022
2019-03-28;29,80;29,90;29,00;29,20;3.848;113.613
2019-03-27;29,80;30,00;29,50;29,50;2.828;84.042
2019-03-26;30,30;30,30;29,50;29,70;3.286;98.467
2019-03-25;28,30;30,50;28,30;29,70;8.749;258.522
2019-03-22;28,80;29,60;28,10;28,30;3.290;95.075
2019-03-21;29,10;29,30;28,30;28,40;4.037;116.502
2019-03-20;30,10;30,70;28,60;28,90;7.317;216.214
2019-03-19;28,90;30,40;28,50;29,80;9.196;268.292
2019-03-18;28,60;29,00;28,40;28,60;5.894;169.253
2019-03-15;28,40;28,50;28,00;28,10;2.404;67.904
2019-03-14;28,80;28,80;28,40;28,70;3.154;90.177
2019-03-13;28,50;28,90;28,30;28,60;3.277;93.594
2019-03-12;28,50;28,90;28,40;28,50;3.042;87.027
2019-03-11;27,60;28,70;27,60;28,50;8.355;235.512
2019-03-08;27,50;27,50;27,10;27,20;2.025;55.329
2019-03-07;27,80;27,80;27,50;27,50;698;19.310
2019-03-06;28,00;28,00;27,10;27,70;3.483;95.716
2019-03-05;28,00;28,40;27,50;27,70;1.846;51.976
2019-03-04;27,80;28,70;27,50;28,20;4.677;132.443
2019-03-01;27,50;28,00;27,40;27,40;2.356;65.201
2019-02-28;27,80;27,80;27,10;27,10;825;22.680
2019-02-27;27,90;28,30;27,60;27,60;2.458;68.942
2019-02-26;28,60;28,60;28,00;28,20;1.485;42.075
2019-02-25;28,90;29,00;28,30;28,30;4.033;116.011
2019-02-22;28,10;28,10;27,60;27,70;2.095;58.607
2019-02-21;28,60;28,60;27,80;28,10;3.996;112.679
2019-02-20;28,50;28,50;27,70;28,20;1.267;35.761
2019-02-19;27,80;28,90;27,30;28,50;5.460;153.948
2019-02-18;27,10;28,40;27,10;28,10;4.786;134.240
2019-02-15;25,70;28,00;25,70;27,00;12.414;331.324
2019-02-14;26,00;26,00;25,00;25,30;3.737;95.289
2019-02-13;26,70;26,80;25,50;25,70;1.527;40.432
2019-02-12;26,30;27,00;26,00;26,40;3.163;84.060
2019-02-11;25,30;26,40;25,30;26,00;3.311;86.224
2019-02-08;26,70;26,70;25,00;25,20;2.328;60.297
2019-02-07;27,60;27,60;26,80;26,90;863;23.436
2019-02-06;27,50;27,80;26,90;27,60;2.206;60.432
