Datum;Erster;Hoch;Tief;Schlusskurs;Vol. (nom.);Volumen
2019-05-03;58,90;58,90;58,90;58,90;0;0
2019-05-02;58,90;58,90;58,90;58,90;0;0
2019-04-30;58,90;58,90;58,90;58,90;0;0
2019-04-29;58,90;58,90;58,90;58,90;0;0
2019-04-26;58,90;58,90;58,90;58,90;0;0
2019-04-25;58,90;58,90;58,90;58,90;0;0
2019-04-24;58,90;58,90;58,90;58,90;0;0
2019-04-23;58,90;58,90;58,90;58,90;0;0
2019-04-18;58,90;58,90;58,90;58,90;0;0
2019-04-17;58,90;58,90;58,90;58,90;0;0
2019-04-16;58,90;58,90;58,90;58,90;0;0
2019-04-15;58,90;58,90;58,90;58,90;0;0
2019-04-12;58,00;58,00;58,00;58,00;0;0
2019-04-11;58,00;58,00;58,00;58,00;0;0
2019-04-10;58,00;58,00;58,00;58,00;0;0
2019-04-09;58,00;58,00;58,00;58,00;0;0
2019-04-08;58,00;58,00;58,00;58,00;0;0
2019-04-05;58,00;58,00;58,00;58,00;0;0
2019-04-04;58,00;58,00;58,00;58,00;0;0
2019-04-03;58,00;58,00;58,00;58,00;0;0
2019-04-02;58,00;58,00;58,00;58,00;0;0
2019-04-01;58,00;58,00;58,00;58,00;0;0
2019-03-29;58,00;58,00;58,00;58,00;0;0
2019-03-28;58,00;58,00;58,00;58,00;0;0
2019-03-27;58,00;58,00;58,00;58,00;0;0
2019-03-26;58,00;58,00;58,00;58,00;0;0
2019-03-25;58,00;58,00;58,00;58,00;0;0
2019-03-22;58,00;58,00;58,00;58,00;0;0
2019-03-21;58,00;58,00;58,00;58,00;0;0
2019-03-20;58,00;58,00;58,00;58,00;0;0
2019-03-19;58,00;58,00;58,00;58,00;0;0
2019-03-18;58,00;58,00;58,00;58,00;0;0
2019-03-15;58,00;58,00;58,00;58,00;0;0
2019-03-14;58,00;58,00;58,00;58,00;0;0
2019-03-13;58,00;58,00;58,00;58,00;0;0
2019-03-12;58,00;58,00;58,00;58,00;0;0
2019-03-11;58,00;58,00;58,00;58,00;0;0
2019-03-08;57,27;58,00;57,27;58,00;0;0
2019-03-07;57,27;58,00;57,27;58,00;0;0
2019-03-06;58,00;58,00;58,00;58,00;0;0
2019-03-05;57,27;58,00;57,27;58,00;0;0
2019-03-04;57,27;57,27;57,27;57,27;0;0
2019-03-01;57,27;58,00;57,27;58,00;0;0
2019-02-28;56,00;58,00;56,00;58,00;0;0
2019-02-27;56,00;60,00;56,00;60,00;0;0
2019-02-26;56,00;60,00;56,00;60,00;0;0
2019-02-25;56,00;56,00;56,00;56,00;0;0
2019-02-22;56,00;56,00;56,00;56,00;0;0
2019-02-21;56,00;56,00;56,00;56,00;0;0
2019-02-20;56,00;56,00;56,00;56,00;0;0
2019-02-19;56,00;56,00;56,00;56,00;0;0
2019-02-18;56,00;56,00;56,00;56,00;0;0
2019-02-15;56,00;56,00;56,00;56,00;0;0
2019-02-14;56,00;56,00;56,00;56,00;0;0
2019-02-13;56,00;56,00;56,00;56,00;0;0
2019-02-12;56,00;56,00;56,00;56,00;0;0
2019-02-11;56,00;56,00;56,00;56,00;0;0
2019-02-08;56,00;56,00;56,00;56,00;0;0
2019-02-07;56,00;56,00;56,00;56,00;0;0
2019-02-06;56,00;56,00;56,00;56,00;0;0
