Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-01-06;101,60;101,60;101,60;101,60;0;0
2015-01-05;101,60;101,60;101,60;101,60;0;0
2015-01-02;101,60;101,60;101,60;101,60;0;0
2014-12-30;101,60;101,60;101,60;101,60;0;0
2014-12-29;101,60;101,60;101,60;101,60;0;0
2014-12-23;101,60;101,60;101,60;101,60;0;0
2014-12-22;101,60;101,60;101,60;101,60;0;0
2014-12-19;101,60;101,60;101,60;101,60;0;0
2014-12-18;101,60;101,60;101,60;101,60;0;0
2014-12-17;101,60;101,60;101,60;101,60;0;0
2014-12-16;101,60;101,60;101,60;101,60;0;0
2014-12-15;101,60;101,60;101,60;101,60;0;0
2014-12-12;101,60;101,60;101,60;101,60;0;0
2014-12-11;101,60;101,60;101,60;101,60;0;0
2014-12-10;101,60;101,60;101,60;101,60;0;0
2014-12-09;101,60;101,60;101,60;101,60;0;0
2014-12-08;101,60;101,60;101,60;101,60;0;0
2014-12-05;101,60;101,60;101,60;101,60;0;0
2014-12-04;101,60;101,60;101,60;101,60;0;0
2014-12-03;101,60;101,60;101,60;101,60;0;0
2014-12-02;101,60;101,60;101,60;101,60;0;0
2014-12-01;101,60;101,60;101,60;101,60;0;0
2014-11-28;101,60;101,60;101,60;101,60;0;0
2014-11-27;101,60;101,60;101,60;101,60;0;0
2014-11-26;101,60;101,60;101,60;101,60;0;0
2014-11-25;101,60;101,60;101,60;101,60;0;0
2014-11-24;101,60;101,60;101,60;101,60;0;0
2014-11-21;101,60;101,60;101,60;101,60;0;0
2014-11-20;101,60;101,60;101,60;101,60;0;0
2014-11-19;101,60;101,60;101,60;101,60;0;0
2014-11-18;101,60;101,60;101,60;101,60;0;0
2014-11-17;101,60;101,60;101,60;101,60;0;0
2014-11-14;101,60;101,60;101,60;101,60;0;0
2014-11-13;101,60;101,60;101,60;101,60;0;0
2014-11-12;101,60;101,60;101,60;101,60;0;0
2014-11-11;101,60;101,60;101,60;101,60;0;0
2014-11-10;101,60;101,60;101,60;101,60;0;0
2014-11-07;101,60;101,60;101,60;101,60;0;0
2014-11-06;101,60;101,60;101,60;101,60;0;0
2014-11-05;101,60;101,60;101,60;101,60;0;0
2014-11-04;101,60;101,60;101,60;101,60;0;0
2014-11-03;101,60;101,60;101,60;101,60;0;0
2014-10-31;101,60;101,60;101,60;101,60;0;0
2014-10-30;101,60;101,60;101,60;101,60;0;0
2014-10-29;101,60;101,60;101,60;101,60;0;0
2014-10-28;101,60;101,60;101,60;101,60;0;0
2014-10-27;101,60;101,60;101,60;101,60;0;0
2014-10-24;101,60;101,60;101,60;101,60;0;0
2014-10-23;101,60;101,60;101,60;101,60;0;0
2014-10-22;101,60;101,60;101,60;101,60;0;0
2014-10-21;101,60;101,60;101,60;101,60;0;0
2014-10-20;101,60;101,60;101,60;101,60;0;0
2014-10-17;101,60;101,60;101,60;101,60;0;0
2014-10-16;101,60;101,60;101,60;101,60;0;0
2014-10-15;101,60;101,60;101,60;101,60;0;0
2014-10-14;101,60;101,60;101,60;101,60;0;0
2014-10-13;101,60;101,60;101,60;101,60;0;0
2014-10-10;101,60;101,60;101,60;101,60;0;0
2014-10-09;101,60;101,60;101,60;101,60;0;0
2014-10-08;101,60;101,60;101,60;101,60;0;0
2014-10-07;101,60;101,60;101,60;101,60;0;0
2014-10-06;101,60;101,60;101,60;101,60;0;0
2014-10-02;101,60;101,60;101,60;101,60;0;0
2014-10-01;101,60;101,60;101,60;101,60;0;0
2014-09-30;101,60;101,60;101,60;101,60;0;0
2014-09-29;101,60;101,60;101,60;101,60;0;0
2014-09-26;101,60;101,60;101,60;101,60;0;0
2014-09-25;101,60;101,60;101,60;101,60;0;0
2014-09-24;101,60;101,60;101,60;101,60;0;0
2014-09-23;101,60;101,60;101,60;101,60;0;0
2014-09-22;101,60;101,60;101,60;101,60;0;0
2014-09-19;101,60;101,60;101,60;101,60;0;0
2014-09-18;101,60;101,60;101,60;101,60;0;0
2014-09-17;101,60;101,60;101,60;101,60;0;0
2014-09-16;101,60;101,60;101,60;101,60;0;0
2014-09-15;101,60;101,60;101,60;101,60;0;0
2014-09-12;101,60;101,60;101,60;101,60;0;0
2014-09-11;101,60;101,60;101,60;101,60;0;0
2014-09-10;101,60;101,60;101,60;101,60;0;0
2014-09-09;101,60;101,60;101,60;101,60;0;0
2014-09-08;101,60;101,60;101,60;101,60;0;0
2014-09-05;101,60;101,60;101,60;101,60;0;0
2014-09-04;101,60;101,60;101,60;101,60;0;0
2014-09-03;101,60;101,60;101,60;101,60;0;0
2014-09-02;101,60;101,60;101,60;101,60;0;0
2014-09-01;101,60;101,60;101,60;101,60;0;0
2014-08-29;101,60;101,60;101,60;101,60;0;0
2014-08-28;101,60;101,60;101,60;101,60;0;0
2014-08-27;101,60;101,60;101,60;101,60;0;0
2014-08-26;101,60;101,60;101,60;101,60;0;0
2014-08-25;101,60;101,60;101,60;101,60;0;0
2014-08-22;101,60;101,60;101,60;101,60;0;0
2014-08-21;101,60;101,60;101,60;101,60;0;0
2014-08-20;101,60;101,60;101,60;101,60;0;0
2014-08-19;101,60;101,60;101,60;101,60;0;0
2014-08-18;101,60;101,60;101,60;101,60;0;0
2014-08-15;101,60;101,60;101,60;101,60;0;0
2014-08-14;101,60;101,60;101,60;101,60;0;0
2014-08-13;101,60;101,60;101,60;101,60;0;0
2014-08-12;101,60;101,60;101,60;101,60;0;0
2014-08-11;101,60;101,60;101,60;101,60;0;0
2014-08-08;101,60;101,60;101,60;101,60;0;0
2014-08-07;101,60;101,60;101,60;101,60;0;0
2014-08-06;101,60;101,60;101,60;101,60;0;0
2014-08-05;101,60;101,60;101,60;101,60;0;0
2014-08-04;101,60;101,60;101,60;101,60;0;0
2014-08-01;101,60;101,60;101,60;101,60;0;0
2014-07-31;101,60;101,60;101,60;101,60;0;0
2014-07-30;101,60;101,60;101,60;101,60;0;0
2014-07-29;101,60;101,60;101,60;101,60;0;0
2014-07-28;101,60;101,60;101,60;101,60;0;0
2014-07-25;101,60;101,60;101,60;101,60;0;0
2014-07-24;101,60;101,60;101,60;101,60;0;0
2014-07-23;101,60;101,60;101,60;101,60;0;0
2014-07-22;101,60;101,60;101,60;101,60;0;0
2014-07-21;101,60;101,60;101,60;101,60;0;0
2014-07-18;101,60;101,60;101,60;101,60;0;0
2014-07-17;101,60;101,60;101,60;101,60;0;0
2014-07-16;101,60;101,60;101,60;101,60;0;0
2014-07-15;101,60;101,60;101,60;101,60;0;0
2014-07-14;101,60;101,60;101,60;101,60;0;0
2014-07-11;101,60;101,60;101,60;101,60;0;0
2014-07-10;101,60;101,60;101,60;101,60;0;0
2014-07-09;101,60;101,60;101,60;101,60;0;0
2014-07-08;101,60;101,60;101,60;101,60;0;0
2014-07-07;101,60;101,60;101,60;101,60;0;0
2014-07-04;101,60;101,60;101,60;101,60;0;0
2014-07-03;101,60;101,60;101,60;101,60;0;0
2014-07-02;101,60;101,60;101,60;101,60;0;0
2014-07-01;101,60;101,60;101,60;101,60;0;0
2014-06-30;101,60;101,60;101,60;101,60;0;0
2014-06-27;101,60;101,60;101,60;101,60;0;0
2014-06-26;101,60;101,60;101,60;101,60;0;0
2014-06-25;101,60;101,60;101,60;101,60;0;0
2014-06-24;101,60;101,60;101,60;101,60;0;0
2014-06-23;101,60;101,60;101,60;101,60;0;0
2014-06-20;101,60;101,60;101,60;101,60;0;0
2014-06-19;101,60;101,60;101,60;101,60;0;0
2014-06-18;101,60;101,60;101,60;101,60;0;0
2014-06-17;101,60;101,60;101,60;101,60;0;0
2014-06-16;101,60;101,60;101,60;101,60;0;0
2014-06-13;101,64;101,64;101,64;101,64;5.000;5.082
2014-06-12;101,60;101,60;101,60;101,60;0;0
2014-06-11;101,80;101,80;101,80;101,80;0;0
2014-06-10;101,80;101,80;101,80;101,80;0;0
2014-06-09;101,80;101,80;101,80;101,80;0;0
2014-06-06;101,80;101,80;101,80;101,80;0;0
2014-06-05;101,80;101,80;101,80;101,80;0;0
2014-06-04;101,80;101,80;101,80;101,80;0;0
2014-06-03;101,80;101,80;101,80;101,80;0;0
2014-06-02;101,80;101,80;101,80;101,80;0;0
2014-05-30;101,80;101,80;101,80;101,80;0;0
2014-05-29;101,80;101,80;101,80;101,80;0;0
2014-05-28;101,80;101,80;101,80;101,80;0;0
2014-05-27;101,80;101,80;101,80;101,80;0;0
2014-05-26;101,80;101,80;101,80;101,80;0;0
2014-05-23;101,80;101,80;101,80;101,80;0;0
2014-05-22;101,80;101,80;101,80;101,80;0;0
2014-05-21;101,80;101,80;101,80;101,80;0;0
2014-05-20;101,80;101,80;101,80;101,80;0;0
2014-05-19;101,80;101,80;101,80;101,80;0;0
2014-05-16;101,80;101,80;101,80;101,80;0;0
2014-05-15;101,80;101,80;101,80;101,80;0;0
2014-05-14;101,80;101,80;101,80;101,80;0;0
2014-05-13;101,80;101,80;101,80;101,80;0;0
2014-05-12;101,80;101,80;101,80;101,80;0;0
2014-05-09;101,80;101,80;101,80;101,80;0;0
2014-05-08;101,80;101,80;101,80;101,80;0;0
2014-05-07;100,18;100,18;100,18;100,18;8.000;8.014
2014-05-06;100,00;100,00;100,00;100,00;0;0
2014-05-05;100,00;100,00;100,00;100,00;0;0
2014-05-02;100,00;100,00;100,00;100,00;0;0
2014-04-30;100,00;100,00;100,00;100,00;0;0
2014-04-29;100,00;100,00;100,00;100,00;0;0
2014-04-28;100,00;100,00;100,00;100,00;0;0
2014-04-25;100,00;100,00;100,00;100,00;0;0
2014-04-24;100,00;100,00;100,00;100,00;0;0
2014-04-23;100,00;100,00;100,00;100,00;0;0
2014-04-22;100,00;100,00;100,00;100,00;0;0
2014-04-17;100,00;100,00;100,00;100,00;0;0
2014-04-16;100,00;100,00;100,00;100,00;0;0
2014-04-15;100,00;100,00;100,00;100,00;0;0
2014-04-14;100,00;100,00;100,00;100,00;0;0
2014-04-11;100,00;100,00;100,00;100,00;0;0
2014-04-10;100,00;100,00;100,00;100,00;0;0
2014-04-09;100,00;100,00;100,00;100,00;0;0
2014-04-08;100,00;100,00;100,00;100,00;0;0
2014-04-07;100,00;100,00;100,00;100,00;0;0
2014-04-04;100,00;100,00;100,00;100,00;0;0
2014-04-03;100,00;100,00;100,00;100,00;0;0
2014-04-02;100,00;100,00;100,00;100,00;0;0
2014-04-01;100,00;100,00;100,00;100,00;0;0
2014-03-31;100,50;100,50;100,50;100,50;0;0
2014-03-28;100,50;100,50;100,50;100,50;0;0
2014-03-27;100,50;100,50;100,50;100,50;0;0
2014-03-26;100,50;100,50;100,50;100,50;0;0
2014-03-25;100,50;100,50;100,50;100,50;0;0
2014-03-24;100,50;100,50;100,50;100,50;0;0
2014-03-21;100,50;100,50;100,50;100,50;0;0
2014-03-20;100,50;100,50;100,50;100,50;0;0
2014-03-19;100,50;100,50;100,50;100,50;0;0
2014-03-18;100,50;100,50;100,50;100,50;0;0
2014-03-17;100,50;100,50;100,50;100,50;0;0
2014-03-14;100,50;100,50;100,50;100,50;0;0
2014-03-13;100,50;100,50;100,50;100,50;0;0
2014-03-12;100,50;100,50;100,50;100,50;0;0
2014-03-11;100,50;100,50;100,50;100,50;0;0
2014-03-10;100,50;100,50;100,50;100,50;0;0
2014-03-07;100,50;100,50;100,50;100,50;0;0
2014-03-06;100,50;100,50;100,50;100,50;0;0
2014-03-05;100,50;100,50;100,50;100,50;0;0
2014-03-04;100,50;100,50;100,50;100,50;0;0
