Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;2,30;2,30;2,20;2,26;26.685;60.441
2019-05-02;2,32;2,32;2,24;2,28;16.863;38.783
2019-04-30;2,26;2,38;2,26;2,30;34.961;80.461
2019-04-29;2,26;2,26;2,24;2,24;1.500;3.390
2019-04-26;2,24;2,24;2,20;2,22;11.025;24.495
2019-04-25;2,24;2,26;2,24;2,26;20.600;46.144
2019-04-24;2,26;2,28;2,26;2,26;16.900;38.501
2019-04-23;2,26;2,26;2,24;2,24;4.812;10.839
2019-04-18;2,22;2,22;2,22;2,22;0;0
2019-04-17;2,20;2,24;2,18;2,24;3.054;6.719
2019-04-16;2,24;2,24;2,22;2,22;2.000;4.480
2019-04-15;2,24;2,24;2,24;2,24;0;0
2019-04-12;2,28;2,28;2,18;2,22;11.851;26.193
2019-04-11;2,28;2,28;2,22;2,26;4.679;10.619
2019-04-10;2,26;2,30;2,20;2,24;29.190;65.986
2019-04-09;2,20;2,26;2,20;2,22;4.809;10.700
2019-04-08;2,20;2,26;2,20;2,24;8.600;19.244
2019-04-05;2,26;2,26;2,24;2,24;10.000;22.600
2019-04-04;2,26;2,26;2,24;2,24;2.000;4.520
2019-04-03;2,24;2,24;2,22;2,22;2.000;4.480
2019-04-02;2,22;2,22;2,20;2,22;16.801;37.296
2019-04-01;2,18;2,22;2,18;2,20;3.906;8.611
2019-03-29;2,18;2,22;2,14;2,16;23.191;50.730
2019-03-28;2,12;2,18;2,12;2,16;6.500;13.900
2019-03-27;2,14;2,16;2,12;2,14;11.796;25.135
2019-03-26;2,22;2,22;2,18;2,18;904;2.007
2019-03-25;2,18;2,22;2,18;2,20;1.012;2.207
2019-03-22;2,20;2,22;2,18;2,18;2.625;5.812
2019-03-21;2,18;2,20;2,14;2,18;15.305;33.371
2019-03-20;2,18;2,22;2,18;2,20;20.932;45.729
2019-03-19;2,20;2,20;2,20;2,20;0;0
2019-03-18;2,16;2,24;2,16;2,20;31.896;69.517
2019-03-15;2,20;2,26;2,16;2,16;26.205;58.457
2019-03-14;2,26;2,26;2,20;2,24;2.290;5.175
2019-03-13;2,24;2,24;2,24;2,24;0;0
2019-03-12;2,24;2,24;2,24;2,24;0;0
2019-03-11;2,26;2,26;2,20;2,24;17.569;39.706
2019-03-08;2,26;2,26;2,24;2,24;40;90
2019-03-07;2,26;2,26;2,24;2,24;2.432;5.496
2019-03-06;2,26;2,26;2,24;2,24;21.650;48.929
2019-03-05;2,26;2,26;2,20;2,24;2.124;4.800
2019-03-04;2,26;2,26;2,26;2,26;705;1.593
2019-03-01;2,26;2,26;2,20;2,24;15.005;33.911
2019-02-28;2,20;2,26;2,20;2,24;16.565;37.431
2019-02-27;2,24;2,24;2,24;2,24;0;0
2019-02-26;2,26;2,26;2,24;2,24;10.412;23.531
2019-02-25;2,26;2,26;2,20;2,24;3.904;8.703
2019-02-22;2,26;2,26;2,24;2,24;7.004;15.829
2019-02-21;2,26;2,26;2,24;2,24;4.792;10.830
2019-02-20;2,20;2,26;2,20;2,24;6.945;15.396
2019-02-19;2,26;2,26;2,22;2,26;1.630;3.683
2019-02-18;2,26;2,30;2,26;2,26;11.000;25.180
2019-02-15;2,20;2,26;2,20;2,24;861;1.946
2019-02-14;2,24;2,26;2,22;2,22;54.066;122.169
2019-02-13;2,26;2,26;2,20;2,22;4.650;10.269
2019-02-12;2,26;2,26;2,24;2,24;4.000;9.040
2019-02-11;2,24;2,26;2,20;2,24;5.110;11.457
2019-02-08;2,26;2,26;2,20;2,20;6.344;13.987
2019-02-07;2,26;2,26;2,08;2,24;14.410;32.251
2019-02-06;2,24;2,24;2,18;2,22;34.820;77.997
2019-02-05;2,20;2,24;2,18;2,20;2.008;4.418
2019-02-04;2,24;2,24;2,20;2,20;3.713;8.317
2019-02-01;2,24;2,24;2,22;2,22;4;9
2019-01-31;2,26;2,26;2,18;2,24;15.592;34.509
2019-01-30;2,20;2,26;2,20;2,24;4.241;9.525
2019-01-29;2,24;2,24;2,20;2,24;10.409;23.120
2019-01-28;2,24;2,24;2,22;2,22;1.000;2.240
2019-01-25;2,12;2,24;2,08;2,18;19.264;41.431
2019-01-24;2,22;2,24;2,18;2,18;3.274;7.279
2019-01-23;2,20;2,20;2,18;2,18;2.000;4.400
2019-01-22;2,24;2,26;2,18;2,18;10.902;24.068
2019-01-21;2,24;2,24;2,24;2,24;0;0
2019-01-18;2,26;2,26;2,18;2,22;5.610;12.670
2019-01-17;2,24;2,24;2,24;2,24;0;0
2019-01-16;2,24;2,24;2,24;2,24;20;45
2019-01-15;2,26;2,26;2,26;2,26;1.991;4.500
2019-01-14;2,24;2,26;2,24;2,26;1.009;2.260
2019-01-11;2,26;2,26;2,26;2,26;0;0
2019-01-10;2,22;2,26;2,22;2,24;1.003;2.267
2019-01-09;2,26;2,36;2,26;2,28;5.120;11.588
2019-01-08;2,30;2,30;2,22;2,22;485;1.113
2019-01-07;2,32;2,32;2,26;2,26;1.340;3.046
