Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2013-02-28;0,017;0,017;0,017;0,017;0;0
2013-02-27;0,017;0,018;0,017;0,018;35.457;603
2013-02-26;0,019;0,019;0,019;0,019;74;1
2013-02-25;0,021;0,021;0,018;0,019;66.454;1.239
2013-02-22;0,022;0,022;0,02;0,02;139.159;2.841
2013-02-21;0,02;0,02;0,02;0,02;105.000;2.100
2013-02-20;0,022;0,023;0,022;0,023;137;3
2013-02-19;0,023;0,023;0,023;0,023;13.000;299
2013-02-18;0,023;0,023;0,02;0,023;733;17
2013-02-15;0,023;0,023;0,023;0,023;16;0
2013-02-14;0,023;0,023;0,023;0,023;6;0
2013-02-13;0,022;0,025;0,022;0,025;529;13
2013-02-12;0,022;0,022;0,022;0,022;0;0
2013-02-11;0,022;0,027;0,022;0,027;6;0
2013-02-08;0,022;0,022;0,022;0,022;0;0
2013-02-07;0,022;0,022;0,022;0,022;0;0
2013-02-06;0,022;0,022;0,022;0,022;0;0
2013-02-05;0,022;0,022;0,022;0,022;0;0
2013-02-01;0,025;0,025;0,025;0,025;0;0
2013-01-31;0,025;0,025;0,025;0,025;0;0
2013-01-30;0,025;0,026;0,025;0,026;33;1
2013-01-29;0,025;0,025;0,025;0,025;0;0
2013-01-28;0,025;0,026;0,025;0,026;486;13
2013-01-25;0,025;0,025;0,025;0,025;0;0
2013-01-24;0,025;0,026;0,025;0,026;6;0
2013-01-23;0,026;0,026;0,025;0,025;3;0
2013-01-22;0,025;0,025;0,025;0,025;0;0
2013-01-21;0,026;0,026;0,026;0,026;1.666;43
2013-01-18;0,026;0,026;0,025;0,025;1.000;26
2013-01-17;0,025;0,025;0,025;0,025;0;0
2013-01-16;0,026;0,026;0,025;0,026;495;13
2013-01-15;0,026;0,026;0,025;0,025;5.033;131
2013-01-14;0,025;0,026;0,025;0,026;73;2
2013-01-11;0,025;0,027;0,025;0,027;8;0
2013-01-10;0,025;0,025;0,025;0,025;0;0
2013-01-09;0,033;0,033;0,022;0,022;16.000;468
2013-01-08;0,021;0,034;0,021;0,034;31.028;1.049
2013-01-04;0,02;0,02;0,02;0,02;0;0
2013-01-03;0,02;0,02;0,02;0,02;238;5
2013-01-02;0,021;0,035;0,018;0,035;5.500;186
2012-12-28;0,021;0,021;0,021;0,021;0;0
2012-12-27;0,023;0,024;0,023;0,024;33;1
2012-12-21;0,023;0,023;0,023;0,023;0;0
2012-12-19;0,026;0,026;0,026;0,026;16;0
2012-12-18;0,024;0,024;0,024;0,024;0;0
2012-12-17;0,021;0,025;0,021;0,025;110;3
2012-12-14;0,023;0,033;0,022;0,022;10.804;356
2012-12-13;0,021;0,022;0,021;0,022;33;1
2012-12-12;0,021;0,021;0,021;0,021;0;0
2012-12-11;0,025;0,032;0,022;0,032;47.866;1.215
2012-12-10;0,02;0,023;0,02;0,023;20;0
2012-12-07;0,035;0,035;0,035;0,035;1.000;35
2012-12-06;0,036;0,036;0,023;0,023;12.078;434
2012-12-05;0,036;0,036;0,016;0,016;20.300;715
2012-12-04;0,028;0,028;0,022;0,022;7.097;156
2012-12-03;0,028;0,028;0,028;0,028;0;0
2012-11-30;0,028;0,028;0,028;0,028;0;0
2012-11-29;0,028;0,029;0,028;0,029;33;1
2012-11-28;0,031;0,032;0,031;0,031;40.500;1.256
2012-11-27;0,031;0,034;0,031;0,032;2.260;75
2012-11-26;0,031;0,031;0,031;0,031;0;0
2012-11-23;0,039;0,039;0,033;0,037;4.128;148
2012-11-22;0,031;0,031;0,031;0,031;0;0
2012-11-21;0,029;0,033;0,029;0,033;238;8
2012-11-20;0,031;0,044;0,031;0,044;5.030;221
2012-11-19;0,035;0,035;0,031;0,031;49.764;1.543
2012-11-16;0,035;0,046;0,035;0,046;0;0
2012-11-15;0,035;0,047;0,035;0,036;50.333;2.362
2012-11-14;0,035;0,036;0,035;0,036;28;1
2012-11-13;0,035;0,036;0,035;0,035;10.000;360
2012-11-12;0,04;0,049;0,04;0,049;20.000;800
2012-11-09;0,04;0,04;0,04;0,04;0;0
2012-11-08;0,039;0,039;0,039;0,039;1.525;59
2012-11-07;0,035;0,035;0,035;0,035;0;0
2012-11-06;0,031;0,031;0,031;0,031;0;0
2012-11-05;0,035;0,035;0,035;0,035;3.480;122
2012-11-02;0,032;0,033;0,032;0,033;50;2
2012-11-01;0,049;0,049;0,031;0,031;20.071;983
2012-10-31;0,031;0,031;0,031;0,031;0;0
2012-10-30;0,029;0,029;0,029;0,029;0;0
2012-10-29;0,03;0,032;0,029;0,029;1.755;53
2012-10-26;0,03;0,03;0,029;0,029;66;2
2012-10-25;0,028;0,043;0,028;0,03;35.066;1.507
2012-10-24;0,029;0,029;0,029;0,029;28;1
2012-10-23;0,029;0,029;0,029;0,029;0;0
2012-10-22;0,027;0,027;0,027;0,027;0;0
2012-10-19;0,025;0,025;0,025;0,025;0;0
2012-10-18;0,039;0,039;0,028;0,028;90.400;3.241
2012-10-17;0,026;0,026;0,017;0,025;204.981;4.071
2012-10-16;0,03;0,03;0,03;0,03;45.000;1.350
2012-10-15;0,042;0,042;0,039;0,039;13.000;537
2012-10-12;0,041;0,041;0,041;0,041;0;0
2012-10-11;0,031;0,05;0,031;0,05;73.000;3.650
2012-10-09;0,034;0,036;0,034;0,036;21;1
2012-10-08;0,04;0,049;0,04;0,049;9.415;459
2012-10-05;0,036;0,036;0,036;0,036;0;0
2012-10-04;0,043;0,049;0,029;0,049;40.000;1.667
2012-10-03;0,032;0,047;0,032;0,043;467.981;17.792
2012-10-02;0,025;0,025;0,024;0,024;50.000;1.250
2012-10-01;0,026;0,026;0,024;0,024;316;8
2012-09-28;0,022;0,022;0,022;0,022;0;0
2012-09-27;0,027;0,028;0,027;0,027;60.000;1.630
2012-09-26;0,029;0,035;0,029;0,035;130.000;4.030
2012-09-25;0,026;0,026;0,026;0,026;0;0
2012-09-24;0,025;0,025;0,025;0,025;0;0
2012-09-21;0,023;0,024;0,023;0,024;0;0
2012-09-20;0,022;0,022;0,022;0,022;36;1
2012-09-19;0,026;0,026;0,026;0,026;38.033;989
2012-09-18;0,026;0,026;0,026;0,026;0;0
2012-09-17;0,026;0,026;0,026;0,026;0;0
2012-09-14;0,026;0,026;0,026;0,026;0;0
2012-09-13;0,026;0,026;0,026;0,026;0;0
2012-09-12;0,023;0,025;0,023;0,025;0;0
2012-09-10;0,022;0,022;0,02;0,02;33;1
2012-09-07;0,024;0,025;0,024;0,025;30;1
2012-09-06;0,024;0,024;0,022;0,022;170.000;3.830
2012-09-05;0,035;0,035;0,035;0,035;9.961;349
2012-09-04;0,035;0,036;0,024;0,025;130.000;4.215
2012-09-03;0,015;0,015;0,015;0,015;0;0
2012-08-31;0,023;0,023;0,016;0,016;4.428;71
2012-08-30;0,021;0,035;0,021;0,035;50.014;1.750
2012-08-29;0,015;0,015;0,015;0,015;0;0
2012-08-28;0,024;0,03;0,016;0,027;251.000;7.026
2012-08-27;0,022;0,03;0,022;0,03;2.166;65
2012-08-24;0,019;0,019;0,019;0,019;0;0
2012-08-23;0,014;0,033;0,014;0,033;35.000;1.155
2012-08-22;0,023;0,023;0,023;0,023;166;4
2012-08-21;0,012;0,034;0,012;0,034;7.500;255
2012-08-20;0,026;0,026;0,026;0,026;333;9
2012-08-17;0,026;0,026;0,026;0,026;0;0
2012-08-16;0,023;0,037;0,023;0,037;25.000;925
2012-08-15;0,022;0,022;0,022;0,022;0;0
