Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;2,19;2,20;2,16;2,18;13.925;30.376
2019-05-02;2,22;2,22;2,16;2,17;22.820;49.842
2019-04-30;2,20;2,21;2,17;2,19;15.640;34.226
2019-04-29;2,25;2,25;2,18;2,20;41.665;91.363
2019-04-26;2,20;2,22;2,19;2,22;12.681;27.990
2019-04-25;2,22;2,22;2,19;2,19;15.819;34.873
2019-04-24;2,21;2,23;2,18;2,19;24.974;55.106
2019-04-23;2,22;2,22;2,16;2,18;29.679;65.001
2019-04-18;2,18;2,23;2,16;2,20;52.908;115.169
2019-04-17;2,23;2,23;2,17;2,22;24.343;53.380
2019-04-16;2,22;2,22;2,17;2,19;24.292;53.441
2019-04-15;2,26;2,27;2,18;2,22;52.674;116.647
2019-04-12;2,19;2,29;2,17;2,22;116.612;257.042
2019-04-11;2,25;2,25;2,19;2,22;56.756;125.297
2019-04-10;2,24;2,25;2,20;2,25;61.662;136.176
2019-04-09;2,28;2,28;2,22;2,23;78.834;176.534
2019-04-08;2,26;2,33;2,23;2,28;214.196;490.689
2019-04-05;2,23;2,31;2,23;2,25;49.496;112.117
2019-04-04;2,18;2,28;2,16;2,28;77.534;172.633
2019-04-03;2,15;2,19;2,09;2,19;52.114;110.937
2019-04-02;2,19;2,20;2,08;2,14;118.167;253.651
2019-04-01;2,205;2,215;2,165;2,215;29.646;64.793
2019-03-29;2,235;2,25;2,19;2,24;36.650;81.568
2019-03-28;2,185;2,235;2,17;2,235;38.576;85.394
2019-03-27;2,245;2,245;2,145;2,175;42.345;92.795
2019-03-26;2,195;2,275;2,17;2,225;33.491;74.435
2019-03-25;2,18;2,20;2,135;2,20;13.290;28.795
2019-03-22;2,155;2,215;2,155;2,16;11.954;26.033
2019-03-21;2,21;2,21;2,155;2,155;32.955;71.528
2019-03-20;2,20;2,255;2,175;2,175;63.815;140.374
2019-03-19;2,20;2,205;2,155;2,175;61.711;134.783
2019-03-18;2,21;2,22;2,18;2,22;21.683;47.711
2019-03-15;2,24;2,24;2,155;2,18;64.351;141.380
2019-03-14;2,255;2,265;2,185;2,24;83.180;183.732
2019-03-13;2,235;2,275;2,235;2,275;6.730;15.081
2019-03-12;2,32;2,32;2,235;2,235;40.038;90.483
2019-03-11;2,26;2,29;2,235;2,285;41.934;94.584
2019-03-08;2,28;2,29;2,26;2,285;15.040;34.156
2019-03-07;2,305;2,305;2,28;2,295;62.327;142.693
2019-03-06;2,35;2,35;2,265;2,265;9.700;22.525
2019-03-05;2,30;2,395;2,30;2,395;47.818;113.829
2019-03-04;2,34;2,34;2,285;2,315;7.780;17.922
2019-03-01;2,36;2,375;2,295;2,295;15.732;36.195
2019-02-28;2,33;2,36;2,285;2,35;29.468;68.475
2019-02-27;2,265;2,335;2,26;2,335;7.051;16.144
2019-02-26;2,30;2,35;2,285;2,285;29.980;69.570
2019-02-25;2,24;2,35;2,24;2,32;102.895;236.967
2019-02-22;2,27;2,30;2,235;2,235;42.002;95.372
2019-02-21;2,245;2,305;2,22;2,27;45.981;103.709
2019-02-20;2,245;2,245;2,215;2,245;23.565;52.651
2019-02-19;2,255;2,255;2,22;2,24;23.061;51.645
2019-02-18;2,27;2,27;2,215;2,225;38.058;84.977
2019-02-15;2,245;2,275;2,225;2,25;23.073;51.645
2019-02-14;2,275;2,275;2,225;2,25;32.053;71.816
2019-02-13;2,305;2,305;2,24;2,245;18.027;40.782
2019-02-12;2,28;2,385;2,225;2,345;29.398;68.090
2019-02-11;2,235;2,265;2,215;2,265;13.000;29.191
2019-02-08;2,255;2,28;2,23;2,235;82.051;184.132
2019-02-07;2,265;2,30;2,245;2,255;24.864;56.738
2019-02-06;2,26;2,295;2,24;2,295;42.862;97.030
2019-02-05;2,315;2,315;2,235;2,245;35.831;80.803
2019-02-04;2,26;2,315;2,235;2,24;79.759;181.626
2019-02-01;2,32;2,32;2,24;2,245;24.623;56.402
2019-01-31;2,335;2,35;2,285;2,285;28.031;64.848
2019-01-30;2,395;2,395;2,335;2,38;11.023;25.973
2019-01-29;2,345;2,395;2,345;2,395;12.965;30.640
2019-01-28;2,36;2,40;2,295;2,39;25.846;60.753
2019-01-25;2,385;2,44;2,345;2,415;19.537;46.508
2019-01-24;2,34;2,43;2,335;2,415;67.265;161.882
2019-01-23;2,27;2,415;2,27;2,375;45.309;106.205
2019-01-22;2,225;2,295;2,225;2,29;17.869;40.393
2019-01-21;2,28;2,295;2,225;2,24;33.582;75.690
2019-01-18;2,275;2,30;2,26;2,27;21.416;48.745
2019-01-17;2,31;2,355;2,265;2,275;23.420;53.818
2019-01-16;2,335;2,355;2,32;2,325;15.549;36.265
2019-01-15;2,385;2,385;2,315;2,315;59.928;141.532
2019-01-14;2,43;2,43;2,315;2,34;17.117;40.642
2019-01-11;2,435;2,455;2,375;2,41;29.231;70.740
2019-01-10;2,435;2,465;2,43;2,43;20.934;51.326
2019-01-09;2,425;2,455;2,42;2,435;45.404;110.770
2019-01-08;2,47;2,47;2,415;2,44;54.548;132.927
2019-01-07;2,40;2,50;2,40;2,455;71.824;175.801
2019-01-04;2,26;2,415;2,26;2,375;66.133;156.009
2019-01-03;2,315;2,415;2,25;2,30;31.635;74.498
2019-01-02;2,22;2,33;2,20;2,315;30.444;68.771
2018-12-28;2,205;2,235;2,14;2,16;15.357;33.687
2018-12-27;2,10;2,195;2,10;2,175;59.287;127.124
2018-12-21;2,14;2,345;2,08;2,18;169.511;371.693
2018-12-20;2,125;2,175;2,08;2,08;36.105;76.384
2018-12-19;2,15;2,195;2,105;2,19;39.418;85.434
2018-12-18;2,185;2,205;2,145;2,205;48.152;104.524
2018-12-17;2,34;2,34;2,19;2,19;21.877;48.703
2018-12-14;2,395;2,395;2,265;2,30;28.993;66.079
2018-12-13;2,375;2,395;2,305;2,395;9.150;21.495
2018-12-12;2,40;2,40;2,315;2,375;16.928;39.831
2018-12-11;2,275;2,38;2,27;2,38;18.578;43.105
2018-12-10;2,34;2,34;2,275;2,275;12.109;27.984
2018-12-07;2,325;2,39;2,30;2,30;29.593;69.445
2018-12-06;2,355;2,355;2,26;2,275;39.522;91.488
2018-12-05;2,375;2,42;2,355;2,355;51.945;123.450
2018-12-04;2,405;2,45;2,375;2,40;53.148;127.551
2018-12-03;2,465;2,485;2,405;2,44;39.206;95.968
2018-11-30;2,415;2,445;2,39;2,425;16.306;39.567
2018-11-29;2,45;2,475;2,355;2,425;30.200;73.572
2018-11-28;2,40;2,46;2,395;2,45;35.783;87.376
2018-11-27;2,395;2,425;2,395;2,42;48.831;117.562
2018-11-26;2,395;2,415;2,36;2,395;50.251;120.244
2018-11-23;2,295;2,37;2,295;2,37;13.149;30.541
2018-11-22;2,415;2,415;2,25;2,25;9.042;21.158
2018-11-21;2,295;2,42;2,285;2,37;47.069;110.896
2018-11-20;2,315;2,335;2,23;2,285;62.042;141.257
2018-11-19;2,27;2,35;2,215;2,315;87.124;199.146
2018-11-16;2,15;2,34;2,135;2,245;70.406;158.690
2018-11-15;2,175;2,23;2,14;2,17;20.558;44.657
2018-11-14;2,175;2,20;2,16;2,175;13.291;28.896
