Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-02-11;1,812;1,812;1,811;1,811;600;1.087
2016-02-10;1,812;1,812;1,811;1,811;10.103;18.300
2016-02-09;1,815;1,815;1,815;1,815;11.707;21.248
2016-02-08;1,85;1,85;1,831;1,831;5.231;9.629
2016-02-04;1,854;1,854;1,854;1,854;404;749
2016-02-03;1,832;1,832;1,832;1,832;1.000;1.832
2016-02-01;1,855;1,855;1,855;1,855;1.100;2.041
2016-01-29;1,84;1,84;1,84;1,84;2.500;4.600
2016-01-25;1,865;1,865;1,865;1,865;1;2
2016-01-22;1,828;1,83;1,827;1,83;13.602;24.866
2016-01-15;1,827;1,827;1,827;1,827;1.000;1.827
2016-01-12;1,848;1,848;1,848;1,848;1.500;2.772
2016-01-11;1,848;1,848;1,848;1,848;1.700;3.142
2016-01-08;1,84;1,848;1,84;1,848;560;1.031
2016-01-07;1,848;1,848;1,848;1,848;1.700;3.142
2015-12-30;1,82;1,83;1,82;1,83;10.635;19.457
2015-12-29;1,846;1,846;1,846;1,846;1.448;2.673
2015-12-28;1,82;1,82;1,82;1,82;1.500;2.730
2015-12-22;1,801;1,801;1,80;1,80;35.200;63.361
2015-12-21;1,811;1,811;1,80;1,80;33.353;60.122
2015-12-16;1,812;1,812;1,811;1,811;8.558;15.502
2015-12-09;1,849;1,85;1,849;1,85;5.000;9.248
2015-12-08;1,84;1,85;1,82;1,85;4.000;7.330
2015-11-26;1,78;1,78;1,78;1,78;1.464;2.606
2015-11-25;1,775;1,775;1,775;1,775;6.232;11.062
2015-11-24;1,77;1,77;1,77;1,77;100;177
2015-11-23;1,771;1,828;1,771;1,828;400;720
2015-11-20;1,78;1,79;1,768;1,77;14.410;25.624
2015-11-18;1,80;1,80;1,79;1,799;5.820;10.436
2015-11-11;1,803;1,803;1,803;1,803;6.000;10.818
2015-11-05;1,887;1,887;1,887;1,887;100;189
2015-11-04;1,887;1,887;1,887;1,887;200;377
2015-11-03;1,888;1,888;1,888;1,851;900;1.667
2015-11-02;1,889;1,889;1,889;1,889;200;378
2015-10-30;1,90;1,90;1,82;1,894;12.621;23.266
2015-10-29;1,957;1,957;1,957;1,957;890;1.742
2015-10-23;1,957;1,957;1,957;1,957;148;290
2015-10-21;1,85;1,85;1,85;1,85;7.474;13.827
2015-10-20;1,957;1,957;1,872;1,872;7.500;14.551
2015-10-19;1,90;1,94;1,90;1,94;1.090;2.075
2015-10-16;1,89;1,957;1,89;1,957;7.963;15.345
2015-10-14;1,835;1,835;1,835;1,835;2.090;3.835
2015-10-13;1,833;1,833;1,833;1,833;2.090;3.831
2015-10-08;1,87;1,89;1,87;1,89;1.041;1.961
2015-10-02;1,83;1,83;1,83;1,83;4.348;7.957
2015-10-01;1,833;1,861;1,80;1,805;51.000;92.155
2015-09-28;1,767;1,767;1,766;1,766;500;883
2015-09-21;1,766;1,766;1,766;1,766;1.800;3.179
2015-09-16;1,78;1,80;1,765;1,80;3.680;6.599
2015-09-14;1,80;1,80;1,80;1,80;2.738;4.928
2015-09-11;1,791;1,93;1,791;1,80;1.670;3.060
2015-09-03;1,78;1,78;1,78;1,78;1.500;2.670
2015-09-02;1,781;1,781;1,781;1,781;1.000;1.781
2015-09-01;1,811;1,811;1,771;1,78;4.630;8.280
2015-08-25;1,834;1,85;1,834;1,85;6.690;12.303
2015-08-21;1,737;1,737;1,736;1,736;500;868
2015-08-20;1,76;1,774;1,76;1,774;2.200;3.874
2015-08-19;1,644;1,703;1,644;1,703;55.808;94.674
2015-08-18;1,612;1,612;1,612;1,612;500;806
2015-08-12;1,628;1,628;1,628;1,628;290;472
2015-07-31;1,613;1,613;1,613;1,613;1.503;2.424
2015-07-30;1,616;1,616;1,614;1,614;535;864
2015-07-28;1,724;1,725;1,724;1,725;1.769;3.050
2015-07-16;1,664;1,664;1,664;1,664;321;534
2015-07-07;1,725;1,725;1,725;1,725;119;205
2015-06-26;1,613;1,613;1,613;1,613;8;13
2015-06-22;1,759;1,759;1,759;1,759;249;438
2015-06-05;1,718;1,718;1,718;1,718;300;515
2015-05-27;1,786;1,786;1,786;1,786;1.700;3.036
2015-05-22;1,786;1,786;1,786;1,786;500;893
2015-05-21;1,786;1,786;1,631;1,701;7.120;11.868
2015-05-15;1,68;1,68;1,68;1,68;1.675;2.814
2015-05-11;1,681;1,681;1,68;1,68;650;1.092
2015-04-30;1,841;1,841;1,84;1,84;294;541
2015-04-28;1,821;1,821;1,80;1,80;3.069;5.587
2015-04-27;1,75;1,853;1,75;1,853;6.780;12.528
2015-04-22;1,69;1,69;1,69;1,69;1.623;2.743
2015-04-20;1,59;1,59;1,59;1,59;2.400;3.816
2015-04-17;1,50;1,579;1,50;1,579;10.718;16.527
2015-04-16;1,468;1,50;1,468;1,50;18.183;26.920
2015-04-15;1,42;1,42;1,42;1,42;11.190;15.890
2015-04-14;1,499;1,50;1,499;1,499;9.050;13.569
2015-04-13;1,448;1,464;1,448;1,464;8.473;12.307
2015-04-09;1,439;1,449;1,439;1,448;1.596;2.302
2015-04-07;1,43;1,43;1,419;1,42;930;1.323
2015-03-31;1,401;1,401;1,40;1,40;290;406
2015-03-30;1,401;1,401;1,401;1,401;90;126
2015-03-27;1,40;1,40;1,40;1,40;4.923;6.892
2015-03-25;1,39;1,39;1,39;1,39;1.000;1.390
2015-03-24;1,37;1,37;1,37;1,37;100;137
2015-03-20;1,40;1,40;1,40;1,40;870;1.218
2015-03-19;1,367;1,367;1,367;1,367;275;376
2015-03-17;1,40;1,40;1,40;1,40;439;615
2015-03-16;1,40;1,40;1,40;1,40;51;71
2015-03-13;1,415;1,415;1,40;1,40;5.300;7.428
2015-03-10;1,44;1,44;1,40;1,40;741;1.047
2015-03-09;1,393;1,40;1,393;1,40;9.350;13.053
2015-03-06;1,363;1,363;1,363;1,363;1.160;1.581
2015-03-04;1,393;1,393;1,393;1,393;500;697
2015-03-03;1,352;1,362;1,352;1,362;767;1.044
2015-02-24;1,40;1,40;1,40;1,40;135;189
2015-02-23;1,19;1,19;1,19;1,19;320;381
2015-02-20;1,20;1,20;1,20;1,20;1.177;1.412
2015-02-19;1,05;1,145;1,04;1,145;41.157;43.743
2015-02-18;1,041;1,051;1,041;1,05;3.974;4.171
2015-02-16;1,05;1,07;1,05;1,07;4.320;4.586
2015-02-10;1,065;1,07;1,065;1,07;3.975;4.253
2015-02-03;1,08;1,08;1,08;1,08;1.000;1.080
2015-02-02;1,05;1,05;1,05;1,05;2.515;2.641
2015-01-28;1,049;1,07;1,049;1,07;12.250;13.082
2015-01-27;1,05;1,051;1,05;1,051;400;420
2015-01-15;1,025;1,025;1,025;1,025;175;179
2015-01-12;1,01;1,015;1,01;1,015;1.788;1.809
2015-01-08;1,07;1,07;1,056;1,056;4.000;4.252
2014-12-30;1,015;1,015;1,015;1,015;350;355
2014-12-29;1,01;1,01;1,01;1,01;3.953;3.993
2014-12-18;1,01;1,01;1,01;1,01;950;960
2014-12-17;1,02;1,035;1,02;1,025;1.692;1.742
2014-12-15;1,031;1,071;1,031;1,071;351;371
2014-12-12;1,01;1,01;1,01;1,01;11.255;11.368
2014-12-10;1,03;1,03;1,03;1,03;4.500;4.635
2014-12-05;1,05;1,05;1,05;1,05;5.000;5.250
2014-12-04;1,08;1,10;1,05;1,05;6.900;7.481
2014-12-03;1,046;1,046;1,039;1,039;35.234;36.661
