Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;1,56;1,59;1,56;1,59;3.000;4.711
2019-07-16;1,54;1,54;1,54;1,54;150;231
2019-07-15;1,48;1,48;1,48;1,48;1.000;1.480
2019-07-12;1,52;1,52;1,48;1,48;2.203;3.319
2019-07-11;1,53;1,53;1,53;1,53;40;61
2019-07-10;1,56;1,56;1,56;1,56;2.526;3.941
2019-07-09;1,56;1,58;1,56;1,58;4.206;6.581
2019-07-08;1,53;1,53;1,53;1,53;700;1.071
2019-07-05;1,59;1,59;1,53;1,53;350;548
2019-07-04;1,54;1,62;1,54;1,62;265;409
2019-07-03;1,56;1,56;1,56;1,56;3.000;4.680
2019-06-28;1,58;1,59;1,58;1,59;10.060;15.965
2019-06-27;1,58;1,58;1,55;1,55;2.755;4.309
2019-06-21;1,56;1,56;1,56;1,56;300;468
2019-06-20;1,60;1,60;1,57;1,59;4.239;6.748
2019-06-18;1,62;1,62;1,60;1,60;16.004;25.803
2019-06-17;1,61;1,63;1,61;1,63;524;844
2019-06-14;1,60;1,60;1,60;1,60;687;1.099
2019-06-13;1,65;1,65;1,65;1,65;3.000;4.950
2019-06-12;1,63;1,63;1,63;1,63;335;546
2019-06-11;1,61;1,61;1,57;1,60;6.288;10.069
2019-06-07;1,55;1,62;0,90;1,62;31.630;47.296
2019-06-05;1,59;1,59;1,59;1,59;50;80
2019-06-03;1,66;1,66;1,64;1,64;1.778;2.931
2019-05-24;1,58;1,65;1,58;1,62;2.165;3.543
2019-05-23;1,60;1,68;1,60;1,68;1.290;2.104
2019-05-22;1,62;1,64;1,62;1,64;1.150;1.877
2019-05-21;1,58;1,58;1,58;1,58;50;79
2019-05-20;1,63;1,63;1,63;1,63;200;326
2019-05-15;1,64;1,64;1,63;1,63;1.800;2.937
2019-05-14;1,67;1,68;1,67;1,68;3.654;6.132
2019-05-13;1,70;1,73;1,63;1,65;13.651;23.059
2019-05-10;1,63;1,63;1,63;1,63;2.000;3.260
2019-05-09;1,65;1,65;1,65;1,65;200;330
2019-05-08;1,66;1,66;1,66;1,66;135;224
2019-05-06;1,69;1,75;1,69;1,75;6.225;10.620
2019-05-03;1,76;1,76;1,76;1,76;1.470;2.587
2019-05-02;1,70;1,70;1,70;1,70;672;1.142
2019-04-29;1,68;1,68;1,68;1,68;850;1.428
2019-04-26;1,69;1,69;1,62;1,62;721;1.176
2019-04-25;1,65;1,65;1,64;1,64;1.170;1.927
2019-04-23;1,63;1,65;1,63;1,65;910;1.488
2019-04-18;1,65;1,65;1,65;1,65;3.031;5.001
2019-04-17;1,66;1,66;1,66;1,66;2.111;3.504
2019-04-16;1,58;1,64;1,58;1,64;1.100;1.774
2019-04-15;1,69;1,69;1,40;1,53;13.598;20.527
2019-04-12;1,65;1,65;1,65;1,65;1.950;3.218
2019-04-10;1,70;1,70;1,70;1,70;2.500;4.250
2019-04-09;1,64;1,66;1,64;1,66;1.345;2.213
2019-04-08;1,71;1,71;1,64;1,65;5.789;9.614
2019-04-05;1,69;1,69;1,69;1,69;1.670;2.822
2019-04-04;1,70;1,70;1,69;1,69;125;212
2019-04-03;1,80;1,80;1,72;1,72;8.917;15.673
2019-04-02;1,67;1,80;1,67;1,80;4.866;8.658
2019-04-01;1,68;1,70;1,68;1,70;760;1.281
2019-03-29;1,715;1,745;1,71;1,71;2.657;4.593
2019-03-28;1,685;1,685;1,685;1,685;300;506
2019-03-27;1,69;1,69;1,665;1,665;4.060;6.860
2019-03-26;1,695;1,78;1,695;1,78;1.118;1.948
2019-03-25;1,71;1,71;1,71;1,71;300;513
2019-03-22;1,75;1,75;1,75;1,75;20;35
2019-03-21;1,705;1,705;1,705;1,705;100;171
2019-03-20;1,725;1,725;1,725;1,725;75;129
2019-03-14;1,785;1,785;1,785;1,785;3;5
2019-03-13;1,73;1,73;1,73;1,73;150;260
2019-03-08;1,795;1,795;1,795;1,795;10;18
2019-03-07;1,715;1,76;1,715;1,715;5.910;10.349
2019-03-06;1,745;1,755;1,74;1,74;4.450;7.750
2019-03-05;1,655;1,695;1,655;1,695;1.631;2.752
2019-03-04;1,66;1,685;1,66;1,68;1.785;3.001
2019-03-01;1,695;1,695;1,695;1,695;250;424
2019-02-28;1,73;1,73;1,73;1,73;300;519
2019-02-26;1,765;1,765;1,765;1,765;1.222;2.157
2019-02-22;1,715;1,715;1,715;1,715;962;1.650
2019-02-21;1,70;1,70;1,70;1,70;337;573
2019-02-20;1,755;1,755;1,695;1,755;568;977
2019-02-15;1,705;1,705;1,675;1,675;55;94
2019-02-13;1,72;1,72;1,66;1,66;145;243
2019-02-12;1,70;1,70;1,70;1,70;300;510
2019-02-11;1,715;1,745;1,665;1,665;294;499
2019-02-08;1,675;1,675;1,675;1,675;45;75
2019-02-07;1,705;1,75;1,705;1,75;800;1.393
2019-02-05;1,73;1,73;1,73;1,73;300;519
2019-02-04;1,75;1,775;1,725;1,725;1.262;2.215
2019-02-01;1,795;1,795;1,76;1,76;1.150;2.059
2019-01-31;1,73;1,80;1,73;1,80;14.785;26.410
2019-01-30;1,78;1,78;1,78;1,78;616;1.096
2019-01-29;1,735;1,75;1,71;1,71;6.549;11.379
2019-01-28;1,725;1,735;1,705;1,72;4.340;7.426
2019-01-25;1,73;1,78;1,72;1,72;1.670;2.921
2019-01-24;1,655;1,655;1,655;1,655;51;84
2019-01-22;1,71;1,71;1,70;1,70;3.223;5.498
2019-01-21;1,69;1,785;1,69;1,785;3.145;5.546
2019-01-18;1,76;1,76;1,72;1,72;295;518
2019-01-17;1,785;1,785;1,785;1,785;187;334
2019-01-16;1,725;1,725;1,695;1,695;4.729;8.143
2019-01-15;1,755;1,755;1,725;1,725;5.400;9.460
2019-01-14;1,795;1,795;1,795;1,795;658;1.181
2019-01-11;1,77;1,77;1,77;1,77;1.499;2.653
2019-01-10;1,755;1,77;1,755;1,77;1.542;2.728
2019-01-09;1,84;1,84;1,755;1,755;3.001;5.522
2019-01-08;1,76;1,76;1,76;1,76;100;176
2019-01-07;1,71;1,795;1,71;1,795;225;386
2019-01-04;1,715;1,74;1,66;1,74;5.975;10.204
2019-01-03;1,73;1,73;1,715;1,715;800;1.377
2019-01-02;1,72;1,775;1,72;1,775;950;1.673
2018-12-28;1,80;1,80;1,79;1,79;312;559
2018-12-27;1,89;1,89;1,80;1,80;6.500;11.811
2018-12-21;1,695;1,92;1,695;1,92;13.709;24.478
2018-12-20;1,715;1,715;1,65;1,665;2.867;4.773
2018-12-19;1,71;1,71;1,71;1,71;1.144;1.956
2018-12-18;1,665;1,69;1,66;1,69;4.700;7.883
2018-12-17;1,73;1,745;1,665;1,665;4.418;7.564
2018-12-14;1,68;1,73;1,68;1,68;1.080;1.837
2018-12-13;1,635;1,65;1,635;1,65;666;1.090
2018-12-12;1,62;1,62;1,575;1,575;1.935;3.102
2018-12-11;1,69;1,69;1,595;1,64;953;1.567
2018-12-10;1,635;1,635;1,63;1,635;4.000;6.536
2018-12-07;1,64;1,66;1,64;1,66;2.232;3.674
2018-12-06;1,65;1,65;1,65;1,65;1.200;1.980
2018-12-05;1,67;1,705;1,62;1,705;1.040;1.711
2018-12-04;1,665;1,675;1,65;1,675;960;1.588
2018-12-03;1,85;1,85;1,665;1,68;1.555;2.693
2018-11-30;1,69;1,76;1,665;1,665;1.500;2.526
2018-11-29;1,72;1,72;1,70;1,70;980;1.670
2018-11-28;1,76365;1,76365;1,76365;1,76365;2.836;5.001
2018-11-27;1,72489;1,77819;1,72489;1,77819;6.855;12.002
