Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;11,40;12,20;11,40;12,00;13.865;164.044
2019-07-18;12,45;12,45;11,20;11,60;10.918;128.044
2019-07-17;12,80;12,80;12,55;12,55;82;1.048
2019-07-16;12,70;12,70;12,60;12,65;900;11.378
2019-07-15;12,50;12,80;12,50;12,75;1.000;12.721
2019-07-12;12,45;12,65;12,40;12,45;1.110;13.854
2019-07-11;12,35;12,45;12,30;12,40;2.755;33.938
2019-07-10;12,95;12,95;12,40;12,40;5.681;72.065
2019-07-09;13,05;13,05;13,05;13,05;1.814;23.673
2019-07-08;13,10;13,35;13,10;13,20;1.375;18.161
2019-07-05;13,30;13,35;13,30;13,35;100;1.330
2019-07-04;13,40;13,40;12,95;13,35;7.000;92.692
2019-07-03;13,20;13,50;13,15;13,45;3.620;48.303
2019-07-02;13,30;13,40;13,25;13,25;2.050;27.320
2019-07-01;13,20;13,25;13,00;13,15;2.262;29.755
2019-06-28;13,35;13,35;13,35;13,35;40;534
2019-06-27;13,45;13,45;13,30;13,35;2.700;36.065
2019-06-26;13,20;13,45;13,20;13,40;103;1.383
2019-06-25;13,45;13,45;13,35;13,40;1.345;18.011
2019-06-24;13,25;13,40;13,25;13,40;100;1.325
2019-06-21;13,75;13,75;13,45;13,45;1.639;22.242
2019-06-20;13,60;13,65;13,60;13,65;200;2.720
2019-06-19;13,50;13,65;13,40;13,55;778;10.512
2019-06-18;13,90;13,90;13,55;13,65;197;2.701
2019-06-17;13,60;13,75;13,60;13,75;500;6.800
2019-06-14;13,75;13,75;13,75;13,75;50;688
2019-06-13;13,75;13,75;13,60;13,70;656;8.966
2019-06-12;13,45;13,75;13,45;13,65;1.747;23.725
2019-06-11;13,90;13,90;13,50;13,50;2.671;36.569
2019-06-07;14,00;14,00;14,00;14,00;0;0
2019-06-06;14,20;14,20;14,05;14,05;192;2.724
2019-06-05;14,00;14,10;14,00;14,05;873;12.223
2019-06-04;13,8918;13,9907;13,8918;13,9907;309;4.299
2019-06-03;14,139;14,3367;13,8918;13,9907;8.745;124.423
2019-05-31;14,139;14,139;13,6446;13,8424;4.141;57.069
2019-05-30;14,2379;14,2873;14,139;14,139;1.868;26.483
2019-05-29;13,7929;14,3862;13,7435;14,3367;5.549;77.806
2019-05-28;13,8918;13,9412;13,8918;13,9412;121;1.686
2019-05-27;13,8918;14,139;13,6941;14,139;3.286;45.343
2019-05-24;13,7929;14,0895;13,7929;14,0895;2.459;34.506
2019-05-23;13,8918;13,9907;13,8918;13,8918;1.112;15.486
2019-05-22;13,8424;13,9412;13,7929;13,8424;415;5.733
2019-05-21;13,8424;13,8918;13,7435;13,8918;193;2.670
2019-05-20;13,9412;13,9907;13,8918;13,8918;475;6.639
2019-05-17;13,7929;13,9412;13,7929;13,9412;1.306;18.128
2019-05-16;13,8424;13,9412;13,6941;13,8918;1.362;18.860
2019-05-15;13,8918;13,9412;13,8424;13,8424;822;11.458
2019-05-14;13,9907;14,4356;13,8918;13,8918;4.551;64.226
2019-05-13;14,4356;14,485;14,1884;14,1884;664;9.551
2019-05-10;14,0401;14,2873;14,0401;14,1884;327;4.621
2019-05-09;14,1884;14,4356;13,9907;14,2379;5.442;77.486
2019-05-08;14,3367;14,5345;14,3367;14,3367;2.068;29.760
2019-05-07;14,0401;14,2873;14,0401;14,2873;2.246;31.760
