Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,02;0,0205;0,02;0,0205;250;5
2019-07-18;0,02;0,0205;0,02;0,0205;2.847;58
2019-07-17;0,02;0,02;0,02;0,02;0;0
2019-07-16;0,02;0,035;0,02;0,035;65.000;1.979
2019-07-15;0,02;0,02;0,02;0,02;0;0
2019-07-12;0,02;0,0205;0,02;0,0205;200;4
2019-07-11;0,02;0,02;0,02;0,02;0;0
2019-07-10;0,017;0,017;0,017;0,017;0;0
2019-07-09;0,017;0,017;0,017;0,017;0;0
2019-07-08;0,017;0,017;0,017;0,017;0;0
2019-07-05;0,017;0,0175;0,017;0,0175;210;4
2019-07-04;0,017;0,017;0,017;0,017;0;0
2019-07-03;0,017;0,017;0,017;0,017;0;0
2019-07-02;0,017;0,017;0,017;0,017;0;0
2019-07-01;0,017;0,017;0,017;0,017;0;0
2019-06-28;0,017;0,0175;0,017;0,0175;1.040;18
2019-06-27;0,017;0,0175;0,017;0,0175;650;11
2019-06-26;0,017;0,017;0,017;0,017;0;0
2019-06-25;0,017;0,017;0,017;0,017;0;0
2019-06-24;0,017;0,017;0,017;0,017;0;0
2019-06-21;0,017;0,017;0,017;0,017;0;0
2019-06-20;0,017;0,0175;0,017;0,0175;100;2
2019-06-19;0,017;0,017;0,017;0,017;0;0
2019-06-18;0,017;0,017;0,017;0,017;0;0
2019-06-17;0,017;0,017;0,017;0,017;500;9
2019-06-14;0,017;0,017;0,017;0,017;0;0
2019-06-13;0,017;0,0175;0,017;0,0175;9.760;171
2019-06-12;0,017;0,0175;0,017;0,0175;10.000;175
2019-06-11;0,017;0,0175;0,017;0,0175;4.000;70
2019-06-07;0,017;0,0175;0,017;0,0175;17;0
2019-06-06;0,017;0,017;0,017;0,017;0;0
2019-06-05;0,017;0,017;0,017;0,017;0;0
2019-06-04;0,017;0,017;0,017;0,017;0;0
2019-06-03;0,017;0,017;0,017;0,017;0;0
2019-05-31;0,017;0,017;0,017;0,017;0;0
2019-05-30;0,017;0,0175;0,017;0,0175;1.000;18
2019-05-29;0,017;0,0175;0,017;0,0175;306;5
2019-05-28;0,017;0,017;0,017;0,017;0;0
2019-05-27;0,017;0,0175;0,017;0,0175;2.500;44
2019-05-24;0,017;0,0175;0,017;0,0175;2.000;35
2019-05-23;0,017;0,0175;0,017;0,0175;1.000;18
2019-05-22;0,017;0,017;0,017;0,017;0;0
2019-05-21;0,017;0,017;0,017;0,017;80;1
2019-05-20;0,017;0,0285;0,017;0,0285;1.500;43
2019-05-17;0,017;0,017;0,017;0,017;0;0
2019-05-16;0,022;0,0225;0,022;0,022;35.300;777
2019-05-15;0,022;0,0225;0,022;0,0225;650;15
2019-05-14;0,0225;0,0225;0,0225;0,0225;2;0
2019-05-13;0,022;0,022;0,022;0,022;0;0
2019-05-10;0,022;0,022;0,022;0,022;0;0
2019-05-09;0,022;0,022;0,022;0,022;0;0
2019-05-08;0,022;0,0225;0,022;0,0225;2.620;59
2019-05-07;0,022;0,0225;0,022;0,0225;2.820;63
2019-05-06;0,022;0,022;0,022;0,022;0;0
2019-05-03;0,022;0,022;0,022;0,022;0;0
2019-05-02;0,022;0,022;0,022;0,022;0;0
2019-04-30;0,022;0,022;0,022;0,022;0;0
2019-04-29;0,022;0,0225;0,022;0,0225;300;7
2019-04-26;0,022;0,022;0,022;0,022;0;0
2019-04-25;0,022;0,022;0,022;0,022;0;0
2019-04-24;0,022;0,022;0,022;0,022;0;0
2019-04-23;0,022;0,027;0,022;0,027;104.028;2.809
2019-04-18;0,0235;0,0235;0,0225;0,0225;27.607;635
2019-04-17;0,023;0,0235;0,023;0,0235;3.500;82
2019-04-16;0,023;0,023;0,023;0,023;0;0
2019-04-15;0,023;0,023;0,023;0,023;0;0
2019-04-12;0,022;0,022;0,022;0,022;0;0
2019-04-11;0,026;0,026;0,026;0,026;10.000;260
2019-04-10;0,026;0,026;0,026;0,026;0;0
2019-04-09;0,026;0,026;0,026;0,026;0;0
2019-04-08;0,026;0,0265;0,026;0,0265;150;4
2019-04-05;0,026;0,026;0,026;0,026;0;0
2019-04-04;0,022;0,022;0,022;0,022;0;0
2019-04-03;0,022;0,022;0,022;0,022;0;0
2019-04-02;0,022;0,0225;0,022;0,0225;505;11
2019-04-01;0,022;0,022;0,022;0,022;0;0
2019-03-29;0,022;0,023;0,022;0,023;20.000;460
2019-03-28;0,022;0,0262;0,022;0,0262;1.620;37
2019-03-27;0,022;0,0222;0,022;0,0222;1.000;22
2019-03-26;0,022;0,022;0,022;0,022;0;0
2019-03-25;0,022;0,022;0,022;0,022;0;0
2019-03-22;0,022;0,0222;0,022;0,0222;300;7
2019-03-21;0,022;0,022;0,022;0,022;0;0
2019-03-20;0,025;0,025;0,025;0,025;0;0
2019-03-19;0,025;0,025;0,025;0,025;1.145;29
2019-03-18;0,025;0,025;0,025;0,025;0;0
2019-03-15;0,025;0,034;0,025;0,034;57.600;1.925
2019-03-14;0,02;0,0278;0,02;0,0278;15.000;417
2019-03-13;0,022;0,022;0,02;0,02;500;10
2019-03-12;0,018;0,025;0,018;0,025;100.250;2.505
2019-03-11;0,0182;0,0182;0,0182;0,0182;30;1
2019-03-08;0,0182;0,0182;0,0182;0,0182;1.600;29
2019-03-07;0,018;0,0182;0,018;0,0182;100;2
2019-03-06;0,018;0,018;0,018;0,018;0;0
2019-03-05;0,0172;0,0182;0,0172;0,0182;11.430;197
2019-03-04;0,0172;0,0172;0,0172;0,0172;0;0
2019-03-01;0,0172;0,0172;0,0172;0,0172;2.150;37
2019-02-28;0,0178;0,0178;0,0178;0,0178;3.000;53
2019-02-27;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-26;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-25;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-22;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-21;0,0178;0,0178;0,0178;0,0178;2.734;49
2019-02-20;0,0178;0,0178;0,0178;0,0178;1.000;18
2019-02-19;0,0178;0,0178;0,0178;0,0178;100;2
2019-02-18;0,0178;0,0178;0,0178;0,0178;800;14
2019-02-15;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-14;0,0178;0,0178;0,0178;0,0178;0;0
2019-02-13;0,019;0,019;0,019;0,019;0;0
2019-02-12;0,019;0,019;0,019;0,019;1.800;34
2019-02-11;0,019;0,019;0,019;0,019;730;14
2019-02-08;0,019;0,019;0,019;0,019;10;0
2019-02-07;0,018;0,02;0,018;0,02;109.033;2.071
2019-02-06;0,0164;0,0166;0,0164;0,0164;20.475;336
2019-02-05;0,016;0,0172;0,016;0,0172;6.600;112
2019-02-04;0,0172;0,0172;0,0172;0,0172;3.278;56
2019-02-01;0,017;0,0198;0,017;0,0198;1.960;36
2019-01-31;0,016;0,0162;0,016;0,0162;300;5
2019-01-30;0,02;0,02;0,0198;0,0198;2.800;55
2019-01-29;0,018;0,0182;0,018;0,0182;500;9
2019-01-28;0,0162;0,0162;0,0162;0,0162;0;0
2019-01-25;0,016;0,0162;0,016;0,0162;1.370;22
2019-01-24;0,017;0,0172;0,017;0,0172;1.000;17
2019-01-23;0,017;0,0172;0,017;0,0172;930;16
2019-01-22;0,016;0,016;0,016;0,016;0;0
2019-01-21;0,0192;0,0192;0,019;0,019;17.300;329
2019-01-18;0,0172;0,0172;0,0172;0,0172;2.500;43
2019-01-17;0,016;0,016;0,016;0,016;0;0
2019-01-16;0,017;0,017;0,017;0,017;0;0
2019-01-15;0,016;0,016;0,016;0,016;0;0
2019-01-14;0,017;0,023;0,017;0,0228;32.000;732
2019-01-11;0,016;0,025;0,016;0,023;31.200;760
2019-01-10;0,016;0,0268;0,016;0,0268;10.000;268
2019-01-09;0,016;0,0162;0,016;0,0162;400;6
2019-01-08;0,016;0,016;0,016;0,016;0;0
2019-01-07;0,016;0,016;0,016;0,016;0;0
2019-01-04;0,016;0,0166;0,016;0,0162;1.200;20
2019-01-03;0,016;0,0162;0,016;0,0162;100;2
2019-01-02;0,0162;0,0162;0,016;0,016;30.652;490
2018-12-28;0,016;0,0162;0,016;0,0162;1.400;23
2018-12-27;0,015;0,0162;0,015;0,0162;3.400;55
2018-12-21;0,015;0,0152;0,015;0,0152;180;3
2018-12-20;0,015;0,015;0,015;0,015;0;0
2018-12-19;0,015;0,015;0,015;0,015;30.000;450
2018-12-18;0,015;0,0152;0,015;0,0152;2.500;38
2018-12-17;0,0152;0,0152;0,0152;0,0152;3.300;50
2018-12-14;0,015;0,015;0,015;0,015;0;0
2018-12-13;0,015;0,0152;0,015;0,0152;1.525;23
2018-12-12;0,015;0,0152;0,015;0,0152;8.000;122
2018-12-11;0,015;0,0152;0,015;0,0152;250;4
2018-12-10;0,015;0,0152;0,015;0,0152;550;8
2018-12-07;0,0154;0,0162;0,0152;0,0162;44.216;673
2018-12-06;0,0156;0,0156;0,0156;0,0156;846;13
2018-12-05;0,0154;0,028;0,0154;0,0156;20.900;524
2018-12-04;0,0154;0,0154;0,0154;0,0154;0;0
2018-12-03;0,0154;0,0154;0,0154;0,0154;0;0
2018-11-30;0,0154;0,0154;0,0154;0,0154;0;0
2018-11-29;0,0154;0,0288;0,0154;0,0156;9.670;250
2018-11-28;0,0154;0,0154;0,0154;0,0154;0;0
2018-11-27;0,0172;0,0298;0,0156;0,0156;39.092;671
2018-11-26;0,0156;0,0156;0,0156;0,0156;1.200;19
2018-11-23;0,018;0,0182;0,018;0,018;22.360;403
2018-11-22;0,018;0,0182;0,018;0,0182;2.500;46
2018-11-21;0,018;0,0298;0,0154;0,0298;2.215;52
2018-11-20;0,0154;0,0154;0,014;0,014;0;0
2018-11-19;0,02;0,0202;0,02;0,02;55.000;1.102
2018-11-16;0,02;0,02;0,02;0,02;100;2
2018-11-15;0,03;0,03;0,03;0,03;0;0
2018-11-14;0,03;0,03;0,03;0,03;500;15
2018-11-13;0,03;0,03;0,03;0,03;50.950;1.529
2018-11-12;0,0302;0,0302;0,0302;0,0302;7.144;216
2018-11-09;0,03;0,03;0,03;0,03;0;0
2018-11-08;0,03;0,06;0,03;0,06;10.600;633
2018-11-07;0,03;0,0302;0,03;0,0302;1.150;35
2018-11-06;0,03;0,03;0,03;0,03;0;0
2018-11-05;0,03;0,0302;0,03;0,0302;3.000;91
2018-11-02;0,03;0,03;0,03;0,03;0;0
2018-11-01;0,03;0,0302;0,03;0,0302;1.246;38
2018-10-31;0,0302;0,0302;0,0302;0,0302;50;2
2018-10-30;0,03;0,03;0,03;0,03;0;0
2018-10-29;0,03;0,03;0,03;0,03;0;0
2018-10-26;0,031;0,031;0,0302;0,0302;150;5
2018-10-25;0,031;0,031;0,031;0,031;0;0
2018-10-24;0,031;0,031;0,031;0,031;0;0
2018-10-23;0,031;0,0312;0,031;0,0312;3.280;102
2018-10-22;0,031;0,031;0,031;0,031;0;0
2018-10-19;0,031;0,031;0,031;0,031;0;0
2018-10-18;0,031;0,031;0,031;0,031;0;0
2018-10-17;0,031;0,031;0,031;0,031;0;0
2018-10-16;0,031;0,031;0,031;0,031;0;0
2018-10-15;0,031;0,031;0,031;0,031;0;0
2018-10-12;0,031;0,031;0,031;0,031;0;0
2018-10-11;0,031;0,0312;0,031;0,0312;600;19
2018-10-10;0,031;0,0312;0,031;0,0312;90;3
2018-10-09;0,031;0,0312;0,031;0,0312;60;2
2018-10-08;0,031;0,041;0,031;0,041;5.400;172
2018-10-05;0,04;0,04;0,04;0,04;0;0
2018-10-04;0,034;0,0402;0,034;0,0402;44.086;1.764
2018-10-02;0,034;0,034;0,034;0,034;150;5
2018-10-01;0,031;0,031;0,031;0,031;0;0
2018-09-28;0,032;0,045;0,0312;0,0312;21.050;803
2018-09-27;0,032;0,032;0,032;0,032;0;0
2018-09-26;0,032;0,032;0,032;0,032;164;5
2018-09-25;0,032;0,032;0,032;0,032;0;0
2018-09-24;0,031;0,031;0,031;0,031;0;0
2018-09-21;0,031;0,031;0,031;0,031;0;0
2018-09-20;0,031;0,031;0,031;0,031;0;0
2018-09-19;0,04;0,0402;0,04;0,04;39.620;1.585
2018-09-18;0,039;0,0406;0,039;0,0406;55;2
2018-09-17;0,039;0,045;0,039;0,039;2.702;116
2018-09-14;0,032;0,04;0,032;0,04;41.220;1.612
2018-09-13;0,032;0,032;0,032;0,032;0;0
2018-09-12;0,032;0,032;0,032;0,032;0;0
2018-09-11;0,031;0,031;0,031;0,031;0;0
2018-09-10;0,03;0,03;0,03;0,03;100;3
2018-09-07;0,03;0,03;0,03;0,03;365;11
2018-09-06;0,03;0,0498;0,03;0,03;3.121;123
2018-09-05;0,0312;0,0316;0,0312;0,0316;24.150;760
2018-09-04;0,0268;0,032;0,0268;0,032;20;1
2018-09-03;0,038;0,057;0,038;0,057;15.760;819
2018-08-31;0,0384;0,0384;0,0384;0,0384;0;0
2018-08-30;0,04;0,04;0,04;0,04;2.400;96
2018-08-29;0,04;0,04;0,04;0,04;0;0
2018-08-28;0,04;0,04;0,04;0,04;0;0
2018-08-27;0,0372;0,065;0,0372;0,065;21.200;1.345
2018-08-24;0,037;0,037;0,037;0,037;0;0
2018-08-23;0,035;0,035;0,035;0,035;300;11
2018-08-22;0,037;0,037;0,035;0,035;600;21
2018-08-21;0,037;0,037;0,037;0,037;0;0
2018-08-20;0,0372;0,0372;0,035;0,035;1.200;42
2018-08-17;0,04;0,04;0,04;0,04;2.400;96
2018-08-16;0,041;0,041;0,04;0,04;1.500;60
2018-08-15;0,041;0,041;0,041;0,041;0;0
2018-08-14;0,038;0,038;0,038;0,038;0;0
2018-08-13;0,038;0,038;0,038;0,038;0;0
2018-08-10;0,038;0,038;0,0362;0,0362;200;7
2018-08-09;0,038;0,038;0,038;0,038;0;0
2018-08-08;0,0384;0,0384;0,0362;0,0362;200;7
2018-08-07;0,0386;0,0386;0,0386;0,0386;0;0
2018-08-06;0,0386;0,0386;0,0386;0,0386;0;0
2018-08-03;0,0386;0,0386;0,0362;0,0362;1.000;36
2018-08-02;0,0364;0,0364;0,0362;0,0362;1.000;36
2018-08-01;0,0386;0,0386;0,0386;0,0386;0;0
2018-07-31;0,0386;0,0386;0,0386;0,0386;0;0
2018-07-30;0,0404;0,0406;0,0404;0,0406;450;18
2018-07-27;0,043;0,043;0,0412;0,0412;15.869;654
2018-07-26;0,0428;0,0428;0,0412;0,0412;2.476;102
2018-07-25;0,0424;0,0424;0,0424;0,0424;0;0
2018-07-24;0,0422;0,0422;0,0412;0,0412;450;19
2018-07-23;0,042;0,042;0,0414;0,0414;100;4
2018-07-20;0,0418;0,058;0,0418;0,058;5.504;319
2018-07-19;0,0416;0,0416;0,0416;0,0416;0;0
2018-07-18;0,0418;0,0418;0,0418;0,0418;0;0
2018-07-17;0,04;0,04;0,04;0,04;0;0
2018-07-16;0,0308;0,0308;0,0308;0,0308;0;0
2018-07-13;0,028;0,028;0,028;0,028;0;0
2018-07-12;0,041;0,0698;0,041;0,0698;200;14
2018-07-11;0,0316;0,0316;0,0316;0,0316;0;0
2018-07-10;0,0368;0,049;0,0368;0,049;20;1
2018-07-09;0,05;0,05;0,05;0,05;0;0
2018-07-06;0,0322;0,05;0,0322;0,05;12.000;600
2018-07-05;0,0264;0,0422;0,0264;0,0422;200;8
2018-07-04;0,023;0,023;0,023;0,023;0;0
2018-07-03;0,0356;0,055;0,0356;0,055;18.228;1.003
2018-07-02;0,0354;0,074;0,0354;0,074;10.000;740
2018-06-29;0,0416;0,0416;0,0416;0,0416;0;0
2018-06-28;0,043;0,043;0,043;0,043;0;0
2018-06-27;0,0438;0,0438;0,0438;0,0438;0;0
2018-06-26;0,0438;0,0438;0,0438;0,0438;0;0
2018-06-25;0,0438;0,063;0,0438;0,063;313;20
2018-06-22;0,0438;0,0438;0,0438;0,0438;0;0
2018-06-21;0,0438;0,0438;0,0438;0,0438;0;0
2018-06-20;0,058;0,058;0,058;0,058;0;0
2018-06-19;0,0456;0,0456;0,0456;0,0456;0;0
2018-06-18;0,0528;0,0528;0,0528;0,0528;0;0
2018-06-15;0,06;0,06;0,06;0,06;0;0
2018-06-14;0,048;0,048;0,048;0,048;0;0
2018-06-13;0,055;0,055;0,055;0,055;0;0
2018-06-12;0,0474;0,0474;0,0474;0,0474;0;0
2018-06-11;0,0478;0,0668;0,0478;0,0668;2.400;160
2018-06-08;0,0524;0,0524;0,0524;0,0524;0;0
2018-06-07;0,0482;0,0482;0,0482;0,0482;0;0
2018-06-06;0,0466;0,0466;0,0466;0,0466;0;0
2018-06-05;0,0494;0,0494;0,0494;0,0494;0;0
2018-06-04;0,0476;0,066;0,0476;0,066;0;0
2018-06-01;0,05;0,05;0,05;0,05;0;0
2018-05-31;0,05;0,05;0,05;0,05;0;0
2018-05-30;0,06;0,06;0,06;0,06;0;0
2018-05-29;0,065;0,065;0,065;0,065;0;0
2018-05-28;0,0602;0,0702;0,0602;0,0702;620;44
2018-05-25;0,071;0,071;0,071;0,071;0;0
2018-05-24;0,071;0,071;0,07;0,07;3.800;266
2018-05-23;0,071;0,071;0,071;0,071;0;0
2018-05-22;0,071;0,08;0,0706;0,0706;667;52
2018-05-18;0,06;0,06;0,06;0,06;0;0
2018-05-17;0,07;0,073;0,07;0,073;7.200;526
2018-05-16;0,07;0,07;0,07;0,07;0;0
2018-05-15;0,07;0,07;0,07;0,07;0;0
2018-05-14;0,071;0,071;0,071;0,071;0;0
2018-05-11;0,071;0,071;0,071;0,071;0;0
