Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;0,962;1,005;0,962;0,962;560;543
2019-08-13;0,962;1,005;0,95;0,952;17.997;17.421
2019-08-12;0,952;1,00;0,952;0,962;6.451;6.235
2019-08-09;0,964;1,005;0,964;1,005;4.717;4.730
2019-08-08;0,97;1,005;0,962;0,962;7.169;7.048
2019-08-07;0,964;1,00;0,964;0,97;504;493
2019-08-06;1,015;1,015;0,96;1,015;7.070;6.902
2019-08-05;1,015;1,015;0,972;0,988;9.014;8.943
2019-08-02;1,02;1,02;0,976;0,992;3.614;3.620
2019-08-01;1,02;1,02;0,98;0,986;15.506;15.562
2019-07-31;1,02;1,02;1,02;1,02;1.245;1.270
2019-07-30;0,992;1,025;0,972;0,972;6.394;6.464
2019-07-29;1,00;1,025;0,972;0,992;24.609;24.656
2019-07-26;0,994;1,00;0,972;0,99;8.374;8.310
2019-07-25;0,994;1,04;0,994;1,04;2.525;2.571
2019-07-24;1,02;1,055;1,00;1,00;20.869;21.466
2019-07-23;1,00;1,035;1,00;1,035;1.724;1.766
2019-07-22;1,045;1,045;0,994;1,035;7.945;8.094
2019-07-19;1,03;1,03;0,994;0,994;450;450
2019-07-18;0,994;1,03;0,994;1,03;4.867;4.859
2019-07-17;1,005;1,04;0,994;0,994;6.935;6.932
2019-07-16;1,035;1,05;0,984;0,984;18.733;19.155
2019-07-15;0,994;1,035;0,994;1,035;5.191;5.194
2019-07-12;1,05;1,05;0,992;0,994;5.101;5.120
2019-07-11;1,045;1,045;0,98;0,98;7.010;6.922
2019-07-10;0,992;1,03;0,982;0,982;9.002;8.966
2019-07-09;1,145;1,195;0,98;1,035;51.226;54.243
2019-07-08;1,045;1,15;0,984;1,07;24.603;26.492
2019-07-05;1,005;1,03;1,005;1,03;919;939
2019-07-04;1,05;1,05;0,982;0,982;7.997;8.011
2019-07-03;1,025;1,045;0,992;0,992;11.726;11.890
2019-07-02;1,035;1,065;1,025;1,065;12.825;13.326
2019-07-01;1,02;1,06;1,02;1,045;2.729;2.833
2019-06-28;1,03;1,06;1,01;1,06;2.652;2.703
2019-06-27;1,045;1,05;1,005;1,01;8.865;9.029
2019-06-26;1,05;1,085;0,996;1,005;13.200;13.648
2019-06-25;1,03;1,075;1,03;1,06;1.825;1.914
2019-06-24;1,095;1,095;0,99;1,095;10.338;10.955
2019-06-21;1,065;1,075;0,992;0,992;3.354;3.481
2019-06-20;1,015;1,09;1,015;1,035;1.755;1.880
2019-06-19;1,05;1,07;1,04;1,07;5.720;6.019
2019-06-18;1,075;1,075;1,035;1,035;185;195
2019-06-17;1,015;1,10;1,015;1,10;4.097;4.380
2019-06-14;1,005;1,105;1,005;1,08;30.982;32.285
2019-06-13;1,08;1,15;1,04;1,05;30.227;33.218
2019-06-12;1,055;1,075;1,045;1,075;3.460;3.658
2019-06-11;1,035;1,09;1,025;1,055;10.822;11.543
2019-06-10;1,02;1,035;1,02;1,02;3.109;3.186
2019-06-07;1,035;1,035;0,952;1,02;12.947;13.071
2019-06-06;0,938;0,984;0,912;0,984;25.574;23.920
2019-06-05;0,836;0,928;0,836;0,928;15.778;14.093
2019-06-04;0,90;0,90;0,834;0,878;17.043;14.743
