Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-04-01;66,40;66,40;66,40;66,40;;
2019-03-29;66,40;66,40;66,40;66,40;;
2019-03-28;66,40;66,40;66,40;66,40;;
2019-03-27;66,40;66,40;66,40;66,40;;
2019-03-26;66,40;66,40;66,40;66,40;;
2019-03-25;66,40;66,40;66,40;66,40;;
2019-03-22;66,40;66,40;66,40;66,40;;
2019-03-21;66,40;66,40;66,40;66,40;41;2.722
2019-03-20;66,70;66,70;66,70;66,70;;
2019-03-19;66,70;66,70;66,70;66,70;;
2019-03-18;66,70;66,70;66,70;66,70;;
2019-03-15;66,70;66,70;66,70;66,70;;
2019-03-14;66,70;66,70;66,70;66,70;;
2019-03-13;66,70;66,70;66,70;66,70;;
2019-03-12;66,70;66,70;66,70;66,70;;
2019-03-11;66,70;66,70;66,70;66,70;;
2019-03-08;66,70;66,70;66,70;66,70;;
2019-03-07;66,70;66,70;66,70;66,70;;
2019-03-06;66,70;66,70;66,70;66,70;;
2019-03-05;66,70;66,70;66,70;66,70;;
2019-02-27;66,70;66,70;66,70;66,70;;
2019-02-26;66,70;66,70;66,70;66,70;;
2019-02-25;66,70;66,70;66,70;66,70;;
2019-02-22;66,70;66,70;66,70;66,70;;
2019-02-21;66,50;66,50;66,50;66,50;;
2019-02-20;66,50;66,50;66,50;66,50;;
2019-02-19;66,50;66,50;66,50;66,50;;
2019-02-18;66,50;66,50;66,50;66,50;;
2019-02-15;66,50;66,50;66,50;66,50;;
2019-02-13;66,90;66,90;66,90;66,90;;
2019-02-12;66,90;66,90;66,90;66,90;;
2019-02-08;66,90;66,90;66,90;66,90;;
2019-02-06;66,90;66,90;66,90;66,90;;
2018-12-14;64,90;64,90;64,90;64,90;;
2018-12-13;64,90;64,90;64,90;64,90;;
2018-12-12;64,90;64,90;64,90;64,90;;
2018-12-11;64,90;64,90;64,90;64,90;;
2018-12-10;64,90;64,90;64,90;64,90;;
2018-12-07;64,90;64,90;64,90;64,90;;
2018-12-06;64,90;64,90;64,90;64,90;;
2018-12-05;64,90;64,90;64,90;64,90;;
2018-12-04;64,90;64,90;64,90;64,90;;
2018-12-03;64,90;64,90;64,90;64,90;;
2018-11-30;64,90;64,90;64,90;64,90;;
2018-11-29;65,60;65,60;65,60;65,60;;
2018-11-28;65,60;65,60;65,60;65,60;;
2018-11-27;65,60;65,60;65,60;65,60;;
2018-11-26;65,60;65,60;65,60;65,60;;
2018-11-23;65,60;65,60;65,60;65,60;;
2018-11-22;65,60;65,60;65,60;65,60;;
2018-11-21;65,60;65,60;65,60;65,60;;
2018-11-20;65,60;65,60;65,60;65,60;;
2018-11-19;67,00;67,00;67,00;67,00;;
2018-11-16;67,00;67,00;67,00;67,00;;
2018-11-15;67,20;67,20;67,20;67,20;;
2018-11-14;67,80;67,80;67,80;67,80;;
2018-11-13;68,40;68,40;68,40;68,40;;
2018-11-12;68,40;68,40;68,40;68,40;;
2018-11-09;68,40;68,40;68,40;68,40;;
2018-11-08;68,40;68,40;68,40;68,40;;
2018-11-07;68,40;68,40;68,40;68,40;130;8.892
