Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;218,70;221,60;218,30;221,30;90.540;19.974.686
2019-07-18;217,10;219,00;215,60;217,60;78.506;17.100.664
2019-07-17;219,60;221,30;218,40;218,90;86.231;18.902.378
2019-07-16;218,00;220,40;217,60;220,20;83.657;18.369.946
2019-07-15;215,20;218,40;215,20;217,80;95.087;20.680.648
2019-07-12;214,90;216,10;213,90;215,10;69.159;14.882.686
2019-07-11;214,80;216,10;213,90;214,60;51.386;11.040.596
2019-07-10;213,50;215,30;212,20;214,00;87.185;18.655.990
2019-07-09;212,30;214,50;210,30;213,80;85.117;18.135.260
2019-07-08;212,40;214,30;211,80;213,50;74.868;15.958.716
2019-07-05;214,90;214,90;212,40;213,50;80.152;17.099.634
2019-07-04;214,90;214,90;212,30;214,70;53.573;11.457.693
2019-07-03;211,60;214,30;211,60;214,30;110.073;23.515.610
2019-07-02;210,90;212,60;210,40;211,90;95.030;20.113.920
2019-07-01;210,50;211,90;209,60;210,20;114.338;24.052.796
2019-06-28;205,70;209,50;205,10;209,50;140.778;29.351.484
2019-06-27;206,90;206,90;204,80;204,80;91.106;18.704.536
2019-06-26;206,10;206,60;204,80;206,00;75.674;15.584.832
2019-06-25;204,90;206,70;204,30;205,60;66.901;13.764.606
2019-06-24;205,70;207,60;205,40;206,00;96.355;19.883.742
2019-06-21;204,50;206,30;203,40;206,30;201.795;41.559.144
2019-06-20;203,40;205,70;201,00;205,00;123.065;25.178.988
2019-06-19;201,60;203,20;199,95;200,80;102.499;20.617.556
2019-06-18;198,60;202,70;198,30;202,20;149.477;30.157.670
2019-06-17;199,40;200,20;198,15;199,70;105.311;21.007.568
2019-06-14;199,55;200,20;196,85;198,70;94.510;18.750.934
2019-06-13;202,10;202,70;199,55;199,60;106.636;21.345.454
2019-06-12;200,20;201,80;197,90;201,20;141.236;28.280.496
2019-06-11;202,70;204,00;202,10;202,10;83.497;16.913.726
2019-06-07;199,75;202,40;198,95;201,30;79.236;15.956.658
2019-06-06;197,80;201,80;197,70;197,90;87.009;17.312.924
2019-06-05;196,00;200,60;195,40;197,95;129.871;25.786.580
2019-06-04;194,65;195,55;191,75;194,80;144.378;28.005.972
2019-06-03;192,15;195,30;190,35;195,25;100.285;19.427.380
2019-05-31;191,95;194,35;190,05;193,60;132.694;25.572.936
2019-05-30;192,00;195,10;191,50;194,85;60.894;11.827.762
2019-05-29;195,50;195,50;191,45;191,75;101.829;19.596.422
2019-05-28;195,95;196,55;193,65;196,20;229.457;44.958.664
2019-05-27;195,55;196,90;194,00;194,65;62.678;12.205.986
2019-05-24;196,50;198,05;194,95;194,95;182.285;35.714.424
2019-05-23;200,60;200,60;196,00;196,10;106.988;21.076.448
2019-05-22;199,95;203,00;199,55;201,70;97.050;19.558.652
2019-05-21;203,90;204,20;199,65;200,00;137.930;27.687.870
2019-05-20;205,10;206,10;201,40;203,50;62.226;12.653.054
2019-05-17;207,00;207,00;205,10;206,10;73.132;15.067.202
2019-05-16;202,70;208,70;202,70;208,30;127.272;26.268.942
2019-05-15;201,00;202,70;199,55;202,70;99.809;20.130.166
2019-05-14;195,50;201,10;195,30;200,30;128.591;25.657.216
2019-05-13;194,15;198,80;192,75;195,90;201.113;39.465.960
2019-05-10;200,60;203,50;199,25;200,50;119.561;24.068.064
2019-05-09;202,50;203,10;198,40;200,00;109.069;21.875.066
2019-05-08;203,00;205,20;201,30;203,90;81.723;16.654.208
2019-05-07;206,40;208,30;203,80;204,30;124.499;25.552.752
2019-05-06;206,00;207,40;204,50;207,00;58.756;12.113.674
2019-05-03;209,10;210,40;208,60;208,90;57.182;11.962.849
2019-05-02;209,20;210,00;207,70;208,40;95.680;19.946.752
2019-04-30;207,40;211,30;206,80;209,70;181.259;37.901.424
2019-04-29;205,80;205,90;203,30;205,00;99.583;20.409.104
2019-04-26;206,40;208,20;203,70;204,30;147.674;30.283.764
2019-04-25;208,40;208,40;204,70;205,60;112.483;23.142.740
2019-04-24;207,00;210,30;206,80;207,70;131.509;27.395.088
2019-04-23;205,00;207,60;203,90;206,70;141.010;29.112.112
2019-04-18;205,50;206,60;203,70;205,20;94.793;19.435.824
2019-04-17;205,70;206,10;204,10;205,70;90.970;18.688.934
2019-04-16;206,10;206,70;204,00;206,00;110.796;22.777.430
2019-04-15;205,30;206,40;204,60;206,40;121.547;25.007.510
2019-04-12;202,80;204,70;200,90;204,70;93.226;19.012.988
2019-04-11;202,6781;203,9603;199,818;201,4946;111.463;22.439.304
2019-04-10;200,7056;205,637;200,607;202,4809;123.297;25.002.664
2019-04-09;207,6095;207,6095;200,1139;200,4097;162.373;32.777.252
2019-04-08;205,3411;208,1026;204,2562;208,1026;133.764;27.703.386
2019-04-05;205,4397;206,7219;204,5521;205,637;116.625;23.995.038
2019-04-04;206,0315;206,426;204,7493;205,8342;108.525;22.325.160
2019-04-03;202,7768;206,5246;201,8891;206,3273;117.131;24.007.412
2019-04-02;203,1713;204,0589;200,9029;201,8891;119.902;24.219.410
2019-04-01;202,185;202,974;199,9166;202,185;152.818;30.815.032
2019-03-29;197,2537;199,4235;196,5633;199,029;123.418;24.505.638
2019-03-28;192,5196;197,4509;192,421;196,0702;85.329;16.702.555
2019-03-27;195,8729;196,5633;192,1251;193,21;122.368;23.709.046
2019-03-26;194,1962;198,2399;193,9004;196,5633;152.896;30.059.910
2019-03-25;191,9278;193,5059;190,2512;193,21;109.569;21.094.518
2019-03-22;195,2811;195,9715;191,2374;192,8155;152.610;29.412.228
2019-03-21;194,2949;194,6894;192,0265;194,4921;90.912;17.638.954
2019-03-20;196,9578;196,9578;194,0976;194,1962;104.620;20.356.968
2019-03-19;194,6894;197,0564;193,8017;196,5633;84.085;16.507.676
2019-03-18;194,9853;194,9853;191,8292;194,1962;95.768;18.550.690
2019-03-15;192,3223;195,577;192,0265;194,9853;195.447;38.056.732
2019-03-14;190,7443;192,5196;189,6594;192,2237;87.825;16.846.782
2019-03-13;189,2649;190,4484;188,7718;190,2512;78.098;14.836.584
2019-03-12;189,2649;190,2512;188,0814;189,6594;117.325;22.216.486
2019-03-11;186,1088;188,18;184,9253;188,18;118.287;22.139.418
2019-03-08;185,4185;186,7992;184,3336;185,3198;58.181;10.786.339
2019-03-07;189,758;189,8567;186,3061;186,9965;102.568;19.224.492
2019-03-06;189,9553;192,2237;189,758;189,758;80.066;15.249.184
2019-03-05;188,969;190,2512;187,7855;189,8567;95.338;18.069.222
2019-03-04;188,2786;189,3635;187,5882;188,2786;78.749;14.846.299
2019-03-01;187,6869;188,8704;185,7143;187,391;151.084;28.328.560
2019-02-28;189,3635;189,758;185,1226;185,9116;194.602;36.253.360
2019-02-27;189,3635;190,6457;187,0951;189,5608;124.579;23.556.156
2019-02-26;189,8567;191,5333;188,4759;190,8429;102.801;19.603.662
2019-02-25;192,2237;192,8155;190,7443;191,0402;106.824;20.445.668
2019-02-22;191,7306;193,1113;190,9416;191,3361;100.895;19.326.870
2019-02-21;190,3498;193,5059;188,0814;191,2374;186.414;35.673.732
2019-02-20;193,999;195,2811;180,6844;188,5745;373.924;70.377.464
2019-02-19;193,999;194,2949;191,7306;193,4072;133.299;25.760.696
2019-02-18;193,3086;194,1962;192,0265;193,4072;87.444;16.901.974
2019-02-15;189,3635;195,3798;188,969;193,1113;131.163;25.364.148
2019-02-14;191,2374;193,0127;188,8704;188,8704;132.689;25.232.676
2019-02-13;188,4759;190,1525;187,8841;189,3635;89.326;16.908.542
2019-02-12;189,3635;189,758;187,6869;188,18;128.886;24.296.446
2019-02-11;184,9253;188,3773;184,7281;187,0951;121.843;22.775.546
2019-02-08;186,4047;187,9828;183,0514;184,1363;131.358;24.296.950
2019-02-07;186,5033;189,2649;186,4047;186,4047;136.358;25.556.472
2019-02-06;189,6594;190,3498;187,2924;188,18;106.711;20.103.898
2019-02-05;187,0951;190,0539;184,4322;189,5608;152.837;28.863.692
2019-02-04;186,0102;187,5882;185,1226;185,7143;149.116;27.725.040
2019-02-01;187,1937;188,5745;184,5308;185,6157;151.115;28.092.462
2019-01-31;189,758;192,0265;184,9253;185,6157;217.629;40.629.104
2019-01-30;188,7718;189,6594;186,8979;189,4622;105.217;19.858.708
2019-01-29;185,2212;189,3635;184,7281;188,3773;116.324;21.879.364
2019-01-28;188,18;188,2786;185,0239;185,2212;102.379;19.028.212
2019-01-25;184,9253;187,1937;184,6294;186,1088;126.778;23.606.364
2019-01-24;182,7555;184,6294;181,572;183,9391;157.235;28.881.862
2019-01-23;179,205;183,9391;179,0077;183,15;150.551;27.469.376
2019-01-22;179,5995;180,783;178,7118;179,7967;92.873;16.699.901
2019-01-21;179,4022;180,783;178,8105;180,0926;69.736;12.542.649
2019-01-18;177,5283;179,3036;176,542;179,0077;107.775;19.236.518
2019-01-17;175,5558;176,3448;172,1038;176,0489;119.063;20.879.532
2019-01-16;176,542;176,8379;173,1887;176,1475;141.985;24.927.916
2019-01-15;174,2736;176,7393;172,6956;176,0489;185.986;32.609.668
2019-01-14;168,6519;172,597;168,1588;171,9066;141.791;24.316.468
2019-01-11;167,1725;169,3423;166,778;168,7505;167.988;28.328.164
2019-01-10;166,5807;167,3697;164,8054;166,6794;106.435;17.672.930
2019-01-09;165,8903;168,7505;164,8054;167,0739;150.053;25.097.314
2019-01-08;157,8029;165,5945;157,8029;164,9041;191.580;31.419.460
2019-01-07;160,8604;161,8466;156,6194;157,7043;95.249;15.031.212
2019-01-04;155,6331;159,4796;154,6469;159,381;107.250;16.901.580
2019-01-03;155,5345;155,8304;153,4634;154,0551;101.286;15.637.206
2019-01-02;156,3235;158,2961;154,351;156,6194;160.049;24.997.834
2018-12-28;157,8029;159,2823;155,7318;156,2249;51.287;8.039.016
2018-12-27;156,8167;158,7892;155,4359;156,5208;156.435;24.543.168
2018-12-21;157,3098;158,9865;155,7318;156,2249;376.703;59.052.056
2018-12-20;161,4521;161,8466;157,9016;158,1974;166.365;26.440.042
