Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;12,98;13,00;12,86;13,00;9.214;119.449
2019-05-02;13,00;13,00;12,74;12,98;15.031;194.559
2019-04-30;12,36;13,66;12,22;12,94;287.159;3.621.983
2019-04-29;12,50;12,50;12,30;12,36;11.494;142.417
2019-04-26;12,84;12,84;12,38;12,40;12.258;153.180
2019-04-25;12,50;12,72;12,38;12,72;21.887;275.665
2019-04-24;12,40;12,98;12,38;12,44;41.179;523.751
2019-04-23;11,68;12,54;11,68;12,54;75.780;931.221
2019-04-18;11,40;11,60;11,40;11,60;23.817;273.750
2019-04-17;11,00;11,36;11,00;11,30;39.268;438.286
2019-04-16;10,70;10,98;10,70;10,98;35.030;380.225
2019-04-15;10,70;10,74;10,58;10,68;61.988;660.876
2019-04-12;10,68;10,74;10,54;10,54;25.500;271.898
2019-04-11;11,00;11,00;10,64;10,64;15.850;170.436
2019-04-10;11,08;11,08;10,82;10,92;22.314;243.993
2019-04-09;11,20;11,26;11,06;11,14;10.586;117.977
2019-04-08;11,26;11,44;11,24;11,30;12.657;143.466
2019-04-05;10,84;11,26;10,82;11,18;29.915;332.854
2019-04-04;10,74;10,90;10,70;10,90;22.335;241.026
2019-04-03;10,60;10,70;10,54;10,70;14.415;153.586
2019-04-02;10,64;10,66;10,58;10,60;4.758;50.636
2019-04-01;10,48;10,68;10,34;10,60;33.794;355.984
2019-03-29;10,62;10,74;10,52;10,52;13.372;142.411
2019-03-28;10,70;10,76;10,56;10,64;11.966;127.757
2019-03-27;10,50;10,98;10,50;10,70;11.708;125.985
2019-03-26;10,70;10,78;10,46;10,52;23.106;244.317
2019-03-25;11,06;11,06;10,60;10,66;15.847;172.303
2019-03-22;11,50;11,50;10,98;11,04;18.608;209.291
2019-03-21;11,58;11,70;11,38;11,52;25.338;292.540
2019-03-20;11,60;11,64;11,54;11,54;8.878;102.834
2019-03-19;12,00;12,04;11,60;11,68;44.798;527.232
2019-03-18;12,26;12,26;12,00;12,00;15.997;194.341
2019-03-15;12,50;12,50;12,28;12,28;72.173;894.659
2019-03-14;12,50;12,60;12,34;12,40;143.609;1.785.878
2019-03-13;13,68;13,88;13,68;13,82;5.541;76.315
2019-03-12;13,58;13,84;13,58;13,80;1.953;26.939
2019-03-11;13,64;13,80;13,64;13,68;2.156;29.525
2019-03-08;13,64;13,72;13,48;13,60;7.991;108.782
2019-03-07;13,50;13,76;13,48;13,52;5.820;78.713
2019-03-06;13,80;13,80;13,60;13,62;3.990;54.505
2019-03-05;14,00;14,00;13,64;13,64;1.296;17.801
2019-03-04;13,70;13,88;13,70;13,82;2.188;30.306
2019-03-01;13,94;14,18;13,72;13,82;11.699;163.141
2019-02-28;13,46;13,86;13,46;13,86;9.707;134.097
2019-02-27;13,46;13,68;13,46;13,68;2.807;38.132
