Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-03-03;98,90;99,75;98,90;99,75;0;0
2016-03-02;99,187;99,525;99,187;99,525;0;0
2016-03-01;99,55;99,55;99,317;99,317;0;0
2016-02-29;99,35;99,35;99,35;99,35;0;0
2016-02-26;99,35;99,35;99,35;99,35;0;0
2016-02-25;99,405;99,55;99,405;99,55;0;0
2016-02-24;99,35;99,35;99,35;99,35;0;0
2016-02-23;99,35;99,35;99,35;99,35;0;0
2016-02-22;99,35;99,35;99,35;99,35;0;0
2016-02-19;99,35;99,35;99,35;99,35;0;0
2016-02-18;99,36;99,36;99,36;99,36;0;0
2016-02-17;99,36;99,36;99,36;99,36;0;0
2016-02-16;99,35;99,50;99,35;99,50;0;0
2016-02-15;99,36;99,36;99,35;99,35;74.000;73.526
2016-02-12;99,36;99,36;99,36;99,36;0;0
2016-02-11;99,25;99,36;99,25;99,36;0;0
2016-02-10;98,75;100,40;98,75;99,25;17.000;16.921
2016-02-09;98,25;99,05;98,25;99,05;0;0
2016-02-04;93,50;93,625;93,50;93,625;3.000;2.805
2016-02-03;93,50;93,50;93,25;93,25;67.000;62.620
2016-02-02;93,25;93,50;93,25;93,50;0;0
2016-02-01;92,00;92,625;92,00;92,625;0;0
2016-01-29;92,00;92,00;92,00;92,00;15.000;13.800
2016-01-28;91,75;92,50;91,75;92,00;50.000;46.250
2016-01-27;91,75;91,75;91,75;91,75;0;0
2016-01-26;90,50;92,00;90,50;91,75;150.000;137.950
2016-01-25;90,05;92,00;90,05;90,05;90.000;81.435
2016-01-22;90,05;90,05;90,05;90,05;0;0
2016-01-21;90,05;90,05;90,05;90,05;0;0
2016-01-20;90,10;90,10;90,10;90,10;0;0
2016-01-19;90,10;90,10;90,10;90,10;0;0
2016-01-18;90,10;91,35;90,10;91,35;0;0
2016-01-15;90,10;90,10;90,10;90,10;0;0
2016-01-14;90,10;90,10;90,10;90,10;4.000;3.604
2016-01-13;90,05;91,00;90,05;90,05;65.000;59.150
2016-01-12;89,50;91,00;89,00;90,05;15.000;13.650
2016-01-11;88,50;89,50;88,50;89,50;0;0
2016-01-08;88,50;88,50;88,50;88,50;0;0
2016-01-07;88,50;90,10;88,50;90,10;155.000;139.575
2016-01-06;88,50;88,50;88,50;88,50;0;0
2016-01-05;88,50;88,50;88,50;88,50;0;0
2016-01-04;88,50;88,50;88,50;88,50;0;0
2015-12-30;88,50;88,50;88,50;88,50;0;0
2015-12-29;88,50;88,50;88,50;88,50;0;0
2015-12-28;88,50;88,50;88,50;88,50;0;0
2015-12-23;88,50;88,50;88,50;88,50;0;0
2015-12-22;89,75;89,75;88,50;88,50;8.000;7.110
2015-12-21;88,50;88,50;88,50;88,50;15.000;13.275
2015-12-18;88,55;88,55;87,825;87,825;3.000;2.657
2015-12-17;88,55;88,55;88,55;88,55;0;0
2015-12-16;89,25;89,25;89,25;89,25;0;0
2015-12-15;88,55;89,25;88,55;89,25;5.000;4.428
2015-12-14;88,55;89,25;88,55;89,25;0;0
2015-12-11;89,20;89,20;89,00;89,00;30.000;26.720
2015-12-10;89,20;89,20;89,20;89,20;0;0
2015-12-09;89,20;89,20;89,20;89,20;0;0
2015-12-08;89,20;89,20;89,20;89,20;0;0
2015-12-07;89,20;89,20;89,20;89,20;5.000;4.460
2015-12-04;89,10;89,20;89,10;89,20;0;0
2015-12-03;89,25;89,25;89,05;89,15;120.000;107.100
2015-12-02;89,25;89,25;89,25;89,25;0;0
2015-12-01;89,25;89,25;89,25;89,25;0;0
2015-11-30;89,25;89,25;89,25;89,25;0;0
2015-11-27;89,25;89,25;89,25;89,25;0;0
2015-11-26;89,25;89,25;89,25;89,25;0;
2015-11-25;89,25;89,25;89,25;89,25;0;0
2015-11-24;90,00;90,05;89,25;89,25;0;0
2015-11-23;88,65;91,00;88,65;90,00;154.000;138.640
2015-11-20;88,75;88,75;88,75;88,75;0;0
2015-11-19;88,75;88,75;88,75;88,75;0;0
2015-11-18;88,75;88,75;88,75;88,75;0;0
2015-11-17;88,20;88,75;88,20;88,75;0;0
2015-11-16;88,20;88,20;88,20;88,20;0;0
2015-11-13;88,50;90,00;88,50;90,00;150.000;135.000
2015-11-12;88,20;88,50;88,20;88,50;0;0
2015-11-11;88,20;89,00;88,20;89,00;0;0
2015-11-10;88,25;89,00;88,25;88,50;40.000;35.600
2015-11-09;88,33;88,34;88,33;88,34;0;0
2015-11-06;88,25;88,34;88,25;88,25;0;0
2015-11-05;88,325;88,325;88,25;88,25;0;0
2015-11-04;88,25;88,50;88,25;88,50;0;0
2015-11-03;88,315;88,50;88,315;88,50;0;0
2015-11-02;88,425;88,50;88,425;88,50;0;0
2015-10-30;88,50;89,00;88,50;89,00;0;0
2015-10-29;89,00;89,00;89,00;89,00;0;0
2015-10-28;89,25;89,25;89,25;89,25;10.000;8.925
2015-10-27;89,25;89,25;89,25;89,25;0;0
2015-10-26;89,25;89,25;89,25;89,25;5.000;4.463
2015-10-23;89,25;89,25;89,25;89,25;0;0
2015-10-22;88,475;89,50;88,475;89,25;45.000;40.185
2015-10-21;88,675;88,675;88,475;88,475;0;0
2015-10-20;89,01;89,03;88,675;88,675;190.000;169.103
2015-10-19;89,00;89,00;89,00;89,00;0;0
2015-10-16;88,675;89,00;88,675;89,00;0;0
2015-10-15;89,00;89,00;88,675;88,675;0;0
2015-10-14;89,00;89,00;89,00;89,00;0;0
2015-10-13;88,95;89,00;88,95;89,00;0;0
2015-10-12;88,95;88,95;88,95;88,95;0;0
2015-10-09;88,525;88,525;88,525;88,525;0;0
2015-10-08;90,00;90,00;90,00;90,00;101.000;90.900
2015-10-07;90,00;90,00;90,00;90,00;0;0
2015-10-06;90,00;90,00;90,00;90,00;70.000;63.000
2015-10-05;90,00;90,00;90,00;90,00;0;0
2015-10-02;90,00;90,00;90,00;90,00;0;0
2015-10-01;89,60;89,60;89,60;89,60;0;0
2015-09-30;89,75;89,75;89,75;89,75;0;0
2015-09-29;89,75;89,75;89,75;89,75;0;0
2015-09-28;89,75;89,75;89,75;89,75;0;0
2015-09-25;89,60;89,60;89,60;89,60;0;0
2015-09-24;90,00;90,00;90,00;90,00;0;0
2015-09-23;90,00;90,00;90,00;90,00;0;0
2015-09-22;90,00;90,00;90,00;90,00;0;0
2015-09-21;89,60;89,60;89,60;89,60;0;0
2015-09-18;90,00;90,00;90,00;90,00;0;0
2015-09-17;90,00;90,00;90,00;90,00;0;0
2015-09-16;90,00;90,00;90,00;90,00;0;0
2015-09-15;90,00;90,25;90,00;90,25;25.000;22.563
2015-09-14;90,00;90,00;90,00;90,00;0;0
2015-09-11;89,617;89,617;89,617;89,617;0;0
2015-09-10;89,65;90,00;89,65;90,00;3.000;2.700
2015-09-09;89,65;89,65;89,65;89,65;0;0
2015-09-08;89,65;89,65;89,65;89,65;0;0
2015-09-07;89,65;89,65;89,65;89,65;0;0
2015-09-04;90,00;90,00;90,00;90,00;0;0
2015-09-03;89,65;89,65;89,65;89,65;0;0
2015-09-02;89,25;89,25;89,25;89,25;0;0
2015-09-01;89,25;89,25;89,25;89,25;0;0
2015-08-31;90,10;90,10;90,10;90,10;0;0
2015-08-28;90,25;90,25;90,25;90,25;0;0
2015-08-27;90,10;90,10;90,10;90,10;0;0
2015-08-26;90,10;90,50;90,10;90,50;25.000;22.625
2015-08-25;90,00;90,50;90,00;90,50;6.000;5.430
2015-08-24;90,25;90,25;90,00;90,00;21.000;18.920
2015-08-21;90,30;90,30;90,30;90,30;6.000;5.418
2015-08-20;90,00;91,20;90,00;91,20;2.000;1.824
2015-08-19;90,00;90,00;90,00;90,00;0;0
2015-08-18;90,00;91,20;90,00;91,20;108.000;97.637
2015-08-17;90,00;90,00;90,00;90,00;6.000;5.400
2015-08-14;88,75;90,05;88,75;90,05;1.000;901
2015-08-13;88,75;88,75;88,75;88,75;0;0
2015-08-12;88,667;88,667;88,667;88,667;0;0
2015-08-11;88,667;88,667;88,667;88,667;0;0
2015-08-10;88,667;88,667;88,667;88,667;0;0
2015-08-07;90,10;90,10;90,10;90,10;43.000;38.743
2015-08-06;90,00;90,10;90,00;90,10;6.000;5.406
2015-08-05;88,667;88,667;88,667;88,667;0;0
2015-08-04;88,667;88,667;88,667;88,667;0;0
2015-08-03;88,667;88,667;88,667;88,667;0;0
2015-07-31;88,667;88,667;88,667;88,667;0;0
2015-07-30;88,75;88,75;88,75;88,75;6.000;5.325
2015-07-29;90,50;90,50;90,50;90,50;0;0
