Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2012-09-26;32,51;32,51;32,51;32,51;79;2.568
2012-09-25;32,50;32,50;32,50;32,50;;
2012-09-24;32,55;32,55;32,55;32,55;;
2012-09-21;32,80;32,80;32,80;32,80;;
2012-09-20;33,00;33,00;33,00;33,00;;
2012-09-19;32,50;32,50;32,50;32,50;;
2012-09-18;32,50;32,50;32,50;32,50;;
2012-09-17;32,40;32,40;32,40;32,40;;
2012-09-14;32,40;32,40;32,40;32,40;;
2012-09-13;32,50;32,50;32,50;32,50;;
2012-09-12;32,50;32,50;32,50;32,50;;
2012-09-11;32,50;32,50;32,50;32,50;;
2012-09-10;32,50;32,50;32,50;32,50;;
2012-09-07;32,50;32,50;32,50;32,50;;
2012-09-06;32,50;32,50;32,50;32,50;;
2012-09-05;32,50;32,50;32,50;32,50;;
2012-09-04;32,505;32,505;32,505;32,505;;
2012-09-03;32,505;32,505;32,505;32,505;;
2012-08-31;32,505;32,505;32,505;32,505;;
2012-08-30;32,505;32,505;32,505;32,505;;
2012-08-29;32,50;32,50;32,50;32,50;;
2012-08-28;32,51;32,51;32,51;32,51;;
2012-08-27;32,23;32,23;32,23;32,23;;
2012-08-24;32,23;32,23;32,23;32,23;;
2012-08-23;32,23;32,895;32,23;32,895;1;33
2012-08-22;32,23;32,23;32,23;32,23;;
2012-08-21;32,23;32,23;32,23;32,23;;
2012-08-17;32,575;33,00;32,575;33,00;1;33
2012-08-16;32,575;32,575;32,575;32,575;;
2012-08-15;32,575;32,575;32,575;32,575;;
2012-08-14;32,58;32,58;32,58;32,58;;
2012-08-13;32,535;33,395;32,535;33,395;50;1.670
2012-08-10;32,535;32,535;32,535;32,535;;
2012-08-09;32,535;32,535;32,535;32,535;;
2012-08-08;32,535;32,535;32,535;32,535;;
2012-08-07;32,22;32,22;32,22;32,22;;
2012-08-06;32,66;32,66;32,66;32,66;;
2012-08-03;32,66;32,66;32,66;32,66;;
2012-08-02;32,66;32,66;32,66;32,66;;
2012-07-31;32,20;32,20;32,20;32,20;;
2012-07-30;32,20;32,20;32,20;32,20;;
2012-07-27;32,20;32,20;32,20;32,20;;
2012-07-26;32,20;32,20;32,20;32,20;;
2012-07-25;32,20;32,20;32,20;32,20;;
2012-07-24;32,20;32,20;32,20;32,20;;
2012-07-23;32,30;32,30;32,30;32,30;;
2012-07-20;32,575;32,575;32,575;32,575;;
2012-07-19;32,575;32,575;32,575;32,575;;
2012-07-18;33,00;33,00;33,00;33,00;;
2012-07-17;32,195;32,195;32,195;32,195;2;64
2012-07-16;32,485;32,485;32,485;32,485;;
2012-07-13;33,845;33,845;33,845;33,845;66;2.234
2012-07-12;32,29;32,29;32,29;32,29;;
2012-07-11;32,30;32,30;32,30;32,30;;
2012-07-10;32,475;32,475;32,475;32,475;;
2012-07-09;32,485;32,485;32,485;32,485;;
2012-07-06;31,70;31,70;31,70;31,70;;
2012-07-05;31,55;31,55;31,55;31,55;;
2012-07-04;32,575;32,575;31,50;31,50;50;1.575
2012-07-03;33,00;33,40;33,00;33,25;100;3.333
2012-07-02;32,585;32,585;32,585;32,585;;
2012-06-28;31,15;31,15;31,15;31,15;;
2012-06-27;31,00;31,00;31,00;31,00;;
2012-06-26;31,00;31,00;31,00;31,00;;
2012-06-25;31,00;31,00;31,00;31,00;;
2012-06-22;31,00;31,00;31,00;31,00;;
2012-06-21;31,00;31,00;31,00;31,00;;
2012-06-20;31,00;31,00;31,00;31,00;;
2012-06-19;31,00;31,00;31,00;31,00;;
2012-06-18;31,00;31,00;31,00;31,00;;
2012-06-15;31,00;31,00;31,00;31,00;;
2012-06-14;31,00;31,00;31,00;31,00;;
2012-06-13;31,00;31,00;31,00;31,00;;
2012-06-12;31,00;31,00;31,00;31,00;;
2012-06-11;31,00;31,00;31,00;31,00;;
2012-06-08;31,00;31,00;31,00;31,00;;
2012-06-07;31,00;31,00;31,00;31,00;;
2012-06-06;31,00;31,00;31,00;31,00;;
2012-06-05;31,00;31,00;31,00;31,00;;
2012-06-04;31,00;31,00;31,00;31,00;;
2012-06-01;31,00;31,00;31,00;31,00;;
2012-05-31;31,00;31,00;31,00;31,00;;
2012-05-30;31,00;31,00;31,00;31,00;;
2012-05-29;31,00;31,00;31,00;31,00;;
2012-05-25;31,10;31,10;31,10;31,10;;
2012-05-24;31,10;31,10;31,10;31,10;65;2.022
2012-05-23;31,10;31,10;31,10;31,10;;
2012-05-22;31,10;31,10;31,10;31,10;;
2012-05-21;31,15;31,15;31,15;31,15;;
2012-05-18;31,15;31,15;31,15;31,15;;
2012-05-15;31,30;31,30;31,30;31,30;;
2012-05-14;31,00;31,00;31,00;31,00;;
2012-05-11;30,725;30,725;30,725;30,725;;
2012-05-10;31,01;31,01;31,01;31,01;;
2012-05-09;30,91;30,91;30,91;30,91;;
2012-05-08;31,00;31,00;31,00;31,00;;
2012-05-07;31,01;31,01;31,01;31,01;;
2012-05-04;30,25;31,00;30,25;31,00;333;10.323
2012-05-03;30,195;30,195;30,195;30,195;;
2012-05-02;30,95;30,95;30,95;30,95;;
2012-04-30;30,95;30,95;30,95;30,95;;
2012-04-27;31,00;31,00;31,00;31,00;;
2012-04-26;31,00;31,00;31,00;31,00;;
2012-04-25;31,21;31,21;31,21;31,21;;
2012-04-24;31,00;31,00;31,00;31,00;;
2012-04-23;31,00;31,00;31,00;31,00;;
2012-04-20;31,00;31,00;31,00;31,00;;
2012-04-19;31,00;31,00;31,00;31,00;;
2012-04-18;31,00;31,00;31,00;31,00;;
2012-04-17;31,00;31,49;31,00;31,49;1.900;59.831
2012-04-16;31,00;31,00;31,00;31,00;;
2012-04-13;31,05;31,05;31,05;31,05;;
2012-04-12;31,03;31,03;31,03;31,03;;
