Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2009-08-06;2,11;2,14;2,11;2,14;1;2
2009-08-05;2,08;2,08;2,08;2,08;0;0
2009-08-04;2,06;2,06;2,06;2,06;0;0
2009-08-03;2,07;2,07;2,07;2,07;0;0
2009-07-31;2,07;2,07;2,07;2,07;0;0
2009-07-30;2,09;2,09;2,07;2,07;53;110
2009-07-29;2,06;2,06;2,06;2,06;0;0
2009-07-28;2,07;2,07;2,07;2,07;0;0
2009-07-27;2,07;2,07;2,07;2,07;0;0
2009-07-24;2,04;2,04;2,04;2,04;0;0
2009-07-23;2,07;2,07;2,07;2,07;0;0
2009-07-22;2,06;2,06;2,06;2,06;0;0
2009-07-21;2,07;2,07;2,07;2,07;0;0
2009-07-20;2,08;2,08;2,08;2,08;0;0
2009-07-17;2,07;2,07;2,07;2,07;0;0
2009-07-16;2,06;2,06;2,06;2,06;0;0
2009-07-15;2,08;2,08;2,08;2,08;0;0
2009-07-14;2,06;2,06;2,06;2,06;0;0
2009-07-13;2,03;2,03;2,03;2,03;0;0
2009-07-10;2,08;2,08;2,08;2,08;0;0
2009-07-09;2,12;2,12;2,12;2,12;0;0
2009-07-08;2,09;2,09;2,08;2,08;25;52
2009-07-07;2,08;2,08;2,08;2,08;0;0
2009-07-06;2,03;2,08;2,03;2,08;120;250
2009-07-03;2,07;2,07;2,07;2,07;0;0
2009-07-02;2,05;2,05;2,05;2,05;0;0
2009-07-01;2,06;2,06;2,06;2,06;0;0
2009-06-30;2,05;2,05;2,05;2,05;0;0
2009-06-29;2,03;2,03;2,03;2,03;0;0
2009-06-26;2,07;2,07;2,07;2,07;0;0
2009-06-25;2,10;2,10;2,10;2,10;0;0
2009-06-24;2,06;2,06;2,06;2,06;0;0
2009-06-23;2,05;2,05;2,05;2,05;0;0
2009-06-22;2,06;2,06;2,06;2,06;0;0
2009-06-19;2,05;2,05;2,05;2,05;0;0
2009-06-18;2,05;2,05;2,05;2,05;0;0
2009-06-17;2,06;2,06;2,06;2,06;0;0
2009-06-16;2,05;2,05;2,05;2,05;0;0
2009-06-15;2,04;2,04;2,04;2,04;0;0
2009-06-12;2,08;2,08;2,08;2,08;0;0
2009-06-11;2,09;2,09;2,09;2,09;100;209
2009-06-10;2,07;2,07;2,07;2,07;0;0
2009-06-09;2,06;2,06;2,06;2,06;0;0
2009-06-08;2,04;2,04;2,04;2,04;0;0
2009-06-05;2,06;2,06;2,06;2,06;0;0
2009-06-04;2,13;2,13;2,13;2,13;0;0
2009-06-03;2,01;2,11;2,01;2,11;100;211
2009-06-02;2,02;2,02;2,02;2,02;0;0
2009-06-01;2,03;2,03;2,03;2,03;55;112
2009-05-29;2,02;2,02;2,02;2,02;0;0
2009-05-28;2,00;2,00;2,00;2,00;0;0
2009-05-27;2,02;2,02;2,02;2,02;0;0
2009-05-26;2,01;2,04;2,01;2,04;571;1.165
2009-05-25;2,02;2,02;2,00;2,00;640;1.280
2009-05-22;2,00;2,00;2,00;2,00;0;0
2009-05-21;1,98;1,98;1,98;1,98;0;0
2009-05-20;1,99;2,01;1,99;2,01;1.200;2.412
2009-05-19;1,86;2,03;1,86;1,95;413;805
2009-05-18;2,02;2,02;2,02;2,02;0;0
2009-05-15;2,03;2,03;2,03;2,03;0;0
2009-05-14;2,01;2,01;2,01;2,01;0;0
2009-05-13;2,03;2,03;2,03;2,03;0;0
2009-05-12;1,99;1,99;1,99;1,99;0;0
2009-05-11;1,96;1,96;1,96;1,96;0;0
2009-05-08;1,96;1,96;1,96;1,96;0;0
2009-05-07;1,94;1,94;1,94;1,94;0;0
2009-05-06;1,93;1,93;1,93;1,93;0;0
2009-05-05;2,02;2,02;2,02;2,02;0;0
2009-05-04;2,13;2,13;2,13;2,13;0;0
2009-04-30;2,11;2,11;2,11;2,11;0;0
2009-04-29;2,11;2,11;2,11;2,11;0;0
2009-04-28;2,08;2,08;2,08;2,08;0;0
2009-04-27;2,04;2,04;2,04;2,04;0;0
2009-04-24;2,06;2,06;2,06;2,06;0;0
2009-04-23;2,04;2,04;2,04;2,04;0;0
2009-04-22;1,92;1,92;1,92;1,92;0;0
2009-04-21;2,00;2,00;2,00;2,00;0;0
2009-04-20;1,99;1,99;1,99;1,99;0;0
2009-04-17;1,92;1,92;1,92;1,92;0;0
2009-04-16;2,05;2,05;2,05;2,05;500;1.025
2009-04-15;1,89;1,89;1,89;1,89;0;0
2009-04-14;1,89;1,89;1,89;1,89;0;0
2009-04-09;1,92;1,92;1,92;1,92;0;0
2009-04-08;1,88;1,88;1,88;1,88;0;0
2009-04-07;1,91;1,91;1,91;1,91;0;0
2009-04-06;1,91;1,91;1,91;1,91;0;0
2009-04-03;1,90;1,90;1,90;1,90;0;0
2009-04-02;1,92;1,92;1,92;1,92;0;0
2009-04-01;1,85;1,85;1,85;1,85;0;0
2009-03-31;1,90;1,90;1,90;1,90;0;0
2009-03-30;1,88;1,88;1,88;1,88;0;0
2009-03-27;1,90;1,90;1,90;1,90;0;0
2009-03-26;1,93;1,93;1,93;1,93;0;0
2009-03-25;1,87;1,87;1,87;1,87;0;0
2009-03-24;1,99;1,99;1,99;1,99;0;0
2009-03-23;1,93;1,93;1,93;1,93;0;0
2009-03-20;1,87;1,87;1,87;1,87;0;0
2009-03-19;1,86;1,86;1,86;1,86;0;0
2009-03-18;1,90;1,90;1,90;1,90;0;0
2009-03-17;1,90;1,90;1,90;1,90;10;19
2009-03-16;1,88;1,88;1,86;1,86;20;37
2009-03-13;1,87;1,87;1,87;1,87;0;0
2009-03-12;1,85;1,86;1,85;1,86;130;242
2009-03-11;1,86;1,86;1,86;1,86;0;0
2009-03-10;1,87;1,87;1,87;1,87;0;0
2009-03-09;1,88;1,88;1,88;1,88;0;0
2009-03-06;1,86;1,86;1,86;1,86;0;0
2009-03-05;1,85;1,85;1,85;1,85;0;0
2009-03-04;1,88;1,88;1,88;1,88;0;0
2009-03-03;1,88;1,88;1,88;1,88;0;0
2009-03-02;1,82;1,82;1,82;1,82;0;0
2009-02-27;1,86;1,86;1,86;1,86;0;0
2009-02-26;1,87;1,87;1,87;1,87;210;393
2009-02-25;1,91;1,91;1,87;1,87;207;387
2009-02-24;1,92;1,92;1,92;1,92;0;0
2009-02-23;1,92;1,92;1,92;1,92;0;0
2009-02-20;1,82;1,82;1,82;1,82;0;0
2009-02-19;1,89;1,89;1,89;1,89;0;0
2009-02-18;1,89;1,89;1,89;1,89;0;0
2009-02-17;1,87;1,87;1,87;1,87;0;0
2009-02-16;1,86;1,86;1,86;1,86;0;0
2009-02-13;1,91;1,91;1,91;1,91;0;0
2009-02-12;1,90;1,90;1,90;1,90;0;0
2009-02-11;1,88;1,88;1,88;1,88;0;0
2009-02-10;1,86;1,86;1,86;1,86;0;0
2009-02-09;1,85;1,85;1,85;1,85;0;0
2009-02-06;1,88;1,88;1,88;1,88;0;0
2009-02-05;1,87;1,87;1,87;1,87;0;0
2009-02-04;1,97;1,97;1,97;1,97;0;0
2009-02-03;1,72;1,72;1,72;1,72;23;40
2009-02-02;1,86;1,86;1,86;1,86;0;0
2009-01-30;1,91;1,91;1,91;1,91;0;0
2009-01-29;1,90;1,90;1,90;1,90;0;0
2009-01-28;1,94;1,94;1,94;1,94;0;0
2009-01-27;1,92;1,92;1,92;1,92;0;0
2009-01-26;1,89;1,89;1,89;1,89;0;0
2009-01-23;1,92;1,92;1,92;1,92;0;0
2009-01-22;1,95;1,95;1,95;1,95;0;0
2009-01-21;1,92;1,92;1,92;1,92;0;0
2009-01-20;1,92;1,92;1,92;1,92;0;0
2009-01-19;1,96;1,96;1,96;1,96;0;0
2009-01-16;1,96;1,96;1,96;1,96;0;0
2009-01-15;1,94;1,94;1,94;1,94;0;0
2009-01-14;1,96;1,96;1,96;1,96;0;0
2009-01-13;1,94;1,94;1,94;1,94;0;0
2009-01-12;1,93;1,93;1,93;1,93;0;0
2009-01-09;1,95;1,95;1,95;1,95;0;0
2009-01-08;1,93;1,93;1,93;1,93;0;0
2009-01-07;1,93;1,93;1,93;1,93;0;0
2009-01-06;1,93;1,93;1,93;1,93;0;0
2009-01-05;2,15;2,15;2,15;2,15;0;0
2009-01-02;1,93;1,93;1,93;1,93;0;0
2008-12-30;1,92;1,92;1,90;1,90;50;95
2008-12-29;1,91;1,98;1,91;1,98;200;396
2008-12-23;1,90;1,90;1,90;1,90;6;11
2008-12-22;1,90;1,90;1,90;1,90;600;1.140
2008-12-19;1,89;1,89;1,89;1,89;0;0
2008-12-18;1,89;1,89;1,89;1,89;0;0
2008-12-17;1,92;1,92;1,92;1,92;0;0
2008-12-16;1,90;1,90;1,90;1,90;0;0
2008-12-15;1,93;1,93;1,93;1,93;0;0
2008-12-12;1,82;1,82;1,82;1,82;0;0
2008-12-11;1,90;1,90;1,90;1,90;0;0
2008-12-10;1,93;1,93;1,93;1,93;0;0
2008-12-09;1,90;1,90;1,90;1,90;0;0
2008-12-08;1,98;1,98;1,98;1,98;0;0
2008-12-05;1,89;1,89;1,89;1,89;0;0
2008-12-04;1,92;1,92;1,92;1,92;0;0
2008-12-03;1,90;1,90;1,90;1,90;0;0
2008-12-02;1,86;1,86;1,86;1,86;0;0
2008-12-01;1,88;1,88;1,88;1,88;0;0
2008-11-28;1,88;1,88;1,88;1,88;0;0
2008-11-27;1,90;1,90;1,90;1,90;0;0
2008-11-26;1,90;1,90;1,90;1,90;0;0
2008-11-25;1,87;1,87;1,87;1,87;0;0
2008-11-24;1,94;1,94;1,94;1,94;0;0
2008-11-21;1,84;1,84;1,84;1,84;0;0
2008-11-20;1,80;1,80;1,80;1,80;0;0
2008-11-19;1,89;1,89;1,89;1,89;0;0
2008-11-18;1,83;1,83;1,83;1,83;0;0
2008-11-17;1,85;1,85;1,85;1,85;0;0
2008-11-14;1,95;1,95;1,95;1,95;0;0
2008-11-13;1,84;1,84;1,84;1,84;0;0
2008-11-12;1,88;1,88;1,88;1,88;0;0
2008-11-11;1,85;1,85;1,85;1,85;0;0
2008-11-10;1,75;1,75;1,75;1,75;35;61
2008-11-07;1,88;1,88;1,88;1,88;0;0
2008-11-06;1,96;1,96;1,96;1,96;0;0
2008-11-05;1,90;1,90;1,90;1,90;0;0
2008-11-04;1,77;1,77;1,77;1,77;0;0
2008-11-03;1,77;1,77;1,77;1,77;0;0
2008-10-31;1,74;1,74;1,74;1,74;0;0
2008-10-30;1,87;1,87;1,87;1,87;0;0
