Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,365;1,40;1,365;1,395;4.740;6.542
2019-05-02;1,355;1,41;1,355;1,395;4.060;5.622
2019-04-30;1,41;1,41;1,34;1,375;53.537;73.728
2019-04-29;1,39;1,41;1,39;1,405;19.288;27.151
2019-04-26;1,39;1,40;1,39;1,40;6.061;8.425
2019-04-25;1,395;1,405;1,395;1,405;2.022;2.821
2019-04-24;1,41;1,41;1,395;1,405;32.589;45.935
2019-04-23;1,395;1,40;1,395;1,40;2.016;2.816
2019-04-18;1,39;1,405;1,39;1,405;2.032;2.835
2019-04-17;1,39;1,405;1,39;1,40;23;32
2019-04-16;1,39;1,40;1,39;1,40;6.760;9.431
2019-04-15;1,39;1,40;1,39;1,395;19.459;27.056
2019-04-12;1,395;1,405;1,39;1,40;17.839;24.848
2019-04-11;1,39;1,395;1,39;1,39;59.418;82.636
2019-04-10;1,39;1,40;1,39;1,395;113.089;157.226
2019-04-09;1,39;1,395;1,39;1,395;7.080;9.841
2019-04-08;1,39;1,395;1,39;1,395;4.140;5.755
2019-04-05;1,39;1,395;1,39;1,395;529;735
2019-04-04;1,395;1,40;1,39;1,395;9.896;13.777
2019-04-03;1,39;1,405;1,39;1,40;6.680;9.296
2019-04-02;1,39;1,405;1,39;1,405;7.034;9.778
2019-04-01;1,39;1,42;1,39;1,40;27.512;38.672
2019-03-29;1,39;1,41;1,39;1,405;1.136;1.592
2019-03-28;1,40;1,40;1,39;1,395;22.603;31.638
2019-03-27;1,39;1,40;1,39;1,395;12.671;17.683
2019-03-26;1,39;1,40;1,39;1,395;2.035;2.831
2019-03-25;1,39;1,40;1,39;1,395;11.255;15.655
2019-03-22;1,39;1,40;1,39;1,395;5.164;7.178
2019-03-21;1,40;1,40;1,39;1,395;10.045;13.974
2019-03-20;1,39;1,40;1,39;1,395;10.723;14.905
2019-03-19;1,395;1,395;1,395;1,395;0;0
2019-03-18;1,41;1,41;1,39;1,395;6.145;8.632
2019-03-15;1,40;1,405;1,40;1,405;411;575
2019-03-14;1,39;1,41;1,39;1,40;15.283;21.246
2019-03-13;1,39;1,405;1,39;1,40;7.185;10.032
2019-03-12;1,39;1,40;1,39;1,40;6.540;9.091
2019-03-11;1,40;1,41;1,39;1,405;19.722;27.520
2019-03-08;1,395;1,40;1,39;1,40;967;1.347
2019-03-07;1,40;1,425;1,395;1,415;18.061;25.392
2019-03-06;1,405;1,415;1,39;1,415;12.604;17.734
