Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;40,40;40,40;39,80;40,30;2.612;105.093
2019-05-02;40,00;40,90;39,50;39,50;10.182;408.317
2019-04-30;40,00;40,10;39,30;39,30;3.457;137.066
2019-04-29;40,40;40,80;39,50;39,50;9.040;364.443
2019-04-26;39,80;39,80;39,30;39,30;2.131;84.733
2019-04-25;39,60;39,90;39,00;39,00;13.055;516.841
2019-04-24;40,00;40,00;39,50;39,70;15.546;617.723
2019-04-23;38,40;40,30;38,10;39,00;37.155;1.468.199
2019-04-18;38,30;38,40;37,60;38,00;7.002;266.679
2019-04-17;38,00;38,40;37,70;37,80;2.831;107.506
2019-04-16;38,00;38,30;37,70;37,80;2.718;102.953
2019-04-15;37,50;38,00;37,20;37,60;2.889;109.147
2019-04-12;37,40;37,80;37,00;37,10;5.656;211.483
2019-04-11;37,30;37,30;36,70;37,00;1.719;63.331
2019-04-10;36,60;37,30;36,40;36,90;3.895;143.112
2019-04-09;36,50;37,50;36,40;36,40;3.784;138.811
2019-04-08;36,50;36,60;36,30;36,50;4.573;166.878
2019-04-05;36,50;36,60;36,30;36,40;4.845;176.917
2019-04-04;36,40;36,50;36,20;36,50;2.108;76.905
2019-04-03;36,90;36,90;36,20;36,40;5.107;186.525
2019-04-02;37,10;37,10;36,70;36,90;1.667;61.638
2019-04-01;37,70;37,70;36,50;36,70;6.176;229.435
2019-03-29;35,60;37,10;35,50;37,10;3.748;136.283
2019-03-28;36,60;36,60;35,40;35,40;3.457;123.470
2019-03-27;37,20;37,50;36,15;36,15;4.811;178.076
2019-03-26;36,65;37,30;36,45;37,30;3.989;147.200
2019-03-25;36,00;36,95;36,00;36,60;6.595;241.337
2019-03-22;35,50;36,50;35,30;36,50;6.131;219.828
2019-03-21;35,80;35,90;35,00;35,35;4.172;147.731
2019-03-20;34,30;35,10;34,20;35,10;8.417;292.630
2019-03-19;34,05;34,40;34,00;34,20;2.260;77.206
