Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;78,90;79,30;78,00;79,30;1.297;102.071
2019-05-02;79,00;79,00;77,10;78,30;1.269;98.207
2019-04-30;78,30;79,50;77,10;77,80;1.940;151.544
2019-04-29;79,90;79,90;77,70;78,50;1.672;131.186
2019-04-26;78,70;79,70;77,70;79,60;1.235;97.098
2019-04-25;78,00;79,50;77,60;77,90;3.563;279.338
2019-04-24;79,40;79,80;77,00;77,20;7.402;579.499
2019-04-23;81,00;81,00;78,90;78,90;4.648;371.277
2019-04-18;80,60;81,00;80,00;80,30;2.374;191.188
2019-04-17;79,80;80,70;79,70;80,00;2.591;207.382
2019-04-16;81,00;81,60;79,80;79,80;5.928;476.632
2019-04-15;81,50;83,00;80,00;80,00;8.565;692.970
2019-04-12;82,50;83,00;79,60;81,90;6.984;567.411
2019-04-11;83,40;83,50;80,50;82,00;4.183;341.893
2019-04-10;81,80;84,40;81,70;83,30;8.553;710.790
2019-04-09;84,30;84,40;81,00;81,60;3.320;273.304
2019-04-08;88,90;88,90;83,70;84,50;7.115;617.540
2019-04-05;89,30;91,00;87,10;89,20;4.042;359.685
2019-04-04;89,00;89,90;87,20;88,10;837;74.448
2019-04-03;88,40;88,70;86,20;88,20;1.839;160.876
2019-04-02;85,00;87,60;85,00;87,20;1.985;171.020
2019-04-01;84,90;85,00;83,90;84,80;4.401;372.827
2019-03-29;84,80;84,80;84,10;84,10;3.884;328.787
2019-03-28;85,20;85,20;84,20;84,50;932;79.031
2019-03-27;84,00;84,70;84,00;84,60;6.699;565.796
2019-03-26;84,30;84,90;84,10;84,10;3.878;327.399
2019-03-25;84,60;85,00;83,10;84,20;7.992;677.642
2019-03-22;85,20;86,00;83,50;83,50;11.474;971.183
2019-03-21;83,60;87,80;82,80;84,90;22.864;1.941.157
2019-03-20;82,90;83,80;82,00;83,70;3.592;299.185
2019-03-19;82,00;82,40;81,60;82,30;1.502;123.208
2019-03-18;82,40;82,40;81,10;81,80;1.661;136.252
2019-03-15;82,00;82,60;79,80;81,00;11.661;949.204
2019-03-14;84,00;84,60;81,60;83,00;7.885;652.474
2019-03-13;75,70;86,00;74,00;84,00;32.134;2.706.563
2019-03-12;74,00;75,60;74,00;75,30;3.854;287.016
2019-03-11;74,00;75,20;73,40;74,00;2.192;162.211
2019-03-08;76,40;76,40;72,10;73,50;5.391;395.746
2019-03-07;76,60;76,60;75,10;76,20;3.342;253.682
2019-03-06;76,70;79,00;74,90;78,00;3.881;300.678
2019-03-05;75,00;76,90;74,10;76,30;1.518;114.620
2019-03-04;78,10;78,10;75,60;75,60;4.178;320.380
