Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2017-02-15;0,003;0,004;0,003;0,004;2.250;7
2017-02-14;0,003;0,004;0,002;0,004;131.070;408
2017-02-13;0,003;0,003;0,002;0,003;319.342;953
2017-02-10;0,003;0,003;0,002;0,003;1.393.470;4.174
2017-02-09;0,004;0,004;0,003;0,003;1.038.450;3.117
2017-02-08;0,004;0,004;0,004;0,004;36.750;147
2017-02-07;0,004;0,004;0,004;0,004;11.755;47
2017-02-06;0,004;0,004;0,004;0,004;411.839;1.647
2017-02-03;0,004;0,004;0,004;0,004;0;0
2017-02-02;0,004;0,004;0,004;0,004;260;1
2017-02-01;0,004;0,004;0,004;0,004;0;0
2017-01-31;0,004;0,004;0,004;0,004;4.666;19
2017-01-30;0,004;0,004;0,004;0,004;133.433;534
2017-01-27;0,003;0,005;0,003;0,004;115.000;575
2017-01-26;0,004;0,004;0,003;0,004;700.367;2.300
2017-01-25;0,004;0,004;0,004;0,004;0;0
2017-01-24;0,004;0,004;0,004;0,004;4.150;17
2017-01-23;0,003;0,004;0,003;0,004;500.000;2.000
2017-01-20;0,003;0,004;0,003;0,004;100.010;400
2017-01-19;0,003;0,004;0,003;0,004;68;0
2017-01-18;0,003;0,003;0,003;0,003;20.703;62
2017-01-17;0,004;0,005;0,004;0,004;14.000;68
2017-01-16;0,003;0,003;0,003;0,003;0;0
2017-01-13;0,004;0,004;0,003;0,003;222;1
2017-01-12;0,004;0,004;0,004;0,004;3.324;13
2017-01-11;0,004;0,004;0,004;0,004;5.000;20
2017-01-10;0,004;0,004;0,004;0,004;3.500;14
2017-01-09;0,004;0,004;0,004;0,004;329.525;1.318
2017-01-06;0,004;0,004;0,004;0,004;1.025;4
2017-01-05;0,004;0,004;0,004;0,004;0;0
2017-01-04;0,004;0,004;0,004;0,004;0;0
2017-01-03;0,004;0,004;0,004;0,004;700;3
2017-01-02;0,004;0,004;0,004;0,004;37.500;150
2016-12-30;0,004;0,004;0,004;0,004;0;0
2016-12-29;0,004;0,004;0,004;0,004;14.500;58
2016-12-28;0,004;0,005;0,004;0,004;136.323;645
2016-12-27;0,004;0,004;0,004;0,004;5.245;21
2016-12-23;0,004;0,004;0,004;0,004;1.200;5
2016-12-22;0,004;0,004;0,004;0,004;0;0
2016-12-21;0,004;0,004;0,004;0,004;23.000;92
2016-12-20;0,004;0,004;0,004;0,004;0;0
2016-12-19;0,004;0,004;0,004;0,004;5.300;21
2016-12-16;0,004;0,004;0,004;0,004;200;1
2016-12-15;0,003;0,004;0,003;0,004;2.630;11
