Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,78;0,78;0,78;0,78;0;0
2019-07-18;0,78;0,78;0,78;0,78;0;0
2019-07-17;0,78;0,78;0,78;0,78;0;0
2019-07-16;0,78;0,78;0,78;0,78;0;0
2019-07-15;1,00;1,00;0,78;0,78;1.500;1.170
2019-07-12;0,66;1,00;0,66;1,00;2.000;2.000
2019-07-11;0,90;0,90;0,70;0,70;2.500;1.900
2019-07-10;0,90;0,90;0,90;0,90;0;0
2019-07-09;0,90;0,90;0,90;0,90;0;0
2019-07-08;0,90;0,90;0,90;0,90;0;0
2019-07-05;0,90;0,90;0,90;0,90;0;0
2019-07-04;0,90;0,90;0,90;0,90;0;0
2019-07-03;0,90;0,90;0,90;0,90;0;0
2019-07-02;0,90;0,90;0,90;0,90;0;0
2019-07-01;0,90;0,90;0,90;0,90;0;0
2019-06-28;1,00;1,00;1,00;1,00;0;0
2019-06-27;1,00;1,00;1,00;1,00;0;0
2019-06-26;1,00;1,00;1,00;1,00;0;0
2019-06-25;1,00;1,00;1,00;1,00;0;0
2019-06-24;1,00;1,00;1,00;1,00;0;0
2019-06-21;1,00;1,00;1,00;1,00;0;0
2019-06-20;1,00;1,00;1,00;1,00;0;0
2019-06-19;1,00;1,00;1,00;1,00;300;300
2019-06-18;1,22;1,22;1,00;1,00;4;4
2019-06-17;1,22;1,22;1,22;1,22;0;0
2019-06-14;1,22;1,22;1,22;1,22;0;0
2019-06-13;1,22;1,22;1,22;1,22;0;0
2019-06-12;1,22;1,22;1,22;1,22;0;0
2019-06-11;1,22;1,22;1,22;1,22;0;0
2019-06-07;1,22;1,22;1,22;1,22;0;0
2019-06-06;1,22;1,22;1,22;1,22;0;0
2019-06-05;1,22;1,22;1,22;1,22;0;0
2019-06-04;1,00;1,22;1,00;1,22;1.000;1.220
2019-06-03;1,20;1,20;1,00;1,00;50;50
2019-05-31;0,88;1,22;0,88;1,22;0;0
2019-05-30;0,88;0,88;0,88;0,88;0;0
2019-05-29;1,39;1,39;1,00;1,00;1.000;1.190
2019-05-28;1,39;1,39;1,39;1,39;0;0
2019-05-27;1,42;1,42;1,42;1,42;0;0
2019-05-24;1,32;1,32;1,32;1,32;0;0
2019-05-23;0,88;1,30;0,88;1,30;500;650
2019-05-22;0,88;0,88;0,88;0,88;0;0
2019-05-21;0,88;0,88;0,88;0,88;0;0
2019-05-20;0,88;0,88;0,88;0,88;0;0
2019-05-17;0,88;0,88;0,88;0,88;0;0
2019-05-16;0,88;0,88;0,88;0,88;0;0
2019-05-15;0,88;0,88;0,88;0,88;0;0
2019-05-14;0,88;0,88;0,88;0,88;0;0
2019-05-13;0,88;0,88;0,88;0,88;0;0
2019-05-10;0,88;0,88;0,88;0,88;0;0
2019-05-09;0,88;0,88;0,88;0,88;0;0
2019-05-08;0,88;0,88;0,88;0,88;0;0
2019-05-07;0,88;0,88;0,88;0,88;0;0
2019-05-06;0,88;0,88;0,88;0,88;0;0
2019-05-03;0,88;0,88;0,88;0,88;0;0
2019-05-02;0,88;0,88;0,88;0,88;0;0
2019-04-30;1,55;1,55;1,55;1,55;0;0
2019-04-29;1,55;1,55;1,55;1,55;0;0
2019-04-26;1,55;1,55;1,55;1,55;0;0
2019-04-25;1,55;1,55;1,55;1,55;0;0
2019-04-24;1,55;1,55;1,55;1,55;0;0
2019-04-23;1,55;1,55;1,54;1,55;50;77
2019-04-18;1,55;1,55;1,55;1,55;0;0
2019-04-17;1,55;1,55;1,55;1,55;0;0
2019-04-16;1,40;1,50;1,40;1,50;0;0
2019-04-15;1,40;1,40;1,20;1,40;1.000;1.202
2019-04-12;1,45;1,55;1,40;1,40;0;0
2019-04-11;1,30;1,30;1,30;1,30;20;26
2019-04-10;1,50;1,50;1,45;1,45;0;0
2019-04-09;1,50;1,50;1,50;1,50;0;0
2019-04-08;1,55;1,55;1,50;1,50;0;0
2019-04-05;1,58;1,58;1,30;1,58;300;390
2019-04-04;1,58;1,58;1,58;1,58;0;0
2019-04-03;1,58;1,58;1,58;1,58;0;0
2019-04-02;1,61;1,61;1,61;1,61;0;0
