Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;25,70;25,70;25,70;25,70;133;3.418
2019-05-02;25,60;25,70;25,60;25,60;228;5.840
2019-04-30;25,80;25,90;25,40;25,60;3.505;89.764
2019-04-29;26,00;26,00;25,70;25,70;143;3.717
2019-04-26;26,20;26,20;25,70;25,80;1.881;48.551
2019-04-25;26,00;26,20;26,00;26,00;1.194;31.263
2019-04-24;26,10;26,10;25,60;25,80;292;7.544
2019-04-23;26,00;26,00;25,70;25,80;286;7.432
2019-04-18;25,80;26,00;25,60;25,80;426;10.962
2019-04-17;25,50;25,90;25,50;25,50;905;23.108
2019-04-16;25,80;25,90;25,40;25,80;2.104;54.293
2019-04-15;25,90;26,10;25,80;25,80;68;1.767
2019-04-12;25,70;26,00;25,40;25,80;650;16.790
2019-04-11;25,70;25,70;25,70;25,70;0;0
2019-04-10;25,40;26,00;25,40;25,90;367;9.392
2019-04-09;25,80;26,00;25,70;25,70;112;2.894
2019-04-08;25,90;26,00;25,40;25,70;843;21.686
2019-04-05;26,00;26,00;25,50;25,70;1.104;28.447
2019-04-04;25,80;25,80;25,80;25,80;0;0
2019-04-03;25,90;25,90;25,60;25,80;819;21.155
2019-04-02;25,80;26,00;25,50;25,90;2.022;52.108
2019-04-01;25,90;26,00;25,90;26,00;90;2.331
2019-03-29;25,80;26,10;25,80;26,00;1.004;25.905
2019-03-28;25,60;25,70;25,30;25,60;1.180;29.909
2019-03-27;26,00;26,10;25,70;25,90;845;21.785
2019-03-26;26,00;26,00;26,00;26,00;1.011;26.286
2019-03-25;25,40;26,00;25,40;25,80;1.213;31.345
2019-03-22;25,70;25,70;25,40;25,40;201;5.151
2019-03-21;25,80;25,80;25,80;25,80;195;5.031
2019-03-20;25,80;26,00;25,50;25,60;1.438;36.861
2019-03-19;25,70;25,90;25,70;25,70;278;7.151
2019-03-18;25,90;25,90;25,40;25,60;357;9.146
2019-03-15;25,40;25,80;25,30;25,60;922;23.508
2019-03-14;25,80;26,40;25,10;25,50;5.442;139.228
2019-03-13;26,00;26,00;25,10;25,40;760;19.396
2019-03-12;25,60;25,90;25,50;25,90;1.946;49.967
2019-03-11;25,70;26,00;25,70;25,80;668;17.336
2019-03-08;25,80;25,80;25,3169;25,6067;2.908;74.445
2019-03-07;25,80;25,80;25,5101;25,7034;735;18.903
2019-03-06;25,4135;25,80;25,3169;25,7034;1.363;35.056
2019-03-05;25,5101;25,7034;25,3169;25,5101;3.829;97.843
2019-03-04;25,3169;25,6067;25,2202;25,4135;1.506;38.242
2019-03-01;24,8337;25,4135;24,8337;25,3169;997;25.202
2019-02-28;25,5101;25,5101;24,9303;24,9303;1.738;43.628
2019-02-27;25,6067;25,6067;25,2202;25,4135;961;24.354
2019-02-26;25,2202;25,5101;25,1236;25,3169;495;12.548
2019-02-25;25,3169;25,6067;25,1236;25,5101;1.955;49.406
2019-02-22;25,6067;25,6067;25,3169;25,5101;465;11.858
2019-02-21;25,6067;25,6067;25,2202;25,5101;1.709;43.541
2019-02-20;25,80;25,8966;25,5101;25,6067;1.043;26.882
2019-02-19;25,5101;25,80;25,5101;25,7034;60;1.544
2019-02-18;25,7034;25,7034;25,3169;25,6067;2.267;57.890
2019-02-15;25,80;25,8966;25,6067;25,6067;1.828;47.025
2019-02-14;25,8966;25,8966;25,80;25,80;1.148;29.717
2019-02-13;25,6067;25,8966;25,3169;25,6067;1.773;45.535
2019-02-12;25,6067;25,9933;25,4135;25,5101;1.358;34.808
2019-02-11;25,7034;25,80;25,5101;25,6067;1.618;41.602
2019-02-08;25,6067;25,7034;25,3169;25,5101;299;7.630
2019-02-07;25,6067;25,6067;25,5101;25,5101;207;5.300
2019-02-06;25,3169;25,7034;25,3169;25,5101;132;3.361
2019-02-05;25,6067;25,6067;25,4135;25,6067;815;20.832
2019-02-04;25,5101;25,6067;25,1236;25,5101;991;25.101
2019-02-01;25,6067;25,6067;25,5101;25,5101;331;8.480
2019-01-31;25,6067;25,6067;25,2202;25,4135;1.252;31.961
2019-01-30;25,3169;25,6067;25,3169;25,5101;32;818
2019-01-29;25,6067;25,6067;25,3169;25,5101;857;21.872
2019-01-28;25,4135;25,6067;25,2202;25,4135;1.400;35.592
2019-01-25;25,1236;25,3169;25,1236;25,2202;785;19.757
2019-01-24;25,1236;25,1236;24,6404;24,7371;427;10.688
2019-01-23;25,1236;25,1236;24,6404;25,1236;127;3.183
2019-01-22;24,8337;25,1236;24,8337;24,9303;965;24.101
2019-01-21;24,6404;24,8337;24,3506;24,3506;811;20.053
2019-01-18;24,7371;24,7371;24,5438;24,5438;362;8.960
2019-01-17;24,6404;24,6404;24,2539;24,5438;146;3.580
2019-01-16;24,3506;24,4472;24,1573;24,1573;264;6.393
2019-01-15;24,7371;24,7371;24,6404;24,6404;152;3.763
2019-01-14;24,8337;24,8337;24,6404;24,6404;547;13.562
2019-01-11;25,1236;25,5101;23,8674;24,4472;6.395;157.983
2019-01-10;24,6404;25,1236;24,6404;24,8337;1.497;37.268
2019-01-09;24,8337;25,1236;24,8337;24,9303;71;1.787
2019-01-08;25,1236;25,7034;24,7371;25,1236;3.853;97.972
2019-01-07;24,8337;25,2202;24,8337;25,027;524;13.087
2019-01-04;25,1236;25,2202;24,7371;25,027;1.057;26.431
2019-01-03;24,3506;25,2202;24,3506;24,9303;1.189;29.639
2019-01-02;24,1573;24,6404;24,1573;24,5438;139;3.393
2018-12-28;23,7708;24,5438;23,7708;24,4472;1.118;27.101
2018-12-27;23,191;23,964;23,191;23,8674;2.946;68.994
2018-12-21;24,3506;24,3506;22,8045;22,9978;7.613;177.308
2018-12-20;23,5775;23,964;23,5775;23,964;172;4.087
2018-12-19;24,6404;24,7371;23,5775;23,964;986;23.909
2018-12-18;24,3506;24,8337;24,3506;24,6404;140;3.420
2018-12-17;25,027;25,027;24,3506;24,5438;658;16.314
2018-12-14;24,8337;25,1236;24,6404;24,9303;1.001;25.687
2018-12-13;25,027;25,1236;24,7371;25,027;1.161;29.425
2018-12-12;24,3506;24,9303;24,3506;24,9303;1.046;25.644
2018-12-11;24,0607;24,2539;24,0607;24,1573;243;5.933
2018-12-10;24,0607;24,1573;23,5775;23,5775;1.649;39.223
2018-12-07;23,8674;24,0607;23,5775;23,6742;218;5.235
2018-12-06;24,4472;24,6404;23,4809;23,4809;8.556;209.834
2018-12-05;24,4472;24,7371;24,4472;24,7371;97;2.379
2018-12-04;24,5438;25,027;24,5438;24,7371;1.552;38.480
2018-12-03;24,9303;24,9303;24,0607;24,3506;1.177;27.655
2018-11-30;24,0607;24,7371;24,0607;24,5438;1.559;38.152
2018-11-29;24,1573;24,3506;24,0607;24,1573;135;3.253
2018-11-28;24,2539;24,3506;24,1573;24,3506;534;12.918
2018-11-27;24,2539;24,5438;24,2539;24,5438;207;5.020
2018-11-26;24,6404;24,7371;24,2539;24,4472;932;22.852
2018-11-23;24,7371;24,7371;24,3506;24,5438;413;10.104
2018-11-22;24,5438;24,7371;24,4472;24,5438;653;16.015
2018-11-21;24,1573;24,4472;24,0607;24,3506;1.219;29.392
2018-11-20;24,0607;24,1573;24,0607;24,1573;828;19.922
2018-11-19;23,7708;24,2539;23,7708;24,2539;401;9.672
2018-11-16;24,1573;24,1573;23,964;23,964;2.513;60.700
2018-11-15;23,8674;24,1573;23,8674;23,964;233;5.595
2018-11-14;24,0607;24,1573;23,964;23,964;92;2.224
2018-11-13;24,0607;24,1573;23,964;23,964;1.860;44.908
2018-11-12;23,7708;24,0607;23,6742;23,964;2.411;57.652
2018-11-09;23,6742;24,0607;23,6742;23,964;548;12.997
2018-11-08;24,1573;24,1573;23,8674;23,964;694;16.770
2018-11-07;24,0607;24,1573;24,0607;24,1573;174;4.188
2018-11-06;23,7708;24,1573;23,6742;23,964;1.419;34.168
2018-11-05;24,1573;24,1573;23,6742;23,964;1.233;29.667
2018-11-02;24,0607;24,1573;23,964;23,964;60;1.446
2018-11-01;24,1573;24,1573;24,0607;24,0607;364;8.800
2018-10-31;24,2539;24,2539;23,7708;23,8674;1.319;31.951
2018-10-30;24,1573;24,1573;24,1573;24,1573;128;3.100
2018-10-29;24,0607;24,0607;23,4809;23,8674;1.511;35.735
2018-10-26;23,6742;23,964;23,5775;23,8674;940;22.273
2018-10-25;23,7708;24,1573;23,6742;23,8674;2.030;48.370
2018-10-24;24,0607;24,2539;23,8674;24,2539;2.664;64.063
2018-10-23;23,7708;24,1573;23,4809;23,4809;5.477;129.933
2018-10-22;23,8674;24,5438;23,7708;23,7708;3.025;72.749
2018-10-19;24,6404;24,6404;23,8674;24,0607;748;18.067
2018-10-18;24,7371;24,7371;24,1573;24,5438;2.687;66.091
2018-10-17;24,5438;24,9303;24,5438;24,8337;1.432;35.317
2018-10-16;24,8337;24,8337;23,8674;23,8674;1.035;25.202
2018-10-15;25,1236;25,1236;25,1236;25,1236;240;6.032
2018-10-12;23,7708;24,4472;23,7708;24,1573;974;23.356
2018-10-11;24,4472;24,4472;23,4809;23,7708;3.408;81.772
2018-10-10;24,8337;25,027;24,8337;24,9303;30;750
2018-10-09;24,8337;25,1236;24,8337;25,027;115;2.877
2018-10-08;25,027;25,2202;24,9303;25,027;706;17.651
2018-10-05;25,2202;25,6067;24,9303;25,3169;1.522;38.358
2018-10-04;25,2202;25,4135;25,1236;25,4135;558;14.038
2018-10-02;25,4135;25,7034;25,1236;25,4135;840;21.331
2018-10-01;25,3169;25,6067;25,3169;25,5101;100;2.568
2018-09-28;25,4135;25,8966;25,4135;25,4135;526;13.428
2018-09-27;25,3169;25,7034;25,3169;25,6067;2.962;75.418
2018-09-26;25,1236;25,4135;25,027;25,027;1.266;32.012
2018-09-25;25,2202;25,6067;25,1236;25,2202;827;20.923
2018-09-24;25,2202;25,3169;24,9303;25,2202;1.906;47.905
2018-09-21;25,027;26,0899;25,027;25,4135;2.236;57.201
2018-09-20;25,3169;25,3169;24,7371;24,9303;1.230;30.767
2018-09-19;25,2202;25,2202;25,1236;25,1236;474;11.917
2018-09-18;25,1236;25,5101;25,1236;25,5101;2;52
2018-09-17;25,2202;25,5101;25,2202;25,5101;19;470
2018-09-14;25,8966;25,8966;24,6404;24,7371;1.425;36.162
2018-09-13;25,027;26,0899;25,027;25,6067;3.700;93.697
2018-09-12;24,9303;25,1236;24,7371;24,9303;408;10.182
2018-09-11;25,027;25,4135;24,9303;25,027;361;9.100
2018-09-10;25,4135;25,4135;25,027;25,027;263;6.650
2018-09-07;25,3169;25,5101;25,1236;25,1236;803;20.310
2018-09-06;25,2202;25,4135;24,9303;25,027;263;6.590
2018-09-05;24,6404;25,3169;24,6404;25,027;1.473;36.762
2018-09-04;24,7371;24,7371;24,7371;24,7371;0;0
2018-09-03;24,7371;25,027;24,6404;24,7371;669;16.625
2018-08-31;24,7371;25,027;24,5438;24,6404;1.470;36.260
2018-08-30;24,8337;25,1236;24,8337;24,9303;126;3.147
2018-08-29;24,8337;25,1236;24,7371;24,9303;1.589;39.535
2018-08-28;25,3169;25,4135;24,9303;25,1236;823;20.784
2018-08-27;25,3169;25,3169;24,9303;24,9303;139;3.497
2018-08-24;24,7371;25,3169;24,7371;25,3169;669;16.697
2018-08-23;25,027;25,1236;24,6404;24,6404;765;19.167
2018-08-22;24,7371;25,027;24,7371;24,8337;899;22.368
2018-08-21;24,4472;24,5438;24,1573;24,4472;847;20.727
2018-08-20;24,3506;24,6404;24,1573;24,3506;1.019;24.688
2018-08-17;24,5438;24,5438;24,2539;24,2539;164;4.009
2018-08-16;24,7371;24,7371;24,4472;24,4472;1.002;24.721
2018-08-15;24,9303;25,027;24,1573;24,5438;4.928;120.148
2018-08-14;25,3169;25,6067;24,9303;25,3169;1.340;34.136
2018-08-13;25,027;25,5101;24,8337;25,3169;1.097;27.442
2018-08-10;25,2202;25,5101;24,9303;24,9303;2.178;55.100
2018-08-09;24,5438;25,4135;24,5438;25,3169;3.563;89.482
2018-08-08;24,4472;25,027;24,4472;24,8337;3.053;75.206
2018-08-07;24,1573;24,5438;24,0607;24,4472;1.239;30.032
2018-08-06;23,8674;24,1573;23,7708;24,1573;1.061;25.386
2018-08-03;24,1573;24,1573;23,8674;23,8674;1.249;29.950
2018-08-02;24,1573;24,5438;24,1573;24,3506;1.540;37.685
2018-08-01;24,4472;24,4472;24,2539;24,2539;69;1.695
2018-07-31;24,1573;24,7371;24,1573;24,4472;2.134;51.943
2018-07-30;23,8674;24,3506;23,8674;24,0607;1.297;31.306
2018-07-27;24,3506;24,3506;23,8674;24,0607;208;4.990
2018-07-26;24,2539;24,4472;23,8674;24,0607;1.656;39.813
2018-07-25;23,964;24,3506;23,8674;23,8674;100;2.410
2018-07-24;23,8674;24,3506;23,7708;23,8674;176;4.255
2018-07-23;24,0607;24,3506;24,0607;24,1573;821;19.748
2018-07-20;24,0607;24,3506;24,0607;24,2539;21;503
2018-07-19;24,1573;24,5438;24,0607;24,2539;2.152;52.360
2018-07-18;24,0607;24,4472;24,0607;24,1573;717;17.431
2018-07-17;23,7708;24,3506;23,7708;24,3506;1.066;25.547
2018-07-16;24,0607;24,3506;24,0607;24,0607;72;1.747
2018-07-13;24,3506;24,4472;23,8674;23,8674;618;15.020
2018-07-12;24,0607;24,3506;24,0607;24,0607;97;2.345
2018-07-11;23,8674;24,2539;23,8674;23,8674;612;14.644
2018-07-10;24,0607;24,3506;23,7708;24,0607;424;10.187
2018-07-09;23,6742;24,0607;23,6742;23,8191;48;1.135
2018-07-06;23,8674;23,8674;23,7708;23,7708;7.630;182.113
2018-07-05;23,8674;23,8674;23,8674;23,8674;1.726;41.200
2018-07-04;24,1573;24,1573;23,964;24,0607;547;13.220
2018-07-03;24,2539;24,2539;24,1573;24,2056;366;8.877
2018-07-02;24,1573;24,2539;24,1573;24,2056;65;1.576
2018-06-29;24,1573;24,4472;23,964;24,2539;1.471;35.391
