Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;4,595;4,595;4,44;4,50;6.614;29.742
2019-08-13;4,79;4,79;4,50;4,53;9.068;41.977
2019-08-12;4,82;4,82;4,665;4,665;2.905;13.784
2019-08-09;4,775;4,775;4,605;4,63;20.463;97.132
2019-08-08;4,735;4,84;4,65;4,695;20.813;98.862
2019-08-07;4,94;4,95;4,60;4,73;12.443;58.954
2019-08-06;4,72;4,97;4,71;4,84;18.189;87.283
2019-08-05;4,755;4,765;4,58;4,70;21.569;101.066
2019-08-02;4,72;4,76;4,70;4,74;2.917;13.757
2019-08-01;4,82;4,82;4,72;4,72;4.218;20.026
2019-07-31;4,85;4,85;4,705;4,815;4.794;23.033
2019-07-30;4,90;5,00;4,83;4,83;6.082;29.897
2019-07-29;4,87;4,87;4,81;4,82;4.155;20.185
2019-07-26;4,935;4,935;4,85;4,92;1.482;7.223
2019-07-25;4,995;4,995;4,855;4,93;2.277;11.137
2019-07-24;4,86;5,00;4,85;4,995;8.622;42.699
2019-07-23;4,995;4,995;4,85;4,99;420;2.064
2019-07-22;4,92;4,925;4,85;4,90;1.988;9.732
2019-07-19;4,96;4,96;4,855;4,95;1.633;7.987
2019-07-18;4,80;4,995;4,80;4,995;1.245;6.048
2019-07-17;4,84;5,02;4,775;4,95;7.710;37.588
2019-07-16;4,90;4,915;4,70;4,855;15.524;74.440
2019-07-15;4,87;5,03;4,87;4,905;5.595;27.666
2019-07-12;5,05;5,14;4,825;5,08;13.602;67.948
2019-07-11;5,20;5,24;5,00;5,08;15.792;81.018
2019-07-10;5,17;5,27;5,15;5,27;5.067;26.276
2019-07-09;5,27;5,41;5,20;5,20;13.161;69.449
2019-07-08;5,40;5,40;5,25;5,30;18.564;99.024
2019-07-05;5,22;5,35;5,15;5,20;34.312;180.620
2019-07-04;5,17;5,30;5,06;5,11;13.539;70.052
2019-07-03;5,11;5,14;4,975;5,04;4.500;22.823
2019-07-02;5,22;5,25;5,17;5,19;8.147;42.702
2019-07-01;5,40;5,40;5,17;5,27;13.372;71.472
2019-06-28;4,88;5,30;4,88;5,25;28.193;143.384
2019-06-27;4,805;4,90;4,80;4,90;11.693;56.837
2019-06-26;4,40;4,79;4,40;4,79;46.967;214.510
2019-06-25;4,445;4,45;4,38;4,415;10.149;44.689
2019-06-24;4,42;4,475;4,33;4,38;4.376;19.296
2019-06-21;4,33;4,455;4,26;4,405;1.115;4.798
2019-06-20;4,21;4,60;4,21;4,30;20.657;91.399
2019-06-19;4,05;4,24;4,05;4,21;14.168;58.504
2019-06-18;4,30;4,39;4,05;4,10;26.374;110.866
2019-06-17;4,32;4,465;4,30;4,30;3.443;14.999
2019-06-14;4,44;4,46;4,32;4,32;6.978;30.527
2019-06-13;4,375;4,375;4,32;4,33;3.342;14.489
2019-06-12;4,35;4,395;4,34;4,37;8.610;37.544
2019-06-11;4,56;4,56;4,35;4,375;10.569;47.003
2019-06-07;4,505;4,60;4,33;4,50;29.035;130.644
2019-06-06;4,68;4,68;4,50;4,555;17.267;78.781
