Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;30,90;32,90;30,90;32,80;9.867;313.174
2019-05-02;32,50;34,00;30,80;30,80;13.303;428.388
2019-04-30;33,90;34,10;32,40;32,80;8.302;274.578
2019-04-29;34,50;34,90;33,80;34,30;4.904;169.420
2019-04-26;34,30;35,20;34,30;34,70;2.496;86.861
2019-04-25;35,10;35,50;34,50;34,90;3.250;113.197
2019-04-24;34,30;35,20;33,90;34,90;1.883;65.220
2019-04-23;33,70;36,40;33,70;34,30;15.133;531.735
2019-04-18;34,00;34,20;33,20;33,40;2.250;75.800
2019-04-17;34,20;34,20;33,60;34,00;1.498;50.853
2019-04-16;33,90;34,20;33,60;34,20;5.198;176.440
2019-04-15;32,10;34,10;32,10;34,00;6.873;228.172
2019-04-12;32,90;33,00;31,90;32,00;8.623;281.655
2019-04-11;31,70;33,00;31,50;33,00;12.052;387.514
2019-04-10;30,00;30,40;30,00;30,40;1.340;40.254
2019-04-09;30,50;30,50;30,00;30,20;1.791;54.070
2019-04-08;30,20;30,40;30,00;30,40;1.871;56.385
2019-04-05;29,80;30,30;29,50;30,30;1.642;49.286
2019-04-04;29,80;30,20;29,40;29,70;3.420;102.298
2019-04-03;29,70;29,90;29,20;29,60;2.230;65.878
2019-04-02;29,60;29,90;29,20;29,40;1.920;56.743
2019-04-01;30,40;30,50;29,70;29,70;4.460;134.098
2019-03-29;30,50;30,50;30,00;30,30;911;27.510
2019-03-28;30,50;31,00;30,20;30,50;4.618;141.167
2019-03-27;30,50;30,70;30,20;30,50;2.664;81.067
2019-03-26;30,50;31,10;29,90;30,20;5.193;157.887
2019-03-25;29,50;31,00;29,30;31,00;5.180;155.857
2019-03-22;29,40;29,80;28,90;29,50;8.571;252.433
2019-03-21;31,30;31,30;28,60;29,40;11.156;332.345
2019-03-20;30,90;31,70;30,80;31,30;2.305;72.107
2019-03-19;31,40;31,50;30,90;31,20;5.446;169.773
2019-03-18;31,00;31,50;30,80;31,40;14.535;452.522
2019-03-15;29,60;31,00;29,60;30,50;13.959;425.998
2019-03-14;29,70;29,80;29,40;29,70;1.214;35.870
2019-03-13;29,50;29,80;29,40;29,70;1.880;55.650
2019-03-12;29,10;29,50;29,00;29,30;985;28.727
2019-03-11;29,00;29,20;28,60;28,90;1.465;42.144
2019-03-08;28,90;29,10;28,50;28,70;990;28.503
2019-03-07;29,70;29,70;28,80;29,10;3.390;98.521
2019-03-06;29,00;29,70;28,90;29,70;6.360;186.085
2019-03-05;28,60;28,80;28,50;28,60;4.309;123.604
2019-03-04;28,50;29,00;27,20;28,50;7.037;199.439
2019-03-01;28,50;28,80;28,20;28,70;2.962;84.410
2019-02-28;29,70;29,70;28,40;28,50;4.430;128.092
2019-02-27;29,90;30,00;29,50;29,70;4.331;129.089
2019-02-26;28,60;30,10;28,50;29,90;8.465;251.035
2019-02-25;27,60;28,90;27,60;28,80;9.067;256.427
2019-02-22;27,30;27,50;27,00;27,30;6.031;163.747
2019-02-21;28,20;28,20;27,10;27,40;12.943;359.041
2019-02-20;30,00;30,00;28,10;28,30;14.148;414.335
2019-02-19;30,20;30,20;29,60;30,10;5.230;156.311
2019-02-18;29,50;30,20;29,40;30,10;11.672;346.454
2019-02-15;29,50;29,80;29,00;29,40;10.005;294.451
2019-02-14;28,90;29,50;28,70;29,20;6.602;191.934
2019-02-13;28,90;29,50;28,50;29,50;13.188;383.705
2019-02-12;28,20;28,80;28,00;28,80;4.456;126.741
2019-02-11;28,00;28,50;27,60;27,90;7.291;204.662
2019-02-08;27,90;28,50;27,40;28,00;17.394;487.487
2019-02-07;27,10;28,00;27,00;28,00;14.112;389.399
2019-02-06;27,60;27,80;27,30;27,60;12.406;341.069
2019-02-05;26,70;28,00;26,30;28,00;23.324;622.630
2019-02-04;26,60;27,00;26,40;26,70;29.269;780.870
2019-02-01;24,70;26,30;24,70;26,00;15.905;405.798
2019-01-31;24,90;25,20;24,20;24,60;14.719;363.289
2019-01-30;24,10;25,00;24,00;24,80;23.071;565.398
2019-01-29;23,60;24,10;23,00;23,80;16.743;393.820
2019-01-28;23,30;24,20;23,00;23,50;11.541;272.354
