Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-02-10;0,009;0,009;0,009;0,009;25;0
2016-02-08;0,017;0,017;0,017;0,017;3.500;60
2016-02-05;0,009;0,009;0,009;0,009;25;0
2016-02-03;0,009;0,009;0,009;0,009;28;0
2016-02-01;0,008;0,008;0,008;0,008;400;3
2016-01-29;0,015;0,015;0,015;0,015;0;0
2016-01-28;0,015;0,016;0,015;0,016;29.000;464
2016-01-27;0,015;0,015;0,015;0,015;0;0
2016-01-26;0,015;0,015;0,015;0,015;0;0
2016-01-25;0,018;0,018;0,015;0,015;83.007;1.260
2016-01-22;0,015;0,015;0,015;0,015;0;0
2016-01-21;0,015;0,015;0,015;0,015;0;0
2016-01-20;0,015;0,015;0,015;0,015;0;0
2016-01-19;0,015;0,015;0,015;0,015;0;0
2016-01-18;0,015;0,015;0,015;0,015;0;0
2016-01-15;0,015;0,015;0,015;0,015;0;0
2016-01-14;0,015;0,018;0,015;0,018;1.000;18
2016-01-13;0,015;0,015;0,015;0,015;0;0
2016-01-12;0,015;0,015;0,015;0,015;0;0
2016-01-11;0,015;0,015;0,015;0,015;0;0
2016-01-08;0,015;0,015;0,015;0,015;0;0
2016-01-07;0,015;0,015;0,015;0,015;0;0
2016-01-04;0,016;0,016;0,016;0,016;25;0
2015-12-30;0,029;0,029;0,029;0,029;0;0
2015-12-29;0,029;0,03;0,029;0,03;147;4
2015-12-28;0,029;0,033;0,029;0,033;10.470;344
2015-12-23;0,031;0,031;0,031;0,031;21.045;652
2015-12-09;0,028;0,028;0,028;0,028;20;1
2015-12-08;0,026;0,039;0,02;0,028;48.550;1.132
2015-12-02;0,026;0,039;0,026;0,039;78;3
2015-12-01;0,039;0,039;0,039;0,039;2.000;78
2015-11-30;0,029;0,029;0,026;0,026;27.628;800
2015-11-26;0,058;0,058;0,058;0,058;1.000;58
2015-11-24;0,06;0,06;0,06;0,06;24.500;1.470
2015-11-16;0,059;0,059;0,059;0,059;5;0
2015-11-09;0,066;0,066;0,066;0,066;250;17
2015-11-05;0,069;0,069;0,069;0,069;520;36
2015-11-04;0,04;0,046;0,02;0,046;57.045;2.220
2015-10-30;0,06;0,06;0,059;0,059;22.945;1.366
2015-10-29;0,061;0,119;0,061;0,119;1.600;103
2015-10-28;0,11;0,11;0,09;0,09;2.537;278
2015-10-27;0,099;0,099;0,095;0,095;1.800;177
2015-10-26;0,055;0,07;0,055;0,07;2.050;117
2015-10-23;0,061;0,109;0,042;0,109;9.415;581
2015-10-20;0,06;0,06;0,06;0,06;160;10
2015-10-19;0,128;0,128;0,12;0,12;7.025;883
2015-10-16;0,105;0,13;0,105;0,13;9.240;976
2015-10-09;0,07;0,07;0,07;0,07;56;4
2015-10-07;0,066;0,08;0,066;0,07;82.000;5.845
2015-10-06;0,055;0,07;0,055;0,062;10.337;625
2015-10-05;0,071;0,078;0,071;0,078;27.328;2.024
2015-10-02;0,079;0,079;0,079;0,079;7.500;593
2015-10-01;0,074;0,074;0,074;0,074;20.000;1.480
2015-09-30;0,073;0,073;0,05;0,05;62.500;4.333
2015-09-28;0,05;0,05;0,05;0,05;10.050;503
2015-09-25;0,049;0,049;0,049;0,049;450;22
2015-09-24;0,049;0,049;0,048;0,048;149.279;7.215
2015-09-23;0,019;0,02;0,01;0,01;34.257;681
2015-09-02;0,016;0,016;0,016;0,016;10.000;160
2015-08-24;0,011;0,011;0,011;0,011;325;4
2015-08-17;0,012;0,012;0,012;0,012;75;1
2015-08-10;0,011;0,011;0,011;0,011;287;3
2015-08-06;0,014;0,015;0,007;0,011;39.025;428
2015-08-05;0,027;0,027;0,027;0,027;25.000;675
2015-07-30;0,023;0,023;0,023;0,023;4.155;96
2015-07-29;0,022;0,022;0,022;0,022;20.000;440
2015-07-24;0,014;0,014;0,007;0,007;787;11
2015-07-22;0,037;0,037;0,027;0,027;15.000;455
2015-07-21;0,018;0,018;0,018;0,018;25;0
2015-07-17;0,036;0,036;0,036;0,036;2.000;72
2015-07-15;0,031;0,04;0,031;0,04;55.000;1.975
2015-07-13;0,021;0,021;0,021;0,021;5.000;105
2015-07-01;0,027;0,027;0,021;0,021;25.021;536
2015-06-29;0,027;0,028;0,027;0,028;30.025;811
2015-06-24;0,026;0,026;0,022;0,022;10.033;261
2015-06-23;0,028;0,028;0,028;0,028;75;2
2015-06-16;0,028;0,028;0,028;0,028;87;2
2015-06-12;0,027;0,028;0,027;0,028;19.731;533
2015-06-11;0,027;0,028;0,027;0,028;28;1
2015-06-10;0,027;0,027;0,027;0,027;0;0
2015-06-09;0,027;0,027;0,027;0,027;0;0
2015-06-08;0,028;0,028;0,028;0,028;75;2
2015-06-05;0,027;0,027;0,027;0,027;0;0
2015-06-04;0,027;0,027;0,027;0,027;0;0
2015-06-03;0,027;0,027;0,027;0,027;0;0
2015-06-02;0,027;0,027;0,027;0,027;0;0
2015-06-01;0,027;0,027;0,027;0,027;0;0
2015-05-29;0,03;0,03;0,03;0,03;0;0
2015-05-28;0,03;0,031;0,03;0,031;2.000;62
2015-05-27;0,03;0,03;0,03;0,03;;
2015-05-26;0,03;0,035;0,03;0,035;12.000;420
2015-05-22;0,03;0,03;0,03;0,03;0;0
2015-05-21;0,03;0,03;0,03;0,03;0;0
2015-05-20;0,034;0,034;0,034;0,034;7;0
2015-05-19;0,03;0,034;0,03;0,034;10.037;341
2015-05-18;0,03;0,03;0,03;0,03;0;0
2015-05-15;0,03;0,035;0,03;0,035;5.000;175
2015-05-14;0,03;0,03;0,03;0,03;0;0
2015-05-13;0,03;0,035;0,03;0,035;5.000;175
2015-05-12;0,036;0,036;0,036;0,036;5;0
2015-05-11;0,035;0,036;0,035;0,036;187;7
2015-05-08;0,035;0,042;0,035;0,042;612;25
2015-04-27;0,043;0,043;0,043;0,043;10.050;432
2015-04-21;0,043;0,043;0,043;0,043;2.500;108
2015-04-20;0,05;0,05;0,05;0,05;10.000;500
2015-04-17;0,043;0,043;0,043;0,043;30;1
2015-04-16;0,043;0,043;0,043;0,043;225;10
2015-04-15;0,043;0,043;0,043;0,043;12;1
2015-04-10;0,043;0,043;0,043;0,043;1.700;73
2015-04-08;0,043;0,043;0,043;0,043;137;6
2015-04-02;0,043;0,043;0,043;0,043;100;4
2015-04-01;0,043;0,043;0,043;0,043;1.001;43
2015-03-31;0,04;0,041;0,04;0,041;29.673;1.187
2015-03-30;0,027;0,027;0,027;0,027;0;0
2015-03-27;0,027;0,03;0,027;0,03;10.000;300
2015-03-26;0,027;0,027;0,027;0,027;0;0
2015-03-25;0,027;0,027;0,027;0,027;0;0
2015-03-24;0,027;0,027;0,026;0,026;28.625;753
2015-03-17;0,033;0,033;0,033;0,033;20.000;660
2015-03-16;0,036;0,036;0,036;0,036;11;0
2015-03-06;0,036;0,036;0,036;0,036;345;12
2015-03-04;0,036;0,036;0,036;0,036;1.000;36
2015-03-02;0,044;0,063;0,044;0,063;17.000;871
2015-02-25;0,031;0,031;0,031;0,031;250;8
2015-02-20;0,021;0,031;0,021;0,031;18.525;574
2015-02-17;0,026;0,026;0,026;0,026;10.000;260
2015-02-16;0,04;0,04;0,04;0,04;0;0
2015-02-13;0,05;0,062;0,032;0,032;48.438;2.560
2015-02-12;0,051;0,063;0,014;0,014;40.514;1.332
2015-02-11;0,013;0,013;0,013;0,013;25;0
2015-02-10;0,027;0,055;0,027;0,055;13.736;753
2015-02-09;0,013;0,013;0,013;0,013;125;2
2015-01-21;0,037;0,037;0,037;0,037;50;2
2015-01-20;0,037;0,037;0,037;0,037;5.000;185
2015-01-09;0,038;0,045;0,038;0,041;12.075;523
2015-01-07;0,08;0,099;0,051;0,051;164.548;11.381
2015-01-06;0,021;0,079;0,021;0,079;39.000;1.991
2015-01-05;0,021;0,021;0,021;0,021;0;0
2015-01-02;0,021;0,021;0,021;0,021;0;0
2014-12-30;0,02;0,02;0,02;0,02;0;0
2014-12-29;0,02;0,02;0,02;0,02;0;0
2014-12-23;0,02;0,02;0,02;0,02;0;0
2014-12-22;0,02;0,022;0,02;0,022;70;2
2014-12-19;0,022;0,022;0,022;0,022;25;1
2014-12-18;0,021;0,021;0,021;0,021;0;0
2014-12-17;0,021;0,021;0,021;0,021;0;0
2014-12-16;0,021;0,021;0,021;0,021;0;0
2014-12-15;0,021;0,021;0,021;0,021;0;0
2014-12-12;0,022;0,022;0,022;0,022;78;2
2014-12-11;0,021;0,021;0,021;0,021;0;0
2014-12-10;0,021;0,021;0,021;0,021;0;0
2014-12-09;0,021;0,021;0,021;0,021;0;0
2014-12-08;0,021;0,021;0,021;0,021;0;0
2014-12-05;0,021;0,021;0,021;0,021;0;0
2014-12-04;0,021;0,021;0,021;0,021;0;0
2014-12-03;0,025;0,025;0,025;0,025;75;2
2014-12-02;0,025;0,025;0,025;0,025;50;1
