Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;40,47;40,66;40,15;40,28;541.765;21.868.998
2019-05-02;40,00;40,47;40,00;40,37;660.828;26.652.550
2019-04-30;39,73;40,33;39,70;40,07;922.489;36.997.984
2019-04-29;39,93;40,27;39,86;39,92;566.035;22.641.582
2019-04-26;40,48;40,48;39,95;40,05;544.135;21.798.646
2019-04-25;40,87;41,05;40,33;40,33;826.582;33.461.996
2019-04-24;40,10;40,87;39,92;40,80;1.108.001;45.031.728
2019-04-23;40,30;40,57;39,74;40,48;1.182.372;47.659.512
2019-04-18;39,40;39,76;39,22;39,75;1.107.512;43.862.704
2019-04-17;39,29;39,36;38,43;38,90;1.091.331;42.359.148
2019-04-16;39,30;39,42;39,09;39,25;1.100.390;43.198.284
2019-04-15;40,24;40,28;39,14;39,31;1.414.287;55.784.448
2019-04-12;40,59;40,71;40,27;40,30;632.268;25.527.536
2019-04-11;40,45;40,57;40,17;40,43;804.902;32.498.518
2019-04-10;40,25;41,15;40,14;40,70;1.316.592;53.465.076
2019-04-09;40,90;40,90;40,08;40,22;1.090.217;43.944.980
2019-04-08;42,21;42,21;41,00;41,00;1.106.372;45.632.220
2019-04-05;42,56;42,56;41,92;42,32;628.849;26.582.802
2019-04-04;42,21;42,71;42,21;42,52;771.097;32.755.642
2019-04-03;43,11;43,11;42,10;42,43;1.167.085;49.529.656
2019-04-02;43,20;43,45;42,86;42,93;815.357;35.116.488
2019-04-01;43,30;43,36;42,81;43,00;1.162.811;50.011.484
2019-03-29;44,41;44,60;43,19;43,23;1.273.892;55.342.792
2019-03-28;43,60;44,23;43,56;44,13;709.994;31.291.264
2019-03-27;44,47;44,83;43,35;43,94;1.101.044;48.315.972
2019-03-26;44,11;44,52;43,58;44,45;688.316;30.495.604
2019-03-25;43,60;44,39;43,47;43,96;653.510;28.750.714
2019-03-22;44,42;44,69;44,06;44,17;798.963;35.363.536
2019-03-21;43,61;44,33;43,61;44,32;417.138;18.410.984
2019-03-20;43,75;44,31;43,73;43,80;604.586;26.551.634
2019-03-19;43,73;43,97;43,59;43,85;538.887;23.627.916
2019-03-18;43,50;43,82;43,32;43,73;568.652;24.818.022
2019-03-15;43,39;43,81;43,14;43,43;1.501.998;65.240.656
2019-03-14;42,91;43,60;42,88;43,32;702.430;30.430.128
2019-03-13;43,12;43,13;42,40;42,85;656.591;28.085.624
2019-03-12;42,90;43,14;42,72;42,86;622.928;26.724.040
2019-03-11;42,75;42,90;42,40;42,70;529.833;22.609.346
2019-03-08;41,68;43,15;41,68;42,56;836.005;35.664.448
2019-03-07;40,88;42,14;40,73;41,85;940.274;39.213.476
2019-03-06;40,94;41,08;40,64;40,77;443.557;18.092.878
2019-03-05;40,75;41,04;40,54;40,91;638.142;26.067.960
2019-03-04;40,80;40,97;40,45;40,69;860.567;34.988.672
2019-03-01;41,07;41,27;40,53;40,71;740.905;30.200.270
2019-02-28;41,12;41,32;40,89;41,00;785.857;32.242.310
2019-02-27;41,60;41,62;41,04;41,13;745.676;30.709.382
2019-02-26;41,17;41,67;41,04;41,60;485.570;20.169.762
2019-02-25;41,89;41,89;41,22;41,28;709.437;29.338.462
2019-02-22;42,19;42,19;41,70;41,80;383.549;16.043.416
2019-02-21;42,19;42,34;41,87;42,11;571.520;24.054.432
2019-02-20;42,53;42,75;42,09;42,16;424.130;17.911.558
2019-02-19;42,60;42,78;42,04;42,41;568.590;24.092.046
2019-02-18;42,66;42,70;42,38;42,65;350.846;14.944.243
2019-02-15;42,56;42,78;42,33;42,60;454.042;19.330.188
2019-02-14;42,51;42,97;42,32;42,56;500.713;21.372.200
2019-02-13;42,65;42,69;42,33;42,33;494.316;20.968.530
2019-02-12;42,61;42,69;42,34;42,48;529.255;22.494.560
2019-02-11;42,39;42,65;42,30;42,38;562.141;23.848.862
2019-02-08;42,75;43,01;42,02;42,17;614.989;26.003.664
2019-02-07;43,06;43,41;42,78;42,80;657.451;28.226.424
2019-02-06;43,23;43,62;43,05;43,17;584.828;25.321.480
2019-02-05;43,28;43,34;42,97;43,22;591.505;25.556.478
2019-02-04;42,85;43,24;42,81;43,19;987.744;42.583.400
2019-02-01;42,40;42,94;42,13;42,81;1.722.422;73.415.352
2019-01-31;44,00;44,11;43,41;43,59;836.753;36.538.728
2019-01-30;43,79;43,90;43,43;43,90;539.381;23.631.066
2019-01-29;43,25;43,91;43,25;43,79;587.151;25.677.548
2019-01-28;43,30;43,55;43,11;43,34;496.426;21.526.818
2019-01-25;42,99;43,65;42,68;43,30;593.508;25.701.438
2019-01-24;42,86;42,96;42,50;42,87;740.286;31.704.960
2019-01-23;42,23;42,86;41,96;42,72;587.557;25.066.028
2019-01-22;42,38;42,82;42,13;42,24;592.392;25.103.172
2019-01-21;41,91;42,49;41,82;42,42;533.233;22.539.718
2019-01-18;41,52;41,80;41,44;41,56;628.909;26.147.620
2019-01-17;41,30;41,58;41,02;41,34;697.554;28.808.624
2019-01-16;41,47;41,54;41,03;41,30;447.206;18.468.562
2019-01-15;41,65;41,73;41,14;41,41;591.160;24.477.802
2019-01-14;41,95;42,04;41,49;41,49;479.781;19.967.398
2019-01-11;41,45;42,06;41,25;41,99;563.249;23.601.862
2019-01-10;41,43;41,61;41,19;41,29;561.241;23.206.734
2019-01-09;41,98;42,02;41,33;41,51;585.475;24.334.950
2019-01-08;41,49;41,97;41,44;41,71;479.165;19.993.652
2019-01-07;41,42;41,48;40,89;41,48;549.790;22.728.206
2019-01-04;40,85;41,23;40,52;41,23;546.241;22.443.488
2019-01-03;40,38;40,79;40,16;40,60;624.456;25.286.142
2019-01-02;39,96;40,61;39,70;40,39;556.287;22.412.830
2018-12-28;39,91;40,25;39,75;40,00;428.953;17.164.152
2018-12-27;40,94;40,95;39,70;39,74;610.076;24.381.638
2018-12-21;41,37;41,55;40,86;41,00;1.773.373;72.825.720
2018-12-20;41,39;41,71;41,16;41,47;678.054;28.093.702
2018-12-19;41,76;42,06;41,44;41,67;829.256;34.573.492
2018-12-18;41,18;41,82;40,90;41,56;967.084;40.142.756
2018-12-17;41,91;41,91;41,14;41,21;646.664;26.696.866
2018-12-14;41,36;41,82;41,14;41,77;563.571;23.465.350
2018-12-13;41,89;41,91;41,06;41,64;756.720;31.384.642
2018-12-12;41,71;42,38;41,71;41,81;591.300;24.789.768
2018-12-11;42,34;42,35;41,50;41,57;500.794;20.870.836
2018-12-10;42,25;42,53;41,96;42,17;694.481;29.314.452
2018-12-07;41,74;42,56;41,68;42,22;780.582;33.000.002
2018-12-06;41,59;41,87;41,20;41,40;842.317;34.870.068
2018-12-05;40,99;41,87;40,90;41,72;545.095;22.652.992
2018-12-04;41,47;42,02;41,27;41,38;837.811;34.730.456
2018-12-03;42,96;43,02;41,40;41,40;1.019.891;42.757.752
2018-11-30;42,48;42,56;41,73;42,34;1.399.730;59.170.040
2018-11-29;42,32;42,62;42,00;42,44;470.947;19.949.704
2018-11-28;42,19;42,25;41,93;42,20;404.357;17.037.314
2018-11-27;41,82;42,32;41,68;41,97;576.338;24.197.126
2018-11-26;41,46;41,77;41,27;41,70;399.087;16.608.194
2018-11-23;41,03;41,36;40,89;41,25;349.211;14.384.750
2018-11-22;41,44;41,57;40,93;41,02;476.442;19.577.796
2018-11-21;40,64;41,54;40,51;41,42;542.073;22.370.828
2018-11-20;40,51;41,06;40,22;40,46;598.139;24.259.422
2018-11-19;41,33;41,59;40,74;40,76;483.746;19.821.532
2018-11-16;41,17;41,38;40,49;41,25;560.910;23.029.260
2018-11-15;42,50;42,50;40,96;41,24;630.464;26.122.494
2018-11-14;41,80;43,10;41,79;42,28;966.433;41.003.776
2018-11-13;41,75;42,06;41,44;41,70;602.373;25.114.482
2018-11-12;41,35;41,75;40,88;41,75;592.654;24.646.644
2018-11-09;40,74;41,50;40,74;41,33;703.004;29.038.324
2018-11-08;40,95;41,17;40,69;40,90;611.467;25.009.238
2018-11-07;40,29;41,00;40,23;40,80;576.659;23.514.536
2018-11-06;40,06;40,31;39,90;40,22;464.111;18.652.240
2018-11-05;40,19;40,61;39,84;40,00;585.985;23.498.216
2018-11-02;40,93;41,18;40,18;40,21;510.532;20.605.584
2018-11-01;40,37;40,89;40,32;40,68;456.467;18.565.360
2018-10-31;41,15;41,19;40,21;40,44;894.767;36.203.944
2018-10-30;40,54;40,81;40,13;40,73;389.353;15.808.687
2018-10-29;40,96;41,15;40,28;40,37;445.978;18.064.282
2018-10-26;40,23;41,09;39,97;40,98;654.822;26.739.852
2018-10-25;39,95;40,48;39,84;40,48;708.509;28.532.260
2018-10-24;40,73;41,04;40,16;40,26;614.093;24.816.852
2018-10-23;41,28;41,42;40,54;40,60;575.756;23.428.464
2018-10-22;41,60;41,80;41,29;41,60;555.324;23.083.644
2018-10-19;41,04;41,64;40,73;41,36;650.742;26.886.494
2018-10-18;40,95;41,68;40,84;41,06;739.163;30.439.208
2018-10-17;40,15;41,06;40,10;41,06;759.123;31.005.546
2018-10-16;38,88;40,10;38,88;40,00;661.212;26.327.272
2018-10-15;38,75;38,95;38,58;38,78;513.160;19.891.194
2018-10-12;39,54;39,54;38,74;38,91;795.572;31.019.366
2018-10-11;39,50;39,85;39,09;39,36;961.173;37.888.724
2018-10-10;40,49;40,49;39,92;39,92;761.182;30.468.652
2018-10-09;40,19;40,59;39,79;40,46;915.318;36.904.656
2018-10-08;39,52;40,24;39,52;40,09;693.832;27.770.242
2018-10-05;39,56;39,94;39,39;39,68;688.297;27.299.720
2018-10-04;40,83;40,83;39,60;39,60;971.380;38.734.892
2018-10-02;41,20;41,27;40,79;40,96;600.210;24.578.158
2018-10-01;41,29;41,46;40,91;41,26;623.468;25.687.546
2018-09-28;41,04;41,54;40,66;41,32;1.010.555;41.708.864
2018-09-27;40,77;41,23;40,75;41,09;547.341;22.489.756
2018-09-26;41,01;41,25;40,84;40,84;599.351;24.516.300
2018-09-25;41,19;41,26;40,77;40,90;567.115;23.247.850
2018-09-24;42,17;42,26;41,07;41,14;808.472;33.504.892
2018-09-21;42,37;42,37;41,93;41,97;2.608.906;109.516.632
2018-09-20;41,84;42,23;41,67;42,18;625.167;26.296.002
2018-09-19;42,86;42,93;41,55;41,96;1.340.915;56.329.992
2018-09-18;42,99;43,12;42,72;42,91;521.645;22.375.558
2018-09-17;43,05;43,24;42,66;42,77;385.773;16.533.795
2018-09-14;43,14;43,25;42,92;43,05;477.776;20.580.556
2018-09-13;43,11;43,61;43,06;43,06;507.585;21.940.352
2018-09-12;43,21;43,30;42,98;43,18;456.091;19.677.610
2018-09-11;43,34;43,48;42,89;43,05;563.320;24.270.486
2018-09-10;43,51;43,63;43,30;43,35;563.307;24.454.192
2018-09-07;43,09;43,55;43,06;43,35;399.859;17.335.354
2018-09-06;43,12;43,64;42,96;43,01;526.348;22.716.028
2018-09-05;43,00;43,48;42,77;43,28;718.649;31.063.730
2018-09-04;43,04;43,46;42,87;43,09;541.247;23.346.332
2018-09-03;43,61;43,82;42,84;42,93;582.088;25.100.278
2018-08-31;43,75;43,84;43,36;43,54;662.650;28.856.398
2018-08-30;43,56;43,85;43,31;43,75;417.106;18.210.260
2018-08-29;43,46;44,04;43,46;43,61;432.571;18.890.806
2018-08-28;43,80;43,90;43,29;43,43;428.451;18.617.776
2018-08-27;43,23;43,83;43,16;43,69;390.140;17.013.988
2018-08-24;43,31;43,42;42,93;42,97;417.014;17.961.384
2018-08-23;42,86;43,36;42,71;43,20;382.691;16.526.872
2018-08-22;42,15;43,10;42,14;42,82;577.461;24.701.484
2018-08-21;42,05;42,31;41,59;42,10;741.526;31.136.202
2018-08-20;41,98;41,98;41,52;41,60;364.539;15.184.606
2018-08-17;41,81;42,20;41,56;41,77;498.633;20.854.848
2018-08-16;41,24;42,10;41,16;41,83;771.813;32.218.392
2018-08-15;41,45;41,60;40,92;41,25;592.574;24.468.108
2018-08-14;42,67;42,76;41,11;41,69;822.757;34.260.928
2018-08-13;42,16;42,40;41,88;42,38;439.373;18.543.772
2018-08-10;42,25;42,57;42,12;42,35;532.010;22.541.540
2018-08-09;42,21;42,30;41,95;42,30;512.792;21.635.492
2018-08-08;41,48;42,20;41,41;42,16;473.244;19.872.796
2018-08-07;42,39;42,42;41,44;41,53;458.070;19.101.236
2018-08-06;42,65;42,65;42,00;42,26;330.866;13.987.798
2018-08-03;41,95;42,37;41,86;42,37;386.849;16.333.353
2018-08-02;41,41;42,07;41,41;41,89;633.477;26.511.114
2018-08-01;41,78;41,82;41,34;41,60;463.221;19.263.750
2018-07-31;41,85;42,21;41,63;41,66;667.798;27.895.988
2018-07-30;42,20;42,37;41,62;41,80;502.180;21.028.126
2018-07-27;42,00;42,59;41,88;42,27;515.659;21.819.324
2018-07-26;41,93;42,32;41,75;42,26;498.063;20.970.706
2018-07-25;41,38;42,03;41,29;41,87;412.136;17.234.864
2018-07-24;41,16;41,74;41,02;41,30;603.211;24.987.756
2018-07-23;41,33;41,60;40,95;41,06;335.315;13.814.396
2018-07-20;41,50;41,70;41,13;41,38;441.023;18.242.648
2018-07-19;41,63;41,63;41,12;41,37;373.313;15.426.139
2018-07-18;41,53;41,86;41,53;41,59;526.758;21.948.164
2018-07-17;41,43;41,54;40,92;41,41;588.970;24.331.700
2018-07-16;41,19;41,69;41,19;41,44;433.566;17.970.294
2018-07-13;41,29;41,52;40,98;41,19;589.836;24.285.130
2018-07-12;41,20;41,39;41,06;41,23;590.740;24.349.224
2018-07-11;41,19;41,48;41,11;41,16;583.541;24.071.814
2018-07-10;41,29;41,52;41,10;41,30;615.057;25.419.720
2018-07-09;41,51;41,69;40,98;41,18;649.901;26.799.870
2018-07-06;41,00;41,45;40,72;41,37;826.756;34.150.872
2018-07-05;41,44;41,44;40,78;40,93;1.058.157;43.370.588
2018-07-04;41,61;42,06;41,41;41,48;910.265;37.896.424
2018-07-03;41,99;42,15;41,31;41,59;1.022.662;42.593.320
2018-07-02;41,02;41,90;41,02;41,71;941.888;39.217.080
2018-06-29;41,34;41,59;41,04;41,40;1.171.314;48.471.060
2018-06-28;41,40;41,80;40,95;41,12;611.779;25.184.234
2018-06-27;41,10;41,51;40,74;41,48;812.769;33.605.304
2018-06-26;41,45;41,61;40,94;41,14;1.101.209;45.367.744
2018-06-25;41,60;42,03;41,25;41,39;793.818;32.906.432
2018-06-22;41,04;41,59;40,96;41,50;742.568;30.777.662
2018-06-21;40,69;41,20;40,60;41,11;997.259;40.939.332
2018-06-20;40,20;40,92;40,20;40,68;620.197;25.223.508
2018-06-19;40,17;40,49;40,09;40,12;636.842;25.625.016
2018-06-18;40,50;40,64;40,28;40,52;798.948;32.329.802
2018-06-15;40,5886;41,3633;40,4219;40,4317;4.258.737;172.803.600
2018-06-14;40,0983;40,8436;39,8237;40,471;1.265.370;51.152.928
2018-06-13;40,0787;40,824;40,0787;40,2552;786.173;31.746.720
2018-06-12;40,1572;40,2748;39,7747;40,0101;739.728;29.603.686
2018-06-11;39,912;40,0885;39,7649;39,9806;721.265;28.829.808
2018-06-08;39,0294;40,0395;39,00;39,7159;727.817;28.844.046
2018-06-07;39,8041;39,8041;38,9019;39,1275;621.716;24.349.852
2018-06-06;39,8041;40,0591;39,5884;39,6178;624.019;24.806.636
2018-06-05;39,863;40,0493;39,6178;39,7943;629.425;25.074.326
2018-06-04;39,2256;39,9414;39,1765;39,7355;1.101.685;43.734.624
2018-06-01;39,4805;39,5982;39,0196;39,1275;886.715;34.794.792
2018-05-31;39,4217;39,7747;39,0883;39,353;1.389.839;54.693.656
2018-05-30;38,7254;39,5099;38,6372;39,353;885.201;34.763.324
2018-05-29;38,441;38,8725;38,1469;38,6666;810.167;31.302.904
2018-05-28;38,7352;38,8431;38,5097;38,5881;203.391;7.856.419
2018-05-25;38,039;38,745;38,039;38,6666;636.526;24.534.862
2018-05-24;38,1076;38,3626;37,9017;37,9311;730.385;27.775.462
2018-05-23;38,1469;38,3038;37,8723;38,0978;676.083;25.748.100
2018-05-22;38,6372;38,6372;37,9998;38,343;709.868;27.165.094
2018-05-18;38,1665;38,4803;38,039;38,4018;515.539;19.740.690
2018-05-17;38,2351;38,3822;38,0978;38,137;774.747;29.594.218
2018-05-16;39,0588;39,0588;38,2253;38,2841;812.923;31.225.322
2018-05-15;38,4901;39,559;38,441;38,9804;792.748;30.927.140
2018-05-14;39,0687;39,2648;38,9314;39,2648;626.490;24.553.342
2018-05-11;38,7941;39,2746;38,7156;38,9118;915.190;35.674.340
2018-05-10;38,9314;39,0196;38,6568;38,7156;381.243;14.783.664
2018-05-09;38,8333;38,8921;38,4116;38,8921;619.706;24.035.966
2018-05-08;38,9804;38,9804;38,5979;38,8039;530.686;20.593.150
2018-05-07;38,4803;39,0392;38,4803;38,9608;370.121;14.391.629
