Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2009-06-29;2,09;2,09;2,09;2,09;0;0
2009-06-26;2,11;2,11;2,11;2,11;0;0
2009-06-25;2,12;2,12;2,12;2,12;0;0
2009-06-24;2,12;2,12;2,12;2,12;0;0
2009-06-23;2,11;2,11;2,11;2,11;0;0
2009-06-22;2,12;2,12;2,12;2,12;0;0
2009-06-19;2,11;2,11;2,11;2,11;0;0
2009-06-18;2,11;2,11;2,11;2,11;0;0
2009-06-17;2,05;2,05;2,05;2,05;0;0
2009-06-16;2,04;2,04;2,04;2,04;0;0
2009-06-15;2,03;2,03;2,03;2,03;0;0
2009-06-12;2,04;2,04;2,04;2,04;0;0
2009-06-11;2,05;2,05;2,05;2,05;0;0
2009-06-10;2,03;2,03;2,03;2,03;0;0
2009-06-09;2,03;2,03;2,03;2,03;0;0
2009-06-08;2,01;2,01;2,01;2,01;0;0
2009-06-05;2,21;2,21;2,21;2,21;0;0
2009-06-04;2,22;2,22;2,22;2,22;0;0
2009-06-03;2,05;2,05;2,05;2,05;0;0
2009-06-02;2,03;2,03;2,03;2,03;0;0
2009-06-01;2,04;2,04;2,04;2,04;0;0
2009-05-29;2,11;2,11;2,11;2,11;0;0
2009-05-28;2,09;2,09;2,09;2,09;0;0
2009-05-27;2,02;2,02;2,02;2,02;0;0
2009-05-26;2,01;2,01;2,01;2,01;0;0
2009-05-25;2,08;2,08;2,08;2,08;0;0
2009-05-22;2,10;2,10;2,10;2,10;0;0
2009-05-21;2,08;2,08;2,08;2,08;0;0
2009-05-20;1,97;1,97;1,97;1,97;0;0
2009-05-19;2,17;2,17;2,17;2,17;0;0
2009-05-18;2,03617;2,03617;2,03617;2,19868;10;23
2009-05-15;2,02661;2,02661;2,02661;2,02661;0;0
2009-05-14;2,04573;2,04573;2,04573;2,04573;0;0
2009-05-13;2,06485;2,06485;2,06485;2,06485;0;0
2009-05-12;2,02661;2,02661;2,02661;2,02661;0;0
2009-05-11;2,03617;2,03617;2,03617;2,03617;0;0
2009-05-08;2,06485;2,06485;2,06485;2,06485;0;0
2009-05-07;2,03617;2,03617;2,03617;2,03617;0;0
2009-05-06;2,02661;2,02661;2,02661;2,02661;0;0
2009-05-05;2,03617;2,03617;2,03617;2,03617;0;0
2009-05-04;2,06485;2,06485;2,06485;2,06485;0;0
2009-04-30;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-29;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-28;2,01705;2,01705;2,01705;2,01705;0;0
2009-04-27;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-24;2,02661;2,02661;2,02661;2,02661;0;0
2009-04-23;2,01705;2,01705;2,01705;2,01705;0;0
2009-04-22;2,01705;2,01705;2,01705;2,01705;0;0
2009-04-21;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-20;2,02661;2,02661;2,02661;2,02661;0;0
2009-04-17;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-16;2,04573;2,04573;2,04573;2,04573;0;0
2009-04-15;2,02661;2,02661;2,02661;2,02661;0;0
2009-04-14;2,03617;2,03617;2,03617;2,03617;0;0
2009-04-09;2,07441;2,07441;2,07441;2,07441;0;0
2009-04-08;2,01705;2,01705;2,01705;2,01705;0;0
2009-04-07;2,06485;2,06485;2,06485;2,06485;0;0
2009-04-06;2,05529;2,05529;2,05529;2,05529;0;0
