Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;2,70;2,70;2,625;2,635;25.473;67.494
2019-07-18;2,705;2,715;2,605;2,65;86.807;230.862
2019-07-17;2,68;2,74;2,66;2,67;58.820;158.250
2019-07-16;2,79;2,79;2,66;2,745;152.736;414.506
2019-07-15;2,77;2,83;2,705;2,76;356.059;981.310
2019-07-12;2,795;2,80;2,75;2,77;20.683;57.496
2019-07-11;2,80;2,845;2,795;2,815;40.347;113.424
2019-07-10;2,795;2,87;2,765;2,82;83.503;234.194
2019-07-09;2,83;2,87;2,725;2,86;138.890;389.087
2019-07-08;2,805;2,94;2,795;2,90;594.689;1.714.743
2019-07-05;2,68;2,89;2,63;2,89;349.731;965.729
2019-07-04;2,585;2,76;2,545;2,68;341.298;911.185
2019-07-03;2,58;2,58;2,51;2,575;34.902;89.114
2019-07-02;2,515;2,555;2,495;2,55;52.441;132.869
2019-07-01;2,49;2,515;2,48;2,50;94.674;236.326
2019-06-28;2,48;2,50;2,48;2,49;25.456;63.333
2019-06-27;2,50;2,50;2,47;2,49;137.521;342.165
2019-06-26;2,50;2,50;2,48;2,495;22.105;55.033
2019-06-25;2,48;2,505;2,47;2,50;88.275;220.376
2019-06-24;2,51;2,54;2,48;2,49;142.338;356.909
2019-06-21;2,51;2,58;2,49;2,49;124.862;316.619
2019-06-20;2,50;2,54;2,495;2,53;36.917;92.762
2019-06-19;2,51;2,535;2,47;2,50;114.687;286.500
2019-06-18;2,515;2,53;2,50;2,50;26.156;65.773
2019-06-17;2,535;2,58;2,52;2,525;46.579;119.067
2019-06-14;2,535;2,55;2,50;2,525;109.669;277.141
2019-06-13;2,57;2,60;2,54;2,56;117.687;302.722
2019-06-12;2,51;2,565;2,51;2,56;49.529;125.667
2019-06-11;2,485;2,545;2,47;2,52;126.819;317.619
2019-06-07;2,525;2,525;2,475;2,475;44.490;110.699
2019-06-06;2,555;2,555;2,475;2,48;61.241;153.178
2019-06-05;2,405;2,56;2,405;2,50;344.916;861.256
2019-06-04;2,42;2,45;2,395;2,425;115.420;280.669
2019-06-03;2,41;2,41;2,365;2,41;137.562;328.263
2019-05-31;2,41;2,41;2,34;2,38;76.079;180.234
2019-05-30;2,39;2,405;2,365;2,385;147.039;350.355
2019-05-29;2,39;2,39;2,35;2,38;34.551;81.937
2019-05-28;2,395;2,40;2,38;2,39;25.150;60.022
2019-05-27;2,38;2,425;2,365;2,39;52.992;126.631
2019-05-24;2,43;2,44;2,38;2,38;44.140;106.137
2019-05-23;2,40;2,44;2,38;2,41;126.276;303.122
2019-05-22;2,35098;2,40016;2,35098;2,36082;38.401;91.118
2019-05-21;2,37557;2,40016;2,3559;2,37065;87.333;207.503
2019-05-20;2,36082;2,41;2,36082;2,38049;81.290;193.119
2019-05-17;2,36573;2,41492;2,36082;2,40016;45.110;107.759
2019-05-16;2,38049;2,41;2,36573;2,39033;48.480;115.721
2019-05-15;2,41;2,41984;2,37065;2,40016;60.714;145.325
2019-05-14;2,38541;2,41984;2,38049;2,41;126.403;304.408
2019-05-13;2,39033;2,39524;2,36082;2,36082;45.358;108.109
2019-05-10;2,35098;2,39033;2,35098;2,35098;69.615;164.908
2019-05-09;2,40016;2,41;2,35098;2,35098;53.999;128.500
2019-05-08;2,41;2,41;2,40016;2,40016;13.615;32.700
2019-05-07;2,41492;2,42967;2,41;2,41;34.688;83.742
2019-05-06;2,45427;2,45918;2,41;2,41;107.933;262.648
2019-05-03;2,42967;2,45918;2,42967;2,44443;100.346;245.985
2019-05-02;2,44935;2,45918;2,41;2,43459;123.859;301.716
2019-04-30;2,45918;2,48378;2,41984;2,41984;56.766;139.275
2019-04-29;2,49361;2,49853;2,41492;2,41492;213.969;525.585
2019-04-26;2,48869;2,49853;2,45918;2,49361;63.776;158.389
2019-04-25;2,45427;2,50345;2,41984;2,4641;65.674;161.349
2019-04-24;2,49853;2,50345;2,40508;2,40508;111.170;272.162
2019-04-23;2,53788;2,53788;2,49361;2,50837;48.587;122.291
2019-04-18;2,50837;2,55263;2,48869;2,5182;105.127;264.605
2019-04-17;2,44935;2,57722;2,43951;2,48869;171.315;428.922
2019-04-16;2,5428;2,54771;2,43459;2,45427;96.746;242.245
2019-04-15;2,55263;2,58706;2,50837;2,5182;65.588;166.858
2019-04-12;2,47886;2,5969;2,47886;2,53788;264.382;672.550
2019-04-11;2,39524;2,52804;2,38049;2,47886;159.557;387.811
2019-04-10;2,38541;2,39524;2,36082;2,38541;29.948;71.300
2019-04-09;2,38541;2,40508;2,37065;2,39524;12.524;29.863
2019-04-08;2,37557;2,43459;2,37065;2,37065;64.702;154.913
2019-04-05;2,43459;2,43459;2,36082;2,38049;41.775;99.602
2019-04-04;2,41;2,47394;2,40016;2,44935;129.747;317.498
2019-04-03;2,3559;2,43951;2,3559;2,42967;146.753;353.486
2019-04-02;2,2772;2,37557;2,2772;2,3559;127.596;297.797
2019-04-01;2,26245;2,28704;2,25261;2,26245;39.175;88.627
2019-03-29;2,26245;2,29196;2,25261;2,25261;87.280;197.556
2019-03-28;2,26245;2,30671;2,24278;2,26245;64.758;146.597
2019-03-27;2,25753;2,26245;2,21327;2,24769;95.447;213.617
2019-03-26;2,26245;2,27229;2,2231;2,23294;47.058;105.492
2019-03-25;2,30671;2,30671;2,26245;2,27229;23.797;54.136
2019-03-22;2,28212;2,3018;2,26245;2,3018;44.377;101.084
2019-03-21;2,26245;2,29688;2,23294;2,29196;45.927;104.164
2019-03-20;2,28704;2,29688;2,25261;2,26245;29.196;66.449
2019-03-19;2,26245;2,29196;2,25753;2,2772;46.212;104.829
2019-03-18;2,23294;2,28212;2,23294;2,26245;91.474;206.129
2019-03-15;2,25261;2,27229;2,24278;2,24278;136.457;306.174
2019-03-14;2,28212;2,28212;2,24278;2,25753;73.893;167.459
2019-03-13;2,23786;2,26737;2,23294;2,26737;53.319;120.426
2019-03-12;2,28212;2,29196;2,24278;2,26245;52.634;118.992
2019-03-11;2,34114;2,3559;2,18376;2,31163;215.474;490.932
2019-03-08;2,35098;2,39033;2,35098;2,37065;172.466;407.301
2019-03-07;2,40016;2,40016;2,34114;2,37557;34.191;80.789
2019-03-06;2,41;2,41;2,39033;2,40016;8.884;21.314
2019-03-05;2,39033;2,41984;2,39033;2,41;14.311;34.359
