Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;46,40;47,30;45,20;47,20;2.602;119.644
2019-05-02;45,80;47,40;45,20;45,90;2.936;134.720
2019-04-30;44,70;45,90;44,40;45,90;1.562;70.226
2019-04-29;43,60;44,70;43,10;44,20;2.850;124.895
2019-04-26;45,70;45,70;44,50;44,70;569;25.362
2019-04-25;45,90;45,90;44,60;45,80;534;24.018
2019-04-24;45,70;46,00;45,10;45,80;1.041;47.177
2019-04-23;46,80;46,80;44,90;45,20;1.307;59.363
2019-04-18;46,50;46,50;45,30;46,00;1.006;46.160
2019-04-17;46,50;46,70;46,00;46,50;1.006;46.588
2019-04-16;45,80;46,80;44,70;46,20;7.340;333.640
2019-04-15;46,20;46,20;44,20;45,00;3.589;161.799
2019-04-12;46,50;46,70;45,40;46,10;3.250;148.289
2019-04-11;46,20;46,50;44,80;46,50;1.344;60.664
2019-04-10;47,50;47,50;45,00;46,10;4.275;194.851
2019-04-09;48,30;48,30;47,00;47,50;738;34.959
2019-04-08;47,20;47,20;46,50;47,20;2.926;137.273
2019-04-05;48,80;48,80;46,20;47,30;935;44.080
2019-04-04;48,70;48,70;47,80;48,60;1.748;84.433
2019-04-03;49,00;49,80;48,10;48,80;5.941;291.079
2019-04-02;48,50;49,00;48,20;48,20;1.396;68.154
2019-04-01;46,60;48,40;46,30;48,30;4.168;198.943
2019-03-29;45,25;47,45;44,80;46,45;9.785;443.698
2019-03-28;44,70;45,60;44,65;45,40;3.097;139.519
2019-03-27;46,95;46,95;45,50;46,15;4.495;206.609
2019-03-26;48,00;48,00;45,60;46,90;4.394;204.465
2019-03-25;49,45;49,45;47,00;47,75;4.479;213.891
2019-03-22;47,85;52,00;47,65;48,70;11.179;551.689
2019-03-21;45,95;46,95;45,75;46,35;6.805;314.095
2019-03-20;46,45;46,80;45,10;45,60;3.270;150.037
2019-03-19;44,75;46,00;44,00;45,80;14.407;656.171
2019-03-18;42,00;44,65;42,00;44,65;19.779;864.750
2019-03-15;40,10;40,15;39,60;39,95;4.134;165.175
2019-03-14;39,05;40,50;39,00;39,55;13.478;537.985
2019-03-13;38,75;39,00;38,45;38,85;14.340;553.797
2019-03-12;38,50;38,80;38,20;38,80;4.199;161.767
2019-03-11;38,25;38,95;37,90;38,45;2.161;82.657
2019-03-08;38,70;38,70;38,50;38,50;1.150;44.292
2019-03-07;39,00;39,00;38,50;39,00;1.887;73.338
2019-03-06;38,70;39,00;38,00;38,90;4.124;158.648
2019-03-05;38,55;39,00;38,00;38,75;6.395;246.134
2019-03-04;38,55;38,55;38,15;38,15;137;5.274
2019-03-01;37,75;38,30;37,50;38,30;3.476;131.272
2019-02-28;37,00;37,95;37,00;37,60;838;31.346
2019-02-27;38,00;38,00;37,05;37,40;875;32.704
2019-02-26;38,20;38,65;36,95;37,90;985;37.150
2019-02-25;38,50;38,50;37,50;38,15;3.262;123.633
2019-02-22;38,50;38,85;37,75;38,50;1.299;49.449
2019-02-21;39,00;39,20;37,55;38,50;12.925;498.343
2019-02-20;38,40;39,00;38,15;38,95;3.447;133.306
2019-02-19;37,50;38,40;37,50;38,00;2.732;103.588
2019-02-18;38,00;38,00;36,60;37,25;2.619;98.366
2019-02-15;37,50;38,00;37,00;38,00;7.698;290.535
2019-02-14;36,95;37,25;36,05;37,25;3.665;134.658
2019-02-13;36,95;36,95;36,05;36,65;938;34.024
2019-02-12;37,00;37,05;36,10;36,25;2.436;88.713
2019-02-11;37,00;37,05;36,50;37,05;1.675;61.691
2019-02-08;37,50;37,50;36,50;37,00;2.333;86.186
2019-02-07;37,00;37,50;36,00;37,50;3.791;140.100
2019-02-06;37,40;37,40;36,40;37,00;2.767;101.516
2019-02-05;37,20;37,50;37,20;37,35;580;21.615
2019-02-04;37,50;37,50;36,60;37,25;2.731;101.742
2019-02-01;37,40;37,50;37,00;37,30;1.985;74.052
2019-01-31;37,35;37,40;36,50;37,40;2.149;79.971
2019-01-30;37,40;37,40;36,75;37,35;1.247;46.031
2019-01-29;37,45;37,45;36,50;37,40;2.356;87.408
2019-01-28;37,40;37,45;36,95;37,30;954;35.423
2019-01-25;37,40;38,00;36,50;37,20;640;23.854
2019-01-24;37,65;38,00;35,80;36,40;5.482;203.922
2019-01-23;38,45;38,45;37,10;37,65;2.743;104.189
2019-01-22;38,50;38,50;37,50;38,50;1.926;73.928
2019-01-21;38,00;38,50;38,00;38,50;108;4.119
2019-01-18;38,50;38,50;36,90;38,10;4.516;171.674
2019-01-17;38,40;38,40;37,30;38,35;201;7.674
2019-01-16;38,20;38,20;36,90;37,70;1.189;44.683
2019-01-15;37,75;38,50;37,75;38,50;252;9.643
2019-01-14;38,50;38,50;38,00;38,50;428;16.379
2019-01-11;37,20;39,00;36,90;38,50;2.658;99.825
2019-01-10;37,00;37,20;36,10;37,20;1.595;57.907
2019-01-09;38,50;39,00;36,10;36,10;3.006;113.425
2019-01-08;37,20;38,40;36,90;38,30;2.106;78.989
2019-01-07;32,75;37,50;32,75;37,00;3.673;130.040
2019-01-04;34,00;34,50;33,70;34,00;1.643;55.778
2019-01-03;34,75;34,75;33,50;34,00;2.557;86.286
2019-01-02;34,05;36,00;34,05;34,75;3.135;108.584
2018-12-28;31,50;34,00;30,75;34,00;5.401;173.335
2018-12-27;31,55;33,35;30,00;31,50;6.397;201.782
2018-12-21;31,50;31,80;30,90;31,30;4.200;132.121
2018-12-20;32,00;32,00;31,20;31,60;3.920;123.975
2018-12-19;34,20;35,00;31,00;32,00;3.561;114.537
2018-12-18;34,55;35,15;33,50;33,55;3.207;109.186
2018-12-17;36,00;36,00;34,55;35,30;2.349;82.951
2018-12-14;36,30;36,90;35,95;36,15;910;34.649
2018-12-13;37,00;37,00;36,00;36,10;1.671;57.378
2018-12-12;37,00;37,00;36,15;36,50;114;4.129
2018-12-11;37,00;37,00;36,45;37,00;1.235;45.148
2018-12-10;38,00;38,00;36,95;37,00;371;13.723
2018-12-07;38,80;38,80;37,45;37,60;2.986;111.063
2018-12-06;38,95;38,95;38,10;38,80;379;14.443
2018-12-05;39,65;39,65;38,50;38,95;990;39.930
2018-12-04;39,90;39,95;39,00;39,45;1.046;41.270
2018-12-03;39,10;42,00;39,10;39,60;604;23.325
2018-11-30;38,80;39,50;38,70;38,95;698;27.161
2018-11-29;39,40;39,70;38,20;39,00;3.248;125.853
2018-11-28;39,95;39,95;38,50;39,45;3.565;139.293
2018-11-27;40,45;40,55;39,45;39,90;790;31.724
2018-11-26;40,00;40,55;38,95;40,10;2.901;115.662
2018-11-23;39,50;40,50;39,50;40,00;1.375;55.005
2018-11-22;40,00;40,00;38,50;39,40;1.373;54.080
2018-11-21;38,25;40,50;38,00;39,55;3.253;127.795
2018-11-20;40,50;41,20;35,60;36,50;5.870;229.169
2018-11-19;41,45;41,95;40,75;41,20;1.633;67.131
2018-11-16;41,70;41,70;40,60;41,00;2.168;89.249
2018-11-15;42,35;42,35;40,60;41,25;3.020;124.886
2018-11-14;41,60;43,00;40,60;42,30;3.719;155.710
2018-11-13;41,50;41,55;40,05;41,55;2.706;110.897
2018-11-12;42,95;43,00;41,00;41,20;2.467;103.675
2018-11-09;43,95;44,35;42,40;43,50;3.831;165.501
2018-11-08;43,90;44,65;42,00;42,80;1.959;83.956
2018-11-07;43,90;44,65;43,55;44,00;530;23.286
2018-11-06;44,90;44,90;44,35;44,35;425;19.073
2018-11-05;44,40;44,40;44,15;44,15;5;222
2018-11-02;44,45;44,45;43,30;43,30;66;2.908
2018-11-01;44,55;44,85;42,85;43,65;297;13.046
2018-10-31;44,95;44,95;44,00;44,45;300;13.360
2018-10-30;45,10;46,80;43,25;44,40;2.885;127.847
2018-10-29;43,30;46,35;42,95;44,25;3.651;161.602
2018-10-26;44,00;44,50;40,25;43,30;4.819;207.038
2018-10-25;45,05;45,05;44,00;44,95;327;14.453
2018-10-24;44,40;47,45;43,00;44,60;13.292;593.510
2018-10-23;45,30;45,30;43,05;44,40;2.020;88.335
2018-10-22;44,85;47,20;44,85;45,80;1.068;48.717
2018-10-19;47,00;48,50;42,95;44,65;4.750;215.608
2018-10-18;50,10;50,10;47,50;47,50;2.173;106.229
2018-10-17;51,20;51,20;50,60;51,20;670;34.237
2018-10-16;51,70;51,70;51,00;51,00;451;23.154
2018-10-15;52,90;52,90;51,70;51,70;40;2.116
2018-10-12;51,70;52,80;51,70;52,70;65;3.366
2018-10-11;51,40;53,00;51,40;53,00;545;28.115
2018-10-10;52,60;53,10;52,10;53,10;762;40.049
2018-10-09;52,30;53,70;52,30;53,70;144;7.596
2018-10-08;53,50;53,60;52,40;53,40;1.009;53.626
2018-10-05;53,70;54,50;53,60;54,50;250;13.499
2018-10-04;54,50;54,50;54,50;54,50;20;1.090
2018-10-02;54,50;54,70;54,20;54,60;790;43.097
2018-10-01;53,80;53,80;53,80;53,80;0;0
2018-09-28;53,10;54,00;53,10;54,00;582;31.138
2018-09-27;54,00;54,50;53,80;53,80;155;8.372
2018-09-26;54,50;54,50;54,30;54,30;10;545
2018-09-25;54,60;54,70;54,60;54,70;21;1.147
2018-09-24;54,10;55,50;54,00;54,00;724;39.610
2018-09-21;55,00;55,30;54,70;54,70;1.534;84.671
2018-09-20;55,00;55,00;53,90;53,90;624;33.816
2018-09-19;54,40;55,30;54,40;55,30;151;8.218
2018-09-18;54,80;55,00;54,60;54,60;85;4.667
2018-09-17;52,60;55,00;52,60;55,00;3.353;181.647
2018-09-14;50,60;52,40;50,40;52,00;1.322;67.238
2018-09-13;53,00;53,30;50,50;51,00;1.856;95.351
2018-09-12;55,00;55,00;53,10;53,10;1.490;80.342
2018-09-11;54,10;55,70;53,30;54,30;4.052;222.745
2018-09-10;53,30;53,30;53,00;53,00;451;24.009
2018-09-07;51,40;53,30;51,40;53,00;523;27.371
2018-09-06;51,80;53,00;51,20;52,10;708;36.898
2018-09-05;52,60;54,00;52,00;52,00;3.297;173.259
2018-09-04;55,50;55,50;53,10;54,00;2.744;147.330
2018-09-03;56,20;56,20;55,60;55,80;506;28.282
2018-08-31;56,60;56,60;56,60;56,60;0;0
2018-08-30;56,00;56,90;55,80;56,80;146;8.190
2018-08-29;56,10;56,10;55,80;55,80;450;25.172
2018-08-28;56,90;57,00;56,20;56,20;881;50.010
2018-08-27;56,80;56,80;56,80;56,80;40;2.272
2018-08-24;56,60;56,90;56,60;56,80;147;8.331
2018-08-23;56,70;56,70;56,40;56,40;93;5.264
2018-08-22;57,00;57,00;56,30;56,70;219;12.351
