Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;4,00;4,00;3,98;3,98;467;1.866
2019-05-02;3,99;4,00;3,955;4,00;30.391;121.511
2019-04-30;4,00;4,00;3,96;3,96;5.962;23.842
2019-04-29;3,98;4,00;3,95;3,95;5.142;20.442
2019-04-26;3,95;3,95;3,90;3,95;62.075;244.009
2019-04-25;3,98;3,98;3,95;3,95;2.567;10.215
2019-04-24;4,00;4,00;3,95;4,00;29.210;115.645
2019-04-23;3,9995;4,00;3,9995;4,00;5.446;21.784
2019-04-18;4,00;4,02;3,9915;3,9915;36.340;145.361
2019-04-17;4,00;4,06;4,00;4,00;32.086;129.038
2019-04-16;4,0195;4,02;4,00;4,00;138.737;555.037
2019-04-15;4,02;4,06;4,00;4,02;84.304;338.954
2019-04-12;4,195;4,20;4,00;4,00;220.178;885.921
2011-05-13;1,01;1,01;1,01;1,01;5;5
2011-05-04;1,01;1,01;1,01;1,01;145;146
2011-04-26;1,01;1,01;1,01;1,01;250;253
2011-04-14;1,04;1,04;1,04;1,04;2.000;2.080
2011-02-24;1,00;1,00;1,00;1,00;250;250
2011-02-23;1,04;1,04;1,04;1,04;180;187
2011-02-11;1,25;1,25;1,25;1,25;1.000;1.250
2011-02-08;0,999;0,999;0,999;0,999;250;250
2011-01-19;1,08;1,08;1,08;1,08;999;1.079
2011-01-18; ; ; ;0,96;0;0
2011-01-17; ; ; ;0,998;0;0
2011-01-13; ; ; ;1,039;0;0
2011-01-12; ; ; ;1,039;0;0
2011-01-11; ; ; ;1,039;0;0
2011-01-10; ; ; ;1,10;0;0
2011-01-07;1,30;1,30;1,30;1,30;600;780
2011-01-03;1,10;1,10;1,10;1,10;1.300;1.430
2010-12-22;0,99;0,99;0,99;0,99;150;149
2010-12-21;0,99;0,99;0,99;0,99;1.750;1.733
2010-11-12;1,69;1,69;1,69;1,69;113;191
2010-11-02;1,69;1,69;1,69;1,69;1.000;1.690
2010-10-20;1,00;1,00;1,00;1,00;400;400
2010-10-14;1,25;1,25;1,25;1,25;500;625
2010-10-07;1,25;1,25;1,25;1,25;300;375
2010-10-06;1,27;1,27;1,27;1,27;200;254
2010-10-01;1,25;1,25;1,25;1,25;100;125
2010-09-08;1,27;1,27;1,27;1,27;150;191
2010-07-06;2,00;2,00;2,00;2,00;575;1.150
2010-05-05;2,23;2,23;2,23;2,23;999;2.228
2010-04-27;2,03;2,03;2,03;2,03;250;508
2010-04-23;2,20;2,20;2,20;2,20;1.673;3.681
2010-04-20;2,15;2,15;2,15;2,15;1.000;2.150
2010-04-07;2,03;2,03;2,03;2,03;1.000;2.030
2010-03-25;2,15;2,15;2,15;2,15;1.000;2.150
2010-03-24;2,15;2,15;2,15;2,15;300;645
2010-03-15;2,10;2,10;2,10;2,10;1.750;3.675
2010-03-12;2,08;2,08;2,08;2,08;500;1.040
2010-03-11;2,08;2,08;2,08;2,08;500;1.040
2010-03-10;2,08;2,08;2,08;2,08;500;1.040
2010-03-09;2,08;2,08;2,08;2,08;500;1.040
2010-03-08;2,05;2,08;2,00;2,00;875;1.750
2010-03-05;2,08;2,08;2,08;2,08;820;1.706
2010-03-04;2,08;2,10;2,00;2,00;3.500;7.000
2010-02-24;1,95;1,95;1,95;1,95;200;390
2010-02-23;1,95;1,95;1,95;1,95;2.000;3.900
2010-02-19;2,05;2,05;2,05;2,05;3.052;6.257
2010-02-16;2,20;2,20;2,20;2,20;2.000;4.400
2010-02-12;2,30;2,30;2,30;2,30;2.000;4.600
2010-02-11;2,30;2,30;2,30;2,30;200;460
2010-02-10;2,30;2,30;2,30;2,30;300;690
2010-02-02;2,30;2,30;2,30;2,30;100;230
2010-01-27;2,30;2,30;2,30;2,30;300;690
2010-01-25;2,30;2,30;2,30;2,30;500;1.150
2010-01-18;2,30;2,30;2,30;2,30;1.000;2.300
2010-01-15;2,20;2,20;2,20;2,20;2.000;4.400
2010-01-12;2,25;2,25;2,25;2,25;1.400;3.150
2010-01-07;2,25;2,25;2,25;2,25;200;450
2010-01-06;2,30;2,30;2,25;2,25;2.100;4.725
2009-12-30;2,28;2,38;2,28;2,28;1.156;2.636
2009-12-16;2,25;2,25;2,25;2,25;410;923
2009-12-15;2,34;2,34;2,34;2,34;2.800;6.552
2009-12-14;2,40;2,40;2,40;2,40;6.800;16.320
2009-12-11;2,25;2,25;2,25;2,25;2.000;4.500
2009-12-09;2,15;2,15;2,15;2,15;1.350;2.903
2009-12-08;2,15;2,20;2,15;2,20;3.000;6.600
2009-12-07;2,15;2,15;2,15;2,15;1.000;2.150
2009-12-04;2,15;2,15;2,15;2,15;120;258
2009-12-03;2,15;2,15;2,15;2,15;50;108
2009-12-01;2,00;2,00;2,00;2,00;1.819;3.638
2009-11-27;2,01;2,01;2,01;2,01;1.100;2.211
2009-11-26;2,07;2,07;2,07;2,07;600;1.242
2009-11-23;2,09;2,09;2,09;2,09;100;209
2009-11-16;2,11;2,11;2,11;2,11;111;234
2009-11-13;2,05; ; ;2,05;0;0
2009-11-12;2,09; ; ;2,09;0;0
2009-11-11;2,09;2,09;2,09;2,09;100;209
2009-11-10; ; ; ;2,09;0;0
2009-11-09;2,03;2,09;2,01;2,09;884;1.848
2009-11-06;2,03;2,03;2,03;2,03;2.000;4.060
2009-11-05;2,01; ; ;2,01;0;0
2009-11-04;2,01;2,01;2,01;2,01;2.000;4.020
2009-11-03;2,06; ; ;2,06;0;0
2009-11-02;2,09; ; ;2,09;0;0
2009-10-30;2,09;2,09;2,09;2,09;100;209
2009-10-29;2,10;2,10;2,10;2,10;100;210
2009-10-28;2,09;2,09;2,09;2,09;100;209
2009-10-27;2,08; ; ;2,08;0;0
2009-10-26; ; ; ;2,01;0;0
2009-10-23;2,01;2,01;2,01;2,01;300;603
2009-10-22;2,01;2,01;2,01;2,01;4.000;8.040
2009-10-21;2,15; ; ;2,15;0;0
2009-10-20;2,15;2,15;2,15;2,15;2.000;4.300
2009-10-19;2,03; ; ;2,03;0;0
2009-10-16;2,03;2,03;2,03;2,03;100;203
2009-10-15;2,05;2,05;2,05;2,05;364;746
2009-10-14;2,18; ; ;2,18;0;0
2009-10-13;2,18;2,18;2,03;2,18;1.000;2.180
2009-10-12;2,18;2,18;2,18;2,18;600;1.308
2009-10-09;2,15; ; ;2,15;0;0
2009-10-08;2,12;2,15;2,12;2,15;900;1.935
2009-10-07;2,08; ; ;2,08;0;0
2009-10-06;2,02; ; ;2,02;0;0
2009-10-05;2,02;2,02;2,02;2,02;70;141
2009-10-02;2,12;2,12;2,12;2,12;2.000;4.240
2009-10-01;2,11; ; ;2,11;0;0
2009-09-30;2,11; ; ;2,11;0;0
2009-09-29;2,15; ; ;2,15;0;0
2009-09-28;2,06;2,15;2,06;2,15;3.650;7.848
2009-09-25;2,06;2,06;2,06;2,06;2.000;4.120
2009-09-24;2,06; ; ;2,06;0;0
2009-09-23;2,06;2,06;2,06;2,06;4.000;8.240
2009-09-22;2,20; ; ;2,20;0;0
2009-09-21;2,20;2,20;2,20;2,20;2.000;4.400
2009-09-18;2,42;2,42;2,30;2,30;1.935;4.451
2009-09-17;2,10;2,10;2,00;2,00;1.100;2.200
2009-09-16;1,96;2,00;1,96;2,00;2.700;5.400
2009-09-15;1,96;1,96;1,96;1,96;2.000;3.920
2009-09-14;1,96; ; ;1,96;0;0
2009-09-11;1,96;1,96;1,96;1,96;100;196
2009-09-10;2,04; ; ;2,04;0;0
2009-09-09;2,04; ; ;2,04;0;0
2009-09-08;2,04; ; ;2,04;0;0
2009-09-07;2,06; ; ;2,06;0;0
2009-09-04;2,07; ; ;2,07;0;0
2009-09-03;2,07; ; ;2,07;0;0
2009-09-02;2,07; ; ;2,07;0;0
2009-09-01;2,08; ; ;2,08;0;0
2009-08-31;2,08; ; ;2,08;0;0
2009-08-28;2,05; ; ;2,05;0;0
2009-08-27;2,05;2,05;2,05;2,05;4.000;8.200
2009-08-26;2,05;2,05;2,05;2,05;200;410
2009-08-25;2,08; ; ;2,08;0;0
2009-08-24;2,05; ; ;2,05;0;0
2009-08-21;2,05;2,05;2,05;2,05;300;615
2009-08-20;2,10;2,10;2,10;2,10;1.200;2.520
2009-08-19;2,05;2,05;2,05;2,05;300;615
2009-08-18;2,05;2,05;2,05;2,05;100;205
2009-08-17;2,05;2,05;2,05;2,05;100;205
2009-08-14;1,87;1,95;1,87;1,95;46.062;89.821
2009-08-13;2,05;2,05;1,89;1,90;52.562;99.868
2009-08-11;2,05;2,05;2,05;2,05;1.000;2.050
2009-08-10;2,01;2,01;2,01;2,01;5.080;10.211
2009-08-07;1,95;1,95;1,95;1,95;1.400;2.730
2009-08-06;2,10;2,10;2,10;2,10;2.000;4.200
2009-08-05;2,30;2,35;2,20;2,20;1.300;2.860
2009-08-04;2,40;2,40;2,30;2,30;1.100;2.530
2009-08-03;2,45;2,45;2,45;2,45;2.000;4.900
2009-07-30;2,47;2,47;2,47;2,47;1.800;4.446
2009-07-29;2,58;2,58;2,58;2,58;380;980
2009-07-27;2,50;2,55;2,50;2,55;1.990;5.075
2009-07-24;2,55;2,55;2,55;2,55;200;510
2009-07-22;2,60;2,60;2,60;2,60;500;1.300
2009-07-21;2,67;2,67;2,60;2,60;110;286
2009-07-20;2,60;2,60;2,60;2,60;2.000;5.200
2009-07-17;2,67;2,67;2,67;2,67;177;473
2009-07-15;2,55;2,55;2,55;2,55;700;1.785
2009-07-10;2,55;2,55;2,55;2,55;750;1.913
2009-07-09;2,67;2,67;2,67;2,67;1.000;2.670
2009-07-08;2,67;2,67;2,67;2,67;2.000;5.340
2009-07-07;2,55;2,67;2,55;2,66;1.400;3.724
