Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;44,90;44,92;44,20;44,48;77.917;3.466.190
2019-05-02;45,98;45,98;44,64;44,76;89.250;4.026.700
2019-04-30;44,18;44,48;43,96;44,26;73.028;3.230.715
2019-04-29;44,50;44,80;44,24;44,38;59.788;2.658.256
2019-04-26;43,86;44,20;43,52;44,00;42.018;1.844.729
2019-04-25;44,16;44,36;43,60;43,66;74.049;3.249.900
2019-04-24;44,34;45,06;43,80;44,02;113.075;5.018.685
2019-04-23;44,12;44,32;43,82;44,14;98.673;4.348.656
2019-04-18;43,60;44,12;42,88;43,94;77.981;3.402.614
2019-04-17;43,00;43,68;43,00;43,40;92.736;4.026.485
2019-04-16;42,90;43,32;42,00;43,12;166.457;7.143.331
2019-04-15;42,32;42,96;41,90;42,34;84.245;3.573.444
2019-04-12;41,30;42,12;40,86;41,92;84.676;3.536.652
2019-04-11;41,54;41,54;40,68;41,30;76.865;3.167.204
2019-04-10;41,22;41,80;40,96;41,50;142.546;5.889.544
2019-04-09;42,44;42,46;40,96;41,18;118.642;4.941.431
2019-04-08;43,56;43,60;42,40;42,50;107.051;4.598.408
2019-04-05;43,26;43,88;43,22;43,40;78.253;3.396.053
2019-04-04;43,20;43,40;42,68;43,16;68.211;2.942.714
2019-04-03;42,20;43,66;42,18;43,52;180.096;7.718.867
2019-04-02;40,30;42,00;40,30;41,92;215.483;8.907.221
2019-04-01;40,90;41,10;39,94;40,22;135.966;5.489.861
2019-03-29;39,82;40,66;39,82;40,58;75.766;3.059.405
2019-03-28;39,84;40,40;39,64;39,70;87.088;3.475.099
2019-03-27;39,98;40,66;39,60;39,92;98.119;3.933.137
2019-03-26;39,52;39,88;39,30;39,72;58.638;2.321.284
2019-03-25;40,30;40,30;39,28;39,36;74.185;2.942.753
2019-03-22;40,90;41,20;40,00;40,20;130.168;5.237.969
2019-03-21;40,52;41,32;40,30;40,40;109.085;4.441.592
2019-03-20;40,34;40,80;40,10;40,36;94.553;3.817.235
2019-03-19;40,40;40,64;40,02;40,32;89.198;3.602.000
2019-03-18;40,80;41,00;40,36;40,40;63.811;2.595.143
2019-03-15;40,18;40,80;39,72;40,72;97.669;3.945.007
2019-03-14;40,10;40,70;39,84;40,00;75.115;3.023.640
2019-03-13;39,62;40,14;39,32;40,06;53.131;2.112.187
2019-03-12;40,10;40,12;39,08;39,72;36.925;1.463.654
2019-03-11;38,80;39,70;38,60;39,66;64.129;2.517.662
2019-03-08;38,82;39,04;38,28;38,48;48.265;1.861.808
2019-03-07;39,86;39,90;38,96;39,18;62.422;2.447.221
2019-03-06;39,48;40,10;39,28;39,90;78.841;3.132.843
2019-03-05;39,56;39,70;38,84;39,42;75.926;2.974.220
2019-03-04;40,74;40,80;39,22;39,58;116.907;4.655.196
2019-03-01;40,20;40,96;40,10;40,34;161.491;6.521.558
2019-02-28;39,60;40,00;38,88;39,80;176.817;7.001.425
2019-02-27;39,06;39,94;38,68;39,50;171.929;6.777.755
2019-02-26;38,40;39,20;37,94;38,96;89.174;3.447.969
2019-02-25;36,80;38,56;36,56;38,36;185.648;7.037.191
2019-02-22;37,00;37,54;36,56;36,58;90.608;3.348.700
2019-02-21;37,00;37,28;36,68;37,06;55.997;2.067.592
2019-02-20;36,88;37,04;36,64;36,94;54.100;1.993.459
2019-02-19;37,16;37,30;36,18;36,82;94.297;3.471.294
2019-02-18;36,80;37,62;36,66;37,04;141.132;5.247.600
2019-02-15;36,02;36,50;35,62;36,32;83.364;3.017.041
2019-02-14;37,44;37,50;35,98;36,04;117.875;4.311.549
2019-02-13;36,46;37,32;36,36;37,04;75.992;2.808.502
2019-02-12;36,06;36,48;35,70;36,28;84.089;3.030.657
2019-02-11;35,80;36,22;35,44;35,64;95.519;3.420.164
