Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;22,50;22,50;21,80;21,80;1.674;37.233
2019-07-18;22,20;22,80;21,70;22,00;5.554;124.250
2019-07-17;23,20;23,40;23,00;23,10;3.217;74.920
2019-07-16;22,80;23,50;22,60;23,20;8.261;188.974
2019-07-15;22,50;23,00;22,30;22,60;9.015;203.264
2019-07-12;23,00;23,10;22,20;22,20;4.464;102.001
2019-07-11;21,70;22,30;21,50;22,00;10.151;221.158
2019-07-10;21,30;21,60;21,20;21,30;7.281;156.208
2019-07-09;22,30;22,30;21,00;21,30;6.156;132.158
2019-07-08;22,00;22,40;21,80;22,40;9.213;203.264
2019-07-05;22,20;22,40;21,70;21,70;25.152;553.561
2019-07-04;23,00;23,00;22,20;22,20;7.110;161.821
2019-07-03;23,00;23,10;22,60;22,60;20.659;474.599
2019-07-02;22,80;23,30;22,50;23,00;9.916;227.012
2019-07-01;22,70;23,70;22,20;22,50;7.667;173.857
2019-06-28;21,40;22,20;20,80;22,20;11.472;247.025
2019-06-27;22,50;22,90;21,40;21,40;25.066;556.201
2019-06-26;22,3849;22,8824;21,987;21,987;7.359;164.904
2019-06-25;23,0814;23,0814;22,3849;22,3849;4.193;95.566
2019-06-24;23,1808;23,1808;22,4844;22,7829;9.453;214.953
2019-06-21;23,5788;23,5788;22,2854;22,6834;25.015;570.805
2019-06-20;24,7727;24,8722;23,6783;23,6783;8.254;200.383
2019-06-19;23,1808;26,5635;23,1808;24,8722;28.102;703.327
2019-06-18;23,0814;23,0814;22,0865;22,6834;20.616;465.549
2019-06-17;24,0762;24,1757;23,0814;23,0814;6.552;154.107
2019-06-14;24,2752;24,7727;23,0814;23,7778;21.464;515.752
2019-06-13;23,9768;24,3747;23,6783;23,9768;4.872;117.155
2019-06-12;25,867;26,265;24,5737;24,6732;20.701;519.994
2019-06-11;27,3594;27,8568;25,3696;25,3696;25.207;664.029
2019-06-07;28,3543;28,8517;28,0558;28,0558;2.078;59.086
2019-06-06;28,5532;29,5481;27,9563;27,9563;5.663;161.557
2019-06-05;28,3543;28,7522;28,2548;28,3543;3.436;98.027
2019-06-04;29,3491;29,4486;27,9563;28,1553;7.915;227.446
2019-06-03;29,6476;29,8466;29,5481;29,6476;1.553;46.081
2019-05-31;30,0456;30,145;29,6476;29,6476;2.823;84.154
2019-05-30;30,344;30,344;29,8466;30,145;1.391;41.860
2019-05-29;30,6425;31,6374;30,145;30,543;11.283;347.006
2019-05-28;30,0456;30,4435;30,0456;30,4435;1.307;39.546
2019-05-27;29,9461;30,344;29,7471;30,344;1.416;42.595
2019-05-24;30,145;30,8415;29,4486;29,7471;1.978;60.185
2019-05-23;29,4486;30,344;29,4486;29,9461;4.132;123.733
2019-05-22;30,145;30,8415;29,2497;29,3491;5.458;162.905
2019-05-21;28,7522;30,6425;28,7522;29,6476;4.655;137.201
2019-05-20;29,6476;29,6476;28,9512;28,9512;430;12.628
2019-05-17;29,7471;29,7471;29,0507;29,1502;2.614;76.840
2019-05-16;29,7471;29,7471;28,4537;28,8517;5.560;162.042
2019-05-15;31,0404;31,0404;29,4486;29,7471;6.305;189.883
2019-05-14;31,0404;31,5379;30,941;30,941;2.108;65.724
2019-05-13;31,3389;31,5379;29,8466;31,4384;5.925;181.098
2019-05-10;30,941;31,5379;29,8466;30,8415;5.508;168.921
2019-05-09;31,3389;31,3389;29,8466;31,1399;11.645;355.054
2019-05-08;32,6323;32,6323;30,4435;31,1399;6.112;190.172
2019-05-07;31,2394;33,2292;31,2394;32,7318;3.727;120.951
