Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,022;0,055;0,022;0,022;10.000;550
2019-05-02;0,022;0,054;0,022;0,022;11.954;537
2019-04-30;0,022;0,022;0,022;0,022;0;0
2019-04-29;0,027;0,027;0,022;0,022;1.000;27
2019-04-26;0,022;0,022;0,022;0,022;25.000;550
2019-04-25;0,022;0,0225;0,022;0,0225;2.250;51
2019-04-24;0,022;0,022;0,022;0,022;0;0
2019-04-23;0,022;0,0225;0,022;0,0225;3.180;72
2019-04-18;0,022;0,022;0,022;0,022;0;0
2019-04-17;0,022;0,022;0,022;0,022;0;0
2019-04-16;0,022;0,022;0,022;0,022;0;0
2019-04-15;0,022;0,022;0,022;0,022;0;0
2019-04-12;0,022;0,022;0,022;0,022;0;0
2019-04-11;0,022;0,022;0,022;0,022;0;0
2019-04-10;0,022;0,022;0,022;0,022;0;0
2019-04-09;0,022;0,022;0,022;0,022;0;0
2019-04-08;0,022;0,022;0,022;0,022;0;0
2019-04-05;0,022;0,022;0,022;0,022;0;0
2019-04-04;0,022;0,022;0,022;0,022;0;0
2019-04-03;0,022;0,022;0,022;0,022;0;0
2019-04-02;0,022;0,022;0,022;0,022;0;0
2019-04-01;0,022;0,022;0,022;0,022;0;0
2019-03-29;0,022;0,0225;0,022;0,0225;25.200;555
2019-03-28;0,0225;0,0225;0,022;0,022;4.055;91
2019-03-27;0,022;0,022;0,022;0,022;0;0
2019-03-26;0,022;0,022;0,022;0,022;0;0
2019-03-25;0,022;0,022;0,022;0,022;0;0
2019-03-22;0,022;0,022;0,022;0,022;0;0
2019-03-21;0,022;0,022;0,022;0,022;0;0
2019-03-20;0,022;0,033;0,022;0,022;2.000;66
2019-03-19;0,022;0,022;0,022;0,022;0;0
2019-03-18;0,022;0,022;0,022;0,022;0;0
2019-03-15;0,022;0,022;0,022;0,022;0;0
2019-03-14;0,02;0,022;0,02;0,022;0;0
2019-03-13;0,02;0,02;0,02;0,02;0;0
2019-03-12;0,02;0,02;0,02;0,02;0;0
2019-03-11;0,02;0,02;0,02;0,02;0;0
2019-03-08;0,02;0,02;0,02;0,02;0;0
2019-03-07;0,02;0,02;0,02;0,02;0;0
2019-03-06;0,02;0,0205;0,02;0,02;35.000;718
2019-03-05;0,02;0,025;0,02;0,025;49.647;1.241
2019-03-04;0,02;0,02;0,02;0,02;0;0
2019-03-01;0,02;0,02;0,02;0,02;0;0
2019-02-28;0,02;0,02;0,02;0,02;0;0
2019-02-27;0,02;0,0205;0,02;0,0205;400;8
2019-02-26;0,02;0,02;0,02;0,02;0;0
2019-02-25;0,02;0,02;0,02;0,02;0;0
2019-02-22;0,02;0,02;0,02;0,02;0;0
