Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;0,40;0,49;0,40;0,482;5.100;2.454
2019-07-18;0,488;0,488;0,468;0,468;2.097;1.023
2019-07-17;0,446;0,446;0,446;0,446;0;0
2019-07-16;0,446;0,446;0,446;0,446;0;0
2019-07-15;0,446;0,446;0,446;0,446;0;0
2019-07-12;0,446;0,446;0,446;0,446;0;0
2019-07-11;0,446;0,446;0,446;0,446;0;0
2019-07-10;0,41;0,446;0,40;0,446;5.800;2.370
2019-07-09;0,49;0,49;0,446;0,446;163;80
2019-07-08;0,488;0,488;0,446;0,446;2.000;976
2019-07-05;0,484;0,484;0,444;0,444;707;342
2019-07-04;0,44;0,44;0,44;0,44;0;0
2019-07-03;0,448;0,448;0,448;0,448;0;0
2019-07-02;0,414;0,456;0,414;0,456;759;323
2019-07-01;0,47;0,47;0,47;0,47;0;0
2019-06-28;0,462;0,462;0,462;0,462;0;0
2019-06-27;0,47;0,47;0,462;0,462;75;35
2019-06-26;0,43;0,43;0,422;0,422;2.000;857
2019-06-24;0,54;0,54;0,535;0,535;70;38
2019-06-21;0,44;0,49;0,44;0,49;250;110
2019-06-20;0,49;0,49;0,49;0,49;0;0
2019-06-19;0,452;0,555;0,452;0,505;5.276;2.525
2019-06-18;0,406;0,406;0,406;0,406;0;0
2019-06-17;0,452;0,452;0,452;0,452;0;0
2019-06-14;0,47;0,47;0,47;0,47;0;0
2019-06-13;0,46;0,472;0,46;0,472;6.000;2.760
2019-06-12;0,57;0,58;0,37;0,446;116.824;51.152
2019-06-11;0,50;0,525;0,50;0,525;976;488
2019-06-07;0,50;0,50;0,484;0,484;600;300
2019-06-06;0,505;0,59;0,505;0,545;30.757;16.179
2019-06-05;0,476;0,476;0,476;0,476;0;0
2019-06-04;0,50;0,50;0,50;0,50;0;0
2019-06-03;0,50;0,50;0,50;0,50;0;0
2019-05-31;0,48;0,48;0,462;0,462;2.000;960
2019-05-30;0,545;0,57;0,515;0,515;7.996;4.278
2019-05-29;0,494;0,57;0,494;0,51;13.880;7.228
2019-05-28;0,53;0,53;0,442;0,505;87.293;41.167
2019-05-27;0,53;0,53;0,53;0,53;0;0
2019-05-24;0,52;0,52;0,50;0,50;16.600;8.360
2019-05-23;0,535;0,555;0,535;0,555;600;321
2019-05-22;0,58;0,58;0,58;0,58;0;0
2019-05-21;0,615;0,615;0,595;0,595;2.000;1.230
2019-05-20;0,59;0,605;0,59;0,605;900;531
2019-05-17;0,605;0,605;0,605;0,605;0;0
2019-05-16;0,62;0,62;0,60;0,60;200;124
2019-05-15;0,62;0,62;0,61;0,61;137;85
2019-05-14;0,585;0,585;0,585;0,585;0;0
2019-05-13;0,66;0,66;0,60;0,60;11.249;7.314
2019-05-10;0,62;0,62;0,62;0,62;0;0
2019-05-09;0,63;0,63;0,63;0,63;0;0
2019-05-08;0,58;0,585;0,57;0,585;4.083;2.337
2019-05-07;0,59;0,65;0,59;0,61;13.480;8.569
2019-05-06;0,58;0,68;0,58;0,68;7.600;4.536
2019-05-03;0,59;0,665;0,59;0,62;4.600;2.738
2019-05-02;0,605;0,685;0,575;0,685;32.318;20.016
2019-04-30;0,635;0,72;0,635;0,67;6.050;3.997
2019-04-29;0,61;0,61;0,59;0,59;5.000;3.050
2019-04-26;0,59;0,59;0,59;0,59;0;0
2019-04-25;0,59;0,61;0,575;0,575;14.000;8.400
2019-04-24;0,52;0,59;0,52;0,56;6.785;3.695
2019-04-23;0,50;0,50;0,50;0,50;0;0
2019-04-18;0,505;0,505;0,498;0,50;5.890;2.950
2019-04-17;0,55;0,55;0,55;0,55;1;1
