Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;7,36;7,43;7,30;7,36;7.755;57.316
2019-07-18;7,37;7,44;7,26;7,41;25.107;184.741
2019-07-17;7,44;7,45;7,35;7,42;18.043;133.431
2019-07-16;7,43;7,48;7,34;7,45;63.463;472.670
2019-07-15;7,46;7,47;7,30;7,45;26.456;196.017
2019-07-12;7,44;7,53;7,30;7,44;41.112;304.215
2019-07-11;7,45;7,51;7,34;7,44;12.449;92.636
2019-07-10;7,43;7,54;7,34;7,50;30.547;227.783
2019-07-09;7,50;7,52;7,35;7,44;13.613;101.456
2019-07-08;7,70;7,85;7,32;7,50;78.082;588.780
2019-07-05;7,75;7,89;7,62;7,70;13.690;106.048
2019-07-04;7,82;7,92;7,74;7,87;38.688;304.232
2019-07-03;7,89;7,93;7,72;7,82;28.861;225.249
2019-07-02;7,82;7,94;7,56;7,88;30.874;239.328
2019-07-01;7,78;7,99;7,62;7,70;35.402;275.955
2019-06-28;7,98;7,98;7,60;7,79;11.197;88.058
2019-06-27;7,46;7,98;7,46;7,98;69.667;545.171
2019-06-26;7,45;7,65;7,36;7,62;26.100;196.529
2019-06-25;7,48;7,53;7,35;7,51;8.485;63.349
2019-06-24;7,38;7,54;7,33;7,48;22.247;166.182
2019-06-21;7,30;7,45;7,16;7,30;102.790;751.762
2019-06-20;7,34;7,52;7,13;7,20;26.867;195.716
2019-06-19;7,54;7,54;7,32;7,38;18.684;138.455
2019-06-18;7,40;7,55;7,26;7,54;23.298;171.964
2019-06-17;7,34;7,40;7,25;7,39;17.535;128.757
2019-06-14;7,37;7,43;7,21;7,30;16.608;121.258
2019-06-13;7,46;7,51;7,30;7,41;37.323;275.633
2019-06-12;7,69;7,70;7,45;7,54;8.430;63.875
2019-06-11;7,50;7,67;7,50;7,66;42.492;322.864
2019-06-07;7,40;7,50;7,35;7,48;14.764;109.828
2019-06-06;7,58;7,58;7,40;7,41;17.295;129.234
2019-06-05;7,45;7,60;7,43;7,53;26.981;203.439
2019-06-04;7,46;7,46;7,25;7,37;31.582;230.927
2019-06-03;7,40;7,64;7,38;7,41;54.654;411.872
2019-05-31;7,79;7,79;7,38;7,43;54.688;411.155
2019-05-30;7,68;7,93;7,63;7,74;33.804;260.975
2019-05-29;7,80;7,94;7,58;7,65;32.858;253.102
2019-05-28;7,98;7,98;7,68;7,82;39.851;312.962
2019-05-27;7,94;8,09;7,88;7,93;49.158;391.605
2019-05-24;7,96;8,00;7,76;7,95;21.002;166.524
2019-05-23;7,95;8,11;7,85;7,89;28.160;223.653
2019-05-22;7,78;7,96;7,66;7,96;85.317;662.711
2019-05-21;7,74;7,80;7,69;7,80;17.693;137.358
2019-05-20;7,87;7,87;7,56;7,72;61.255;473.459
2019-05-17;7,58;7,82;7,58;7,73;35.897;276.854
2019-05-16;7,44;7,75;7,44;7,67;41.130;313.844
2019-05-15;7,68;7,70;7,21;7,40;132.872;979.230
2019-05-14;7,87;7,93;7,63;7,64;82.570;643.323
2019-05-13;7,97;8,00;7,81;7,87;39.553;312.088
2019-05-10;7,93;8,00;7,83;7,93;45.916;364.620
2019-05-09;7,97;7,99;7,82;7,88;35.958;284.889
2019-05-08;7,99;8,04;7,75;7,96;71.592;566.091
2019-05-07;8,00;8,01;7,92;7,99;57.796;461.588
2019-05-06;7,99;8,00;7,82;7,92;41.524;330.627
2019-05-03;7,68;8,01;7,68;7,97;63.675;500.516
2019-05-02;7,79;7,84;7,65;7,71;33.753;261.617
2019-04-30;7,62;7,80;7,62;7,75;34.726;268.991
2019-04-29;7,61;7,67;7,40;7,58;44.309;335.602
2019-04-26;7,25;7,73;7,25;7,60;51.243;387.535
2019-04-25;7,19;7,31;7,17;7,24;13.201;95.560
2019-04-24;7,45;7,45;7,13;7,14;50.110;362.284
2019-04-23;7,52;7,54;7,40;7,41;7.314;54.433
2019-04-18;7,50;7,64;7,41;7,45;28.784;216.070
2019-04-17;7,45;7,54;7,39;7,40;20.473;153.133
2019-04-16;7,35;7,65;7,35;7,49;32.307;242.371
2019-04-15;7,48;7,48;7,32;7,32;7.701;57.040
2019-04-12;7,45;7,50;7,30;7,36;17.372;129.519
2019-04-11;7,10;7,46;7,10;7,39;27.779;204.544
2019-04-10;7,37;7,53;7,04;7,12;48.236;349.811
2019-04-09;7,44;7,45;7,37;7,44;11.456;84.785
2019-04-08;7,39;7,46;7,36;7,44;14.409;106.977
2019-04-05;7,43;7,47;7,31;7,44;23.253;172.214
2019-04-04;7,29;7,69;7,29;7,42;95.936;718.039
2019-04-03;7,12;7,31;7,05;7,29;109.011;784.857
2019-04-02;6,99;7,05;6,92;6,95;15.346;107.338
2019-04-01;6,92;7,02;6,88;6,96;12.879;89.843
2019-03-29;7,045;7,045;6,885;6,925;10.813;75.352
2019-03-28;6,93;7,02;6,91;7,02;8.379;58.378
2019-03-27;7,045;7,05;6,925;7,05;7.299;51.161
2019-03-26;7,02;7,05;6,94;7,05;5.937;41.662
2019-03-25;6,935;7,045;6,82;6,98;14.806;103.053
2019-03-22;7,00;7,00;6,78;6,875;15.642;108.350
2019-03-21;6,98;7,00;6,86;6,965;10.684;74.158
2019-03-20;6,995;7,045;6,905;6,98;11.938;83.396
2019-03-19;6,785;6,995;6,785;6,99;10.414;71.989
2019-03-18;7,04;7,095;6,78;6,78;31.540;219.022
2019-03-15;6,965;7,20;6,805;6,97;83.189;585.476
2019-03-14;6,92;6,97;6,87;6,94;7.688;53.225
2019-03-13;6,84;6,97;6,84;6,87;10.877;75.094
2019-03-12;6,89;6,935;6,805;6,915;8.066;55.590
2019-03-11;6,905;6,97;6,88;6,895;9.247;63.936
2019-03-08;6,905;6,91;6,815;6,865;13.295;91.115
2019-03-07;6,985;6,985;6,81;6,83;7.870;54.020
2019-03-06;6,775;7,015;6,775;6,865;14.230;98.047
2019-03-05;6,805;6,88;6,73;6,83;26.606;181.033
2019-03-04;6,815;6,915;6,745;6,845;62.161;422.707
2019-03-01;6,785;6,86;6,71;6,80;41.389;280.404
2019-02-28;6,89;6,99;6,70;6,76;21.349;145.271
2019-02-27;7,045;7,05;6,89;6,92;12.787;89.125
2019-02-26;7,095;7,10;6,96;7,05;69.207;487.778
2019-02-25;7,00;7,09;6,96;7,025;26.324;184.776
2019-02-22;7,025;7,10;7,00;7,075;30.743;216.696
