Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;26,90;27,25;26,65;27,10;4.100;110.420
2019-05-02;25,60;27,30;25,55;26,80;10.671;284.610
2019-04-30;26,20;26,60;24,75;25,05;6.224;158.825
2019-04-29;27,00;27,15;26,15;26,65;2.795;74.825
2019-04-26;26,55;27,40;26,55;27,30;620;16.840
2019-04-25;26,45;26,95;26,05;26,50;3.368;89.785
2019-04-24;27,80;27,80;26,60;26,70;2.574;69.516
2019-04-23;28,30;28,30;27,65;27,65;1.913;53.266
2019-04-18;27,90;28,25;27,65;28,05;2.394;67.030
2019-04-17;26,65;28,00;26,65;27,95;7.607;210.323
2019-04-16;26,25;26,95;26,20;26,95;968;25.516
2019-04-15;26,50;26,70;26,30;26,70;805;21.357
2019-04-12;26,05;26,55;26,00;26,25;1.023;26.758
2019-04-11;26,55;26,85;26,15;26,15;578;15.309
2019-04-10;26,35;26,85;26,35;26,65;2.398;63.891
2019-04-09;25,55;26,70;25,55;26,35;4.553;119.858
2019-04-08;26,05;26,25;25,80;26,20;1.746;45.466
2019-04-05;25,10;26,30;24,55;25,50;4.440;111.827
2019-04-04;25,20;27,20;24,50;24,90;12.309;321.610
2019-04-03;24,30;25,40;23,80;25,20;3.866;95.711
2019-04-02;23,25;24,40;22,80;24,25;2.599;60.794
2019-04-01;24,00;24,15;23,05;23,55;1.216;28.607
2019-03-29;24,40;24,95;24,00;24,05;3.572;87.149
2019-03-28;22,55;24,40;22,55;24,40;3.609;84.711
2019-03-27;22,90;23,15;22,05;22,55;2.781;63.224
2019-03-26;22,65;23,15;22,55;23,15;889;20.201
2019-03-25;22,75;23,10;22,55;22,90;766;17.399
2019-03-22;23,70;23,70;22,80;22,80;1.047;24.460
2019-03-21;23,35;23,75;23,35;23,45;587;13.846
2019-03-20;23,05;23,35;23,05;23,20;1.000;23.176
2019-03-19;23,50;23,50;22,70;22,70;941;21.632
2019-03-18;23,40;23,50;22,65;23,00;2.706;62.388
2019-03-15;23,50;23,50;22,85;23,20;984;22.718
2019-03-14;23,55;24,10;22,85;23,35;1.197;27.896
2019-03-13;24,10;24,10;22,50;23,30;3.490;81.321
2019-03-12;23,50;24,15;23,35;24,15;2.606;61.437
2019-03-11;24,20;24,20;23,35;23,45;1.104;26.012
2019-03-08;23,65;23,65;23,45;23,65;764;17.994
2019-03-07;23,50;23,55;23,50;23,50;373;8.772
2019-03-06;24,05;24,05;23,50;23,80;777;18.458
2019-03-05;23,85;23,85;23,55;23,75;799;18.878
2019-03-04;24,50;24,50;23,40;23,40;1.337;31.996
2019-03-01;24,30;24,40;24,05;24,05;988;23.890
2019-02-28;24,50;24,50;23,85;23,85;440;10.690
2019-02-27;23,95;24,50;23,85;24,50;886;21.361
2019-02-26;24,20;24,85;23,65;23,70;1.855;44.723
2019-02-25;24,55;24,65;24,20;24,20;1.667;40.836
2019-02-22;25,55;25,55;24,55;24,55;2.770;69.403
2019-02-21;26,55;26,55;24,35;25,25;3.537;89.921
2019-02-20;25,00;26,45;25,00;26,35;3.859;99.634
2019-02-19;24,80;25,60;24,40;25,00;2.280;56.903
2019-02-18;24,15;24,85;24,15;24,70;3.624;88.863
2019-02-15;23,70;24,20;23,70;24,15;2.173;52.159
2019-02-14;23,60;24,15;23,50;23,95;3.409;80.995
2019-02-13;22,75;23,60;22,70;23,60;1.698;39.532
2019-02-12;22,25;23,05;22,25;22,85;3.168;71.985
2019-02-11;22,35;22,40;21,60;22,40;1.893;41.506
2019-02-08;22,75;22,75;21,80;22,30;3.019;66.918
2019-02-07;23,10;23,15;22,25;22,70;3.375;76.630
2019-02-06;24,15;24,15;22,80;22,80;2.960;69.750
2019-02-05;24,75;24,75;24,30;24,30;1.070;26.122
2019-02-04;24,70;24,70;24,15;24,60;1.016;24.890
2019-02-01;24,30;24,50;24,15;24,15;838;20.383
2019-01-31;24,55;24,55;24,10;24,20;417;10.093
2019-01-30;24,40;24,70;24,20;24,30;1.121;27.343
2019-01-29;24,80;24,85;24,35;24,35;1.997;49.270
2019-01-28;24,90;25,15;24,50;25,15;1.778;44.060
2019-01-25;25,00;25,30;24,70;24,90;675;16.882
2019-01-24;23,85;25,00;23,85;24,75;2.234;54.696
2019-01-23;23,45;23,85;23,45;23,50;369;8.743
2019-01-22;23,40;23,40;23,40;23,40;100;2.340
