Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-08-26;100,00;100,00;100,00;100,00;;
2016-08-25;100,00;100,00;100,00;100,00;;
2016-08-24;100,00;100,00;100,00;100,00;;
2016-08-23;100,00;100,00;100,00;100,00;;
2016-08-22;100,00;100,00;100,00;100,00;;
2016-08-18;100,00;100,00;100,00;100,00;;
2016-08-17;100,00;100,00;100,00;100,00;;
2016-08-16;100,00;100,00;100,00;100,00;;
2016-08-15;100,00;100,00;100,00;100,00;;
2016-08-12;100,13;100,13;100,13;100,13;;
2016-08-11;100,14;100,14;100,14;100,14;;
2016-08-10;100,16;100,16;100,16;100,16;;
2016-08-09;100,17;100,17;100,17;100,17;;
2016-08-08;100,18;100,18;100,18;100,18;;
2016-08-05;100,19;100,19;100,19;100,19;;
2016-08-04;100,20;100,20;100,20;100,20;;
2016-08-03;100,23;100,23;100,23;100,23;;
2016-08-02;100,23;100,23;100,23;100,23;;
2016-08-01;100,24;100,24;100,24;100,24;;
2016-07-29;100,25;100,25;100,25;100,25;;
2016-07-28;100,26;100,26;100,26;100,26;;
2016-07-27;100,29;100,29;100,29;100,29;0;0
2016-07-26;100,30;100,30;100,30;100,30;;
2016-07-25;100,30;100,30;100,30;100,30;;
2016-07-22;100,31;100,31;100,31;100,31;;
2016-07-21;100,32;100,32;100,32;100,32;;
2016-07-20;100,35;100,35;100,35;100,35;;
2016-07-19;100,36;100,36;100,36;100,36;;
2016-07-18;100,37;100,37;100,37;100,37;;
2016-07-15;100,38;100,38;100,38;100,38;;
2016-07-14;100,39;100,39;100,39;100,39;;
2016-07-13;100,41;100,41;100,41;100,41;;
2016-07-12;100,42;100,42;100,42;100,42;;
2016-07-11;100,43;100,43;100,43;100,43;;
2016-07-08;100,45;100,45;100,45;100,45;;
2016-07-07;100,45;100,45;100,45;100,45;;
2016-07-06;100,48;100,48;100,48;100,48;;
2016-07-05;100,48;100,48;100,48;100,48;;
2016-07-04;100,49;100,49;100,49;100,49;;
2016-07-01;100,51;100,51;100,51;100,51;;
