Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;2,60;2,66;2,60;2,66;0;0
2019-08-13;2,72;2,72;2,60;2,60;2.500;6.540
2019-08-12;2,78;2,78;2,78;2,78;0;0
2019-08-09;2,78;2,78;2,78;2,78;0;0
2019-08-08;2,78;2,78;2,78;2,78;0;0
2019-08-07;2,78;2,78;2,78;2,78;0;0
2019-08-06;2,78;2,78;2,78;2,78;0;0
2019-08-05;2,78;2,78;2,78;2,78;0;0
2019-08-02;2,66;2,82;2,66;2,82;0;0
2019-08-01;2,66;2,66;2,66;2,66;0;0
2019-07-31;2,66;2,66;2,66;2,66;0;0
2019-07-30;2,66;2,66;2,66;2,66;0;0
2019-07-29;2,66;2,66;2,66;2,66;0;0
2019-07-26;2,66;2,66;2,66;2,66;0;0
2019-07-25;2,72;2,72;2,66;2,66;0;0
2019-07-24;2,70;2,72;2,70;2,72;1.191;3.240
2019-07-23;2,68;2,70;2,68;2,70;0;0
2019-07-22;2,66;2,68;2,66;2,68;0;0
2019-07-19;2,66;2,66;2,66;2,66;0;0
2019-07-18;2,78;2,78;2,66;2,66;0;0
2019-07-17;2,80;2,80;2,78;2,78;0;0
2019-07-16;2,80;2,80;2,80;2,80;0;0
2019-07-15;2,80;2,80;2,80;2,80;0;0
2019-07-12;2,82;2,82;2,82;2,82;0;0
2019-07-11;2,82;2,82;2,82;2,82;0;0
2019-07-10;2,82;2,82;2,82;2,82;0;0
2019-07-09;2,82;2,82;2,82;2,82;0;0
2019-07-08;2,82;2,82;2,82;2,82;0;0
2019-07-05;2,82;2,82;2,82;2,82;0;0
2019-07-04;2,78;2,82;2,78;2,82;0;0
2019-07-03;2,78;2,78;2,78;2,78;0;0
2019-07-02;2,78;2,78;2,78;2,78;0;0
2019-07-01;2,78;2,78;2,78;2,78;0;0
2019-06-28;2,78;2,78;2,78;2,78;0;0
2019-06-27;2,78;2,78;2,78;2,78;0;0
2019-06-26;2,78;2,78;2,78;2,78;0;0
2019-06-25;2,80;2,80;2,78;2,78;0;0
2019-06-24;2,84;2,84;2,78;2,80;0;0
2019-06-21;2,84;2,84;2,84;2,84;0;0
2019-06-20;2,84;2,84;2,84;2,84;0;0
2019-06-19;2,84;2,84;2,84;2,84;0;0
2019-06-18;2,84;2,84;2,84;2,84;0;0
2019-06-17;2,84;2,88;2,84;2,84;0;0
2019-06-14;2,84;2,84;2,84;2,84;0;0
2019-06-13;2,84;2,84;2,84;2,84;0;0
2019-06-12;2,84;2,84;2,84;2,84;0;0
2019-06-11;2,86;2,88;2,84;2,84;0;0
2019-06-07;2,86;2,86;2,86;2,86;0;0
2019-06-06;2,88;2,88;2,86;2,86;0;0
2019-06-05;2,88;2,88;2,88;2,88;0;0
2019-06-04;2,92;2,92;2,88;2,88;0;0
2019-06-03;2,92;2,92;2,92;2,92;0;0
2019-05-31;2,92;2,92;2,92;2,92;0;0
2019-05-30;3,00;3,00;3,00;3,00;0;0
2019-05-29;2,90;3,00;2,90;3,00;400;1.200
2019-05-28;2,90;2,90;2,90;2,90;0;0
2019-05-27;2,90;2,90;2,90;2,90;0;0
2019-05-24;2,90;2,90;2,90;2,90;0;0
2019-05-23;2,90;2,90;2,90;2,90;0;0
2019-05-22;2,78;2,78;2,78;2,78;0;0
2019-05-21;2,78;2,78;2,78;2,78;0;0
2019-05-20;2,78;2,78;2,78;2,78;0;0
2019-05-17;2,80;2,80;2,80;2,80;0;0
2019-05-16;2,84;2,84;2,84;2,84;0;0
2019-05-15;2,78204;2,78204;2,78204;2,78204;0;0
2019-05-14;2,78204;2,78204;2,78204;2,78204;0;0
2019-05-13;2,78204;2,78204;2,78204;2,78204;0;0
2019-05-10;2,78204;2,78204;2,78204;2,78204;0;0
2019-05-09;2,78204;2,78204;2,78204;2,78204;0;0
2019-05-08;2,76272;2,78204;2,76272;2,78204;2.070;5.760
2019-05-07;2,76272;2,76272;2,76272;2,76272;0;0
2019-05-06;2,80136;2,80136;2,80136;2,80136;0;0
2019-05-03;2,76272;2,76272;2,76272;2,76272;0;0
2019-05-02;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-30;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-29;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-26;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-25;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-24;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-23;2,76272;2,76272;2,76272;2,76272;0;0
2019-04-18;2,7434;2,76272;2,7434;2,76272;1.035;2.860
2019-04-17;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-16;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-15;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-12;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-11;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-10;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-09;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-08;2,7434;2,7434;2,7434;2,7434;0;0
2019-04-05;2,72408;2,72408;2,72408;2,72408;0;0
2019-04-04;2,72408;2,72408;2,72408;2,72408;0;0
2019-04-03;2,72408;2,72408;2,72408;2,72408;0;0
2019-04-02;2,70476;2,72408;2,70476;2,72408;155;423
2019-04-01;2,70476;2,70476;2,70476;2,70476;0;0
2019-03-29;2,52122;2,52122;2,52122;2,52122;0;0
2019-03-28;2,52122;2,52122;2,52122;2,52122;0;0
2019-03-27;2,55986;2,55986;2,55986;2,55986;0;0
2019-03-26;2,57918;2,57918;2,57918;2,57918;0;0
2019-03-25;2,45361;2,45361;2,45361;2,45361;0;0
2019-03-22;2,43429;2,49224;2,43429;2,49224;1.554;3.873
2019-03-21;2,42463;2,42463;2,42463;2,42463;0;0
2019-03-20;2,42463;2,42463;2,42463;2,42463;0;0
2019-03-19;2,42463;2,42463;2,42463;2,42463;0;0
2019-03-18;2,42463;2,42463;2,42463;2,42463;0;0
2019-03-15;2,42463;2,42463;2,42463;2,42463;0;0
2019-03-14;2,43429;2,43429;2,43429;2,43429;0;0
2019-03-13;2,43429;2,43429;2,43429;2,43429;0;0
