Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;8,20;8,20;8,20;8,20;532;4.362
2019-08-13;8,20;8,20;8,20;8,20;1.110;9.102
2019-08-12;8,20;8,20;8,00;8,00;600;4.852
2019-08-07;8,15;8,15;8,15;8,15;200;1.630
2019-08-05;8,90;8,90;8,45;8,55;2.550;22.232
2019-07-30;8,50;8,50;8,50;8,50;2.500;21.250
2019-07-29;8,45;8,45;8,45;8,45;2.515;21.252
2019-07-26;8,30;8,30;8,30;8,30;105;872
2019-07-25;8,15;8,20;8,15;8,20;435;3.565
2019-07-24;7,85;7,85;7,85;7,85;50;393
2019-07-23;7,90;7,90;7,90;7,90;35;277
2019-07-22;8,00;8,25;8,00;8,25;55;446
2019-07-16;8,15;8,15;8,15;8,15;40;326
2019-07-15;8,25;8,35;8,15;8,15;1.521;12.550
2019-07-11;7,65;7,65;7,65;7,65;688;5.263
2019-07-10;7,15;7,15;7,00;7,00;828;5.919
2019-07-09;7,10;7,25;7,10;7,25;1.844;13.212
2019-07-08;6,75;7,10;6,75;7,10;1.531;10.783
2019-07-05;7,25;7,25;6,55;6,65;4.614;30.875
2019-07-01;7,00;7,00;7,00;7,00;90;630
2019-06-28;7,00;7,00;7,00;7,00;30;210
2019-06-27;6,95;6,95;6,95;6,95;260;1.807
2019-06-26;6,95;7,05;6,95;7,05;690;4.836
2019-06-25;7,10;7,10;7,10;7,10;300;2.130
2019-06-20;7,25;7,25;7,25;7,25;350;2.538
2019-06-19;7,45;7,45;7,45;7,45;300;2.235
2019-06-18;7,10;7,50;7,10;7,40;1.940;14.420
2019-06-17;7,30;7,30;7,30;7,30;350;2.555
2019-06-13;7,15;7,15;7,15;7,15;350;2.503
2019-06-12;6,85;6,85;6,85;6,85;97;664
2019-06-11;6,95;7,05;6,95;7,00;2.683;18.706
2019-06-10;7,00;7,00;6,80;6,90;1.521;10.496
2019-06-07;7,25;7,25;6,90;6,90;6.400;45.342
2019-06-06;7,70;7,70;7,25;7,25;3.675;27.062
2019-06-04;7,70;7,70;7,70;7,70;200;1.540
2019-06-03;7,80;7,80;7,80;7,80;82;640
2019-05-30;8,10;8,10;8,10;8,10;350;2.835
2019-05-24;8,30;8,30;8,30;8,30;40;332
2019-05-23;8,45;8,50;8,45;8,50;510;4.325
2019-05-17;8,60;8,60;8,60;8,60;25;215
2019-05-16;8,60;8,60;8,60;8,60;140;1.204
2019-05-14;8,34204;8,34204;8,29297;8,29297;60;499
2019-05-13;8,2439;8,2439;8,09669;8,09669;387;3.178
2019-05-08;8,34204;8,34204;8,34204;8,34204;7;60
2019-05-06;8,09669;8,09669;8,09669;8,09669;204;1.650
2019-05-03;8,34204;8,34204;8,04762;8,29297;2.472;20.154
2019-04-30;8,29297;8,34204;8,29297;8,34204;318;2.637
2019-04-29;8,14576;8,2439;8,14576;8,14576;415;3.382
2019-04-25;8,2439;8,2439;8,2439;8,2439;265;2.184
2019-04-18;8,04762;8,04762;8,04762;8,04762;167;1.345
2019-04-17;8,04762;8,04762;7,80226;7,80226;266;2.115
2019-04-16;8,04762;8,19483;8,04762;8,19483;545;4.441
2019-04-15;8,29297;8,29297;8,04762;8,19483;1.615;13.229
2019-04-12;8,2439;8,2439;8,14576;8,14576;326;2.680
2019-04-11;8,34204;8,34204;8,34204;8,34204;591;4.930
2019-04-09;8,88182;8,88182;8,88182;8,88182;216;1.919
2019-04-08;8,09669;8,44019;8,09669;8,44019;749;6.169
2019-04-04;8,04762;8,14576;8,04762;8,14576;256;2.083
2019-04-03;8,2439;8,2439;8,2439;8,2439;204;1.680
2019-04-02;7,80226;8,04762;7,80226;8,04762;1.284;10.142
2019-04-01;7,98873;7,98873;7,98873;7,98873;51;407
2019-03-29;8,14576;8,14576;8,14576;8,14576;263;2.105
2019-03-28;8,22427;8,22427;8,22427;8,22427;306;2.514
2019-03-27;8,14576;8,14576;8,14576;8,14576;1;8
2019-03-26;8,16539;8,16539;8,16539;8,16539;1;8
2019-03-22;8,49907;8,49907;8,34204;8,34204;1.166;9.768
2019-03-21;8,36167;8,36167;8,36167;8,36167;204;1.704
2019-03-20;8,5187;8,5187;8,34204;8,34204;611;5.145
2019-03-19;8,36167;8,36167;8,36167;8,36167;50;417
2019-03-15;8,47944;8,47944;8,36167;8,36167;632;5.294
2019-03-13;8,34204;8,34204;8,34204;8,34204;255;2.125
2019-03-12;8,34204;8,36167;8,34204;8,34204;1.681;14.039
2019-03-11;8,30279;8,3813;8,30279;8,3813;453;3.797
2019-03-07;8,32242;8,36167;8,32242;8,36167;722;6.026
2019-03-05;8,40093;8,40093;8,32242;8,32242;1.496;12.542
2019-03-04;8,42056;8,55796;8,42056;8,55796;107;915
2019-02-28;8,63647;8,63647;8,63647;8,63647;306;2.640
2019-02-27;8,42056;8,42056;8,2439;8,2439;1.261;10.604
2019-02-25;8,44019;8,44019;8,44019;8,44019;245;2.064
2019-02-22;8,57758;8,57758;8,57758;8,57758;2.038;17.480
2019-02-21;8,71498;8,71498;8,49907;8,49907;598;5.136
2019-02-20;8,57758;8,57758;8,57758;8,57758;571;4.894
2019-02-19;8,57758;8,57758;8,57758;8,57758;204;1.748
2019-02-18;8,61684;8,73461;8,44019;8,57758;1.635;13.991
2019-02-15;8,71498;8,71498;8,45981;8,53833;1.075;9.159
2019-02-14;8,63647;8,81312;8,63647;8,81312;1.037;9.036
2019-02-13;8,73461;8,73461;8,73461;8,73461;115;1.006
2019-02-11;8,63647;8,63647;8,63647;8,63647;163;1.408
2019-02-08;8,59721;8,59721;8,59721;8,59721;408;3.504
2019-02-07;9,02904;9,02904;8,73461;8,77387;2.853;25.145
2019-02-06;9,10755;9,32346;9,10755;9,32346;1.470;13.467
2019-02-05;9,559;9,559;9,559;9,559;51;487
2019-02-01;9,50012;9,50012;9,50012;9,50012;102;968
2019-01-31;9,4216;9,4216;9,4216;9,4216;102;960
2019-01-29;9,4216;9,4216;9,4216;9,4216;124;1.171
2019-01-28;9,10755;9,30383;9,10755;9,30383;158;1.459
2019-01-25;9,02904;9,02904;9,02904;9,02904;204;1.840
2019-01-23;8,98978;8,98978;8,98978;8,98978;306;2.748
2019-01-21;8,69535;9,02904;8,69535;9,02904;611;5.452
2019-01-18;8,63647;8,63647;8,63647;8,63647;102;880
2019-01-17;8,67573;8,67573;8,67573;8,67573;229;1.989
2019-01-14;8,93089;8,93089;8,34204;8,87201;944;8.018
2019-01-11;9,18606;9,18606;9,18606;9,18606;122;1.123
2019-01-07;9,32346;9,32346;9,22532;9,22532;408;3.770
2019-01-03;9,38235;9,38235;9,38235;9,38235;509;4.780
2018-12-28;9,24495;9,24495;9,24495;9,24495;28;254
2018-12-27;9,40197;9,40197;9,24495;9,24495;705;6.616
2018-12-21;9,26458;9,26458;9,26458;9,26458;204;1.888
2018-12-20;9,2842;9,30383;9,12718;9,30383;1.432;13.150
2018-12-19;9,2842;9,2842;9,2842;9,2842;122;1.135
2018-12-18;9,38235;9,4216;9,2842;9,4216;1.769;16.580
2018-12-12;9,67677;9,67677;9,67677;9,67677;153;1.479
2018-12-11;9,53937;9,53937;9,53937;9,53937;214;2.041
2018-12-10;9,559;9,559;9,559;9,559;204;1.948
2018-12-07;9,57863;9,57863;9,50012;9,50012;228;2.185
2018-12-06;9,51974;9,67677;9,51974;9,67677;183;1.759
2018-12-04;9,6964;9,6964;9,59826;9,59826;1.824;17.602
2018-12-03;9,61789;9,61789;9,61789;9,61789;202;1.940
2018-11-30;9,59826;9,65714;9,59826;9,65714;662;6.381
2018-11-29;9,30383;9,30383;9,30383;9,30383;4;38
2018-11-28;9,36272;9,36272;9,36272;9,36272;346;3.244
2018-11-26;9,34309;9,38235;9,34309;9,38235;441;4.128
2018-11-22;9,36272;9,36272;9,36272;9,36272;125;1.173
2018-11-19;9,26458;9,48049;9,26458;9,48049;912;8.575
2018-11-15;9,51974;9,51974;9,51974;9,51974;143;1.358
2018-11-14;9,71603;9,71603;9,71603;9,71603;306;2.970
2018-11-13;9,67677;9,67677;9,67677;9,67677;410;3.964
2018-11-12;9,75528;9,75528;9,75528;9,75528;172;1.680
2018-11-09;9,6964;9,81417;9,6964;9,81417;683;6.680
2018-11-07;9,79454;9,79454;9,79454;9,79454;306;2.994
2018-11-02;10,0105;10,0105;9,91231;9,96138;362;3.595
2018-11-01;9,61789;10,0105;9,61789;10,0105;367;3.548
2018-10-30;9,44123;9,559;9,44123;9,559;667;6.326
2018-10-29;8,95052;9,26458;8,95052;9,10755;1.651;15.054
2018-10-26;8,95052;8,95052;8,95052;8,95052;48;429
2018-10-25;9,04866;9,04866;9,04866;9,04866;153;1.383
2018-10-24;8,6561;8,6561;8,6561;8,6561;886;7.673
2018-10-23;8,81312;8,81312;8,81312;8,81312;408;3.592
2018-10-22;9,46086;9,46086;9,32346;9,4216;1.437;13.440
2018-10-19;9,61789;9,61789;9,61789;9,61789;71;686
2018-10-18;9,50012;9,57863;9,50012;9,57863;369;3.529
2018-10-17;9,73566;9,73566;9,63751;9,71603;764;7.407
2018-10-16;9,53937;9,53937;9,51974;9,51974;932;8.890
2018-10-15;9,81417;9,81417;9,53937;9,53937;1.326;12.991
2018-10-12;9,18606;9,18606;9,18606;9,18606;234;2.153
2018-10-11;9,4216;9,4216;8,97015;9,10755;2.345;21.271
2018-10-10;9,71603;9,71603;9,71603;9,71603;509;4.950
2018-10-09;9,81417;9,81417;9,44123;9,44123;866;8.471
2018-10-08;9,86324;10,1577;9,86324;9,86324;656;6.473
2018-10-05;10,0105;10,0105;10,0105;10,0105;306;3.060
2018-10-04;10,0105;10,0105;9,91231;9,91231;114;1.136
2018-10-03;10,1086;10,1086;10,0105;10,0105;652;6.571
2018-10-02;9,96138;9,96138;9,96138;9,96138;917;9.135
2018-10-01;9,51974;9,51974;9,51974;9,51974;102;970
2018-09-28;9,61789;9,61789;9,36272;9,36272;204;1.934
2018-09-27;9,559;9,559;9,559;9,559;102;974
2018-09-26;9,81417;9,81417;9,44123;9,59826;2.454;23.533
2018-09-25;10,3049;10,3049;9,96138;9,96138;2.078;21.116
2018-09-24;10,3049;10,3049;10,3049;10,3049;130;1.344
2018-09-21;10,403;10,5993;10,403;10,403;184;1.947
2018-09-18;10,8447;10,8447;10,8447;10,8447;306;3.315
2018-09-17;11,09;11,09;11,0409;11,0409;401;4.435
2018-09-13;11,0409;11,0409;11,0409;11,0409;509;5.625
2018-09-12;11,09;11,09;11,0409;11,0409;229;2.540
2018-09-11;11,2372;11,2372;11,1882;11,1882;387;4.334
2018-09-10;11,2863;11,2863;11,2863;11,2863;19;219
2018-09-07;11,2863;11,3354;11,1391;11,1882;893;10.050
2018-09-06;11,777;11,777;11,1391;11,1391;10.602;119.533
2018-09-05;10,8447;11,2372;10,8447;11,2372;1.513;16.760
2018-09-03;10,5012;10,5012;10,5012;10,5012;34;353
2018-08-31;10,0105;10,0105;10,0105;10,0105;143;1.428
2018-08-30;10,2067;10,3049;10,2067;10,2558;241;2.468
2018-08-29;10,5012;10,5502;10,403;10,5502;1.097;11.469
2018-08-28;10,5012;10,5012;10,3539;10,3539;1.168;12.202
2018-08-27;11,0409;11,0409;11,0409;11,0409;36;394
2018-08-24;10,9919;10,9919;10,9919;10,9919;509;5.600
2018-08-23;11,0409;11,0409;11,0409;11,0409;99;1.091
2018-08-22;10,8937;10,8937;10,8937;10,8937;202;2.198
2018-08-21;10,8937;10,8937;10,8937;10,8937;247;2.686
2018-08-20;10,8447;10,8447;10,7465;10,7465;239;2.578
2018-08-17;10,7956;10,7956;10,7956;10,7956;124;1.342
2018-08-16;10,7465;10,9919;10,7465;10,9919;1.029;11.165
2018-08-15;10,8937;10,8937;10,7465;10,7465;298;3.199
2018-08-14;10,7956;10,7956;10,7956;10,7956;120;1.298
2018-08-13;10,5012;10,5012;10,5012;10,5012;336;3.531
2018-08-10;11,1391;11,1882;10,7956;10,7956;3.882;42.716
2018-08-09;11,0409;11,2863;11,0409;11,2863;789;8.794
2018-08-07;10,6974;10,6974;9,81417;10,5502;4.521;45.325
2018-08-06;10,6974;10,6974;10,6974;10,6974;61;654
2018-08-02;10,8937;10,8937;10,8937;10,8937;173;1.887
2018-08-01;10,9919;10,9919;10,9919;10,9919;1.121;12.320
2018-07-31;11,09;11,1882;11,09;11,1391;1.963;21.813
2018-07-30;10,9919;10,9919;10,9919;10,9919;153;1.680
2018-07-27;11,1391;11,1391;11,1391;11,1391;387;4.313
2018-07-26;11,1391;11,1391;11,1391;11,1391;275;3.065
2018-07-25;11,1882;11,1882;11,1391;11,1882;1.126;12.592
2018-07-23;11,1391;11,1391;11,1391;11,1391;31;341
2018-07-20;11,1391;11,1391;11,1391;11,1391;194;2.157
2018-07-19;11,0409;11,0409;11,0409;11,0409;509;5.625
2018-07-18;11,1882;11,1882;11,1882;11,1882;153;1.710
2018-07-17;11,1882;11,1882;11,1391;11,1391;725;8.096
2018-07-16;11,2372;11,2372;10,6974;11,0409;4.777;52.712
2018-07-13;11,1882;11,1882;11,0409;11,1391;683;7.612
2018-07-12;11,09;11,1882;11,09;11,1391;186;2.078
2018-07-11;10,9428;10,9428;10,9428;10,9428;102;1.115
2018-07-10;10,8937;10,8937;10,8937;10,8937;579;6.305
2018-07-05;10,7465;10,7465;10,6974;10,6974;129;1.390
2018-07-04;11,1391;11,1391;10,9428;10,9428;341;3.764
2018-07-03;11,09;11,2372;11,09;11,09;202;2.244
2018-07-02;11,2372;11,2372;10,9428;10,9428;810;8.961
2018-06-29;11,2372;11,2372;11,2372;11,2372;194;2.176
2018-06-28;11,0409;11,09;11,0409;11,09;479;5.294
2018-06-27;10,7956;10,9919;10,7956;10,9919;122;1.322
2018-06-26;11,1391;11,1391;11,0409;11,0409;643;7.133
2018-06-25;11,1391;11,1391;10,7956;10,7956;481;5.203
2018-06-22;11,1882;11,1882;11,1882;11,1882;459;5.130
2018-06-21;10,8447;10,8447;10,7465;10,7956;2.617;28.256
2018-06-20;10,7956;10,9428;10,7956;10,9428;1.163;12.646
2018-06-19;10,6974;10,8447;10,6974;10,7956;1.370;14.777
2018-06-18;10,5502;10,7956;10,5502;10,7956;1.213;13.043
2018-06-15;10,5012;10,5993;10,5012;10,5012;798;8.381
2018-06-14;10,5012;10,5012;10,5012;10,5012;479;5.029
2018-06-13;10,3049;10,3049;10,3049;10,3049;204;2.100
2018-06-12;10,0595;10,3049;10,0595;10,2558;805;8.270
2018-06-11;10,0595;10,0595;10,0595;10,0595;2.700;27.163
2018-06-08;10,0595;10,0595;10,0595;10,0595;459;4.613
2018-06-06;10,0595;10,1086;10,0595;10,1086;683;6.886
2018-06-05;10,0105;10,0105;10,0105;10,0105;102;1.020
2018-06-04;9,96138;10,0595;9,96138;10,0105;1.093;10.936
2018-06-01;10,0105;10,0105;10,0105;10,0105;459;4.590
2018-05-30;10,0105;10,0105;10,0105;10,0105;611;6.120
2018-05-29;10,0105;10,0595;10,0105;10,0595;295;2.962
2018-05-28;10,0105;10,0105;9,96138;10,0105;820;8.187
2018-05-25;9,81417;9,81417;9,00941;9,81417;1.640;15.291
2018-05-24;9,96138;10,1086;9,96138;10,1086;504;5.074
2018-05-23;10,0595;10,0595;10,0105;10,0105;1.029;10.322
2018-05-22;9,91231;10,0595;9,71603;10,0105;1.768;17.483
2018-05-21;10,0105;10,0105;10,0105;10,0105;658;6.589
2018-05-18;10,0105;10,0595;9,96138;9,96138;424;4.241
2018-05-17;9,86324;10,0595;9,86324;10,0595;2.140;21.444
2018-05-16;9,81417;9,81417;9,77491;9,77491;611;5.984
2018-05-15;9,69772;9,89071;9,69772;9,89071;4.573;44.946
2018-05-14;9,55298;9,79421;9,55298;9,79421;1.150;11.080
2018-05-11;9,64947;9,69772;9,61087;9,69772;1.132;10.915
2018-05-10;9,69772;9,69772;9,69772;9,69772;207;2.010
2018-05-09;9,63017;9,84246;9,63017;9,74596;1.901;18.372
2018-05-08;9,32139;9,63017;9,32139;9,55298;2.743;25.841
2018-05-07;9,30209;9,30209;9,26349;9,26349;1.492;13.849
2018-05-04;9,26349;9,26349;9,0512;9,1284;3.469;31.869
2018-05-03;8,87751;8,87751;8,87751;8,87751;311;2.760
2018-05-02;8,80032;8,80032;8,80032;8,80032;52;456
2018-04-30;8,68452;8,68452;8,68452;8,68452;52;450
2018-04-26;8,85821;8,85821;8,66522;8,66522;1.407;12.418
2018-04-25;8,85821;8,85821;8,85821;8,85821;860;7.619
2018-04-24;8,93541;8,93541;8,87751;8,87751;1.337;11.927
2018-04-23;8,68452;8,93541;8,60733;8,85821;2.684;23.677
2018-04-20;8,99331;8,99331;8,76172;8,76172;1.039;9.231
2018-04-19;8,89681;8,89681;8,89681;8,89681;238;2.121
2018-04-18;8,91611;8,95471;8,91611;8,95471;878;7.847
2018-04-17;8,51083;8,51083;8,49153;8,49153;663;5.638
2018-04-16;8,87751;8,87751;8,87751;8,87751;87;773
2018-04-13;8,83891;8,87751;8,62663;8,87751;824;7.275
2018-04-12;8,49153;8,74242;8,43364;8,70382;3.399;29.010
2018-04-11;8,56873;8,74242;8,20205;8,74242;2.263;19.418
2018-04-10;8,27925;8,27925;8,20205;8,20205;262;2.171
2018-04-09;8,22135;8,89681;7,97046;8,10555;11.727;98.611
2018-04-06;7,64238;8,37574;7,64238;8,29854;7.265;58.478
2018-04-03;7,50729;7,50729;7,50729;7,50729;104;778
2018-03-28;7,68098;7,68098;7,62308;7,62308;917;7.037
2018-03-27;7,70028;7,70028;7,70028;7,70028;332;2.554
2018-03-26;7,66168;7,70028;7,62308;7,70028;2.683;20.582
2018-03-23;7,62308;7,62308;7,62308;7,62308;713;5.435
2018-03-22;7,56518;7,62308;7,56518;7,62308;2.352;17.917
2018-03-21;7,70028;7,70028;7,56518;7,56518;1.752;13.412
2018-03-19;7,62308;7,62308;7,52659;7,52659;1.762;13.322
2018-03-16;7,71958;7,71958;7,71958;7,71958;487;3.760
2018-03-14;7,52659;7,52659;7,50729;7,52659;1.990;14.960
2018-03-13;7,52659;7,54589;7,52659;7,52659;1.067;8.042
2018-03-12;7,44939;7,48799;7,44939;7,46869;1.294;9.679
2018-03-09;7,56518;7,56518;7,52659;7,52659;415;3.131
2018-03-06;7,58448;7,64238;7,58448;7,64238;591;4.499
2018-03-05;7,58448;7,58448;7,58448;7,58448;192;1.454
2018-03-02;7,64238;7,64238;7,50729;7,50729;674;5.089
2018-03-01;7,77747;7,77747;7,77747;7,77747;311;2.418
2018-02-28;7,71958;7,71958;7,71958;7,71958;10;80
2018-02-27;7,81607;7,81607;7,71958;7,71958;1.530;11.878
2018-02-26;7,75817;7,87397;7,75817;7,87397;859;6.720
2018-02-23;7,81607;7,81607;7,81607;7,81607;89;697
2018-02-22;7,73887;7,73887;7,73887;7,73887;725;5.614
2018-02-20;7,71958;7,71958;7,71958;7,71958;1.036;8.000
2018-02-19;7,60378;7,73887;7,60378;7,73887;1.461;11.166
2018-02-16;7,68098;7,71958;7,44939;7,58448;1.773;13.420
2018-02-15;7,43009;7,66168;7,39149;7,58448;5.895;44.158
2018-02-14;7,44939;7,44939;7,44939;7,44939;611;4.555
2018-02-13;7,39149;7,41079;7,39149;7,41079;369;2.734
2018-02-12;7,41079;7,43009;7,39149;7,39149;643;4.762
2018-02-09;7,3336;7,37219;7,3143;7,3529;2.914;21.410
2018-02-08;7,46869;7,46869;7,43009;7,43009;539;4.025
2018-02-07;7,41079;7,43009;7,3336;7,3336;1.503;11.064
2018-02-06;7,46869;7,46869;7,3529;7,41079;2.415;17.978
2018-02-05;7,60378;7,60378;7,48799;7,48799;661;4.996
2018-02-02;7,56518;7,56518;7,52659;7,54589;2.539;19.138
2018-02-01;7,56518;7,68098;7,54589;7,68098;1.838;13.926
2018-01-30;7,62308;7,62308;7,62308;7,62308;161;1.225
2018-01-29;7,66168;7,66168;7,66168;7,66168;64;492
2018-01-26;7,70028;7,70028;7,54589;7,54589;676;5.117
2018-01-25;7,62308;7,62308;7,60378;7,60378;135;1.026
2018-01-24;7,58448;7,60378;7,56518;7,56518;737;5.590
2018-01-23;7,52659;7,64238;7,52659;7,54589;4.297;32.580
2018-01-22;7,54589;7,68098;7,54589;7,58448;5.624;42.746
2018-01-19;7,62308;7,66168;7,60378;7,60378;8.787;67.038
2018-01-18;7,64238;7,75817;7,64238;7,66168;1.194;9.148
2018-01-17;7,70028;7,70028;7,64238;7,64238;2.077;15.928
2018-01-16;7,75817;7,75817;7,70028;7,70028;1.233;9.541
2018-01-15;7,79677;7,79677;7,75817;7,75817;4.334;33.731
2018-01-12;7,73887;7,79677;7,73887;7,79677;509;3.964
2018-01-11;7,87397;7,87397;7,68098;7,68098;7.272;56.645
2018-01-10;7,98976;7,98976;7,87397;7,87397;815;6.482
2018-01-09;8,04766;8,04766;8,04766;8,04766;150;1.209
2018-01-08;7,95116;8,10555;7,95116;8,02836;562;4.519
2018-01-05;8,02836;8,02836;8,02836;8,02836;819;6.573
2018-01-04;7,73887;7,73887;7,73887;7,73887;124;962
2018-01-03;7,95116;8,14415;7,95116;8,00906;1.347;10.875
2018-01-02;8,05827;8,05827;8,01485;8,01485;586;4.704
2017-12-29;7,95888;7,95985;7,95888;7,95985;150;1.196
2017-12-28;8,1538;8,1538;8,1538;8,1538;309;2.518
2017-12-27;7,82861;8,1924;7,76203;8,1924;3.348;27.135
2017-12-22;7,69738;7,73116;7,69738;7,70414;489;3.772
2017-12-21;7,61922;7,65106;7,54299;7,54299;1.381;10.534
2017-12-20;7,72054;7,72054;7,59992;7,59992;1.650;12.679
2017-12-19;7,83537;7,83537;7,83537;7,83537;104;812
2017-12-18;7,75045;7,81704;7,72054;7,72054;1.731;13.430
2017-12-14;7,94537;7,94537;7,75238;7,75238;732;5.757
2017-12-13;7,81221;7,91257;7,7601;7,91257;3.762;29.419
2017-12-12;7,84888;7,88941;7,79967;7,88941;643;5.035
2017-12-11;7,76686;7,76686;7,76686;7,76686;394;3.059
2017-12-08;7,76686;7,76686;7,73984;7,73984;363;2.813
2017-12-07;7,76975;7,76975;7,76975;7,76975;52;403
2017-12-06;7,72344;7,78519;7,72344;7,78519;176;1.367
2017-12-05;7,85756;7,85756;7,85756;7,85756;124;977
2017-12-04;7,88265;7,88265;7,88265;7,88265;551;4.320
2017-12-01;8,1924;8,1924;7,78616;7,86142;1.328;10.451
2017-11-30;7,91835;7,91835;7,8373;7,8373;943;7.435
2017-11-29;7,78037;7,78037;7,78037;7,78037;310;2.411
2017-11-28;7,91257;7,94634;7,90871;7,94634;1.103;8.723
2017-11-27;7,96757;7,96757;7,70993;7,70993;525;4.114
2017-11-24;7,86625;7,9116;7,80932;7,80932;1.062;8.328
2017-11-23;8,01002;8,01002;8,01002;8,01002;1.150;9.214
2017-11-22;7,9859;7,9859;7,90292;7,91353;551;4.371
2017-11-21;7,76686;7,88362;7,76686;7,88362;497;3.876
2017-11-20;7,81414;7,97818;7,81414;7,91932;7.120;56.639
2017-11-17;7,79581;7,86046;7,73116;7,86046;7.893;61.478
2017-11-16;7,89327;7,94151;7,84116;7,84116;829;6.550
2017-11-15;7,83344;7,83537;7,73694;7,73694;3.255;25.384
2017-11-14;7,81511;7,99845;7,81511;7,99845;1.082;8.504
2017-11-13;8,10652;8,10652;7,91835;7,91835;4.684;37.540
2017-11-10;7,93476;8,03608;7,86528;7,8923;2.587;20.592
2017-11-09;8,1374;8,13836;7,73019;7,73019;1.276;10.143
2017-11-08;8,21266;8,21266;8,05731;8,1731;3.616;29.572
2017-11-07;8,13933;8,17793;8,00906;8,07661;2.060;16.653
2017-11-06;8,231;8,231;8,03897;8,13933;6.389;51.911
2017-11-03;8,15284;8,28889;8,10555;8,18179;5.968;49.071
2017-11-02;8,16249;8,16249;7,95985;8,14319;10.793;87.169
2017-11-01;7,81221;8,20108;7,81221;8,20108;3.656;29.338
2017-10-31;7,94055;8,00809;7,94055;8,00809;2.562;20.350
2017-10-30;7,8016;7,88169;7,69159;7,88169;10.333;80.100
2017-10-27;7,94055;7,94055;7,62405;7,71861;2.707;20.845
2017-10-26;7,62887;7,94055;7,4793;7,94055;7.047;54.418
2017-10-25;7,38281;7,59027;7,2371;7,59027;10.180;75.072
2017-10-24;7,56229;7,56229;7,29596;7,47834;9.125;68.395
2017-10-23;8,00713;8,00713;7,26895;7,63563;12.914;97.619
2017-10-20;7,23903;8,05634;7,23903;8,00134;19.876;154.634
2017-10-19;7,295;7,295;7,25158;7,25158;674;4.907
2017-10-18;7,29596;7,32395;7,29596;7,29596;2.482;18.120
2017-10-17;7,33746;7,33746;7,31044;7,31044;238;1.746
2017-10-16;7,28728;7,32684;7,28631;7,28631;1.537;11.230
2017-10-13;7,40211;7,40211;7,40114;7,40114;1.421;10.516
2017-10-12;7,3307;7,46772;7,31719;7,46772;419;3.097
2017-10-11;7,44553;7,44553;7,43878;7,43878;1.213;9.025
2017-10-10;7,47448;7,47448;7,37316;7,37316;192;1.420
2017-10-09;7,47255;7,47255;7,38377;7,38377;1.150;8.528
2017-10-06;7,59027;7,59027;7,40307;7,4079;1.672;12.461
2017-10-05;7,47641;7,52659;7,39149;7,44167;7.921;59.308
2017-10-04;7,43492;7,81607;7,30272;7,52755;20.189;152.796
2017-10-03;7,43106;7,5179;7,43106;7,5179;944;7.017
2017-10-02;7,56325;7,56325;7,42816;7,45904;1.808;13.514
2017-09-29;7,09333;7,56325;7,09333;7,56325;7.561;55.427
2017-09-28;7,05859;7,09236;6,99394;7,09236;2.347;16.502
2017-09-27;6,94665;6,9949;6,94665;6,9949;3.211;22.412
2017-09-26;7,02964;7,02964;6,91288;6,94665;1.108;7.709
2017-09-25;6,94665;7,33167;6,92639;7,00552;5.391;37.673
2017-09-22;6,99587;6,99587;6,87814;6,87814;726;5.031
2017-09-21;6,94376;6,94376;6,85305;6,85305;1.197;8.234
2017-09-20;6,94762;6,94858;6,94762;6,94762;1.472;10.224
2017-09-19;6,94858;6,94858;6,94858;6,94858;269;1.872
2017-09-18;7,05183;7,05183;6,98718;6,98718;352;2.475
2017-09-15;6,96595;6,96595;6,96595;6,96595;83;578
2017-09-14;6,94569;6,99297;6,91963;6,99297;943;6.559
2017-09-13;6,9756;6,9756;6,9756;6,9756;21;145
2017-09-12;6,96788;6,96788;6,94665;6,94665;1.202;8.352
2017-09-11;6,91963;6,91963;6,83086;6,83086;353;2.440
2017-09-08;6,89937;6,89937;6,89937;6,89937;228;1.573
2017-09-07;6,94569;6,99587;6,94569;6,94762;1.883;13.141
2017-09-06;6,87621;6,99394;6,87621;6,94858;1.150;7.962
2017-09-05;6,94762;6,94762;6,90806;6,90806;924;6.402
2017-09-04;6,93893;6,93893;6,93893;6,93893;435;3.020
2017-09-01;6,88297;7,02192;6,88297;6,94858;1.237;8.652
2017-08-31;6,85016;6,89069;6,85016;6,87139;1.150;7.904
2017-08-30;6,83954;6,97657;6,83182;6,97464;2.454;16.980
2017-08-29;6,61954;6,86946;6,5626;6,86946;2.165;14.368
