Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;0,318;0,464;0,318;0,40;3.999;1.856
2019-05-02;0,30;0,32;0,30;0,32;0;0
2019-04-30;0,476;0,476;0,30;0,40;14.094;5.638
2019-04-29;0,476;0,478;0,476;0,478;1.000;476
2019-04-26;0,478;0,478;0,478;0,478;0;0
2019-04-25;0,472;0,48;0,472;0,48;0;0
2019-04-24;0,474;0,474;0,474;0,474;0;0
2019-04-23;0,476;0,476;0,476;0,476;0;0
2019-04-18;0,478;0,478;0,478;0,478;0;0
2019-04-17;0,476;0,49;0,476;0,48;860;421
2019-04-16;0,478;0,478;0,478;0,478;0;0
2019-04-15;0,50;0,505;0,48;0,48;400;202
2019-04-12;0,48;0,515;0,48;0,505;0;0
2019-04-11;0,48;0,482;0,48;0,482;0;0
2019-04-10;0,48;0,482;0,48;0,482;0;0
2019-04-09;0,48;0,482;0,48;0,482;0;0
2019-04-08;0,436;0,482;0,436;0,482;0;0
2019-04-05;0,438;0,438;0,438;0,438;0;0
2019-04-04;0,48;0,482;0,44;0,44;2.025;911
2019-04-03;0,51;0,515;0,482;0,482;4.000;2.040
2019-04-02;0,51;0,515;0,51;0,515;0;0
2019-04-01;0,51;0,52;0,51;0,515;0;0
2019-03-29;0,494;0,515;0,494;0,515;0;0
2019-03-28;0,462;0,496;0,44;0,496;0;0
2019-03-27;0,515;0,515;0,464;0,464;0;0
2019-03-26;0,535;0,54;0,52;0,52;0;0
2019-03-25;0,535;0,54;0,535;0,54;0;0
2019-03-22;0,535;0,54;0,535;0,54;0;0
2019-03-21;0,535;0,54;0,535;0,54;0;0
2019-03-20;0,53;0,54;0,53;0,54;0;0
2019-03-19;0,53;0,535;0,53;0,535;0;0
2019-03-18;0,525;0,54;0,525;0,535;1.000;540
2019-03-15;0,53;0,53;0,53;0,53;0;0
2019-03-14;0,545;0,55;0,535;0,535;200;110
2019-03-13;0,56;0,565;0,55;0,55;0;0
2019-03-12;0,56;0,565;0,56;0,565;0;0
2019-03-11;0,56;0,565;0,56;0,565;0;0
2019-03-08;0,56;0,565;0,56;0,565;0;0
2019-03-07;0,56;0,565;0,56;0,565;0;0
2019-03-06;0,565;0,565;0,565;0,565;226;128
2019-03-05;0,56;0,565;0,56;0,565;0;0
2019-03-04;0,565;0,565;0,565;0,565;774;437
2019-03-01;0,565;0,57;0,565;0,565;0;0
2019-02-28;0,57;0,57;0,57;0,57;0;0
2019-02-27;0,57;0,57;0,56;0,57;600;336
2019-02-26;0,545;0,57;0,545;0,57;0;0
2019-02-25;0,565;0,57;0,55;0,55;2.050;1.128
