Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-10-31;1,4405;1,4505;1,43;1,43;0;0
2011-10-29;1,4505;1,4505;1,4505;1,4505;0;0
2011-10-28;1,4555;1,4555;1,44;1,4505;0;0
2011-10-27;1,415;1,4555;1,415;1,4555;0;0
2011-10-26;1,41;1,415;1,40;1,415;0;0
2011-10-25;1,41;1,41;1,40;1,40;0;0
2011-10-24;1,41;1,41;1,40;1,41;0;0
2011-10-22;1,41;1,41;1,41;1,41;0;0
2011-10-21;1,405;1,41;1,395;1,41;0;0
2011-10-20;1,415;1,415;1,39;1,405;0;0
2011-10-19;1,415;1,415;1,395;1,405;0;0
2011-10-18;1,415;1,425;1,405;1,415;0;0
2011-10-17;1,425;1,425;1,405;1,405;0;0
2011-10-16;1,415;1,425;1,415;1,425;0;0
2011-10-15;1,425;1,425;1,425;1,425;0;0
2011-10-14;1,405;1,415;1,40;1,415;0;0
2011-10-13;1,395;1,41;1,395;1,405;0;0
2011-10-12;1,405;1,405;1,395;1,395;0;0
2011-10-11;1,425;1,425;1,395;1,395;0;0
2011-10-10;1,405;1,435;1,405;1,425;0;0
2011-10-09;1,415;1,415;1,395;1,405;0;0
2011-10-08;1,415;1,415;1,415;1,415;0;0
2011-10-07;1,425;1,425;1,405;1,415;0;0
2011-10-06;1,415;1,43;1,41;1,425;0;0
2011-10-05;1,395;1,415;1,385;1,415;0;0
2011-10-04;1,375;1,405;1,365;1,395;0;0
2011-10-03;1,405;1,435;1,375;1,375;0;0
2011-10-02;1,415;1,435;1,405;1,405;0;0
2011-10-01;1,415;1,415;1,415;1,415;0;0
2011-09-30;1,415;1,435;1,405;1,405;0;0
2011-09-29;1,405;1,425;1,405;1,425;0;0
2011-09-28;1,415;1,425;1,405;1,405;0;0
2011-09-27;1,395;1,435;1,335;1,415;0;0
2011-09-26;1,395;1,395;1,3255;1,395;0;0
2011-09-25;1,395;1,395;1,395;1,395;0;0
2011-09-24;1,395;1,395;1,395;1,395;0;0
2011-09-23;1,375;1,395;1,331;1,395;0;0
2011-09-22;1,39;1,41;1,365;1,375;0;0
2011-09-21;1,395;1,42;1,39;1,39;0;0
2011-09-20;1,41;1,41;1,3305;1,395;0;0
2011-09-19;1,405;1,415;1,375;1,41;0;0
2011-09-18;1,415;1,415;1,405;1,405;0;0
2011-09-17;1,415;1,415;1,415;1,415;0;0
2011-09-16;1,395;1,415;1,385;1,415;0;0
2011-09-15;1,3305;1,395;1,3105;1,395;0;0
2011-09-14;1,38;1,39;1,35;1,38;0;0
2011-09-13;1,37;1,38;1,35;1,38;0;0
2011-09-12;1,3655;1,3715;1,3415;1,37;0;0
2011-09-11;1,3755;1,3755;1,3655;1,3655;0;0
2011-09-10;1,3755;1,3755;1,3755;1,3755;0;0
2011-09-09;1,37;1,38;1,3655;1,3755;0;0
2011-09-08;1,375;1,38;1,365;1,37;0;0
2011-09-07;1,345;1,375;1,34;1,375;0;0
2011-09-06;1,325;1,355;1,325;1,355;0;0
2011-09-05;1,335;1,3455;1,315;1,325;0;0
2011-09-04;1,335;1,335;1,275;1,335;0;0
2011-09-03;1,335;1,335;1,335;1,335;0;0
2011-09-02;1,34;1,35;1,335;1,335;0;0
2011-09-01;1,39;1,40;1,34;1,34;0;0
2011-08-31;1,385;1,405;1,38;1,39;0;0
2011-08-30;1,385;1,395;1,375;1,385;0;0
2011-08-29;1,36;1,385;1,345;1,385;0;0
2011-08-28;1,36;1,36;1,36;1,36;0;0
2011-08-27;1,36;1,36;1,36;1,36;0;0
2011-08-26;1,335;1,36;1,335;1,36;0;0
2011-08-25;1,335;1,345;1,33;1,3305;0;0
2011-08-24;1,325;1,335;1,315;1,335;0;0
2011-08-23;1,29;1,335;1,29;1,325;0;0
2011-08-22;1,3005;1,3005;1,285;1,29;0;0
2011-08-19;1,30;1,3155;1,28;1,2905;0;0
2011-08-18;1,295;1,3055;1,29;1,30;0;0
2011-08-17;1,365;1,375;1,295;1,295;0;0
2011-08-16;1,375;1,38;1,3435;1,3535;0;0
2011-08-15;1,375;1,387;1,37;1,375;0;0
2011-08-14;1,375;1,375;1,375;1,375;0;0
2011-08-13;1,375;1,375;1,375;1,375;0;0
2011-08-12;1,385;1,385;1,36;1,375;0;0
2011-08-11;1,3465;1,395;1,3465;1,385;0;0
2011-08-10;1,347;1,3765;1,317;1,3465;0;0
2011-08-09;1,2705;1,30;1,264;1,282;0;0
2011-08-08;1,2935;1,328;1,268;1,2775;0;0
2011-08-07;1,2935;1,2935;1,2835;1,2935;0;0
2011-08-06;1,3315;1,3315;1,2935;1,2935;0;0
2011-08-05;1,334;1,3565;1,31;1,3315;0;0
2011-08-04;1,3645;1,3745;1,324;1,334;0;0
2011-08-03;1,36;1,366;1,3435;1,3645;0;0
2011-08-02;1,365;1,365;1,35;1,35;0;0
2011-08-01;1,3515;1,37;1,345;1,365;0;0
2011-07-31;1,34;1,3535;1,34;1,3515;0;0
2011-07-30;1,35;1,35;1,34;1,34;0;0
2011-07-29;1,35;1,3595;1,34;1,35;0;0
2011-07-28;1,3495;1,37;1,34;1,35;0;0
2011-07-27;1,345;1,36;1,345;1,348;0;0
2011-07-26;1,335;1,345;1,335;1,345;0;0
2011-07-25;1,34;1,34;1,325;1,335;0;0
2011-07-24;1,34;1,34;1,33;1,34;0;0
2011-07-23;1,34;1,34;1,34;1,34;0;0
2011-07-22;1,325;1,34;1,325;1,34;0;0
2011-07-21;1,23;1,35;1,23;1,325;0;0
2011-07-20;1,23;1,24;1,23;1,23;0;0
2011-07-19;1,22;1,23;1,215;1,23;0;0
