Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-18;7,90;7,90;7,90;7,90;100;790
2019-07-05;8,00;8,00;8,00;8,00;100;800
2019-07-04;7,80;7,80;7,80;7,80;200;1.560
2019-07-03;8,00;8,00;8,00;8,00;100;800
2019-07-02;8,00;8,00;8,00;8,00;10;80
2019-06-24;8,10;8,10;8,10;8,10;1.000;8.100
2019-06-14;8,15;8,15;8,15;8,15;120;978
2019-06-07;8,15;8,15;8,15;8,15;500;4.075
2019-05-29;8,25;8,25;8,25;8,25;250;2.063
2019-05-27;8,30;8,30;8,30;8,30;110;913
2019-05-24;8,30;8,30;8,30;8,30;890;7.387
2019-05-17;8,15;8,15;8,15;8,15;5;41
2019-05-10;8,15;8,15;8,15;8,15;7;57
2019-04-30;8,05;8,05;8,05;8,05;1;8
2019-04-24;8,40;8,40;8,40;8,40;100;840
2019-04-23;8,60;8,60;8,60;8,60;250;2.150
2019-02-25;8,50;8,50;8,50;8,50;140;1.190
2019-02-22;8,80;8,80;8,80;8,80;1.000;8.800
2019-01-28;9,05;9,05;9,05;9,05;32;290
2019-01-24;8,80;8,80;8,80;8,80;1.000;8.800
2018-12-03;10,40;10,40;10,40;10,40;100;1.040
2018-10-30;10,90;10,90;10,90;10,90;40;436
2018-10-23;10,60;10,60;10,60;10,60;50;530
2018-10-22;10,90;11,10;10,90;11,10;499;5.467
2018-10-19;10,80;10,80;10,80;10,80;25;270
2018-10-11;10,70;10,70;10,70;10,70;398;4.259
2018-10-08;11,00;11,00;11,00;11,00;47;517
2018-10-05;11,00;11,00;10,80;10,80;1.500;16.400
2018-10-04;10,90;10,90;10,90;10,90;110;1.199
2018-09-28;11,70;11,70;11,30;11,30;150;1.715
2018-09-12;11,80;11,80;11,80;11,80;10;118
2018-08-29;12,50;12,50;12,50;12,50;98;1.225
2018-08-27;12,80;12,80;12,80;12,80;100;1.280
2018-07-03;12,00;12,00;12,00;12,00;44;528
2018-06-29;12,10;12,10;12,00;12,00;110;1.321
2018-06-01;12,00;12,00;12,00;12,00;280;3.360
2018-05-31;12,10;12,10;12,10;12,10;82;992
2018-04-11;12,00;12,00;12,00;12,00;100;1.200
2018-04-06;12,20;12,20;11,50;11,80;2.871;33.920
2018-03-26;12,00;12,00;12,00;12,00;280;3.360
2018-03-22;12,00;12,00;12,00;12,00;420;5.040
2018-03-02;11,90;11,90;11,90;11,90;280;3.332
2018-02-20;12,20;12,20;12,20;12,20;1.860;22.692
2018-02-19;12,20;12,20;12,20;12,20;140;1.708
2018-02-14;12,10;12,10;12,10;12,10;1;12
2018-02-13;12,10;12,10;12,10;12,10;1.499;18.138
2018-02-08;12,00;12,40;12,00;12,00;1.180;14.320
2018-02-05;13,00;13,00;11,90;11,90;1.085;13.352
2018-01-29;13,60;13,70;13,60;13,70;160;2.180
2018-01-26;13,70;13,70;13,70;13,70;360;4.932
2018-01-25;13,70;13,70;13,70;13,70;240;3.288
2018-01-19;13,60;13,60;13,60;13,60;240;3.264
2018-01-10;14,60;14,60;14,60;14,60;200;2.920
2018-01-05;13,90;13,90;13,90;13,90;90;1.251
2017-12-15;14,044;14,044;14,044;14,044;2;28
2017-12-13;13,701;13,701;13,701;13,701;20;274
2017-12-07;13,651;13,651;13,651;13,651;10;137
2017-11-28;13,756;13,756;13,756;13,756;20;275
2017-11-17;14,246;14,246;14,246;14,246;120;1.710
2017-11-09;14,499;14,499;14,499;14,499;35;507
2017-11-07;13,706;13,706;13,706;13,706;500;6.853
2017-10-30;13,98;13,98;13,98;13,98;20;280
2017-10-06;12,991;12,991;12,991;12,991;66;857
2017-08-31;14,409;14,409;14,409;14,409;5;72
2017-08-17;14,80;14,80;14,80;14,80;20;296
2017-07-21;13,224;13,224;13,224;13,224;10;132
2017-06-08;13,601;13,684;13,601;13,684;300;4.089
2017-06-07;13,904;13,904;13,904;13,904;120;1.668





