Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2009-03-13;3,60;3,62;3,60;3,62;0;0
2009-03-12;3,60;3,60;3,60;3,60;7;25
2009-03-11;3,59;3,60;3,59;3,60;0;0
2009-03-10;3,59;3,59;3,59;3,59;0;0
2009-03-09;3,58;3,60;3,58;3,60;0;0
2009-03-06;3,58;3,58;3,58;3,58;0;0
2009-03-05;3,58;3,58;3,58;3,58;0;0
2009-03-04;3,58;3,59;3,58;3,59;0;0
2009-03-03;3,59;3,59;3,59;3,59;0;0
2009-03-02;3,56;3,59;3,56;3,59;0;0
2009-02-27;3,56;3,56;3,56;3,56;500;1.780
2009-02-26;3,56;3,56;3,56;3,56;0;0
2009-02-25;3,60;3,60;3,60;3,60;0;0
2009-02-24;3,60;3,60;3,60;3,60;0;0
2009-02-23;3,61;3,61;3,61;3,61;0;0
2009-02-20;3,61;3,61;3,61;3,61;0;0
2009-02-19;3,60;3,60;3,60;3,60;0;0
2009-02-18;3,56;3,60;3,56;3,60;0;0
2009-02-17;3,56;3,63;3,56;3,63;4.000;14.520
2009-02-16;3,56;3,60;3,56;3,60;0;0
2009-02-13;3,56;3,57;3,56;3,57;0;0
2009-02-12;3,56;3,56;3,56;3,56;0;0
2009-02-11;3,56;3,56;3,56;3,56;0;0
2009-02-10;3,56;3,56;3,56;3,56;0;0
2009-02-09;3,56;3,56;3,56;3,56;0;0
2009-02-06;3,56;3,56;3,56;3,56;0;0
2009-02-05;3,56;3,56;3,56;3,56;0;0
2009-02-04;3,56;3,56;3,56;3,56;0;0
2009-02-03;3,56;3,56;3,56;3,56;0;0
2009-02-02;3,56;3,56;3,56;3,56;0;0
2009-01-30;3,61;3,61;3,61;3,61;0;0
2009-01-29;3,60;3,60;3,60;3,60;0;0
2009-01-28;3,61;3,61;3,61;3,61;2.500;9.025
2009-01-27;3,61;3,61;3,61;3,61;0;0
2009-01-26;3,61;3,61;3,61;3,61;0;0
2009-01-23;3,62;3,62;3,62;3,62;0;0
2009-01-22;3,62;3,62;3,62;3,62;0;0
2009-01-21;3,61;3,61;3,61;3,61;0;0
2009-01-20;3,61;3,65;3,61;3,65;3.600;13.140
2009-01-19;3,61;3,61;3,61;3,61;0;0
2009-01-16;3,61;3,61;3,61;3,61;0;0
2009-01-15;3,61;3,61;3,61;3,61;0;0
2009-01-14;3,61;3,61;3,61;3,61;490;1.769
2009-01-13;3,61;3,61;3,61;3,61;0;0
2009-01-12;3,61;3,61;3,61;3,61;0;0
2009-01-09;3,61;3,61;3,61;3,61;0;0
2009-01-08;3,66;3,66;3,66;3,66;0;0
2009-01-07;3,63;3,63;3,63;3,63;0;0
2009-01-06;3,62;3,62;3,62;3,62;0;0
2009-01-05;3,56;3,56;3,56;3,56;0;0
