Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;32,60;35,10;32,60;34,20;19.818;668.260
2019-05-02;32,70;32,90;32,50;32,60;10.516;343.129
2019-04-30;32,60;33,00;32,60;32,60;8.174;268.924
2019-04-29;32,70;33,30;32,30;33,00;1.841;60.418
2019-04-26;32,50;32,70;32,30;32,40;4.639;150.428
2019-04-25;32,90;33,30;32,50;32,90;2.612;85.637
2019-04-24;32,90;33,70;32,90;33,00;1.636;54.193
2019-04-23;32,90;33,20;32,40;32,60;5.800;190.393
2019-04-18;32,10;33,00;32,00;32,80;8.157;264.177
2019-04-17;32,60;32,60;31,80;31,80;4.654;149.659
2019-04-16;33,00;33,00;32,40;32,50;8.767;285.473
2019-04-15;32,90;33,00;32,40;33,00;11.413;371.708
2019-04-12;32,90;33,00;32,70;32,80;821;26.926
2019-04-11;33,40;33,40;32,70;32,80;1.012;33.324
2019-04-10;32,50;33,50;32,50;33,00;4.056;133.718
2019-04-09;31,90;33,00;31,90;32,80;1.986;63.761
2019-04-08;32,10;32,30;31,50;31,70;1.336;42.751
2019-04-05;31,40;31,90;31,40;31,40;1.128;35.655
2019-04-04;32,30;32,30;31,60;31,80;1.379;44.077
2019-04-03;33,00;33,00;31,50;32,00;4.957;160.353
2019-04-02;33,60;33,60;32,30;32,70;4.804;158.526
2019-04-01;32,80;34,00;32,80;33,50;10.157;339.116
2019-03-29;32,10;33,20;31,90;32,80;7.279;234.377
2019-03-28;31,90;32,40;31,50;31,80;3.804;121.436
2019-03-27;30,80;32,10;30,80;31,50;4.350;137.729
2019-03-26;30,50;31,10;30,40;30,80;4.195;129.290
2019-03-25;30,70;30,80;30,30;30,60;1.659;50.557
2019-03-22;30,00;30,60;29,90;30,60;11.315;343.814
2019-03-21;30,50;30,50;29,80;30,10;2.029;61.276
2019-03-20;30,00;31,10;30,00;30,30;8.412;255.668
2019-03-19;29,00;30,00;29,00;29,90;3.895;114.792
2019-03-18;29,00;29,10;29,00;29,10;6.850;198.650
2019-03-15;27,00;29,00;27,00;28,80;10.857;304.628
2019-03-14;27,00;27,00;26,60;26,70;14.962;398.918
2019-03-13;26,20;27,00;26,20;27,00;2.562;67.946
