Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2010-09-08;0,02;0,02;0,02;0,02;0;0
2010-09-07;0,02;0,02;0,02;0,02;0;0
2010-09-06;0,02;0,02;0,02;0,02;0;0
2010-09-03;0,02;0,02;0,02;0,02;0;0
2010-09-02;0,02;0,02;0,02;0,02;0;0
2010-09-01;0,02;0,02;0,02;0,02;0;0
2010-08-31;0,02;0,02;0,02;0,02;0;0
2010-08-30;0,018;0,018;0,018;0,018;0;0
2010-08-27;0,02;0,02;0,02;0,02;0;0
2010-08-26;0,02;0,02;0,02;0,02;0;0
2010-08-25;0,02;0,02;0,02;0,02;0;0
2010-08-24;0,02;0,02;0,02;0,02;0;0
2010-08-23;0,018;0,018;0,018;0,018;0;0
2010-08-20;0,018;0,018;0,018;0,018;0;0
2010-08-19;0,018;0,018;0,018;0,018;0;0
2010-08-18;0,018;0,018;0,018;0,018;0;0
2010-08-17;0,02;0,02;0,015;0,015;46;1
2010-08-16;0,02;0,02;0,02;0,02;0;0
2010-08-13;0,02;0,02;0,02;0,02;0;0
2010-08-12;0,02;0,02;0,02;0,02;0;0
2010-08-11;0,018;0,018;0,018;0,018;0;0
2010-08-10;0,02;0,02;0,02;0,02;0;0
2010-08-09;0,02;0,02;0,02;0,02;0;0
2010-08-06;0,02;0,02;0,02;0,02;0;0
2010-08-05;0,02;0,02;0,02;0,02;0;0
2010-08-04;0,02;0,02;0,02;0,02;0;0
2010-08-03;0,02;0,02;0,02;0,02;60;1
2010-08-02;0,02;0,02;0,02;0,02;0;0
2010-07-30;0,01;0,01;0,01;0,01;0;0
2010-07-29;0,005;0,005;0,005;0,005;5;0
2010-07-28;0,02;0,02;0,02;0,02;0;0
2010-07-27;0,02;0,02;0,02;0,02;0;0
2010-07-26;0,02;0,02;0,02;0,02;0;0
2010-07-23;0,02;0,02;0,02;0,02;0;0
2010-07-22;0,02;0,02;0,02;0,02;0;0
2010-07-21;0,02;0,02;0,02;0,02;0;0
2010-07-20;0,025;0,025;0,025;0,025;0;0
2010-07-19;0,025;0,025;0,025;0,025;0;0
2010-07-16;0,03;0,03;0,03;0,03;0;0
2010-07-15;0,03;0,031;0,03;0,031;30;1
2010-07-14;0,03;0,031;0,03;0,031;8;0
2010-07-13;0,03;0,031;0,03;0,031;12.500;388
2010-07-12;0,03;0,03;0,03;0,03;0;0
2010-07-09;0,03;0,03;0,03;0,03;0;0
2010-07-08;0,03;0,03;0,03;0,03;0;0
2010-07-07;0,03;0,03;0,03;0,03;0;0
2010-07-06;0,03;0,031;0,03;0,031;170;5
2010-07-05;0,03;0,03;0,03;0,03;0;0
2010-07-02;0,03;0,03;0,03;0,03;0;0
2010-07-01;0,03;0,03;0,03;0,03;0;0
2010-06-30;0,03;0,03;0,03;0,03;0;0
2010-06-29;0,03;0,03;0,03;0,03;0;0
2010-06-28;0,03;0,03;0,03;0,03;0;0
2010-06-25;0,03;0,03;0,03;0,03;0;0
2010-06-24;0,03;0,031;0,03;0,031;112;3
2010-06-23;0,03;0,03;0,03;0,03;0;0
2010-06-22;0,03;0,031;0,03;0,031;12;0
2010-06-21;0,03;0,03;0,03;0,03;0;0
2010-06-18;0,03;0,03;0,03;0,03;0;0
2010-06-17;0,03;0,03;0,03;0,03;0;0
2010-06-16;0,03;0,03;0,03;0,03;5;0
2010-06-15;0,03;0,03;0,03;0,03;0;0
2010-06-14;0,03;0,03;0,03;0,03;6;0
2010-06-11;0,03;0,03;0,03;0,03;0;0
2010-06-10;0,03;0,03;0,03;0,03;0;0
2010-06-09;0,03;0,03;0,03;0,03;0;0
2010-06-08;0,03;0,03;0,03;0,03;0;0
2010-06-07;0,03;0,03;0,03;0,03;0;0
2010-06-04;0,02;0,02;0,02;0,02;0;0
2010-06-03;0,03;0,03;0,03;0,03;0;0
2010-06-02;0,03;0,03;0,03;0,03;0;0
2010-06-01;0,02;0,02;0,02;0,02;0;0
2010-05-31;0,02;0,02;0,02;0,02;0;0
2010-05-28;0,02;0,02;0,02;0,02;0;0
2010-05-27;0,02;0,02;0,02;0,02;0;0
2010-05-26;0,02;0,02;0,02;0,02;0;0
2010-05-25;0,02;0,02;0,02;0,02;0;0
2010-05-24;0,02;0,02;0,02;0,02;0;0
2010-05-21;0,017;0,017;0,017;0,017;0;0
2010-05-20;0,017;0,017;0,017;0,017;0;0
2010-05-19;0,015;0,015;0,015;0,015;0;0
2010-05-18;0,015;0,015;0,015;0,015;0;0
2010-05-17;0,01;0,01;0,01;0,01;0;0
2010-05-14;0,01;0,01;0,01;0,01;0;0
2010-05-13;0,01;0,01;0,01;0,01;0;0
2010-05-12;0,01;0,01;0,01;0,01;0;0
2010-05-11;0,01;0,01;0,01;0,01;0;0
2010-05-10;0,01;0,01;0,01;0,01;0;0
2010-05-07;0,01;0,01;0,01;0,01;0;0
2010-05-06;0,02;0,02;0,006;0,006;40;0
2010-05-05;0,02;0,02;0,02;0,02;0;0
