Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-08-14;4,20;4,20;4,20;4,20;0;0
2019-08-13;4,09;4,24;4,09;4,24;2.760;11.552
2019-08-12;4,09;4,15;4,09;4,15;350;1.453
2019-08-09;4,16;4,24;4,16;4,24;0;0
2019-08-08;4,22;4,22;4,22;4,22;0;0
2019-08-07;4,21;4,35;4,21;4,35;3.000;13.050
2019-08-06;4,19;4,33;4,19;4,33;1.700;7.361
2019-08-05;4,22;4,22;4,22;4,22;0;0
2019-08-02;4,32;4,32;4,32;4,32;0;0
2019-08-01;4,47;4,47;4,44;4,44;835;3.707
2019-07-31;4,50;4,50;4,50;4,50;0;0
2019-07-30;4,57;4,57;4,57;4,57;0;0
2019-07-29;4,39;4,57;4,39;4,57;112;512
2019-07-26;4,42;4,42;4,42;4,42;0;0
2019-07-25;4,40;4,61;4,40;4,61;2.756;12.601
2019-07-24;4,26;4,33;4,26;4,33;0;0
2019-07-23;4,27;4,27;4,27;4,27;1.700;7.259
2019-07-22;4,22;4,22;4,22;4,22;0;0
2019-07-19;4,12;4,12;4,12;4,12;0;0
2019-07-18;4,07;4,07;4,07;4,07;0;0
2019-07-17;4,01;4,01;4,01;4,01;0;0
2019-07-16;4,04;4,04;4,04;4,04;0;0
2019-07-15;4,03;4,03;4,03;4,03;0;0
2019-07-12;4,00;4,00;4,00;4,00;0;0
2019-07-11;4,05;4,05;4,05;4,05;0;0
2019-07-10;4,03;4,17;4,03;4,17;170;709
2019-07-09;4,07;4,08;4,06;4,06;3.118;12.680
2019-07-08;4,06;4,13;4,04;4,13;1.272;5.231
2019-07-05;3,90;4,18;3,90;4,18;4.142;17.208
2019-07-04;3,59;3,93;3,59;3,93;1.200;4.646
2019-07-03;3,58;3,58;3,58;3,58;0;0
2019-07-02;3,54;3,60;3,54;3,60;0;0
2019-07-01;3,57;3,57;3,57;3,57;0;0
2019-06-28;3,29;3,62;3,29;3,62;0;0
2019-06-27;3,40;3,41;3,34;3,36;2.809;9.445
2019-06-26;3,32;3,32;3,32;3,32;0;0
2019-06-25;3,47;3,47;3,47;3,47;0;0
2019-06-24;3,52;3,52;3,52;3,52;0;0
2019-06-21;3,51;3,51;3,51;3,51;0;0
2019-06-20;3,50;3,54;3,50;3,54;30;106
2019-06-19;3,70;3,70;3,70;3,70;500;1.850
2019-06-18;3,71;3,71;3,71;3,71;0;0
2019-06-17;3,75;3,76;3,74;3,74;1.450;5.428
2019-06-14;3,75;3,75;3,75;3,75;0;0
2019-06-13;3,77;3,77;3,77;3,77;0;0
2019-06-12;3,74;3,74;3,74;3,74;0;0
2019-06-11;3,75;3,75;3,75;3,75;0;0
2019-06-07;3,76;3,76;3,76;3,76;0;0
2019-06-06;3,78;3,78;3,78;3,78;0;0
2019-06-05;3,77;3,77;3,77;3,77;0;0
2019-06-04;3,76;3,76;3,76;3,76;0;0
2019-06-03;3,74;3,74;3,74;3,74;0;0
2019-05-31;3,74;3,74;3,74;3,74;0;0
2019-05-30;3,76;3,76;3,76;3,76;0;0
2019-05-29;3,75;3,86;3,75;3,86;1.000;3.860
2019-05-28;3,78;3,78;3,78;3,78;0;0
2019-05-27;3,75;3,75;3,75;3,75;0;0
2019-05-24;3,75;3,75;3,75;3,75;0;0
2019-05-23;3,74;3,74;3,74;3,74;0;0
2019-05-22;3,74;3,74;3,74;3,74;0;0
2019-05-21;3,75;3,75;3,75;3,75;0;0
2019-05-20;3,82;3,84;3,80;3,80;2.000;7.628
2019-05-17;3,88;3,90;3,88;3,88;2.099;8.165
2019-05-16;3,75;3,98;3,75;3,98;3.200;12.712
2019-05-15;3,70;3,70;3,70;3,70;0;0
2019-05-14;3,87;3,87;3,76;3,76;1.200;4.512
2019-05-13;3,97;3,97;3,90;3,90;1.700;6.700
2019-05-10;3,95;3,95;3,95;3,95;0;0
2019-05-09;3,89;3,95;3,89;3,95;0;0
2019-05-08;3,84;3,89;3,84;3,89;0;0
2019-05-07;3,88;4,00;3,88;4,00;1.236;4.940
2019-05-06;4,14;4,14;3,90;3,90;3.124;12.434
2019-05-03;4,39;4,39;4,16;4,27;0;0
2019-05-02;4,39;4,43;4,39;4,43;0;0
2019-04-30;4,50;4,50;4,50;4,50;500;2.250
2019-04-29;4,43;4,43;4,43;4,43;0;0
2019-04-26;4,41;4,47;4,41;4,47;0;0
2019-04-25;4,43;4,53;4,43;4,53;500;2.265
2019-04-24;4,45;4,65;4,45;4,65;700;3.255
2019-04-23;4,55;4,55;4,50;4,50;401;1.805
2019-04-18;4,64;4,64;4,64;4,64;0;0
2019-04-17;4,69;4,70;4,68;4,68;1.126;5.282
2019-04-16;4,76;4,89;4,70;4,73;2.300;11.009
2019-04-15;4,76;4,84;4,76;4,84;0;0
2019-04-12;4,74;4,78;4,74;4,78;0;0
2019-04-11;4,76;4,80;4,76;4,80;300;1.440
2019-04-10;4,78;4,78;4,78;4,78;0;0
2019-04-09;4,90;4,90;4,90;4,90;0;0
2019-04-08;5,10;5,10;5,10;5,10;401;2.045
2019-04-05;4,91;5,04;4,91;4,98;2.400;12.072
2019-04-04;4,72;4,72;4,72;4,72;0;0
2019-04-03;4,75;4,75;4,75;4,75;0;0
2019-04-02;4,74;4,74;4,74;4,74;0;0
2019-04-01;4,69;4,69;4,69;4,69;0;0
2019-03-29;4,70;4,72;4,66;4,72;10;47
2019-03-28;4,71;4,71;4,71;4,71;0;0
2019-03-27;4,81;4,94;4,75;4,75;2.100;10.122
2019-03-26;4,88;4,88;4,88;4,88;0;0
2019-03-25;5,02;5,02;4,90;4,90;0;0
2019-03-22;5,04;5,04;5,04;5,04;0;0
2019-03-21;5,10;5,10;5,10;5,10;0;0
2019-03-20;5,16;5,16;5,16;5,16;0;0
2019-03-19;5,06;5,22;5,06;5,22;150;783
2019-03-18;5,16;5,16;5,06;5,10;2.747;13.954
2019-03-15;5,14;5,16;5,14;5,16;600;3.096
2019-03-14;5,26;5,30;5,26;5,30;1.600;8.480
2019-03-13;5,12;5,12;5,12;5,12;0;0
2019-03-12;5,12;5,12;5,12;5,12;0;0
2019-03-11;5,18;5,18;5,18;5,18;0;0
2019-03-08;5,12;5,12;5,12;5,12;0;0
2019-03-07;5,22;5,22;5,22;5,22;0;0
2019-03-06;5,24;5,24;5,24;5,24;0;0
2019-03-05;5,28;5,28;5,28;5,28;0;0
2019-03-04;5,12;5,32;5,12;5,32;700;3.724
2019-03-01;5,46;5,46;5,30;5,30;400;2.120
2019-02-28;5,50;5,50;5,50;5,50;0;0
2019-02-27;5,56;5,56;5,56;5,56;0;0
2019-02-26;5,58;5,58;5,58;5,58;0;0
2019-02-25;5,78;5,78;5,78;5,78;0;0
2019-02-22;5,76;5,84;5,62;5,62;1.200;6.854
2019-02-21;5,80;5,80;5,80;5,80;0;0
2019-02-20;5,78;5,78;5,78;5,78;0;0
2019-02-19;5,78;5,78;5,78;5,78;0;0
2019-02-18;5,78;5,78;5,78;5,78;200;1.156
2019-02-15;5,72;5,72;5,72;5,72;0;0
2019-02-14;5,74;5,74;5,74;5,74;0;0
2019-02-13;5,76;5,84;5,76;5,84;200;1.168
2019-02-12;5,64;5,64;5,64;5,64;0;0
2019-02-11;5,74;5,86;5,74;5,86;500;2.930
2019-02-08;5,70;5,70;5,70;5,70;0;0
2019-02-07;5,90;5,90;5,84;5,84;700;4.088
2019-02-06;5,84;5,92;5,84;5,92;206;1.220
2019-02-05;5,88;5,98;5,88;5,94;3.499;20.826
2019-02-04;5,90;5,90;5,90;5,90;250;1.475
2019-02-01;5,82;5,82;5,82;5,82;0;0
