Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2011-02-16;0,04;0,04;0,04;0,04;25.000;1.000
2011-02-15;0,041;0,041;0,041;0,041;5.275;216
2011-02-14;0,045;0,045;0,045;0,045;0;0
2011-02-11;0,04;0,041;0,04;0,041;100;4
2011-02-10;0,04;0,04;0,04;0,04;0;0
2011-02-09;0,045;0,045;0,045;0,045;0;0
2011-02-08;0,05;0,05;0,05;0,05;0;0
2011-02-07;0,05;0,05;0,05;0,05;50.000;2.500
2011-02-04;0,04;0,07;0,04;0,041;62.726;2.572
2011-02-03;0,04;0,059;0,04;0,059;55.801;3.292
2011-02-02;0,04;0,04;0,04;0,04;20.000;800
2011-02-01;0,047;0,047;0,026;0,047;22.500;1.058
2011-01-31;0,047;0,047;0,047;0,047;0;0
2011-01-28;0,043;0,043;0,04;0,04;152.000;6.080
2011-01-27;0,047;0,047;0,047;0,047;0;0
2011-01-26;0,047;0,047;0,047;0,047;0;0
2011-01-25;0,045;0,045;0,045;0,045;50.000;2.250
2011-01-24;0,035;0,035;0,035;0,035;0;0
2011-01-21;0,038;0,046;0,038;0,046;35.450;1.631
2011-01-20;0,04;0,04;0,04;0,04;0;0
2011-01-19;0,045;0,045;0,04;0,04;10.000;400
2011-01-18;0,045;0,045;0,045;0,045;0;0
2011-01-17;0,045;0,045;0,044;0,044;3.000;132
2011-01-14;0,043;0,045;0,043;0,045;42.000;1.890
2011-01-13;0,025;0,05;0,025;0,04;139.500;5.580
2011-01-12;0,025;0,025;0,025;0,025;0;0
2011-01-11;0,03;0,03;0,03;0,03;0;0
2011-01-10;0,025;0,03;0,025;0,03;50.000;1.500
2011-01-07;0,024;0,027;0,023;0,027;140.251;3.787
2011-01-06;0,024;0,024;0,024;0,024;0;0
2011-01-05;0,024;0,024;0,024;0,024;0;0
2011-01-04;0,024;0,024;0,024;0,024;0;0
2011-01-03;0,024;0,024;0,024;0,024;170;4
2010-12-30;0,024;0,024;0,024;0,024;0;0
2010-12-29;0,024;0,024;0,024;0,024;0;0
2010-12-28;0,024;0,024;0,024;0,024;250;6
2010-12-27;0,024;0,024;0,024;0,024;30;1
2010-12-23;0,026;0,026;0,026;0,026;860;22
2010-12-22;0,024;0,024;0,024;0,024;0;0
2010-12-21;0,026;0,026;0,026;0,026;1.500;39
2010-12-20;0,03;0,03;0,03;0,03;0;0
2010-12-17;0,03;0,03;0,03;0,03;0;0
2010-12-16;0,03;0,03;0,03;0,03;9.700;291
2010-12-15;0,03;0,03;0,03;0,03;0;0
2010-12-14;0,03;0,03;0,03;0,03;0;0
2010-12-13;0,024;0,033;0,024;0,033;10.000;330
2010-12-10;0,034;0,034;0,026;0,026;33.500;871
2010-12-09;0,034;0,034;0,034;0,034;0;0
2010-12-08;0,034;0,034;0,034;0,034;0;0
2010-12-07;0,03;0,033;0,024;0,033;20.500;677
2010-12-06;0,023;0,031;0,023;0,031;64.500;2.000
2010-12-03;0,023;0,023;0,023;0,023;0;0
2010-12-02;0,025;0,025;0,024;0,024;30.100;722
2010-12-01;0,025;0,025;0,025;0,025;0;0
2010-11-30;0,025;0,025;0,025;0,025;0;0
2010-11-29;0,025;0,025;0,025;0,025;6.000;150
2010-11-26;0,025;0,026;0,025;0,026;20.000;520
2010-11-25;0,025;0,025;0,025;0,025;0;0
2010-11-24;0,025;0,025;0,025;0,025;0;0
2010-11-23;0,025;0,025;0,025;0,025;0;0
2010-11-22;0,025;0,026;0,025;0,026;1.000;26
2010-11-19;0,026;0,026;0,026;0,026;0;0
2010-11-18;0,025;0,026;0,025;0,026;1.571;41
