Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;1,14;1,20;1,12;1,13;40.625;47.035
2019-05-02;1,09;1,14;1,06;1,09;8.656;9.613
2019-04-30;1,17;1,17;1,10;1,12;2.495;2.751
2019-04-29;1,12;1,12;1,10;1,10;2.800;3.136
2019-04-26;1,15;1,17;1,15;1,15;955;1.107
2019-04-25;1,18;1,20;1,12;1,14;1.623;1.831
2019-04-24;1,15;1,15;1,12;1,14;3.000;3.420
2019-04-23;1,18;1,26;1,12;1,18;9.100;10.766
2019-04-18;1,15;1,19;1,10;1,15;25.035;28.362
2019-04-17;1,20;1,26;1,04;1,16;29.036;32.678
2019-04-16;1,29;1,30;1,24;1,24;11.815;14.842
2019-04-15;1,25;1,44;1,23;1,30;61.928;80.397
2019-04-12;1,12;1,23;1,12;1,20;28.401;33.444
2019-04-11;1,04;1,07;1,04;1,07;5.744;5.993
2019-04-10;1,03;1,06;1,03;1,06;2.000;2.060
2019-04-09;0,99;1,10;0,93;1,05;42.059;43.267
2019-04-08;0,935;0,965;0,935;0,965;43.650;41.421
2019-04-05;0,925;0,925;0,925;0,925;0;0
2019-04-04;0,925;0,925;0,925;0,925;0;0
2019-04-03;0,92;0,92;0,92;0,92;0;0
2019-04-02;0,905;0,925;0,905;0,925;6.500;5.883
2019-04-01;0,905;0,94;0,905;0,92;2.802;2.618
2019-03-29;0,915;0,92;0,915;0,92;6.994;6.408
2019-03-28;0,895;0,895;0,895;0,895;0;0
2019-03-27;0,88;0,895;0,88;0,895;527;464
2019-03-26;0,875;0,875;0,875;0,875;0;0
2019-03-25;0,88;0,88;0,875;0,875;10.605;9.332
2019-03-22;0,88;0,91;0,88;0,88;5.544;4.885
2019-03-21;0,89;0,92;0,89;0,91;17.252;15.749
2019-03-20;0,88;0,89;0,87;0,89;13.897;12.119
2019-03-19;0,865;0,875;0,865;0,875;7.646;6.629
2019-03-18;0,86;0,87;0,84;0,85;20.592;17.570
2019-03-15;0,855;0,865;0,855;0,865;3.200;2.736
2019-03-14;0,865;0,865;0,865;0,865;0;0
2019-03-13;0,88;0,88;0,865;0,865;1.000;880
