Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;9,56;9,56;9,56;9,56;100;956
2019-07-18;9,52;9,52;9,52;9,52;50;476
2019-07-16;9,74;9,74;9,74;9,74;100;974
2019-07-12;9,60;9,60;9,60;9,60;500;4.800
2019-07-11;9,558;9,559;9,558;9,559;471;4.502
2019-07-10;9,749;9,749;9,749;9,749;51;497
2019-07-05;9,51;9,749;9,51;9,749;1.620;15.542
2019-07-04;9,749;9,749;9,63;9,63;290;2.805
2019-07-03;9,75;9,75;9,75;9,75;1.000;9.750
2019-07-01;9,57;9,57;9,57;9,57;200;1.914
2019-06-28;9,37;9,50;9,369;9,50;2.000;18.870
2019-06-26;9,33;9,33;9,33;9,33;500;4.665
2019-06-24;9,25;9,25;9,25;9,25;170;1.573
2019-06-20;9,23;9,23;9,22;9,22;1.340;12.358
2019-06-19;9,41;9,41;9,41;9,41;752;7.076
2019-06-17;9,53;9,53;9,53;9,53;330;3.145
2019-06-07;9,73;9,73;9,73;9,73;110;1.070
2019-06-06;9,71;9,71;9,71;9,71;200;1.942
2019-06-03;9,65;9,65;9,65;9,65;50;483
2019-05-23;9,69895;9,69895;9,69895;9,69895;1.650;16.000
2019-05-22;9,74745;9,74745;9,74745;9,74745;64;623
2019-05-21;9,79594;9,79594;9,79594;9,79594;309;3.030
2019-05-13;9,63106;9,63106;9,63106;9,63106;2.062;19.860
2019-04-29;9,59032;9,59032;9,59032;9,59032;196;1.879
2019-04-26;9,49527;9,59032;9,49527;9,59032;1.093;10.457
2019-04-23;9,40798;9,40798;9,40798;9,40798;309;2.910
2019-04-18;9,58935;9,58935;9,58935;9,58935;103;989
2019-04-16;9,47588;9,47588;9,47588;9,47588;52;489
2019-04-11;9,2819;9,2819;9,2819;9,2819;103;957
2019-04-08;9,214;9,214;9,02002;9,02002;1.026;9.296
2019-04-03;9,35949;9,35949;9,35949;9,35949;1.722;16.116
2019-04-02;9,35949;9,35949;9,35949;9,35949;340;3.185
2019-03-26;9,18491;9,18491;9,18491;9,18491;57;521
2019-03-19;9,214;9,45648;9,214;9,45648;364;3.379
2019-03-18;9,12671;9,12671;9,12671;9,12671;21;188
2019-03-12;9,04912;9,04912;9,04912;9,04912;516;4.665
2019-03-06;9,02002;9,02002;9,02002;9,02002;977;8.816
2019-02-28;9,06852;9,06852;9,06852;9,06852;93;842
2019-02-26;8,91334;8,91334;8,91334;8,91334;309;2.757
2019-02-25;8,99093;8,99093;8,88424;8,88424;9.692;86.135
2019-02-20;9,08792;9,08792;9,08792;9,08792;77;703
2019-02-19;9,16551;9,16551;9,16551;9,16551;62;567
2019-02-15;9,34009;9,34009;9,34009;9,34009;52;482
2019-02-11;9,48557;9,48557;9,48557;9,48557;124;1.174
2019-02-07;9,2819;9,2819;9,2819;9,2819;598;5.551
2019-02-05;9,2237;9,2237;9,2237;9,2237;196;1.807
2019-02-04;9,36919;9,36919;9,36919;9,36919;103;966
2019-02-01;9,10732;9,10732;9,10732;9,10732;103;939
2019-01-31;9,06852;9,06852;9,06852;9,06852;516;4.675
2019-01-28;9,02972;9,02972;9,02972;9,02972;258;2.328
2019-01-23;8,97153;8,97153;8,97153;8,97153;206;1.850
2019-01-22;9,08792;9,08792;9,08792;9,08792;62;562
2019-01-15;9,214;9,214;9,02972;9,02972;706;6.501
2019-01-10;8,84544;8,90364;8,84544;8,90364;1.959;17.406
2019-01-09;9,03942;9,03942;8,82605;8,82605;5.403;47.942
2019-01-08;8,68056;8,68056;8,68056;8,68056;258;2.238
2019-01-07;8,56417;8,56417;8,56417;8,56417;371;3.179
2019-01-03;8,2926;8,3023;8,2926;8,3023;361;2.995
2019-01-02;8,2926;8,2926;8,2926;8,2926;381;3.164
2018-12-27;8,53508;8,53508;8,39929;8,39929;165;1.394
2018-12-21;8,56417;8,56417;8,45749;8,45749;1.907;16.260
2018-12-20;8,54478;8,54478;8,52538;8,54478;412;3.522
2018-12-19;8,85514;8,85514;8,85514;8,85514;52;457
2018-12-18;8,92304;8,92304;8,92304;8,92304;412;3.680
2018-12-17;9,02972;9,02972;9,02972;9,02972;206;1.862
2018-12-10;9,38858;9,38858;9,2625;9,38858;825;7.705
2018-12-07;9,61166;9,61166;9,61166;9,61166;41;396
2018-11-28;9,69895;9,69895;9,69895;9,69895;52;500
2018-11-27;9,59226;9,60196;9,59226;9,60196;647;6.214
2018-11-19;9,74745;9,74745;9,74745;9,74745;516;5.025
2018-11-12;9,60196;9,69895;9,60196;9,69895;1.289;12.475
2018-11-06;9,48324;9,48324;9,48324;9,48324;530;5.025
2018-11-02;9,37;9,37;9,37;9,37;265;2.483
2018-10-26;9,53042;9,53042;9,53042;9,53042;657;6.262
