Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2015-07-27;0,003;0,003;0,002;0,002;605.000;1.215
2015-07-24;0,002;0,002;0,002;0,002;18.500;37
2015-07-22;0,003;0,003;0,003;0,003;160.100;480
2015-07-21;0,003;0,004;0,003;0,004;160.848;643
2015-07-20;0,003;0,003;0,003;0,003;50.300;151
2015-07-17;0,003;0,003;0,002;0,002;390.000;1.080
2015-07-16;0,003;0,003;0,003;0,003;18.500;56
2015-07-15;0,003;0,003;0,002;0,002;214.000;442
2015-07-14;0,003;0,003;0,003;0,003;0;0
2015-07-13;0,003;0,003;0,003;0,003;123.333;370
2015-07-10;0,002;0,003;0,002;0,003;67.667;203
2015-07-09;0,002;0,002;0,002;0,002;6.000;12
2015-07-08;0,002;0,002;0,002;0,002;50.000;100
2015-07-07;0,002;0,003;0,002;0,003;15.740;46
2015-07-06;0,003;0,003;0,003;0,003;72.000;216
2015-06-30;0,004;0,004;0,004;0,004;18.979;76
2015-06-29;0,004;0,004;0,003;0,003;790.000;2.760
2015-06-26;0,004;0,004;0,004;0,004;27.724;111
2015-06-23;0,004;0,005;0,004;0,005;412.000;2.048
2015-06-22;0,006;0,006;0,004;0,004;560.662;2.904
2015-06-19;0,007;0,007;0,007;0,007;460;3
2015-06-18;0,007;0,007;0,007;0,007;57.219;401
2015-06-17;0,007;0,01;0,007;0,009;200.000;1.650
2015-06-16;0,007;0,007;0,007;0,007;15.625;109
2015-06-12;0,008;0,008;0,008;0,008;15.500;124
2015-06-11;0,012;0,018;0,009;0,01;971.672;12.936
2015-06-09;0,008;0,012;0,008;0,012;100.000;1.000
2015-06-08;0,005;0,01;0,005;0,01;200.000;1.500
2015-06-05;0,01;0,01;0,01;0,01;155.000;1.550
2015-06-04;0,008;0,014;0,008;0,014;200.000;1.920
2015-06-03;0,012;0,017;0,012;0,017;130.000;1.810
2015-06-02;0,01;0,015;0,01;0,015;311.667;3.200
2015-06-01;0,022;0,022;0,022;0,022;2.000;44
2015-05-29;0,02;0,023;0,015;0,023;57.570;1.153
2015-05-28;0,013;0,013;0,013;0,013;40.000;520
2015-05-21;0,022;0,022;0,022;0,022;30.000;660
2015-05-20;0,015;0,015;0,015;0,015;0;0
2015-05-19;0,015;0,016;0,015;0,016;15.000;240
2015-05-18;0,017;0,017;0,017;0,017;1.550;26
2015-05-08;0,016;0,023;0,016;0,023;15.600;320
2015-05-06;0,021;0,021;0,021;0,021;32.000;672
2015-05-05;0,019;0,019;0,019;0,019;500;10
2015-04-30;0,024;0,029;0,023;0,023;19.600;479
2015-04-27;0,016;0,016;0,016;0,016;0;0
2015-04-24;0,016;0,016;0,016;0,016;0;0
2015-04-23;0,016;0,016;0,016;0,016;0;0
2015-04-22;0,019;0,019;0,019;0,019;40;1
2015-04-21;0,016;0,02;0,016;0,02;1.000;20
2015-04-20;0,019;0,019;0,019;0,019;6.500;124
2015-04-17;0,018;0,025;0,018;0,025;25.000;590
2015-04-16;0,031;0,031;0,031;0,031;2.500;78
2015-04-15;0,03;0,032;0,03;0,032;45.000;1.370
2015-04-14;0,016;0,028;0,016;0,028;76.000;1.396
2015-04-13;0,03;0,03;0,018;0,029;173.390;3.455
