Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2016-06-08;0,023;0,025;0,023;0,025;22.000;530
2016-06-07;0,03;0,03;0,012;0,022;249.601;5.355
2016-06-06;0,034;0,034;0,031;0,031;8.190;269
2016-06-03;0,04;0,041;0,034;0,04;107.750;4.031
2016-06-02;0,041;0,042;0,04;0,041;27.319;1.117
2016-06-01;0,041;0,044;0,041;0,042;16.999;715
2016-05-31;0,034;0,045;0,034;0,041;18.874;763
2016-05-30;0,05;0,051;0,04;0,04;45.213;1.892
2016-05-27;0,054;0,054;0,051;0,051;23.950;1.281
2016-05-26;0,051;0,056;0,051;0,056;13.324;709
2016-05-25;0,051;0,067;0,051;0,055;79.413;4.744
2016-05-24;0,07;0,07;0,034;0,054;57.176;3.099
2016-05-23;0,08;0,08;0,07;0,07;97.895;7.383
2016-05-20;0,09;0,101;0,076;0,079;74.757;6.848
2016-05-19;0,098;0,111;0,09;0,09;41.650;4.432
2016-05-18;0,10;0,101;0,098;0,099;36.221;3.592
2016-05-17;0,105;0,106;0,098;0,101;28.934;2.960
2016-05-13;0,10;0,108;0,10;0,106;2.527;273
2016-05-12;0,111;0,111;0,101;0,101;4.443;484
2016-05-11;0,11;0,111;0,11;0,111;1.590;176
2016-05-10;0,11;0,111;0,11;0,111;750;83
2016-05-09;0,11;0,11;0,11;0,11;13.300;1.463
2016-05-06;0,102;0,159;0,102;0,135;19.321;2.608
2016-05-05;0,102;0,11;0,102;0,11;8.300;861
2016-05-04;0,102;0,103;0,102;0,103;11.800;1.211
2016-05-03;0,102;0,103;0,102;0,103;150;15
2016-05-02;0,102;0,103;0,102;0,103;4.647;474
2016-04-29;0,10;0,103;0,10;0,103;200;21
2016-04-28;0,101;0,113;0,101;0,113;41.001;4.237
2016-04-27;0,08;0,119;0,08;0,103;175.525;16.403
2016-04-26;0,092;0,092;0,09;0,09;11.009;991
2016-04-25;0,092;0,092;0,092;0,092;0;0
2016-04-22;0,092;0,092;0,092;0,092;0;0
2016-04-21;0,092;0,092;0,092;0,092;0;0
2016-04-20;0,092;0,092;0,092;0,092;0;0
2016-04-19;0,092;0,092;0,092;0,092;0;0
2016-04-18;0,092;0,092;0,092;0,092;51;5
2016-04-15;0,091;0,106;0,091;0,106;20;2
2016-04-14;0,091;0,091;0,091;0,091;0;0
2016-04-13;0,091;0,091;0,091;0,091;0;0
2016-04-12;0,091;0,091;0,091;0,091;0;0
2016-04-11;0,091;0,091;0,091;0,091;0;0
2016-04-08;0,091;0,091;0,091;0,091;0;0
2016-04-07;0,091;0,091;0,091;0,091;0;0
2016-04-06;0,091;0,091;0,091;0,091;0;0
2016-04-05;0,091;0,091;0,091;0,091;0;0
2016-04-04;0,091;0,091;0,091;0,091;0;0
2016-04-01;0,091;0,091;0,091;0,091;0;0
2016-03-31;0,091;0,096;0,091;0,096;2.000;192
2016-03-30;0,091;0,101;0,091;0,101;315;32
2016-03-29;0,091;0,091;0,091;0,091;0;0
2016-03-24;0,092;0,092;0,092;0,092;0;0
2016-03-23;0,091;0,091;0,091;0,091;0;0
2016-03-22;0,091;0,143;0,091;0,12;2.060;293
