Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;9,90;10,00;9,85;9,90;6.155;61.189
2019-05-02;9,90;9,95;9,90;9,95;603;5.995
2019-04-30;9,85;9,90;9,65;9,90;1.250;12.353
2019-04-29;9,90;9,90;9,65;9,75;901;8.870
2019-04-26;9,90;9,90;9,85;9,90;1.301;12.875
2019-04-25;9,85;9,90;9,85;9,85;2.256;22.267
2019-04-24;9,75;9,85;9,65;9,70;1.965;19.171
2019-04-23;9,55;9,85;9,55;9,70;3.958;38.622
2019-04-18;9,55;9,75;9,55;9,75;2.739;26.450
2019-04-17;9,55;9,55;9,45;9,45;1.050;10.023
2019-04-16;9,35;9,50;9,35;9,50;2.580;24.442
2019-04-15;9,30;9,55;9,30;9,55;3.764;35.795
2019-04-12;9,45;9,50;9,35;9,35;3.809;35.887
2019-04-11;9,45;9,55;9,30;9,55;1.648;15.462
2019-04-10;9,35;9,40;9,35;9,40;560;5.248
2019-04-09;9,35;9,40;9,20;9,20;670;6.259
2019-04-08;9,15;9,20;9,15;9,20;230;2.115
2019-04-05;9,20;9,20;9,15;9,15;1.100;10.081
2019-04-04;9,35;9,45;9,35;9,45;640;5.999
2019-04-03;9,25;9,30;9,00;9,00;879;8.023
2019-04-02;9,30;9,30;9,20;9,20;191;1.762
2019-04-01;9,40;9,40;9,40;9,40;25;235
2019-03-29;9,35;9,35;9,05;9,05;617;5.704
2019-03-28;9,35;9,35;9,10;9,30;3.531;32.553
2019-03-27;9,10;9,30;9,10;9,30;850;7.790
2019-03-26;9,15;9,25;9,15;9,25;1.027;9.447
2019-03-25;9,20;9,25;9,05;9,20;1.308;12.011
2019-03-21;9,25;9,45;9,25;9,45;488;4.574
2019-03-20;9,55;9,55;9,10;9,10;1.888;17.476
2019-03-19;9,20;9,40;9,20;9,40;1.023;9.512
2019-03-18;9,40;9,45;9,20;9,45;1.240;11.656
2019-03-15;9,35;9,35;9,15;9,15;282;2.617
2019-03-14;9,25;9,35;9,25;9,35;1.663;15.436
2019-03-13;9,15;9,15;9,15;9,15;1.000;9.150
2019-03-12;9,25;9,25;9,25;9,25;500;4.625
2019-03-11;9,40;9,40;9,40;9,40;22;207
2019-03-08;9,10;9,25;9,10;9,15;663;6.096
2019-03-07;9,25;9,25;9,20;9,20;761;7.034
2019-03-06;9,40;9,45;9,40;9,40;1.101;10.372
2019-03-05;9,25;9,40;9,25;9,25;275;2.561
2019-03-04;9,40;9,40;9,25;9,25;499;4.661
2019-03-01;9,50;9,55;9,30;9,30;315;2.993
2019-02-28;9,35;9,35;9,35;9,35;118;1.103
2019-02-27;9,15;9,15;9,15;9,15;475;4.346
