Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-07-19;8,101;8,299;8,101;8,299;128;1.057
2019-07-18;8,299;8,299;8,299;8,299;15;124
2019-07-17;8,05;8,20;8,05;8,20;1.250;10.250
2019-07-16;8,05;8,051;8,05;8,051;370;2.979
2019-07-15;8,05;8,05;8,05;8,05;0;0
2019-07-12;8,051;8,051;8,051;8,051;100;805
2019-07-11;8,05;8,20;8,05;8,20;1.390;11.373
2019-07-10;8,05;8,05;8,05;8,05;2.002;16.116
2019-07-09;8,05;8,055;8,05;8,055;2.630;21.178
2019-07-08;8,05;8,149;8,05;8,149;100;815
2019-07-05;8,05;8,199;8,05;8,199;100;820
2019-07-04;8,20;8,20;8,20;8,20;0;0
2019-07-03;8,20;8,20;8,06;8,10;1.379;11.174
2019-07-02;8,20;8,20;8,20;8,20;0;0
2019-07-01;8,05;8,433;8,05;8,433;111;936
2019-06-28;8,20;8,40;8,20;8,40;200;1.680
2019-06-27;8,05;8,20;8,05;8,20;2.115;17.240
2019-06-26;8,051;8,051;8,051;8,051;750;6.038
2019-06-25;8,051;8,051;8,051;8,051;0;0
2019-06-24;8,052;8,052;8,052;8,052;700;5.636
2019-06-21;8,051;8,15;8,051;8,10;3.399;27.531
2019-06-20;8,051;8,199;8,051;8,199;920;7.425
2019-06-19;8,051;8,052;8,051;8,052;375;3.020
2019-06-18;8,051;8,20;8,051;8,20;100;820
2019-06-17;8,051;8,051;8,051;8,051;675;5.434
2019-06-14;8,30;8,30;8,10;8,299;400;3.300
2019-06-13;8,30;8,30;8,10;8,30;1.351;11.013
2019-06-12;8,30;8,40;8,051;8,30;1.308;10.752
2019-06-11;8,30;8,30;8,30;8,30;400;3.320
2019-06-07;8,30;8,30;8,30;8,30;0;0
2019-06-06;8,30;8,40;8,30;8,40;1.752;14.597
2019-06-05;8,30;8,301;8,30;8,301;50;415
2019-06-04;8,101;8,101;8,101;8,101;5;41
2019-06-03;8,10;8,10;8,10;8,10;0;0
2019-05-31;8,40;8,40;8,40;8,40;200;1.680
2019-05-29;8,05;8,433;8,05;8,433;200;1.687
2019-05-28;8,322;8,322;8,322;8,322;0;0
2019-05-27;8,30;8,694;8,25;8,694;2.523;20.875
2019-05-24;8,30;8,30;8,30;8,30;0;0
2019-05-23;8,20;8,301;8,20;8,30;376;3.101
2019-05-22;8,30;8,30;8,30;8,30;3.234;26.842
2019-05-21;8,30;8,30;8,30;8,30;0;0
2019-05-20;8,25089;8,39822;8,25089;8,25089;814;6.825
2019-05-17;8,25089;8,25089;8,25089;8,25089;0;0
2019-05-16;8,25089;8,25089;8,25089;8,25089;0;0
2019-05-15;8,25089;8,25089;8,25089;8,25089;0;0
2019-05-14;8,6929;8,6929;8,30;8,30;334;2.781
2019-05-13;8,25089;8,25089;8,25089;8,25089;0;0
2019-05-10;8,17427;8,34911;8,15266;8,34911;2.869;23.498
2019-05-09;8,15266;8,53967;8,15266;8,53967;61;522
2019-05-08;8,47877;8,47877;8,47877;8,47877;22;190
2019-05-07;8,05444;8,05444;8,05444;8,05444;0;0
2019-05-06;8,05444;8,05444;8,05444;8,05444;1.527;12.300
2019-05-03;8,25089;8,25089;8,25089;8,25089;0;0
2019-05-02;8,25089;8,25089;8,25089;8,25089;0;0
2019-04-30;8,37858;8,37858;8,37858;8,37858;0;0
2019-04-29;8,37956;8,59467;8,37956;8,59467;1.143;9.799
2019-04-26;8,25089;8,59369;8,25089;8,59369;2.254;19.196
2019-04-25;8,25089;8,34911;8,25089;8,34911;2.209;18.445
2019-04-24;8,25089;8,30;8,25089;8,30;1.006;8.327
2019-04-23;8,25089;8,25089;8,25089;8,25089;3.056;25.217
2019-04-18;8,25089;8,25089;8,25089;8,25089;0;0
2019-04-17;8,25089;8,25187;8,25089;8,25187;102;840
2019-04-16;8,20178;8,25187;8,20178;8,25187;511;4.217
2019-04-15;8,25089;8,25089;8,20178;8,20178;2.671;22.017
2019-04-12;8,20178;8,25089;8,20178;8,25089;458;3.780
2019-04-11;8,20178;8,30;8,20178;8,30;581;4.825
2019-04-10;8,20178;8,25089;8,20178;8,25089;5.090;42.000
2019-04-09;8,05444;8,25089;8,05444;8,25089;5.151;42.503
2019-04-08;8,05444;8,05444;8,05444;8,05444;0;0
2019-04-05;8,05444;8,05444;8,05444;8,05444;0;0
2019-04-04;8,05444;8,05444;8,05444;8,05444;0;0
2019-04-03;8,05444;8,05444;8,05444;8,05444;0;0
2019-04-02;8,05444;8,05444;8,05444;8,05444;0;0
2019-04-01;8,05444;8,30;8,05444;8,10355;205;1.674
2019-03-29;8,00533;8,05444;8,00533;8,05444;3.461;27.880
2019-03-28;8,10355;8,15266;8,05444;8,05444;1.425;11.552
