Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-05-03;7,42;7,42;7,40;7,40;1.100;8.150
2019-05-02;7,42;7,42;7,42;7,42;168;1.247
2019-04-29;7,50;7,50;7,50;7,50;260;1.950
2019-04-25;7,48;7,48;7,46;7,48;1.917;14.336
2019-04-23;7,40;8,04;7,40;7,48;1.220;9.306
2019-04-18;7,42;7,56;7,42;7,44;1.855;13.825
2019-04-17;7,72;7,72;6,46;7,42;4.988;34.951
2019-04-15;7,92;7,92;7,92;7,92;191;1.513
2019-04-12;7,78;7,98;7,78;7,98;900;7.149
2019-04-11;7,64;7,80;7,62;7,80;1.100;8.405
2019-04-10;7,76;7,76;7,76;7,76;245;1.901
2019-04-09;7,46;7,46;7,46;7,46;1;7
2019-04-08;7,46;7,64;7,46;7,64;500;3.748
2019-04-05;7,34;7,58;7,34;7,58;642;4.816
2019-04-04;7,48;7,50;7,48;7,50;950;7.115
2019-04-03;7,48;7,48;7,34;7,34;550;4.107
2019-04-02;7,64;7,64;7,34;7,34;1.300;9.842
2019-04-01;7,50;7,50;7,50;7,50;660;4.950
2019-03-27;7,65;7,65;7,65;7,65;140;1.071
2019-03-26;7,70;7,70;7,70;7,70;131;1.009
2019-03-25;7,60;7,85;7,60;7,85;1.495;11.632
2019-03-22;7,65;7,80;7,65;7,80;350;2.700
2019-03-21;7,45;7,45;7,35;7,35;505;3.752
2019-03-20;7,55;7,65;7,40;7,65;1.094;8.240
2019-03-19;7,50;7,60;7,50;7,55;1.760;13.308
2019-03-15;7,55;7,55;7,55;7,55;320;2.416
2019-03-14;7,65;7,65;7,40;7,40;2.215;16.831
2019-03-13;7,55;7,60;7,55;7,60;1.176;8.898
2019-03-12;7,45;7,45;7,45;7,45;700;5.215
2019-03-06;7,55;7,55;7,55;7,55;50;378
2019-03-05;7,75;7,75;7,75;7,75;150;1.163
2019-03-04;7,80;7,80;7,80;7,80;1;8
2019-03-01;7,85;7,85;7,85;7,85;59;463
2019-02-28;7,75;7,75;7,75;7,75;519;4.022
2019-02-27;7,50;7,80;7,50;7,80;500;3.795
2019-02-25;7,55;7,55;7,55;7,55;11;83
2019-02-22;7,85;7,85;7,75;7,85;1.800;14.005
2019-02-21;7,60;7,60;7,45;7,45;402;3.025
2019-02-20;7,30;7,90;7,30;7,55;1.188;9.063
2019-02-19;7,50;7,50;7,50;7,50;150;1.125
2019-02-18;7,50;7,50;7,15;7,15;642;4.774
2019-02-15;7,55;7,75;7,50;7,50;1.437;10.924
2019-02-14;7,65;7,95;7,65;7,95;325;2.524
2019-02-13;7,60;7,60;7,55;7,55;462;3.508
2019-02-11;7,15;7,15;7,15;7,15;300;2.145
2019-02-08;7,25;7,25;7,15;7,15;420;3.043
2019-02-07;7,20;7,20;7,20;7,20;900;6.480
2019-02-06;7,35;7,35;7,35;7,35;300;2.205
2019-02-05;7,40;7,40;7,25;7,40;2.250;16.590
2019-02-04;7,45;7,65;7,45;7,65;414;3.106
2019-02-01;7,80;7,80;7,45;7,45;1.855;13.902
2019-01-31;7,70;7,70;7,50;7,50;3.099;23.509
2019-01-30;7,80;7,95;7,70;7,95;1.290;10.073
2019-01-29;7,95;7,95;7,65;7,65;632;4.971
2019-01-28;7,85;8,00;7,80;7,80;1.021;8.052
2019-01-25;7,70;8,05;7,60;8,05;8.585;67.443
2019-01-24;7,55;7,70;7,55;7,70;4.074;31.080
2019-01-23;7,55;7,55;7,40;7,55;1.290;9.707
2019-01-22;7,25;7,45;7,10;7,40;4.005;29.460
2019-01-21;7,15;7,15;7,10;7,10;2.110;15.022
2019-01-18;7,05;7,30;7,05;7,30;5.056;36.345
2019-01-17;7,15;7,20;7,10;7,20;2.698;19.315
2019-01-16;6,80;6,85;6,80;6,80;230;1.565
2019-01-15;6,65;6,70;6,65;6,70;1.539;10.289
2019-01-14;6,70;6,70;6,45;6,45;710;4.582
2019-01-11;6,50;6,70;6,45;6,70;5.600;36.610
2019-01-10;6,50;6,50;6,40;6,40;1.954;12.641
2019-01-09;6,10;6,40;6,10;6,25;1.833;11.461
2019-01-08;6,10;6,10;5,90;5,90;2.318;14.110
2019-01-07;6,25;6,25;6,10;6,10;755;4.643
2019-01-04;6,05;6,05;6,05;6,05;500;3.025
2019-01-03;5,85;5,85;5,85;5,85;650;3.803
2019-01-02;5,90;6,05;5,30;6,05;8.639;47.861
2018-12-28;5,75;6,25;5,75;6,15;3.575;22.070
2018-12-27;6,20;6,20;5,70;5,90;7.850;46.557
2018-12-21;6,25;6,25;6,25;6,25;680;4.250
2018-12-20;6,70;6,70;6,70;6,70;400;2.680
2018-12-18;6,25;6,40;6,25;6,40;1.860;11.700
2018-12-17;6,60;6,60;6,10;6,10;4.768;30.258
2018-12-14;6,95;6,95;6,70;6,70;725;4.979
2018-12-13;6,85;7,15;6,85;7,15;1.791;12.358
2018-12-10;6,80;6,80;6,80;6,80;150;1.020
2018-12-07;6,90;6,90;6,65;6,85;800;5.472
2018-12-06;7,10;7,30;6,70;6,80;6.353;44.401
2018-12-05;7,25;7,25;7,25;7,25;274;1.987
2018-12-03;7,80;7,80;7,35;7,35;2.710;20.120
2018-11-30;7,50;7,55;7,45;7,45;682;5.102
2018-11-29;7,60;7,95;7,60;7,70;2.707;21.026
2018-11-28;7,10;7,60;6,95;7,50;8.787;63.857
2018-11-27;6,75;6,75;6,75;6,75;200;1.350
2018-11-26;7,00;7,00;6,80;6,80;1.539;10.651
2018-11-23;7,20;7,20;7,20;7,20;208;1.498
2018-11-22;6,55;7,55;6,55;7,05;4.407;31.652
2018-11-21;6,65;6,65;6,55;6,55;1.862;12.332
2018-11-20;6,65;6,65;6,60;6,60;689;4.570
2018-11-19;6,95;7,30;6,90;6,90;2.232;15.877
2018-11-15;6,80;6,80;6,80;6,80;451;3.067
2018-11-14;6,55;6,75;6,55;6,55;3.042;20.297
2018-11-13;6,60;6,60;6,60;6,60;488;3.221
2018-11-12;6,80;6,80;6,70;6,70;1.540;10.407
2018-11-08;7,10;7,10;7,10;7,10;3.500;24.850
2018-11-07;6,90;7,05;6,90;7,05;3.050;21.383
2018-11-06;6,80;6,80;6,80;6,80;485;3.298
2018-11-05;6,65;6,80;6,65;6,80;350;2.343
2018-11-02;6,65;6,75;6,65;6,75;1.206;8.048
2018-10-31;6,65;6,65;6,65;6,65;295;1.962
2018-10-30;6,70;6,70;6,70;6,70;909;6.090
2018-10-29;6,45;6,45;6,40;6,40;700;4.505
2018-10-26;6,70;6,70;6,70;6,70;700;4.690
2018-10-25;6,60;6,80;6,50;6,50;3.395;22.893
2018-10-24;6,85;6,85;6,60;6,65;1.933;12.936
2018-10-23;6,90;7,25;6,80;6,80;1.055;7.342
2018-10-22;7,20;7,20;7,20;7,20;412;2.966
2018-10-19;6,90;7,40;6,90;7,10;2.598;18.477
2018-10-18;6,80;6,80;6,80;6,80;510;3.468
2018-10-17;6,60;6,60;6,45;6,45;2.000;13.022
2018-10-16;6,45;6,65;6,45;6,45;1.270;8.337
2018-10-15;6,50;6,65;6,40;6,65;2.687;17.693
2018-10-12;6,95;7,00;6,95;7,00;725;5.060
2018-10-11;7,00;7,05;6,65;6,65;6.170;42.149
2018-10-10;7,35;7,35;7,35;7,35;125;919
2018-10-09;7,25;7,25;7,25;7,25;10;73
2018-10-08;7,35;7,35;7,05;7,05;900;6.571
2018-10-05;7,25;7,25;7,00;7,15;350;2.505
2018-10-04;7,60;7,60;7,40;7,45;2.060;15.419
2018-10-02;7,50;7,50;7,50;7,50;540;4.050
2018-09-27;7,55;7,55;7,55;7,55;235;1.774
2018-09-26;7,55;7,85;7,55;7,85;566;4.364
2018-09-25;7,70;7,70;7,70;7,70;260;2.002
2018-09-24;7,75;7,95;7,75;7,75;1.521;11.858
2018-09-21;7,90;7,95;7,90;7,95;1.000;7.924
2018-09-20;7,75;7,75;7,75;7,75;125;969
2018-09-19;7,70;7,85;7,70;7,85;1.152;8.893
2018-09-18;7,90;7,90;7,65;7,65;100;778
2018-09-17;7,60;7,70;7,60;7,70;210;1.597
2018-09-13;7,70;7,70;7,70;7,70;300;2.310
2018-09-12;7,55;7,55;7,55;7,55;500;3.775
2018-09-10;7,70;7,70;7,70;7,70;300;2.310
2018-09-05;7,90;8,00;7,90;8,00;300;2.380
2018-09-04;8,10;8,10;8,10;8,10;410;3.321
2018-09-03;8,15;8,15;8,15;8,15;100;815
2018-08-31;8,45;8,45;8,45;8,45;484;4.090
2018-08-30;8,25;8,70;8,25;8,70;2.220;18.683
2018-08-29;8,40;8,40;8,40;8,40;100;840
2018-08-28;8,35;8,50;8,30;8,50;670;5.596
2018-08-27;8,00;8,25;8,00;8,25;840;6.868
2018-08-24;8,15;8,30;8,15;8,30;1.000;8.264
2018-08-23;7,60;8,00;7,60;8,00;2.640;20.687
2018-08-22;7,55;7,70;7,55;7,70;1.950;14.798
2018-08-21;7,55;7,55;7,55;7,55;780;5.889
2018-08-20;7,30;7,30;7,30;7,30;100;730
2018-08-17;7,50;7,50;7,50;7,50;250;1.875
2018-08-16;7,15;7,65;7,15;7,65;3.304;23.953
2018-08-15;7,65;7,65;7,60;7,60;500;3.810
2018-08-14;7,75;7,85;7,45;7,50;4.634;35.218
2018-08-13;7,70;7,70;7,70;7,70;160;1.232
2018-08-10;7,85;7,85;7,85;7,85;3;24
2018-08-09;7,70;8,05;7,70;8,05;1.062;8.199
2018-08-08;7,60;7,95;7,60;7,65;870;6.722
2018-08-07;7,95;7,95;7,65;7,65;2.349;18.092
2018-08-06;7,85;8,20;7,50;7,50;4.445;34.073
2018-08-02;7,95;7,95;7,95;7,95;568;4.516
2018-08-01;8,45;8,45;8,45;8,45;25;211
2018-07-31;8,10;8,30;8,10;8,10;272;2.227
2018-07-30;8,25;8,25;8,20;8,20;449;3.687
2018-07-27;8,10;8,10;8,10;8,10;200;1.620
2018-07-26;8,20;8,35;8,05;8,05;2.366;19.426
2018-07-25;8,20;8,20;8,20;8,20;75;615
2018-07-23;8,30;8,45;8,30;8,45;440;3.660
2018-07-20;8,55;8,55;8,40;8,50;3.985;33.694
2018-07-19;8,30;8,50;8,30;8,50;311;2.599
2018-07-18;8,35;8,35;8,30;8,30;711;5.919
2018-07-17;8,25;8,50;8,25;8,35;805;6.703
2018-07-16;8,60;8,60;8,35;8,50;1.119;9.527
2018-07-13;8,35;8,55;8,35;8,55;905;7.678
2018-07-12;8,50;8,50;8,50;8,50;50;425
2018-07-11;9,00;9,00;8,40;8,70;1.860;16.320
2018-07-10;8,80;9,15;8,60;9,15;1.470;12.877
2018-07-09;8,60;8,60;8,55;8,55;450;3.853
2018-07-06;8,70;9,00;8,70;9,00;945;8.280
2018-07-05;8,05;8,45;8,05;8,45;1.335;10.952
2018-07-04;8,00;8,40;8,00;8,40;2.518;20.431
2018-07-03;8,30;8,30;8,30;8,30;250;2.075
2018-07-02;8,20;8,45;8,20;8,45;255;2.121
2018-06-29;8,50;8,50;8,40;8,40;75;636
2018-06-28;8,25;8,40;8,25;8,40;2.370;19.738
2018-06-27;8,45;8,45;7,90;8,40;2.580;20.851
2018-06-26;8,50;8,50;8,30;8,35;2.416;20.204
2018-06-25;8,65;9,00;8,20;8,40;2.997;25.446
2018-06-22;8,85;9,05;8,85;9,05;895;8.015
2018-06-21;9,00;9,05;9,00;9,05;125;1.126
2018-06-20;8,65;9,10;8,40;9,10;1.401;12.249
2018-06-19;8,95082;8,95082;8,50328;8,50328;296;2.563
2018-06-18;9,39836;9,39836;9,39836;9,39836;503;4.725
2018-06-15;8,85137;9,00055;8,85137;9,00055;521;4.623
2018-06-14;9,05027;9,05027;9,00055;9,00055;1.005;9.055
2018-06-13;8,90109;9,24918;8,70219;8,90109;3.236;29.189
2018-06-12;8,80164;9,05027;8,60273;8,65246;1.275;11.245
2018-06-11;8,40383;9,24918;8,40383;8,90109;2.273;20.090
2018-06-08;8,75191;9,00055;8,75191;8,95082;2.204;19.511
2018-06-07;8,65246;8,95082;8,40383;8,40383;2.035;17.685
2018-06-06;8,95082;8,95082;8,60273;8,65246;2.671;23.242
2018-06-05;9,54754;9,54754;9,54754;9,54754;309;2.947
2018-06-04;9,49781;9,49781;9,10;9,10;638;5.858
2018-06-01;9,69672;9,69672;9,49781;9,49781;669;6.372
2018-05-31;9,59727;9,59727;9,39836;9,39836;704;6.665
2018-05-30;9,59727;9,59727;9,59727;9,59727;101;965
2018-05-29;9,74645;9,74645;9,74645;9,74645;312;3.038
2018-05-28;9,19945;9,49781;9,19945;9,24918;581;5.450
2018-05-25;9,44809;9,69672;9,29891;9,69672;3.022;28.474
2018-05-24;9,44809;9,44809;9,24918;9,39836;2.514;23.421
2018-05-23;9,19945;9,64699;9,00055;9,29891;3.565;33.334
2018-05-22;9,94536;10,0448;9,24918;9,24918;1.560;14.959
2018-05-21;10,3432;10,3432;9,8459;9,94536;551;5.547
2018-05-18;9,64699;10,0448;9,64699;9,94536;702;6.894
2018-05-17;9,44809;10,2437;9,44809;9,89563;6.358;63.567
2018-05-16;10,0448;10,0448;9,59727;9,64699;3.670;36.028
2018-05-15;10,4426;10,4426;10,0448;10,2437;1.765;18.264
2018-05-14;10,3432;10,4426;10,0448;10,0448;1.606;16.397
2018-05-11;10,5421;10,741;10,5421;10,741;1.951;20.879
2018-05-10;10,2437;10,741;10,2437;10,741;553;5.890
2018-05-09;10,741;10,741;10,1443;10,1443;322;3.318
2018-05-08;10,0448;10,2437;10,0448;10,2437;273;2.782
2018-05-07;9,89563;10,3432;9,89563;10,3432;729;7.305
2018-05-04;10,1443;10,1443;10,0448;10,1443;671;6.772
2018-05-03;9,29891;10,4426;9,29891;10,0448;2.136;20.456
